Date,Open,High,Low,Close,Volume
2023-01-13,50.6733,52.1867,50.6733,51.9133,161700
2023-01-17,51.9133,52.6933,51.06,51.4,158850
2023-01-18,51.7333,51.74,49.9867,50.2133,272850
2023-01-19,49.7333,50.0267,48.4733,48.74,262800
2023-01-20,49.3333,49.3333,48.5067,48.8467,227250
2023-01-23,48.7933,49.66,48.36,49.36,356100
2023-01-24,49.2933,50.1333,48.7133,49.8667,180000
2023-01-25,49.5933,51.6667,49.3,49.5067,130500
2023-01-26,49.86,49.8733,48.9933,49.2667,168450
2023-01-27,49.14,50.32,49.14,49.6667,317250
2023-01-30,49.38,49.8,48.84,48.98,273600
2023-01-31,49.3333,51.12,49.3333,50.88,372300
2023-02-01,50.56,52.64,50.3467,51.84,338100
2023-02-02,52.1,53.2867,52.1,53.2867,232050
2023-02-03,52.6667,53.9533,52.6667,53.8533,246750
2023-02-06,53.2133,54.4533,52.8067,53.04,189150
2023-02-07,52.5733,52.6333,50.8333,51.6933,247350
2023-02-08,51.28,51.8733,50.98,51.3733,150600
2023-02-09,51.9733,52.0133,50.38,50.68,292950
2023-02-10,50.4333,50.94,49.9733,50.1467,325800
2023-02-13,50.4667,52.0067,50.04,51.8667,208200
2023-02-14,51.5933,52.7133,51.2933,52.1667,301650
2023-02-15,52.0133,52.66,51.5733,52.64,250650
2023-02-16,52.0,53.1867,51.6667,52.4533,230850
2023-02-17,52.58,53.9067,52.0,53.3333,404550
2023-02-21,52.7467,53.0667,51.52,51.7133,461100
2023-02-22,51.9067,52.3533,51.5,52.02,481650
2023-02-23,52.3,53.7867,51.9133,53.58,410100
2023-02-24,53.14,54.4333,52.7733,54.3133,367500
2023-02-27,54.3133,55.3867,53.62,54.3267,653700
2023-02-28,58.0,62.9333,56.6667,60.64,1987800
2023-03-01,60.4667,61.0667,59.8933,60.38,566400
2023-03-02,60.1733,61.0933,59.8133,60.9067,792450
2023-03-03,60.9867,62.7,60.4467,62.6133,385650
2023-03-06,62.6667,62.9667,61.6933,62.0333,635700
2023-03-07,62.0267,62.44,60.7467,61.5533,598650
2023-03-08,61.82,61.8733,60.5067,61.4,360300
2023-03-09,61.82,62.1533,61.0533,61.4467,277200
2023-03-10,61.12,61.34,59.3,60.32,346650
2023-03-13,58.64,59.7533,58.14,58.62,520950
2023-03-14,59.7,60.9267,59.22,60.4133,844650
2023-03-15,59.0733,59.8867,58.4667,58.8733,839850
2023-03-16,58.0333,61.66,57.7867,61.18,452850
2023-03-17,60.58,60.6,59.1467,59.5533,918000
2023-03-20,59.8,60.7933,59.74,59.86,451050
2023-03-21,60.7267,61.4267,60.1333,61.1133,566250
2023-03-22,60.96,62.1067,60.5933,60.9333,531750
2023-03-23,61.1,62.9133,60.7733,61.5667,501150
2023-03-24,60.7667,61.0,59.2,60.8333,561000
2023-03-27,61.5133,62.6733,61.3867,61.8733,357750
2023-03-28,61.8667,63.7,61.8133,63.32,558000
2023-03-29,63.62,64.2,62.7533,63.1867,419850
2023-03-30,63.28,63.7067,62.74,63.2667,367950
2023-03-31,63.7333,64.6333,63.3867,64.46,505950
2023-04-03,64.46,64.8333,63.5467,64.6733,722250
2023-04-04,64.7133,64.7733,61.86,62.6067,691950
2023-04-05,62.1533,62.8,60.6667,61.8667,640950
2023-04-06,61.92,62.3133,60.7333,61.8333,391500
2023-04-10,61.3667,63.0933,60.5533,62.84,647550
2023-04-11,63.2133,63.54,62.5733,63.12,463500
2023-04-12,63.4,64.6,63.18,64.3267,320700
2023-04-13,64.34,65.0133,63.6467,64.7467,503850
2023-04-14,64.46,65.5867,63.08,63.64,442650
2023-04-17,63.64,65.12,63.64,63.9867,304500
2023-04-18,64.1467,64.9267,63.84,64.8333,598050
2023-04-19,64.58,65.5933,64.52,65.4333,388350
2023-04-20,65.3067,66.6333,65.0933,66.1733,603900
2023-04-21,66.0733,66.5133,65.5467,66.3067,317850
2023-04-24,66.3,67.2,64.8333,65.7467,424500
2023-04-25,65.2933,66.16,65.0867,65.0867,325650
2023-04-26,64.62,64.64,62.4,62.6133,661200
2023-04-27,63.2667,66.7667,63.26,66.1467,987000
2023-04-28,65.9667,66.68,65.0733,65.3333,483600
2023-05-01,65.3933,65.9933,65.02,65.26,493350
2023-05-02,65.34,65.7067,64.42,65.4267,407550
2023-05-03,65.6067,66.3067,64.76,65.0333,476100
2023-05-04,64.94,65.3133,63.8867,64.1867,446550
2023-05-05,66.2667,69.5467,66.06,68.84,783750
2023-05-08,68.9933,69.3133,63.7333,64.6333,677550
2023-05-09,64.6667,65.1267,63.7933,64.4533,396000
2023-05-10,64.92,65.2067,63.8933,64.76,260400
2023-05-11,64.76,64.76,63.4,63.86,301200
2023-05-12,63.9333,64.7133,62.4533,63.1267,451050
2023-05-15,63.2267,63.8867,62.6,62.9867,422100
2023-05-16,62.1333,62.5267,60.6333,60.9333,431850
2023-05-17,61.1933,61.8667,60.9,60.9867,382200
2023-05-18,60.9867,61.48,60.1067,61.0,960300
2023-05-19,61.82,61.9133,60.6933,60.9467,404850
2023-05-22,61.2133,61.52,60.1133,60.38,551550
2023-05-23,60.3067,61.2533,59.6933,59.94,318600
2023-05-24,59.7,59.9933,58.2933,58.7133,334800
2023-05-25,58.7133,60.06,58.7133,59.94,267600
2023-05-26,59.9467,60.56,59.4067,60.1267,292350
2023-05-30,60.3,60.5933,58.7,58.9067,873000
2023-05-31,58.6667,58.9067,57.32,57.74,614100
2023-06-01,57.68,58.9267,57.0667,58.4467,686100
2023-06-02,59.2133,61.12,59.1533,61.0533,365100
2023-06-05,60.6533,60.78,59.5267,60.7733,480450
2023-06-06,60.5467,62.4667,60.4667,62.0333,389850
2023-06-07,62.0333,64.0667,62.0333,63.72,381900
2023-06-08,63.22,63.7733,62.8867,63.42,585000
2023-06-09,63.42,64.3267,62.9733,63.68,798150
2023-06-12,63.82,64.02,63.0933,63.4467,261150
2023-06-13,63.6267,64.9867,63.5,64.44,1014450
2023-06-14,64.7333,65.02,62.76,63.0667,453150
2023-06-15,62.8333,63.2,62.1067,62.5667,349800
2023-06-16,63.1867,63.98,62.4733,63.8667,852750
2023-06-20,63.8667,65.1733,63.6333,64.6933,409350
2023-06-21,64.6667,66.9733,64.3533,66.7,599850
2023-06-22,66.7467,66.8467,64.74,64.8133,455250
2023-06-23,63.8067,64.9,63.18,63.56,724350
2023-06-26,63.3067,64.5467,63.1733,63.7267,252900
2023-06-27,63.74,65.0667,63.74,64.26,495600
2023-06-28,64.1733,64.6133,63.4267,63.4933,435450
2023-06-29,63.5267,64.2867,63.5267,63.6933,279900
2023-06-30,63.9933,63.9933,62.8667,63.2067,425700
2023-07-03,62.88,64.14,62.7,63.88,130350
2023-07-05,63.5867,63.5867,61.7867,62.2267,367050
2023-07-06,61.9133,61.9133,60.6533,61.5267,255300
2023-07-07,62.9733,63.3933,62.1333,62.96,523200
2023-07-10,63.08,64.2133,62.64,63.4533,317550
2023-07-11,63.4067,64.0533,63.1133,63.4133,304200
2023-07-12,64.2,65.5133,63.5667,64.66,393150
2023-07-13,65.0067,65.4133,64.08,64.9333,254700
2023-07-14,65.0667,66.54,64.4533,66.3,346800
2023-07-17,66.3733,69.84,66.3733,69.2133,507000
2023-07-18,69.8933,70.7267,68.56,69.9333,397950
2023-07-19,70.28,70.4267,68.2533,69.0133,271050
2023-07-20,69.0867,69.2133,67.5333,68.2467,268050
2023-07-21,68.6667,69.0467,67.1933,67.36,308850
2023-07-24,67.4267,69.3133,67.34,67.9267,386850
2023-07-25,67.44,67.9933,66.0467,67.4467,385500
2023-07-26,67.34,69.4467,66.6133,67.3933,489150
2023-07-27,67.6667,68.0,65.6133,66.68,408000
2023-07-28,67.3067,68.8,67.2,68.68,341100
2023-07-31,68.9067,70.56,68.14,70.1733,715800
2023-08-01,69.8733,71.38,69.32,70.9867,649500
2023-08-02,69.94,71.3933,69.7067,71.0267,428700
2023-08-03,70.08,70.5267,68.02,69.42,1045650
2023-08-04,69.4,69.98,63.8333,65.3333,1152000
2023-08-07,65.4,65.96,62.7333,62.9667,758550
2023-08-08,62.2,64.36,61.6667,64.26,533850
