Date,Open,High,Low,Close,Volume
2023-01-13,189.7,191.48,185.89,189.05,139700
2023-01-17,185.35,188.81,184.19,186.19,132400
2023-01-18,186.86,191.46,184.17,184.34,104800
2023-01-19,182.89,184.07,178.87,184.04,145000
2023-01-20,185.62,190.03,184.93,189.96,97600
2023-01-23,190.99,192.24,188.77,191.84,94700
2023-01-24,189.88,191.86,188.68,189.04,93800
2023-01-25,187.15,194.48,186.56,193.64,158500
2023-01-26,195.0,202.72,195.0,200.63,342300
2023-01-27,204.85,217.31,201.98,214.84,445500
2023-01-30,211.75,219.92,211.75,214.18,245200
2023-01-31,215.47,223.29,215.47,220.0,396000
2023-02-01,219.37,234.01,219.37,231.64,359700
2023-02-02,235.84,253.67,234.67,241.71,1012700
2023-02-03,237.45,251.76,236.9,243.13,464300
2023-02-06,242.95,244.16,234.61,236.0,298100
2023-02-07,234.29,236.0,229.1,235.92,323900
2023-02-08,233.78,237.06,231.99,232.32,175800
2023-02-09,234.12,236.06,230.36,231.45,179600
2023-02-10,228.99,233.18,227.22,231.51,187200
2023-02-13,230.59,232.87,229.25,232.24,152000
2023-02-14,231.73,234.99,230.21,233.19,186200
2023-02-15,228.67,234.41,227.57,234.12,256000
2023-02-16,229.7,235.28,226.6,233.51,211900
2023-02-17,235.72,242.93,232.7,241.52,416800
2023-02-21,240.38,240.38,222.02,223.29,240200
2023-02-22,223.45,231.76,223.45,228.98,276400
2023-02-23,229.81,230.95,225.8,229.39,176700
2023-02-24,224.7,225.21,219.26,221.24,248300
2023-02-27,224.03,227.11,223.64,227.0,192900
2023-02-28,227.19,230.87,226.48,227.1,225700
2023-03-01,225.54,233.12,225.5,232.85,205700
2023-03-02,230.88,233.95,229.46,232.75,120700
2023-03-03,234.55,241.3,233.81,238.02,381200
2023-03-06,236.31,240.5,233.1,235.44,281800
2023-03-07,235.25,240.95,234.8,235.48,169500
2023-03-08,236.21,239.92,234.34,234.7,174500
2023-03-09,235.34,237.42,231.61,234.74,292300
2023-03-10,232.49,232.49,223.37,225.24,287500
2023-03-13,218.81,219.98,207.19,207.47,544300
2023-03-14,214.05,216.46,198.99,201.6,340600
2023-03-15,194.2,199.42,189.07,199.29,353400
2023-03-16,195.17,203.13,193.88,202.94,324400
2023-03-17,200.88,200.88,190.76,196.04,693000
2023-03-20,198.96,205.92,197.49,200.24,222400
2023-03-21,206.49,210.29,203.3,204.25,204800
2023-03-22,204.63,206.39,198.75,198.76,164000
2023-03-23,199.99,202.52,195.0,197.96,243800
2023-03-24,195.61,199.1,191.09,198.36,138400
2023-03-27,201.34,201.34,197.89,198.54,170400
2023-03-28,198.36,201.52,196.32,199.39,194600
2023-03-29,200.51,200.51,196.91,199.65,316600
2023-03-30,203.12,207.86,201.58,206.46,208200
2023-03-31,208.54,210.78,208.43,210.0,182900
2023-04-03,209.99,211.69,206.01,209.98,187100
2023-04-04,211.46,211.46,200.73,203.46,256700
2023-04-05,200.8,201.0,192.5,194.67,192000
2023-04-06,194.85,197.57,192.98,193.54,160000
2023-04-10,193.14,200.2,191.56,196.46,154700
2023-04-11,199.97,206.0,199.36,205.36,269000
2023-04-12,207.83,207.95,200.21,203.77,184800
2023-04-13,206.05,207.36,202.71,205.27,166800
2023-04-14,206.81,210.07,204.86,208.27,153400
2023-04-17,208.5,209.71,200.96,204.63,155500
2023-04-18,206.21,210.76,204.0,208.08,212000
2023-04-19,204.82,208.01,200.88,206.3,164600
2023-04-20,203.6,207.33,201.36,204.88,224500
2023-04-21,204.28,204.39,201.0,203.93,178700
2023-04-24,203.19,209.03,203.19,206.87,331000
2023-04-25,205.88,205.88,186.34,187.64,563200
2023-04-26,186.12,193.92,184.79,186.03,380100
2023-04-27,185.2,194.22,184.03,193.19,250200
2023-04-28,191.93,197.27,191.61,193.46,198400
2023-05-01,194.77,200.62,194.6,198.33,254000
2023-05-02,196.43,196.77,190.15,196.07,255200
2023-05-03,195.7,198.5,190.84,191.82,290300
2023-05-04,189.98,191.23,186.72,189.41,228300
2023-05-05,192.5,198.56,191.75,196.93,234200
2023-05-08,198.0,204.76,196.49,201.88,265600
2023-05-09,199.9,205.06,198.43,202.07,207800
2023-05-10,206.25,208.47,203.1,204.18,191900
2023-05-11,201.55,205.54,201.4,203.61,206100
2023-05-12,205.35,205.47,198.25,199.47,251100
2023-05-15,199.91,204.47,196.41,202.06,249900
2023-05-16,198.57,201.42,195.5,197.53,280900
2023-05-17,199.69,207.28,196.59,205.67,235900
2023-05-18,205.22,208.97,204.2,208.76,111300
2023-05-19,209.86,209.86,203.82,204.23,184400
2023-05-22,205.57,206.24,202.08,204.35,141400
2023-05-23,203.45,210.66,202.21,206.4,202800
2023-05-24,206.69,206.69,201.77,203.05,114000
2023-05-25,203.06,205.65,197.53,201.04,113200
2023-05-26,210.04,214.07,206.09,212.6,169000
2023-05-30,213.3,216.48,211.67,216.47,149900
2023-05-31,212.23,214.9,207.32,209.11,474200
2023-06-01,208.62,208.69,204.88,204.89,189600
2023-06-02,207.89,220.0,207.39,218.49,193300
2023-06-05,215.62,216.78,208.44,210.96,146100
2023-06-06,211.68,221.58,211.68,220.16,225300
2023-06-07,223.41,230.91,222.29,230.1,297300
