Date,Open,High,Low,Close,Volume
2023-01-13,14.01,14.33,14.01,14.3,1066900
2023-01-17,14.25,14.43,14.19,14.24,1537900
2023-01-18,14.33,14.39,14.12,14.17,1251400
2023-01-19,14.01,14.17,13.95,14.17,1148400
2023-01-20,14.2,14.31,14.02,14.27,1304600
2023-01-23,14.3,14.48,14.29,14.4,1159800
2023-01-24,14.25,14.49,14.25,14.36,899700
2023-01-25,14.33,14.5,14.23,14.46,1173300
2023-01-26,14.55,14.71,14.5,14.67,1195000
2023-01-27,14.74,14.92,14.65,14.89,1533700
2023-01-30,14.8,14.85,14.53,14.61,1518400
2023-01-31,14.7,15.01,14.7,14.93,1837300
2023-02-01,14.93,15.26,14.86,15.16,2274800
2023-02-02,15.31,15.39,15.14,15.34,1973400
2023-02-03,15.15,15.37,15.02,15.31,1502400
2023-02-06,15.25,15.25,14.72,14.83,2069100
2023-02-07,14.82,15.21,14.75,15.12,2557700
2023-02-08,15.11,15.15,14.86,14.87,1950300
2023-02-09,15.0,15.06,14.34,14.44,2750400
2023-02-10,14.46,14.65,14.37,14.65,2154300
2023-02-13,14.7,15.07,14.66,15.0,1865700
2023-02-14,14.95,14.98,14.72,14.89,1312400
2023-02-15,14.78,15.03,14.73,15.0,1312000
2023-02-16,14.83,15.0,14.79,14.89,2194100
2023-02-17,15.21,15.63,14.91,15.54,3524200
2023-02-21,15.45,15.55,15.2,15.3,3598300
2023-02-22,15.33,15.53,15.25,15.29,3500700
2023-02-23,15.43,15.45,15.16,15.36,1968300
2023-02-24,15.25,15.33,15.15,15.28,1982600
2023-02-27,15.42,15.51,15.03,15.13,2703700
2023-02-28,15.15,15.32,15.03,15.08,4120100
2023-03-01,15.07,15.1,14.79,14.99,3320400
2023-03-02,14.66,15.0,14.59,14.97,3548000
2023-03-03,15.0,15.19,14.97,15.07,3478200
2023-03-06,15.18,15.3,15.11,15.24,3569400
2023-03-07,15.25,15.33,14.94,15.04,2342600
2023-03-08,15.1,15.12,14.52,14.8,2911000
2023-03-09,14.82,14.83,14.09,14.11,3758800
2023-03-10,13.59,13.65,12.93,13.15,5387200
2023-03-13,12.85,13.23,12.31,12.99,5768300
2023-03-14,13.28,13.44,11.74,12.12,15547900
2023-03-15,11.51,11.61,11.08,11.53,10201300
2023-03-16,11.6,11.8,11.37,11.5,4648800
2023-03-17,11.79,11.79,11.07,11.19,7068600
