Date,Open,High,Low,Close,Volume
2023-01-13,18.15,18.77,18.15,18.4,1592000
2023-01-17,18.28,18.33,17.76,18.05,1044400
2023-01-18,18.12,18.49,17.89,17.97,1276700
2023-01-19,17.85,18.5,17.85,18.48,968800
2023-01-20,18.67,19.38,18.53,19.35,1988100
2023-01-23,19.38,19.74,18.96,19.09,2509700
2023-01-24,19.01,19.54,18.88,19.0,915200
2023-01-25,18.85,19.18,18.4,18.69,943900
2023-01-26,18.79,18.96,18.4,18.66,1382500
2023-01-27,18.57,18.77,18.39,18.57,935200
2023-01-30,18.55,18.73,18.42,18.53,1225300
2023-01-31,18.64,19.06,18.64,19.03,1016200
2023-02-01,18.97,19.15,18.76,18.93,1246500
2023-02-02,19.0,19.93,18.95,19.91,1365900
2023-02-03,19.54,20.11,19.53,19.83,1232900
2023-02-06,19.75,20.02,19.73,19.85,1088000
2023-02-07,19.82,20.18,19.74,20.11,1318400
2023-02-08,19.94,20.13,19.72,19.72,1647700
2023-02-09,19.97,20.0,19.03,19.13,1310800
2023-02-10,19.1,19.2,18.91,18.97,731400
2023-02-13,18.96,19.38,18.81,19.18,590800
2023-02-14,19.16,19.45,18.92,19.1,939400
2023-02-15,18.99,19.3,18.64,18.97,1039000
2023-02-16,18.85,18.9,18.65,18.71,1614300
2023-02-17,18.78,19.39,18.52,19.37,1361400
2023-02-21,19.06,19.16,18.6,18.62,1628900
2023-02-22,18.65,18.98,18.63,18.96,1163700
2023-02-23,18.97,19.21,18.6,19.1,1006400
2023-02-24,18.78,19.02,18.77,18.92,1205300
2023-02-27,19.14,19.45,19.03,19.4,1757800
2023-02-28,19.85,21.87,19.35,20.69,3622600
2023-03-01,20.79,21.29,20.5,20.92,2276200
2023-03-02,20.82,20.91,20.05,20.29,2040800
2023-03-03,20.51,20.54,19.97,20.34,2014200
2023-03-06,20.42,20.69,19.96,20.63,1778400
2023-03-07,20.69,20.82,20.32,20.36,1532800
2023-03-08,20.46,20.82,20.11,20.77,1433900
2023-03-09,20.86,21.02,20.21,20.51,1557900
2023-03-10,20.81,20.81,19.97,20.37,2390100
2023-03-13,20.07,20.15,18.73,19.41,6512900
2023-03-14,20.07,20.78,19.75,20.38,3425800
2023-03-15,20.09,20.21,19.4,19.85,2102000
2023-03-16,19.8,20.83,19.47,20.62,1774900
2023-03-17,20.43,20.43,19.72,19.8,4753300
2023-03-20,19.99,20.25,19.76,19.76,1361200
2023-03-21,19.9,20.03,19.33,19.45,1367400
2023-03-22,19.39,19.39,18.48,18.5,1461700
2023-03-23,18.72,18.85,18.11,18.32,1155800
2023-03-24,18.21,18.31,17.93,18.24,1408500
2023-03-27,18.42,18.72,18.16,18.6,1018200
2023-03-28,18.53,18.71,18.26,18.43,772400
2023-03-29,18.51,18.99,18.39,18.98,1127100
2023-03-30,19.1,19.1,18.4,18.7,1495400
2023-03-31,18.89,19.1,18.65,18.82,1539200
2023-04-03,18.68,19.07,18.66,18.93,691100
2023-04-04,19.03,19.14,18.2,18.48,2253400
2023-04-05,18.44,18.7,18.24,18.28,882200
2023-04-06,18.16,18.47,18.12,18.35,1266400
2023-04-10,18.14,18.17,17.71,17.8,987500
2023-04-11,17.78,18.22,17.78,18.09,1691300
2023-04-12,18.31,18.55,18.14,18.34,1181800
2023-04-13,18.46,18.88,18.33,18.52,1523700
2023-04-14,18.48,18.48,17.75,17.99,1451900
2023-04-17,18.13,19.46,18.08,19.37,2192800
2023-04-18,19.49,19.82,19.05,19.72,1810300
2023-04-19,19.64,20.17,19.53,20.02,1290900
2023-04-20,19.99,20.41,19.66,19.97,1125100
2023-04-21,19.92,20.12,19.71,20.09,1007600
2023-04-24,20.08,20.19,19.9,20.14,668300
2023-04-25,20.13,20.3,19.93,20.11,938300
2023-04-26,20.05,20.43,19.9,20.31,980000
2023-04-27,20.39,20.62,20.14,20.5,886600
2023-04-28,20.51,21.49,20.41,21.33,1440600
2023-05-01,21.18,21.86,21.16,21.75,1238500
2023-05-02,21.62,21.9,21.27,21.38,1313100
2023-05-03,21.46,21.85,21.08,21.2,1614400
2023-05-04,21.06,21.69,20.63,21.55,1135500
2023-05-05,21.66,22.04,21.25,21.93,1147800
2023-05-08,22.07,22.12,21.4,21.55,2045100
2023-05-09,21.59,21.7,20.42,21.43,1790600
2023-05-10,21.71,21.91,21.34,21.65,1769700
2023-05-11,21.63,21.71,21.18,21.34,1340700
2023-05-12,21.35,21.53,21.14,21.47,922800
2023-05-15,21.55,22.15,21.47,22.12,840600
2023-05-16,21.79,22.04,21.59,21.88,2057100
2023-05-17,21.99,22.78,21.99,22.68,1264100
2023-05-18,22.5,23.23,22.39,23.2,1516100
2023-05-19,23.52,24.32,23.48,24.31,1838000
2023-05-22,24.32,24.85,24.0,24.8,1470100
2023-05-23,24.77,25.73,24.64,25.54,1750700
2023-05-24,25.42,25.67,25.03,25.65,2157800
2023-05-25,26.0,26.04,24.05,24.45,2244300
2023-05-26,24.39,24.8,24.35,24.78,1208300
