Date,Open,High,Low,Close,Volume
2023-01-13,26.83,27.04,26.7,26.88,521200
2023-01-17,26.88,27.13,26.64,27.01,760600
2023-01-18,27.19,27.64,26.21,26.38,977400
2023-01-19,26.5,28.55,26.44,28.46,2323100
2023-01-20,28.62,29.08,28.24,28.99,1620200
2023-01-23,28.99,29.14,28.76,28.8,871300
2023-01-24,28.77,28.98,27.89,27.96,532300
2023-01-25,27.68,28.01,27.56,27.81,740400
2023-01-26,28.08,28.11,27.45,27.74,575300
2023-01-27,27.64,28.28,27.47,27.86,852400
2023-01-30,27.4,27.99,26.9,27.79,477900
2023-01-31,27.72,27.98,27.52,27.93,744300
2023-02-01,27.92,28.32,27.53,28.2,598300
2023-02-02,28.48,28.9,28.32,28.44,807300
2023-02-03,28.15,28.51,28.1,28.16,604500
2023-02-06,27.94,28.22,27.83,27.95,445000
2023-02-07,27.85,28.83,27.85,28.77,556700
2023-02-08,28.55,28.62,27.71,27.85,438800
2023-02-09,28.14,28.25,27.23,27.3,490800
2023-02-10,27.22,27.5,27.01,27.41,319500
2023-02-13,27.48,27.48,27.03,27.23,371400
2023-02-14,27.18,27.49,26.8,26.83,434200
2023-02-15,26.62,27.18,26.5,26.96,323800
2023-02-16,26.6,26.89,26.5,26.59,367900
2023-02-17,26.54,26.54,25.87,25.99,820300
2023-02-21,25.69,26.0,25.5,25.73,663100
2023-02-22,25.81,26.09,25.7,26.07,666000
2023-02-23,26.28,26.48,25.8,26.15,620800
2023-02-24,25.72,26.2,25.7,26.1,616000
2023-02-27,26.26,26.39,26.01,26.07,696400
2023-02-28,25.95,26.2,25.84,25.85,739500
2023-03-01,26.42,27.23,25.37,25.8,782000
2023-03-02,26.04,26.21,25.6,26.0,961100
2023-03-03,26.29,26.29,25.85,25.87,748300
2023-03-06,25.85,26.11,25.57,25.67,419300
2023-03-07,25.71,25.8,25.06,25.2,490500
2023-03-08,25.25,25.5,25.13,25.49,447700
2023-03-09,25.47,25.52,24.64,24.68,600500
2023-03-10,24.5,24.52,23.51,23.76,685000
2023-03-13,23.45,23.71,22.95,22.98,795500
2023-03-14,23.51,23.81,23.14,23.48,778000
2023-03-15,22.92,23.18,22.54,22.7,918100
2023-03-16,22.44,26.5,22.33,25.78,3411000
2023-03-17,25.65,27.28,25.65,26.94,3891500
2023-03-20,26.99,27.16,26.08,26.15,1188500
2023-03-21,26.4,26.57,25.79,26.2,863200
2023-03-22,26.14,26.42,25.55,25.57,898200
2023-03-23,25.64,26.03,24.94,24.96,967100
2023-03-24,24.66,25.33,24.66,25.27,1420800
2023-03-27,25.41,26.33,25.4,26.26,539600
2023-03-28,26.06,26.09,25.72,25.93,725900
2023-03-29,26.06,26.41,25.92,26.24,565200
2023-03-30,26.44,26.54,26.26,26.32,382300
2023-03-31,26.43,27.07,26.35,26.98,1992800
2023-04-03,26.82,27.11,26.21,26.53,494500
2023-04-04,26.59,26.78,25.97,26.18,550300
2023-04-05,26.05,26.09,25.68,25.9,465800
2023-04-06,25.95,26.17,25.65,26.06,457700
2023-04-10,25.96,26.75,25.7,26.12,463600
2023-04-11,26.11,26.53,26.08,26.37,278300
2023-04-12,26.55,26.55,25.5,25.64,381800
2023-04-13,25.78,25.91,25.55,25.89,375300
2023-04-14,25.92,26.17,25.41,26.09,508800
2023-04-17,26.08,26.32,25.82,26.23,411500
2023-04-18,26.26,26.44,25.79,26.07,496300
2023-04-19,25.88,25.98,25.72,25.86,221800
2023-04-20,25.67,25.88,25.55,25.64,260400
2023-04-21,25.73,25.89,25.56,25.61,331800
2023-04-24,25.67,25.84,24.75,24.83,475500
2023-04-25,24.63,24.63,24.11,24.19,500200
2023-04-26,24.17,24.34,23.94,24.09,406700
2023-04-27,24.27,24.84,24.22,24.7,418500
2023-04-28,24.62,25.58,24.6,25.33,716700
2023-05-01,25.24,25.55,25.11,25.33,577600
2023-05-02,25.29,25.29,24.5,24.7,660000
2023-05-03,24.82,25.27,24.58,24.62,702000
2023-05-04,23.11,24.69,23.11,23.95,945600
2023-05-05,24.35,24.52,24.09,24.34,466200
2023-05-08,24.31,24.38,23.9,24.36,438100
2023-05-09,24.31,24.31,23.64,23.95,547100
2023-05-10,24.35,24.92,23.87,24.49,1045100
2023-05-11,24.4,25.42,24.39,25.03,869300
2023-05-12,25.04,25.41,24.74,25.16,1016500
2023-05-15,25.14,25.31,24.94,24.99,558900
2023-05-16,24.83,25.06,23.96,24.21,810000
2023-05-17,24.27,24.51,23.92,24.4,614500
2023-05-18,24.28,24.59,24.03,24.54,825000
2023-05-19,24.75,24.75,24.28,24.33,624100
2023-05-22,24.29,24.38,23.89,24.0,595500
2023-05-23,23.89,24.66,23.85,23.95,462100
2023-05-24,23.81,24.13,23.21,23.24,431500
2023-05-25,23.23,23.53,22.8,23.02,429700
2023-05-26,22.99,23.77,22.88,23.58,319600
2023-05-30,23.69,23.72,22.72,22.78,614200
2023-05-31,22.43,22.9,22.14,22.81,1820900
2023-06-01,22.75,23.4,22.56,22.74,538400
2023-06-02,22.94,23.75,22.81,23.69,737100
2023-06-05,23.34,23.57,22.91,22.94,514700
2023-06-06,22.82,23.84,22.82,23.66,626400
2023-06-07,23.75,24.56,23.75,24.14,679300
2023-06-08,24.07,24.07,23.21,23.26,605400
2023-06-09,23.96,24.0,22.91,23.55,948300
2023-06-12,23.54,23.86,23.37,23.57,483300
2023-06-13,23.7,23.95,23.2,23.29,624600
2023-06-14,23.3,23.72,22.77,22.92,584500
2023-06-15,22.86,23.15,22.61,23.15,857300
2023-06-16,23.48,23.48,22.77,22.91,2412200
2023-06-20,22.8,22.92,22.48,22.5,1129400
2023-06-21,22.36,22.39,21.92,21.97,1167200
2023-06-22,21.89,22.09,21.77,21.93,616200
2023-06-23,21.72,21.93,21.6,21.65,1317600
2023-06-26,21.6,21.89,21.54,21.56,331100
2023-06-27,21.63,22.02,21.49,21.96,444900
2023-06-28,21.93,22.49,21.66,22.45,617100
2023-06-29,22.47,23.33,22.46,23.18,677300
2023-06-30,23.33,23.57,23.1,23.17,717800
2023-07-03,23.1,23.38,23.0,23.3,175200
2023-07-05,23.16,23.37,22.88,23.02,506300
2023-07-06,22.84,23.04,22.32,22.73,363900
2023-07-07,22.69,23.15,22.69,22.83,353100
2023-07-10,22.7,23.1,22.34,22.44,645400
2023-07-11,22.53,22.75,22.49,22.62,466000
2023-07-12,23.04,23.9,22.99,23.81,594500
2023-07-13,23.84,24.37,23.84,24.23,374900
2023-07-14,24.16,24.2,23.74,24.1,443300
2023-07-17,24.05,24.46,24.02,24.25,415100
2023-07-18,24.24,24.65,24.11,24.34,293600
2023-07-19,24.44,24.64,24.21,24.33,313800
2023-07-20,24.38,24.56,23.94,23.98,339400
2023-07-21,24.05,24.09,23.12,23.2,541500
2023-07-24,23.2,23.44,23.03,23.31,339300
2023-07-25,23.27,23.53,23.13,23.42,301500
2023-07-26,23.35,23.55,23.05,23.34,436800
2023-07-27,23.63,23.72,22.58,22.75,668800
2023-07-28,22.97,23.15,22.76,22.87,431500
2023-07-31,22.91,23.36,22.91,23.19,636000
2023-08-01,23.09,23.3,22.84,23.3,366200
2023-08-02,23.05,23.15,22.56,22.61,396500
2023-08-03,23.3,24.01,22.59,23.8,525500
2023-08-04,23.84,24.21,23.46,23.87,911500
2023-08-07,23.91,24.25,23.8,24.18,304300
2023-08-08,23.79,23.82,23.19,23.75,486900
2023-08-09,23.71,23.81,23.29,23.65,567000
2023-08-10,23.86,24.18,23.4,23.54,364300
2023-08-11,23.35,23.61,23.31,23.51,319800
2023-08-14,23.34,23.75,23.3,23.7,251100
2023-08-15,23.55,23.64,23.38,23.51,236500
2023-08-16,23.43,23.56,23.21,23.24,240400
2023-08-17,23.25,23.41,22.6,22.69,451200
