Date,Open,High,Low,Close,Volume
2023-01-13,11.32,11.72,11.28,11.72,366150
2023-01-17,11.72,11.8,11.64,11.76,288350
2023-01-18,11.76,11.84,11.6,11.72,336425
2023-01-19,11.64,11.72,11.48,11.68,356575
2023-01-20,11.76,11.88,11.6,11.88,328125
2023-01-23,11.8,12.04,11.8,11.96,378775
2023-01-24,11.92,12.12,11.92,12.0,395325
2023-01-25,11.88,12.12,11.88,12.08,431975
2023-01-26,12.2,12.36,12.04,12.2,665600
2023-01-27,12.2,12.44,12.16,12.36,506400
2023-01-30,12.36,12.36,12.08,12.16,451750
2023-01-31,12.16,12.52,12.16,12.48,503425
2023-02-01,12.48,12.84,12.44,12.68,652125
2023-02-02,12.8,12.96,12.68,12.76,706350
2023-02-03,12.64,12.76,12.52,12.64,570975
2023-02-06,12.56,12.6,12.2,12.2,420425
2023-02-07,12.08,12.32,11.96,12.24,421500
2023-02-08,12.24,12.28,11.96,12.04,311175
2023-02-09,12.2,12.36,11.76,11.76,536200
2023-02-10,11.68,11.88,11.68,11.84,258725
2023-02-13,11.84,12.08,11.72,12.04,219850
2023-02-14,11.92,12.0,11.72,11.8,307150
2023-02-15,11.8,11.96,11.68,11.96,244425
2023-02-16,11.88,11.92,11.76,11.88,253250
2023-02-17,12.0,12.0,11.72,12.0,311125
2023-02-21,11.8,12.0,11.48,11.48,449525
2023-02-22,11.64,11.72,11.4,11.4,624725
2023-02-23,11.16,11.28,10.6,10.92,1170600
2023-02-24,10.72,10.8,10.4,10.52,1066425
2023-02-27,10.52,10.72,10.48,10.64,521200
2023-02-28,10.68,10.8,10.64,10.68,661925
2023-03-01,10.52,10.68,10.24,10.32,615950
2023-03-02,10.04,10.2,9.96,10.08,757550
2023-03-03,10.16,10.24,10.04,10.16,465900
2023-03-06,10.12,10.32,9.96,10.0,506375
2023-03-07,10.04,10.08,9.8,9.8,442100
2023-03-08,9.76,9.76,9.48,9.6,845050
2023-03-09,9.41,9.58,9.09,9.17,1873000
2023-03-10,9.42,9.49,8.81,8.83,1662100
2023-03-13,8.72,9.17,8.45,8.95,1832100
2023-03-14,9.22,9.39,9.07,9.29,1170300
2023-03-15,9.15,9.31,8.84,9.15,1461300
2023-03-16,9.3,9.85,9.27,9.74,1617800
2023-03-17,9.22,9.26,8.76,8.94,3050400
2023-03-20,8.97,9.19,8.97,9.08,971900
2023-03-21,9.2,9.31,9.09,9.11,819000
2023-03-22,9.09,9.17,8.87,8.88,904100
2023-03-23,8.94,9.07,8.65,8.69,693700
2023-03-24,8.67,9.21,8.56,9.18,824300
2023-03-27,9.34,9.43,9.25,9.38,565700
2023-03-28,9.33,9.48,9.26,9.45,501000
2023-03-29,9.53,9.66,9.52,9.65,547800
2023-03-30,9.73,9.77,9.62,9.72,460400
2023-03-31,9.72,9.97,9.7,9.96,761900
2023-04-03,9.98,10.09,9.87,9.95,526400
2023-04-04,9.99,10.05,9.88,10.04,524400
2023-04-05,10.01,10.17,9.93,10.15,429000
2023-04-06,10.18,10.24,10.12,10.17,335300
2023-04-10,10.16,10.25,9.86,10.17,855500
2023-04-11,10.2,10.31,10.12,10.22,445600
2023-04-12,10.3,10.37,10.11,10.14,474300
2023-04-13,10.14,10.14,9.97,10.13,487300
2023-04-14,10.15,10.21,9.82,9.98,607400
2023-04-17,10.0,10.24,9.85,10.17,701600
2023-04-18,10.16,10.18,9.82,9.89,533200
2023-04-19,9.87,10.23,9.82,10.14,454800
2023-04-20,10.05,10.16,10.04,10.15,411200
2023-04-21,10.13,10.26,10.02,10.21,375600
2023-04-24,10.22,10.27,10.1,10.2,488800
2023-04-25,10.21,10.21,10.01,10.04,429900
2023-04-26,10.08,10.21,9.94,9.97,770500
2023-04-27,9.99,10.22,9.99,10.16,618300
2023-04-28,10.21,10.28,10.13,10.28,637500
2023-05-01,10.25,10.33,9.95,10.01,433700
2023-05-02,10.05,10.09,9.45,9.56,730600
2023-05-03,9.64,9.87,9.59,9.6,585500
2023-05-04,9.62,9.8,9.45,9.54,792700
2023-05-05,9.62,9.88,9.58,9.76,699700
2023-05-08,9.77,9.9,9.73,9.87,614100
2023-05-09,9.82,9.82,9.65,9.7,561500
2023-05-10,9.86,9.89,9.55,9.75,825900
2023-05-11,9.68,9.77,9.61,9.74,514800
2023-05-12,9.75,9.82,9.64,9.72,517700
2023-05-15,9.78,9.86,9.71,9.73,566800
2023-05-16,9.71,9.77,9.57,9.57,436500
2023-05-17,9.62,9.81,9.58,9.78,535200
2023-05-18,9.76,9.96,9.74,9.94,458000
2023-05-19,10.05,10.06,9.8,9.81,312100
2023-05-22,9.82,9.97,9.8,9.96,439100
2023-05-23,9.98,10.14,9.93,9.94,534200
2023-05-24,9.89,9.9,9.59,9.67,619700
2023-05-25,9.62,9.62,9.21,9.3,559000
2023-05-26,9.31,9.65,9.25,9.61,465700
2023-05-30,9.68,9.86,9.64,9.76,554100
2023-05-31,9.69,9.8,9.68,9.77,602800
2023-06-01,9.77,9.98,9.73,9.95,540900
2023-06-02,10.01,10.27,9.97,10.27,890300
2023-06-05,10.25,10.27,10.01,10.11,693100
2023-06-06,10.02,10.27,9.99,10.21,641300
2023-06-07,9.98,10.19,9.9,9.94,1321400
2023-06-08,9.93,10.07,9.82,10.05,597200
2023-06-09,10.05,10.06,9.9,9.96,437500
2023-06-12,9.95,10.1,9.9,10.04,639600
2023-06-13,10.13,10.19,10.04,10.1,911900
2023-06-14,10.18,10.2,10.02,10.12,879500
2023-06-15,9.81,9.98,9.81,9.98,700100
2023-06-16,10.0,10.02,9.81,9.94,2117800
2023-06-20,9.88,9.93,9.8,9.83,514100
2023-06-21,9.8,9.94,9.75,9.91,519000
2023-06-22,9.91,9.91,9.79,9.85,482000
2023-06-23,9.77,9.79,9.57,9.65,1115300
2023-06-26,9.62,9.83,9.62,9.77,424800
2023-06-27,9.79,9.91,9.75,9.91,482700
2023-06-28,9.91,9.96,9.84,9.95,383600
2023-06-29,9.9,9.96,9.89,9.93,384100
2023-06-30,9.98,10.01,9.91,9.92,570400
2023-07-03,9.92,10.02,9.89,9.93,253500
2023-07-05,9.91,9.91,9.76,9.76,455100
2023-07-06,9.66,9.7,9.38,9.53,623200
2023-07-07,9.53,9.74,9.53,9.68,440000
2023-07-10,9.65,9.98,9.65,9.95,511000
2023-07-11,9.98,10.04,9.94,10.0,345000
2023-07-12,10.06,10.17,10.05,10.15,654000
2023-07-13,10.15,10.32,10.12,10.18,466600
2023-07-14,10.19,10.2,10.06,10.19,413000
2023-07-17,10.18,10.24,10.09,10.21,414500
2023-07-18,10.2,10.4,10.2,10.31,476700
2023-07-19,10.31,10.47,10.31,10.43,420200
2023-07-20,10.41,10.46,10.24,10.33,533100
2023-07-21,10.4,10.43,10.32,10.34,388100
2023-07-24,10.37,10.51,10.35,10.39,489200
2023-07-25,10.37,10.51,10.33,10.44,325500
2023-07-26,10.48,10.59,10.45,10.49,456900
2023-07-27,10.52,10.63,10.29,10.3,819900
2023-07-28,10.38,10.44,10.29,10.34,440100
2023-07-31,10.35,10.39,10.07,10.15,675700
2023-08-01,10.15,10.15,10.0,10.07,471700
2023-08-02,10.06,10.06,9.94,10.04,462400
2023-08-03,9.95,10.02,9.02,9.07,1473100
2023-08-04,9.22,9.3,9.15,9.17,540200
2023-08-07,9.18,9.19,8.98,9.08,884800
2023-08-08,9.0,9.05,8.91,9.05,631000
2023-08-09,9.02,9.11,9.01,9.02,644200
2023-08-10,9.04,9.21,9.02,9.05,607400
2023-08-11,9.02,9.09,9.02,9.05,425300
2023-08-14,9.02,9.05,8.9,8.95,560800
2023-08-15,8.9,8.98,8.79,8.95,692300
2023-08-16,8.91,9.02,8.89,8.89,498900
2023-08-17,8.87,8.95,8.83,8.85,475300
2023-08-18,8.78,8.88,8.74,8.85,664300
2023-08-21,8.83,8.92,8.82,8.9,538900
2023-08-22,8.93,8.99,8.89,8.9,387300
2023-08-23,8.94,9.12,8.93,9.09,519100
2023-08-24,9.05,9.2,9.04,9.08,488700
2023-08-25,9.07,9.22,9.06,9.15,616400
2023-08-28,9.18,9.47,9.18,9.46,632600
2023-08-29,9.46,9.6,9.41,9.57,571700
2023-08-30,9.58,9.6,9.5,9.56,604600
2023-08-31,9.58,9.66,9.51,9.52,494600
2023-09-01,9.55,9.66,9.55,9.57,344700
2023-09-05,9.5,9.52,9.28,9.3,622800
2023-09-06,9.3,9.34,9.21,9.22,488800
2023-09-07,9.26,9.29,9.15,9.2,680900
2023-09-08,9.2,9.3,9.2,9.21,658700
2023-09-11,9.25,9.28,9.18,9.25,425600
2023-09-12,9.27,9.43,9.24,9.32,530800
2023-09-13,9.35,9.4,9.31,9.39,711100
2023-09-14,9.48,9.59,9.46,9.55,604800
2023-09-15,9.55,9.62,9.49,9.61,1751400
2023-09-18,9.67,9.68,9.55,9.59,871500
2023-09-19,9.6,9.66,9.54,9.59,888900
2023-09-20,9.26,9.33,9.05,9.05,1158800
2023-09-21,8.99,9.0,8.46,8.46,1158500
2023-09-22,8.47,8.75,8.45,8.72,650600
2023-09-25,8.65,8.77,8.6,8.63,836900
2023-09-26,8.59,8.59,8.4,8.4,851500
2023-09-27,8.44,8.48,8.3,8.34,523000
2023-09-28,8.33,8.47,8.28,8.44,591900
2023-09-29,8.48,8.64,8.45,8.49,680400
2023-10-02,8.44,8.46,8.26,8.33,904000
2023-10-03,8.3,8.34,8.04,8.15,875500
2023-10-04,8.21,8.22,7.94,8.14,699300
2023-10-05,8.11,8.29,8.04,8.23,555300
2023-10-06,8.2,8.34,8.14,8.32,755300
2023-10-09,8.26,8.62,8.23,8.57,495300
2023-10-10,8.58,8.67,8.56,8.61,583200
2023-10-11,8.63,8.77,8.63,8.76,375400
2023-10-12,8.74,8.76,8.51,8.6,319500
2023-10-13,8.68,8.68,8.41,8.43,613900
2023-10-16,8.47,8.62,8.44,8.6,581500
2023-10-17,8.52,8.59,8.49,8.51,507100
2023-10-18,8.46,8.49,8.23,8.24,433100
2023-10-19,8.25,8.25,7.88,7.89,1101900
2023-10-20,7.88,7.97,7.8,7.81,676000
2023-10-23,7.77,7.85,7.57,7.7,594000
2023-10-24,7.7,7.88,7.69,7.7,568900
2023-10-25,7.62,7.7,7.4,7.4,757300
2023-10-26,7.42,7.68,7.42,7.58,597800
2023-10-27,7.63,7.7,7.52,7.58,702500
2023-10-30,7.66,7.75,7.62,7.7,753800
2023-10-31,7.75,7.88,7.72,7.79,663200
2023-11-01,7.79,7.94,7.7,7.93,710000
2023-11-02,7.65,7.83,7.23,7.83,1198600
2023-11-03,7.93,8.14,7.93,8.0,812800
2023-11-06,8.0,8.05,7.84,7.9,701200
2023-11-07,7.92,8.0,7.79,7.99,469500
2023-11-08,8.0,8.0,7.88,7.98,318800
2023-11-09,8.0,8.05,7.8,7.83,420100
2023-11-10,7.89,7.93,7.83,7.93,577100
2023-11-13,7.88,7.89,7.77,7.8,364300
2023-11-14,7.95,8.32,7.95,8.32,774100
2023-11-15,8.3,8.46,8.27,8.45,741500
2023-11-16,8.44,8.49,8.31,8.38,653600
2023-11-17,8.47,8.57,8.45,8.57,997300
2023-11-20,8.57,8.69,8.48,8.63,642700
2023-11-21,8.56,8.66,8.52,8.59,482700
2023-11-22,8.64,8.71,8.6,8.63,373200
2023-11-24,8.62,8.68,8.58,8.6,137000
2023-11-27,8.6,8.64,8.53,8.64,474100
2023-11-28,8.62,8.68,8.46,8.65,543200
2023-11-29,8.72,8.91,8.71,8.86,601700
2023-11-30,8.89,8.92,8.78,8.79,519000
2023-12-01,8.79,9.17,8.77,9.16,866200
2023-12-04,9.11,9.24,9.11,9.2,481900
2023-12-05,9.2,9.2,9.05,9.11,372800
2023-12-06,9.11,9.17,8.93,8.95,577700
2023-12-07,8.97,8.97,8.83,8.94,511400
2023-12-08,8.9,8.99,8.88,8.94,534000
2023-12-11,8.93,8.94,8.79,8.8,774000
2023-12-12,8.78,8.99,8.73,8.93,543700
2023-12-13,8.9,9.43,8.89,9.37,1089300
2023-12-14,9.52,9.67,9.45,9.58,1320500
2023-12-15,8.89,8.97,8.45,8.53,8331800
2023-12-18,8.53,8.75,8.45,8.66,935400
2023-12-19,8.7,8.96,8.66,8.93,1030200
2023-12-20,8.91,9.02,8.71,8.71,1004700
2023-12-21,8.83,8.89,8.77,8.86,795900
2023-12-22,8.73,8.75,8.62,8.63,1081300
2023-12-26,8.62,8.73,8.61,8.7,684000
2023-12-27,8.7,8.75,8.66,8.73,619000
2023-12-28,8.7,8.75,8.65,8.69,707600
2023-12-29,8.67,8.67,8.52,8.53,891600
2024-01-02,8.5,8.51,8.3,8.34,675400
2024-01-03,8.27,8.27,8.11,8.16,570000
2024-01-04,8.14,8.22,8.1,8.19,524300
2024-01-05,8.16,8.29,8.11,8.25,369100
2024-01-08,8.27,8.48,8.24,8.47,453100
2024-01-09,8.37,8.47,8.34,8.43,346100
2024-01-10,8.43,8.52,8.4,8.46,477300
2024-01-11,8.42,8.42,8.22,8.35,385000
2024-01-12,8.4,8.61,8.4,8.45,440500
2024-01-16,8.37,8.42,8.17,8.27,492600
2024-01-17,8.11,8.22,8.02,8.07,411400
2024-01-18,8.11,8.16,8.01,8.15,505500
2024-01-19,8.2,8.31,8.05,8.31,503600
2024-01-22,8.34,8.43,8.25,8.3,497100
2024-01-23,8.38,8.38,8.27,8.34,365900
2024-01-24,8.41,8.46,8.22,8.23,431800
2024-01-25,8.33,8.4,8.29,8.4,389200
2024-01-26,8.47,8.51,8.36,8.38,421700
2024-01-29,8.36,8.48,8.32,8.47,487100
2024-01-30,8.42,8.43,8.17,8.18,484800
2024-01-31,8.16,8.17,7.84,7.84,572200
2024-02-01,7.89,7.99,7.73,7.97,657300
2024-02-02,7.88,7.88,7.71,7.71,644400
2024-02-05,7.61,7.61,7.38,7.54,839100
2024-02-06,7.5,7.61,7.45,7.56,525900
2024-02-07,7.55,7.55,7.27,7.35,954200
2024-02-08,7.33,7.45,7.29,7.38,561200
2024-02-09,7.39,7.55,7.36,7.54,599100
2024-02-12,7.55,7.68,7.54,7.66,463800
2024-02-13,7.42,7.42,7.16,7.18,716600
2024-02-14,7.24,7.25,7.12,7.14,671300
2024-02-15,7.2,7.59,7.2,7.53,872200
2024-02-16,7.43,7.64,7.35,7.59,462600
2024-02-20,7.47,7.57,7.42,7.51,433100
2024-02-21,7.51,7.52,7.34,7.39,579700
2024-02-22,7.47,7.49,7.18,7.23,947100
2024-02-23,7.2,7.37,7.12,7.34,814800
2024-02-26,7.31,7.35,7.07,7.1,631200
