Date,Open,High,Low,Close,Volume
2023-01-13,10.82,10.96,10.575,10.92,297577
2023-01-17,10.94,11.035,10.695,11.02,267647
2023-01-18,11.04,11.1,10.695,10.81,354867
2023-01-19,10.73,11.0,10.45,10.54,441831
2023-01-20,10.66,10.795,10.39,10.48,1229658
2023-01-23,10.48,11.005,10.48,10.86,740798
2023-01-24,10.78,10.905,10.63,10.79,306595
2023-01-25,10.7,10.96,10.61,10.95,404541
2023-01-26,11.0,11.35,10.9,11.33,733601
2023-01-27,11.31,11.61,11.11,11.14,401537
2023-01-30,10.98,11.16,10.85,10.96,356854
2023-01-31,10.96,11.12,10.86,10.95,721560
2023-02-01,11.01,11.39,10.92,11.22,705084
2023-02-02,11.26,11.66,10.88,11.03,592976
2023-02-03,10.88,11.335,10.88,11.18,612308
2023-02-06,11.16,11.205,10.57,10.7,521398
2023-02-07,10.69,11.11,10.57,11.07,452286
2023-02-08,11.02,11.11,10.93,11.1,340973
2023-02-09,11.11,11.35,10.68,10.77,315400
2023-02-10,10.76,11.09,10.74,11.07,261251
2023-02-13,11.08,11.21,10.98,11.02,259545
2023-02-14,10.99,11.12,10.77,10.79,256429
2023-02-15,10.73,11.13,10.675,11.12,326356
2023-02-16,11.0,11.21,10.765,10.81,321860
2023-02-17,10.87,10.87,10.54,10.6,411334
2023-02-21,10.39,10.53,10.012,10.18,406112
2023-02-22,10.21,10.55,10.2,10.41,706335
2023-02-23,10.42,11.05,10.21,10.65,731548
2023-02-24,10.51,10.58,10.115,10.2,432547
2023-02-27,10.2,10.33,9.75,9.76,503787
2023-02-28,9.83,9.94,9.6699,9.86,830106
2023-03-01,9.74,10.27,9.74,9.85,396011
2023-03-02,9.87,10.2182,9.7,9.86,339787
2023-03-03,9.94,10.0,9.73,9.83,402989
2023-03-06,9.62,9.695,9.33,9.42,801125
2023-03-07,9.4,9.4,8.96,9.22,1000548
2023-03-08,9.24,9.29,9.01,9.14,682826
2023-03-09,9.15,9.295,8.97,9.08,593245
2023-03-10,9.05,9.3,8.97,9.08,542374
2023-03-13,8.96,8.995,8.52,8.56,551722
2023-03-14,8.7,8.83,8.41,8.48,544334
2023-03-15,8.31,8.645,8.155,8.32,621204
2023-03-16,8.21,8.88,8.17,8.52,576832
2023-03-17,8.62,8.62,8.18,8.23,2938815
2023-03-20,8.33,8.51,8.27,8.32,585386
2023-03-21,8.46,8.63,8.13,8.36,496382
2023-03-22,8.37,8.41,8.1,8.1,431960
2023-03-23,8.12,8.38,8.03,8.04,344142
2023-03-24,7.96,8.1,7.89,8.05,354210
2023-03-27,8.13,8.44,8.09,8.4,512218
2023-03-28,8.35,8.38,8.165,8.37,505249
2023-03-29,8.37,8.56,8.3,8.49,512610
2023-03-30,8.46,8.6,8.43,8.585,309765
2023-03-31,8.65,8.87,8.64,8.86,570420
2023-04-03,8.87,8.92,8.53,8.74,451105
2023-04-04,8.73,8.8,8.1,8.36,430944
2023-04-05,8.32,8.43,8.24,8.3,425161
2023-04-06,8.33,8.33,8.015,8.06,409763
2023-04-10,8.03,8.28,7.9392,8.2,1179983
2023-04-11,8.23,8.2565,8.06,8.12,339387
2023-04-12,8.16,8.21,7.91,7.91,346124
2023-04-13,7.92,8.16,7.89,7.99,368722
2023-04-14,8.01,8.09,7.89,7.96,316248
2023-04-17,7.91,8.05,7.83,8.04,333235
2023-04-18,8.05,8.21,7.99,8.18,490827
2023-04-19,8.12,8.135,8.01,8.1,528755
2023-04-20,8.09,8.185,8.035,8.11,366540
