Date,Open,High,Low,Close,Volume
2026-07-30,22.0,22.0,21.0,21.0,1100
2026-07-31,19.9,20.12,19.9,20.12,400
2026-08-03,21.73,23.58,21.73,22.06,11700
2026-08-04,21.25,26.0,21.0,22.0,2805800
2026-08-05,22.67,25.75,22.01,24.98,1511000
2026-08-06,26.12,27.23,25.75,26.3,1272200
2026-08-07,26.31,27.46,26.31,27.03,819100
2026-08-10,28.34,28.91,27.18,28.27,3017800
2026-08-11,29.49,30.99,27.03,27.92,1507300
2026-08-12,28.62,29.18,25.02,25.24,1220300
2026-08-13,23.82,26.58,22.57,25.82,1925800
2026-08-14,25.56,25.56,21.17,21.24,2516800
2026-08-17,21.41,22.34,20.56,21.43,1689500
2026-08-18,21.15,21.67,20.21,20.5,1569300
2026-08-19,20.82,21.945,20.53,21.61,420680
