Date,Open,High,Low,Close,Volume
2023-01-13,15.62,15.78,15.26,15.41,4963900
2023-01-17,15.34,15.49,15.07,15.46,3384200
2023-01-18,15.49,15.82,15.09,15.12,2733500
2023-01-19,14.99,15.04,14.67,14.7,2850900
2023-01-20,14.66,15.01,14.48,14.91,2042800
2023-01-23,15.03,15.83,14.96,15.81,4126600
2023-01-24,15.72,15.78,15.46,15.66,2145200
2023-01-25,15.49,15.65,15.23,15.65,3051700
2023-01-26,15.89,16.1,15.46,15.86,2022500
2023-01-27,15.8,15.92,15.6,15.66,2495000
2023-01-30,15.56,15.77,15.43,15.59,3407000
2023-01-31,15.72,16.16,15.64,16.14,3650700
2023-02-01,16.08,16.7,15.99,16.51,3325000
2023-02-02,16.7,17.09,16.7,17.04,5752200
2023-02-03,16.85,16.99,16.45,16.5,3039100
2023-02-06,16.31,16.51,15.92,16.01,3539400
2023-02-07,15.82,16.31,15.71,16.26,2642700
2023-02-08,15.96,16.05,15.51,15.67,2819200
2023-02-09,15.92,16.18,15.53,15.54,2489100
2023-02-10,15.36,15.79,15.26,15.58,2324600
2023-02-13,15.58,16.08,15.43,16.02,2212000
2023-02-14,15.87,16.12,15.68,16.03,2074500
2023-02-15,15.32,15.75,15.01,15.56,4020600
2023-02-16,15.31,15.74,15.06,15.23,5705100
2023-02-17,15.25,15.69,14.93,15.58,3537200
2023-02-21,15.55,15.55,14.51,14.55,3485200
2023-02-22,14.73,15.0,14.58,14.76,2885200
2023-02-23,14.81,14.94,14.47,14.8,2718900
2023-02-24,14.58,14.69,14.37,14.63,2298600
2023-02-27,14.9,14.93,14.53,14.6,3296400
2023-02-28,14.58,14.66,14.25,14.37,4069400
2023-03-01,14.29,14.41,13.99,14.13,4884500
2023-03-02,14.33,15.0,14.12,14.3,11389500
2023-03-03,14.37,14.49,13.79,14.12,6815800
2023-03-06,14.09,14.28,13.42,13.58,4877500
2023-03-07,13.67,13.84,13.49,13.68,3498900
2023-03-08,13.69,14.12,13.66,14.06,5239500
2023-03-09,13.96,14.17,13.74,13.74,5153800
2023-03-10,13.54,13.67,13.12,13.32,3819300
2023-03-13,12.98,13.01,12.48,12.78,4334200
2023-03-14,13.17,13.49,13.06,13.24,4424400
2023-03-15,12.85,13.4,12.84,13.3,4745000
2023-03-16,13.08,13.46,12.98,13.39,2867900
2023-03-17,13.32,13.38,12.79,12.8,6875800
2023-03-20,13.01,13.25,12.81,13.01,3778000
2023-03-21,13.29,13.39,13.0,13.09,2448500
2023-03-22,13.17,13.24,12.85,12.86,4156700
2023-03-23,13.0,13.17,12.53,12.67,2869500
2023-03-24,12.51,13.03,12.45,12.93,3072500
2023-03-27,13.11,13.18,12.77,12.99,4229400
2023-03-28,13.09,13.32,13.02,13.11,2554900
2023-03-29,13.16,13.28,12.84,13.13,3828300
2023-03-30,13.38,13.44,13.16,13.17,2344300
2023-03-31,13.33,13.44,13.18,13.44,3314900
2023-04-03,13.48,13.72,13.37,13.54,3651800
2023-04-04,13.68,13.78,13.57,13.69,3211800
2023-04-05,13.48,13.79,13.39,13.74,4551500
2023-04-06,13.62,13.84,13.39,13.62,3886600
2023-04-10,13.56,14.27,13.56,14.01,3303400
2023-04-11,14.17,14.41,14.17,14.33,3381200
2023-04-12,14.37,14.48,13.31,13.41,5229400
2023-04-13,13.38,13.46,13.13,13.21,3969000
2023-04-14,13.34,13.91,13.26,13.63,5158600
2023-04-17,13.56,13.78,13.52,13.74,3546300
2023-04-18,13.8,13.88,13.46,13.56,2780600
2023-04-19,13.45,13.7,13.36,13.69,2384800
2023-04-20,13.57,13.7,13.23,13.48,2410200
2023-04-21,13.48,13.54,13.27,13.48,2637600
2023-04-24,13.44,13.74,13.38,13.73,2993100
