Date,Open,High,Low,Close,Volume
2023-02-13,43.5721,44.1609,42.1982,43.3759,115065
2023-02-14,43.1796,44.3572,42.1982,42.9833,142303
2023-02-15,42.9833,42.9833,41.2169,42.3945,143516
2023-02-16,42.002,42.5908,41.4132,41.8057,244086
2023-02-17,42.1982,43.3759,41.0206,42.9833,195592
2023-02-21,42.1982,42.9833,40.6281,40.6281,254404
2023-02-22,40.6281,41.8057,40.0393,40.2355,228276
2023-02-23,40.4318,41.4132,40.0393,41.0206,262265
2023-02-24,40.8243,40.8243,38.4691,38.8616,248504
2023-02-27,39.4504,40.0393,38.2728,38.6654,186905
2023-02-28,39.843,41.4132,39.0579,40.4318,294766
2023-03-01,40.2355,40.8243,37.2915,38.0765,269041
2023-03-02,37.4877,38.6654,37.4877,38.0765,260935
2023-03-03,38.6654,39.0579,37.4877,38.4691,218025
2023-03-06,38.4691,38.6654,35.7213,36.1138,200789
2023-03-07,36.1138,36.1138,33.7586,34.1511,382145
2023-03-08,34.7399,35.1325,32.9735,33.366,188174
2023-03-09,33.9549,34.7399,31.7959,32.3847,296830
2023-03-10,32.3847,32.7772,27.6742,29.4406,744838
2023-03-13,29.0481,34.1511,28.8518,33.5623,406622
2023-03-14,37.0952,38.2728,32.581,35.1325,412945
2023-03-15,34.7399,38.0765,33.7586,37.0952,310082
2023-03-16,37.4877,39.4504,35.9176,35.9176,323242
2023-03-17,35.7213,36.1138,32.9735,33.366,768005
2023-03-20,33.366,34.1511,31.9921,32.1884,204034
2023-03-21,31.7959,33.366,31.7959,31.9921,202638
2023-03-22,32.1884,32.1884,29.4406,29.8332,222886
2023-03-23,30.6183,30.6183,28.4593,29.0481,223523
2023-03-24,28.6555,29.8332,28.263,29.2444,254037
2023-03-27,29.4406,31.7959,29.0481,30.6183,256258
2023-03-28,31.4033,31.4033,28.6555,29.0481,213124
2023-03-29,29.2444,31.2071,29.0481,30.6183,202205
2023-03-30,30.6183,31.5996,28.263,28.4593,180618
2023-03-31,29.0481,30.422,28.4593,29.8332,188525
2023-04-03,29.8332,31.2071,29.4406,30.8145,278931
2023-04-04,31.0108,31.4033,28.6555,29.2444,226748
2023-04-05,29.0481,30.2257,27.8705,28.4593,151561
2023-04-06,28.4593,29.2444,27.6742,29.0481,146420
2023-04-10,28.8518,29.0481,26.4966,27.2816,212253
2023-04-11,27.4779,27.6742,26.3003,26.8891,207122
2023-04-12,26.8891,27.0854,25.5152,25.7115,133744
2023-04-13,25.7115,29.8332,25.7115,29.4406,366030
2023-04-14,29.4406,29.6369,27.4779,28.4593,147352
2023-04-17,29.6369,33.366,29.0481,32.9735,396957
2023-04-18,34.3474,35.3288,31.9921,33.366,370468
2023-04-19,33.366,36.5064,33.366,35.3288,300391
2023-04-20,34.7399,34.9362,32.1884,32.9735,294950
2023-04-21,32.3847,36.1138,32.3847,34.9362,312680
2023-04-24,35.3288,36.5064,33.1698,34.1511,317322
2023-04-25,33.7586,36.7026,31.9921,32.1884,354143
2023-04-26,32.2,33.2,31.4,31.6,157185
2023-04-27,31.8,32.2,29.8,30.0,171185
2023-04-28,30.0,31.2,29.8,30.2,246630
2023-05-01,30.2,30.8,29.4,30.2,263705
2023-05-02,30.6,30.8,28.0,28.2,249180
2023-05-03,28.6,30.6,28.0,29.8,401895
2023-05-04,30.6,31.2,29.6,30.6,402820
2023-05-05,31.0,32.4,30.8,31.4,283655
2023-05-08,32.0,32.8,31.0,31.8,228255
2023-05-09,31.4,31.8,28.6,30.0,183055
2023-05-10,30.4,32.4,29.6,30.8,144730
2023-05-11,30.4,30.4,27.6,28.0,327050
2023-05-12,28.6,28.8,27.6,28.4,134745
2023-05-15,28.6,31.0,27.6,30.4,199315
2023-05-16,30.0,30.2,27.6,28.0,192555
2023-05-17,28.0,29.8,27.0,29.4,211135
2023-05-18,29.0,30.0,27.6,28.4,234195
2023-05-19,29.0,29.4,27.8,28.0,114925
2023-05-22,28.2,30.0,28.0,29.8,186865
2023-05-23,29.2,32.0,29.2,30.4,219225
2023-05-24,30.2,30.4,27.8,28.0,187350
2023-05-25,28.6,28.8,27.2,28.2,277550
2023-05-26,29.0,29.0,27.4,29.0,160210
2023-05-30,29.0,30.0,28.4,29.2,169095
2023-05-31,29.4,31.4,28.6,31.2,305685
2023-06-01,30.8,32.6,29.8,31.8,157690
2023-06-02,32.0,32.8,31.0,32.0,165955
2023-06-05,32.2,35.8,31.6,34.6,420425
2023-06-06,35.2,37.6,34.6,37.0,423965
2023-06-07,38.4,39.2,36.8,37.6,252175
2023-06-08,38.0,41.8,36.6,40.8,453835
2023-06-09,41.2,42.6,38.8,39.8,612980
2023-06-12,39.8,41.2,37.0,40.0,449355
2023-06-13,40.2,40.4,38.6,39.2,426415
2023-06-14,39.0,40.0,35.4,36.6,645800
2023-06-15,36.4,36.8,35.2,36.2,219805
2023-06-16,36.2,36.4,34.6,35.4,1075010
2023-06-20,35.6,38.0,34.6,37.4,241840
2023-06-21,37.4,38.4,36.0,36.8,172765
2023-06-22,36.4,37.0,35.4,35.6,122045
2023-06-23,35.2,35.4,34.0,34.6,830355
2023-06-26,34.0,34.4,32.8,32.8,172320
2023-06-27,33.4,35.0,32.0,33.6,160635
2023-06-28,33.6,34.4,33.0,34.2,184065
2023-06-29,34.2,34.6,33.2,33.4,130685
2023-06-30,33.6,35.2,31.6,32.0,339055
2023-07-03,32.4,32.6,30.2,30.4,177840
2023-07-05,30.6,34.0,29.8,33.6,373800
2023-07-06,32.8,33.0,31.0,31.4,332245
2023-07-07,31.0,33.2,31.0,32.8,166365
2023-07-10,33.0,37.0,32.4,36.4,224205
2023-07-11,36.0,37.4,35.8,37.2,115650
2023-07-12,37.6,38.6,37.0,37.6,117450
2023-07-13,37.8,38.0,36.8,37.0,87160
2023-07-14,36.8,37.4,35.0,35.2,103880
2023-07-17,35.0,36.8,34.4,34.6,136855
2023-07-18,34.4,34.8,33.8,34.2,115940
2023-07-19,34.2,34.8,33.6,34.0,173920
2023-07-20,33.8,34.2,32.6,32.8,125435
2023-07-21,33.0,33.6,32.4,32.4,174015
2023-07-24,32.4,32.8,31.0,31.2,179930
2023-07-25,31.6,31.6,30.2,30.2,145985
2023-07-26,30.4,30.8,29.8,30.0,175690
2023-07-27,30.6,30.6,28.8,29.0,251750
2023-07-28,29.6,31.2,29.6,30.6,195285
2023-07-31,31.2,31.6,30.2,30.4,170085
2023-08-01,30.2,30.4,29.0,29.2,194415
2023-08-02,29.4,29.4,28.4,29.0,174505
2023-08-03,29.0,29.4,28.6,29.0,107040
2023-08-04,29.2,30.2,28.8,29.2,162660
2023-08-07,29.2,29.4,27.2,27.2,458900
2023-08-08,27.4,27.6,23.6,25.0,415655
2023-08-09,26.2,27.0,24.8,25.6,172965
2023-08-10,25.6,27.0,25.4,26.4,141095
2023-08-11,26.2,27.4,25.6,27.0,141605
2023-08-14,27.0,27.0,25.8,26.8,156595
2023-08-15,26.4,27.2,25.6,27.0,142540
2023-08-16,26.6,27.0,25.0,25.2,156485
2023-08-17,25.2,26.8,24.6,26.4,286625
2023-08-18,27.0,32.0,26.6,29.4,902860
2023-08-21,31.2,31.2,27.2,28.4,348205
2023-08-22,28.4,31.0,27.8,30.2,329545
2023-08-23,29.2,31.2,28.0,28.0,199930
2023-08-24,28.4,28.4,26.4,26.6,172840
2023-08-25,26.6,27.0,24.8,26.2,206620
2023-08-28,26.2,27.8,26.2,27.6,189595
2023-08-29,27.4,28.4,26.8,27.4,184320
2023-08-30,27.4,28.8,26.6,28.4,200925
2023-08-31,27.8,28.8,27.6,27.6,152625
2023-09-01,27.8,29.0,27.6,27.8,181605
2023-09-05,27.8,27.8,25.6,25.6,217185
2023-09-06,25.6,26.8,24.4,25.6,199665
2023-09-07,25.6,26.2,24.4,25.2,144155
2023-09-08,25.2,25.4,24.4,24.6,118775
2023-09-11,25.2,25.2,24.0,24.4,266685
2023-09-12,24.4,26.4,24.2,25.6,243460
2023-09-13,25.6,26.4,25.0,26.0,348425
2023-09-14,26.4,27.2,25.6,26.0,188520
2023-09-15,26.2,27.2,25.6,26.2,407525
2023-09-18,25.8,25.8,24.8,25.0,162330
2023-09-19,25.4,25.4,24.4,24.8,98965
2023-09-20,24.6,25.0,24.0,24.0,120435
2023-09-21,24.6,25.4,23.2,23.8,160205
2023-09-22,24.0,24.2,23.2,23.6,122630
2023-09-25,24.0,24.0,22.4,22.8,165230
2023-09-26,22.6,24.2,22.6,23.0,118300
2023-09-27,23.0,23.6,22.4,23.4,122030
2023-09-28,23.4,23.4,22.0,22.4,126530
2023-09-29,22.6,23.0,21.8,22.6,145960
2023-10-02,22.4,22.6,20.6,21.0,191140
2023-10-03,20.8,21.4,20.4,20.6,108750
2023-10-04,20.8,21.2,20.0,20.2,137415
2023-10-05,20.2,21.2,20.2,21.0,165415
2023-10-06,20.6,21.4,20.2,21.2,121515
2023-10-09,21.0,21.0,20.0,20.2,112225
2023-10-10,20.2,22.0,20.2,21.4,140635
2023-10-11,21.6,22.4,20.8,21.4,112850
