Date,Open,High,Low,Close,Volume
2023-01-13,32.91,33.76,32.77,33.74,1046800
2023-01-17,33.74,34.56,33.51,33.91,1160400
2023-01-18,34.2,34.239,33.0,33.54,1609200
2023-01-19,33.12,33.39,31.29,31.43,1526300
2023-01-20,32.06,32.73,31.874,32.45,1221600
2023-01-23,32.81,33.86,32.52,33.44,1063200
2023-01-24,33.24,33.66,33.03,33.35,616900
2023-01-25,32.88,33.48,32.6,33.29,673100
2023-01-26,33.56,35.45,32.94,35.43,2405900
2023-01-27,35.43,35.85,34.78,35.39,1796000
2023-01-30,34.95,35.42,34.18,34.43,1508100
2023-01-31,36.885,38.56,34.0,38.17,6316500
2023-02-01,38.4,39.97,38.05,39.68,3375600
2023-02-02,39.0,41.59,38.7,41.1,5669000
2023-02-03,40.16,41.94,40.11,41.56,1908100
2023-02-06,40.855,41.98,40.3,41.22,1854500
2023-02-07,41.34,42.96,40.95,42.84,1994400
2023-02-08,42.58,43.05,42.23,42.54,1016300
2023-02-09,43.48,44.095,42.53,42.7,1212400
2023-02-10,42.23,43.19,42.03,42.73,1226900
2023-02-13,43.1,44.15,42.65,43.68,1555400
2023-02-14,43.3,44.98,42.91,44.63,1566400
2023-02-15,44.05,45.985,43.555,45.92,1870000
2023-02-16,45.15,45.247,44.486,45.03,1465300
2023-02-17,44.77,45.1,43.87,44.5,1478100
2023-02-21,43.7,44.576,42.7,42.88,1602200
2023-02-22,42.81,43.59,42.616,43.04,974900
2023-02-23,44.83,45.08,42.82,43.79,1664500
2023-02-24,42.9,43.54,42.7,43.23,885000
2023-02-27,43.89,44.0,42.86,42.93,1272100
2023-02-28,42.93,44.61,42.93,43.68,1353800
2023-03-01,43.97,44.78,43.64,43.77,1044400
2023-03-02,42.88,44.49,42.18,44.18,1212700
2023-03-03,44.33,45.665,43.96,45.4,1467700
2023-03-06,45.78,46.904,45.18,45.35,1645300
2023-03-07,45.15,45.8,44.69,45.25,1381800
2023-03-08,45.49,46.29,45.34,46.03,1183000
2023-03-09,46.64,47.67,44.97,45.22,2051700
2023-03-10,45.49,45.56,43.62,44.06,1510800
2023-03-13,43.0,44.258,41.3,43.29,2277300
2023-03-14,44.39,45.72,44.12,45.16,1690000
2023-03-15,44.6,45.45,43.64,44.47,1560500
2023-03-16,44.08,46.31,43.96,46.03,1656600
2023-03-17,46.01,46.46,44.93,45.1,2755100
2023-03-20,45.51,46.79,45.18,46.56,1627000
2023-03-21,47.47,47.68,45.55,46.55,1573400
2023-03-22,46.78,47.23,45.76,45.76,1116500
2023-03-23,46.58,48.3,46.26,47.37,2007100
2023-03-24,46.89,47.32,45.505,46.34,1494400
2023-03-27,46.735,47.38,45.93,46.12,1157000
2023-03-28,45.8,46.18,44.36,45.08,1269200
2023-03-29,45.71,47.0,45.65,46.66,797600
2023-03-30,47.17,48.25,46.98,47.38,893000
2023-03-31,47.35,48.15,47.28,47.99,969700
2023-04-03,48.25,48.72,46.86,47.86,1196600
2023-04-04,48.21,48.21,45.91,46.24,1210000
2023-04-05,45.64,46.13,44.75,45.61,1325900
2023-04-06,45.0,45.56,44.35,45.06,1026600
2023-04-10,44.65,46.24,44.5,46.2,936400
