Date,Open,High,Low,Close,Volume
2023-01-13,79.11,80.35,78.68,80.34,720800
2023-01-17,81.2,82.31,80.93,81.14,779600
2023-01-18,82.62,83.42,81.06,81.13,681900
2023-01-19,80.62,80.93,79.59,80.2,642800
2023-01-20,80.86,81.91,80.57,81.84,581800
2023-01-23,83.15,85.37,83.0,84.85,765500
2023-01-24,82.82,84.38,82.39,83.61,801500
2023-01-25,82.66,83.67,82.27,83.57,765900
2023-01-26,84.23,84.94,82.8,84.93,884500
2023-01-27,90.43,93.78,90.37,92.78,2080000
2023-01-30,91.42,91.78,90.12,91.01,1158300
2023-01-31,90.05,92.12,89.86,92.12,1292800
2023-02-01,91.26,92.22,90.15,91.57,780500
2023-02-02,91.52,93.4,90.27,91.9,1317000
2023-02-03,89.1,91.12,88.9,90.27,1022700
2023-02-06,89.35,90.56,88.59,90.53,1186100
2023-02-07,90.39,92.07,89.3,91.76,1171600
2023-02-08,90.77,91.35,90.43,91.05,902500
2023-02-09,92.73,93.28,91.58,91.6,1127600
2023-02-10,89.93,89.95,88.97,89.34,579400
2023-02-13,89.28,90.45,89.16,90.26,712700
2023-02-14,88.9,90.83,88.63,90.51,762700
2023-02-15,89.25,90.21,89.12,89.86,560000
2023-02-16,88.88,90.58,88.49,89.27,783500
2023-02-17,89.21,90.9,88.58,90.42,792000
2023-02-21,91.66,92.27,90.0,90.21,1451800
2023-02-22,90.1,90.97,89.64,90.43,1219600
2023-02-23,90.78,91.87,90.23,91.49,1084900
2023-02-24,89.91,91.63,89.72,91.37,2173600
2023-02-27,92.88,94.15,92.88,93.16,1369300
2023-02-28,92.95,93.43,92.41,92.58,1136300
2023-03-01,93.34,94.54,93.07,94.05,993200
2023-03-02,92.4,93.25,91.73,93.25,664000
2023-03-03,94.06,95.14,93.25,95.08,872700
2023-03-06,97.45,97.45,96.0,96.14,3363500
2023-03-07,95.32,95.95,93.54,94.11,2023200
2023-03-08,94.49,95.62,94.13,95.29,1057500
2023-03-09,95.18,96.2,93.39,93.55,1102100
2023-03-10,93.91,94.04,90.56,91.69,1321900
2023-03-13,88.58,90.33,87.35,89.57,1765900
2023-03-14,91.78,93.18,91.11,92.0,1693000
2023-03-15,87.56,88.34,86.21,88.22,1768400
2023-03-16,87.01,90.0,86.91,89.89,1546600
2023-03-17,88.45,88.56,86.07,87.38,12459500
2023-03-20,87.45,88.4,86.37,86.67,1364600
2023-03-21,88.7,90.05,88.62,89.42,1161000
2023-03-22,89.0,90.12,87.86,87.92,1046600
2023-03-23,88.64,89.17,87.13,87.99,953300
2023-03-24,87.47,89.41,86.98,89.24,874700
2023-03-27,90.04,90.42,88.16,89.21,742200
2023-03-28,89.98,90.32,89.43,90.15,990800
2023-03-29,90.21,91.16,89.85,90.99,843200
2023-03-30,92.48,93.14,91.75,92.44,666900
2023-03-31,93.05,93.38,92.56,93.36,873500
2023-04-03,93.14,93.89,92.42,92.86,641000
2023-04-04,93.13,93.28,90.39,91.05,732400
2023-04-05,89.75,89.79,87.79,88.67,639100
2023-04-06,87.69,87.69,86.55,87.48,731900
2023-04-10,87.25,88.61,86.98,88.57,522700
2023-04-11,88.64,89.55,88.44,89.25,688800
2023-04-12,89.82,90.28,88.56,88.92,549700
2023-04-13,89.24,89.83,88.42,89.76,637900
2023-04-14,90.83,92.58,90.75,91.87,942400
2023-04-17,91.99,92.22,90.45,92.0,1054000
2023-04-18,93.4,93.78,91.75,92.32,899700
2023-04-19,91.5,92.94,91.3,92.91,1072600
2023-04-20,90.68,92.76,90.26,91.93,1468800
2023-04-21,87.11,88.64,84.67,87.09,3767100
2023-04-24,86.96,87.86,85.95,86.75,1509600
2023-04-25,86.62,86.74,85.37,85.48,909900
2023-04-26,85.41,86.99,85.41,85.81,942200
2023-04-27,85.77,85.94,83.65,84.99,894100
2023-04-28,84.45,85.83,84.26,85.81,653800
2023-05-01,86.04,86.87,85.29,85.55,540300
2023-05-02,84.05,85.09,83.34,84.79,955200
2023-05-03,84.78,85.47,84.37,84.46,1074600
2023-05-04,84.95,85.21,82.15,82.37,1131100
2023-05-05,83.59,85.79,83.59,85.58,776300
2023-05-08,85.96,87.41,85.61,87.36,941100
2023-05-09,86.63,87.62,86.63,87.35,792700
2023-05-10,88.92,89.4,86.87,87.9,876100
2023-05-11,87.78,88.88,87.68,88.83,798900
2023-05-12,88.78,88.99,87.11,87.99,868600
2023-05-15,87.76,87.98,86.78,87.14,694900
2023-05-16,85.43,86.04,84.89,84.92,798500
2023-05-17,85.52,86.74,84.44,86.43,665200
2023-05-18,86.05,87.25,86.05,87.23,621000
2023-05-19,88.3,88.48,86.8,86.98,792500
2023-05-22,86.7,86.92,86.06,86.35,697700
2023-05-23,85.96,86.86,84.49,84.53,864900
2023-05-24,82.87,83.03,80.79,81.01,1098100
2023-05-25,80.47,81.89,80.19,81.69,1011700
2023-05-26,82.23,85.03,82.23,84.17,633600
2023-05-30,83.99,84.4,82.02,82.27,918400
2023-05-31,81.05,81.99,79.66,81.5,1731500
2023-06-01,81.95,82.7,81.6,81.93,1016200
2023-06-02,83.76,85.26,83.76,84.88,950900
2023-06-05,85.5,86.23,84.14,85.16,843100
2023-06-06,84.79,87.19,84.62,87.1,1164900
2023-06-07,87.19,88.62,87.05,88.11,759400
2023-06-08,89.87,89.93,88.2,88.57,1115700
2023-06-09,88.2,88.79,86.64,87.55,983700
2023-06-12,88.03,89.51,87.86,89.25,1137000
2023-06-13,89.42,90.28,89.16,89.4,889100
2023-06-14,89.69,90.28,86.66,87.26,1696200
2023-06-15,86.58,88.17,86.58,88.07,1144600
2023-06-16,88.3,88.4,87.08,88.13,1176900
2023-06-20,84.43,85.76,83.67,84.99,1542500
2023-06-21,84.91,85.32,84.03,84.16,959400
2023-06-22,84.43,84.49,83.32,83.84,879800
2023-06-23,82.67,83.2,82.21,82.57,839000
2023-06-26,82.96,83.76,82.54,82.66,707500
2023-06-27,83.31,84.98,82.94,84.73,755400
2023-06-28,84.3,84.82,83.4,84.46,632400
2023-06-29,84.34,85.23,84.19,84.86,593600
2023-06-30,85.35,85.49,84.44,85.04,754200
2023-07-03,85.1,85.62,84.91,85.1,347600
2023-07-05,84.78,85.73,84.19,84.89,757300
2023-07-06,84.02,85.48,83.69,85.28,740100
2023-07-07,85.68,87.82,85.68,87.5,566800
2023-07-10,87.01,88.35,87.01,88.34,634300
2023-07-11,89.25,90.37,89.25,90.15,773900
2023-07-12,91.88,93.15,91.62,92.52,854700
2023-07-13,93.01,93.55,92.85,93.31,604300
2023-07-14,93.24,93.28,91.76,92.61,682600
2023-07-17,92.14,92.75,91.42,91.97,609200
2023-07-18,92.3,93.57,92.12,93.46,759900
2023-07-19,93.82,94.13,92.45,93.27,605800
2023-07-20,93.1,94.05,92.8,93.27,969900
2023-07-21,98.79,103.99,97.88,102.78,3292400
2023-07-24,103.45,103.48,101.46,101.79,1373400
2023-07-25,101.42,101.87,99.95,100.36,757000
2023-07-26,100.12,101.93,100.07,101.61,760900
2023-07-27,100.84,101.43,98.25,98.69,736000
2023-07-28,99.56,100.74,99.45,100.42,684400
2023-07-31,99.6,100.96,99.49,100.93,1008000
2023-08-01,99.82,101.62,99.57,101.38,683300
2023-08-02,100.17,101.12,99.85,100.74,901200
2023-08-03,99.87,102.13,99.63,101.06,914600
2023-08-04,101.57,101.63,99.92,100.08,444000
2023-08-07,100.44,101.7,99.91,101.46,533000
2023-08-08,98.82,100.01,98.27,99.78,551500
2023-08-09,99.81,99.81,97.8,98.14,456500
2023-08-10,98.77,98.88,96.43,96.72,749900
2023-08-11,95.19,95.7,92.97,93.14,789700
2023-08-14,92.58,94.67,92.01,94.51,904000
2023-08-15,93.58,93.83,93.04,93.18,594100
2023-08-16,92.47,93.3,91.64,91.68,441200
2023-08-17,91.86,92.71,91.67,91.97,512900
2023-08-18,91.3,93.33,91.17,92.97,769300
2023-08-21,93.86,94.79,93.56,94.0,538700
2023-08-22,94.14,94.34,93.63,93.99,485500
2023-08-23,93.62,94.88,93.49,94.74,446800
2023-08-24,94.21,94.7,93.1,93.2,316400
2023-08-25,93.53,94.62,92.41,93.97,456500
2023-08-28,94.38,95.5,94.38,95.08,446700
2023-08-29,95.01,97.27,95.0,97.2,598400
2023-08-30,97.07,98.45,96.99,97.56,494500
2023-08-31,97.67,98.43,97.5,97.6,853200
2023-09-01,96.96,98.85,96.7,98.7,774800
2023-09-05,98.06,98.51,97.13,98.35,821000
2023-09-06,97.99,99.61,97.75,98.76,989200
2023-09-07,97.39,99.03,96.96,98.64,1034000
