Date,Open,High,Low,Close,Volume
2023-02-21,54.7,62.0,54.4,61.0,7351300
2023-02-22,64.2,67.9,60.2,62.6,6866720
2023-02-23,62.9,66.5,59.1,62.3,4214430
2023-02-24,61.3,62.4,59.9,62.0,2339820
2023-02-27,63.1,81.9,61.9,76.1,12267760
2023-02-28,77.8,85.3,71.1,71.4,11345850
2023-03-01,68.0,71.1,64.6,65.7,4117740
2023-03-02,62.4,63.7,59.0,61.0,2819120
2023-03-03,62.0,66.9,61.4,65.8,3406960
2023-03-06,65.8,67.5,62.5,62.5,2624280
2023-03-07,62.3,63.5,60.0,60.1,1622990
2023-03-08,60.4,61.3,56.7,58.4,1986210
2023-03-09,57.4,59.2,55.6,56.5,1617850
2023-03-10,55.6,56.2,53.0,53.8,1557470
2023-03-13,54.4,55.6,52.4,54.6,1551810
2023-03-14,54.8,55.1,43.6,46.4,6487130
2023-03-15,45.3,46.1,41.5,42.1,3632330
2023-03-16,42.2,46.5,40.6,43.9,2793170
2023-03-17,43.0,43.4,41.1,41.8,2743360
2023-03-20,42.5,43.8,41.4,42.7,1758130
2023-03-21,43.3,44.5,42.1,44.1,2084710
2023-03-22,47.3,47.5,43.1,43.4,3144660
2023-03-23,44.4,46.8,43.4,44.7,1945150
2023-03-24,44.0,45.4,43.8,44.7,1047760
2023-03-27,45.1,45.8,43.0,45.5,2031440
2023-03-28,45.1,55.0,44.6,51.5,8981150
2023-03-29,51.4,52.1,48.3,50.0,2809780
2023-03-30,51.1,51.6,48.7,49.7,2023350
2023-03-31,49.1,50.6,48.7,50.1,1900330
2023-04-03,49.9,51.5,49.4,51.1,3361660
2023-04-04,40.8,44.5,38.8,39.1,9039950
2023-04-05,40.7,40.9,39.4,40.5,3065720
2023-04-06,44.5,51.6,43.1,49.0,10155480
2023-04-10,47.7,53.7,47.4,52.4,5057570
2023-04-11,54.5,56.3,52.5,54.3,3663040
2023-04-12,56.2,57.4,53.4,53.4,3362080
2023-04-13,54.8,56.6,53.9,54.6,2048540
2023-04-14,57.4,57.6,49.0,51.2,3599800
2023-04-17,52.4,53.0,51.3,52.0,1621310
2023-04-18,52.3,52.3,49.8,50.5,1373230
2023-04-19,49.5,51.7,49.2,51.0,1281400
2023-04-20,50.0,50.2,48.9,49.7,1029580
2023-04-21,49.4,50.7,49.1,49.9,1397320
2023-04-24,49.0,50.3,46.4,49.6,2238440
2023-04-25,49.4,53.4,49.2,51.5,3303820
2023-04-26,51.8,53.2,50.5,51.9,1427510
2023-04-27,52.2,55.6,51.6,53.7,2101510
2023-04-28,54.6,55.4,53.4,55.0,1897560
2023-05-01,55.3,56.9,53.8,56.5,2034120
2023-05-02,56.7,57.4,53.2,55.0,1623970
2023-05-03,54.1,58.2,54.1,57.4,2505720
2023-05-04,58.4,60.5,57.2,59.2,2500750
2023-05-05,61.0,61.1,56.6,58.9,2847930
2023-05-08,58.3,60.3,57.6,59.0,1703610
2023-05-09,58.1,59.5,55.3,55.4,1877280
2023-05-10,56.0,56.1,54.0,54.9,1456840
2023-05-11,54.2,54.8,51.9,53.4,1389160
2023-05-12,52.7,53.2,50.8,52.0,1339470
2023-05-15,51.0,52.4,50.3,51.4,1211510
2023-05-16,51.0,51.4,49.4,49.6,1191100
2023-05-17,49.7,51.5,48.7,51.0,1393770
2023-05-18,50.8,51.6,49.9,50.7,1069150
2023-05-19,50.9,50.9,49.6,50.3,1068200
2023-05-22,50.3,52.1,49.6,51.2,1400930
2023-05-23,50.9,51.4,49.8,50.3,1219730
2023-05-24,50.0,50.8,48.0,48.8,1708580
2023-05-25,49.3,49.3,46.2,47.0,1688410
2023-05-26,47.5,48.5,46.3,46.4,1176990
2023-05-30,47.4,47.8,45.0,46.3,1390050
2023-05-31,45.8,46.1,43.8,45.0,1337540
2023-06-01,45.1,46.6,44.7,45.5,1243100
2023-06-02,46.3,46.7,45.3,45.5,947790
2023-06-05,46.5,46.7,45.5,46.3,771720
2023-06-06,45.9,47.7,45.5,46.4,1513500
2023-06-07,47.6,47.6,46.1,47.3,1514850
2023-06-08,46.7,47.3,45.2,46.8,1571480
2023-06-09,46.5,48.2,46.5,47.7,1485530
2023-06-12,47.8,48.8,47.4,47.9,1032150
2023-06-13,48.6,51.5,48.2,50.0,2560280
2023-06-14,50.7,50.8,48.2,49.0,1554870
2023-06-15,48.5,48.5,46.8,47.6,1610360
2023-06-16,48.2,48.3,46.7,47.0,1876430
2023-06-20,46.9,47.3,44.9,45.9,1645020
2023-06-21,46.0,46.4,45.0,45.3,1302690
2023-06-22,42.5,42.8,40.7,41.7,3834310
2023-06-23,41.2,41.5,40.1,40.1,1457570
2023-06-26,40.8,41.3,40.1,40.3,1410250
2023-06-27,40.8,41.5,40.1,41.0,1594270
2023-06-28,40.9,45.5,40.8,44.1,2606440
2023-06-29,43.6,44.3,41.8,44.2,2828460
2023-06-30,43.3,44.0,42.5,44.0,1735520
2023-07-03,43.9,46.0,43.2,44.4,1608420
2023-07-05,44.4,44.4,42.2,42.5,2046840
2023-07-06,42.2,43.3,41.9,42.9,2065760
2023-07-07,43.1,43.6,42.0,42.0,1549880
2023-07-10,41.8,42.9,41.7,42.4,2346770
2023-07-11,43.0,44.4,42.5,43.9,2329400
2023-07-12,44.3,44.7,43.5,44.0,1884760
2023-07-13,44.3,45.2,43.9,44.4,2139150
2023-07-14,45.5,45.7,43.0,43.3,1739560
2023-07-17,43.4,43.9,42.7,43.7,1232720
2023-07-18,43.5,45.4,42.7,43.1,1842760
2023-07-19,43.5,44.0,42.8,43.7,2019830
2023-07-20,43.3,43.7,42.3,43.3,1989100
2023-07-21,43.4,44.8,42.9,44.0,8521020
2023-07-24,58.4,62.3,48.7,58.5,25691880
2023-07-25,53.6,54.8,50.3,51.2,5840460
2023-07-26,51.5,52.5,49.1,50.7,3119770
2023-07-27,51.1,51.5,45.1,45.2,4240850
2023-07-28,46.6,46.7,45.2,46.4,2481300
2023-07-31,46.6,50.8,46.4,49.7,3717620
2023-08-01,49.3,51.7,48.4,49.3,2388110
2023-08-02,48.5,48.8,46.8,48.0,1553290
2023-08-03,47.9,49.8,47.4,49.1,1471630
2023-08-04,49.1,50.8,48.2,49.3,2087540
2023-08-07,50.4,52.8,50.1,51.2,2703210
2023-08-08,54.6,54.6,49.9,50.9,3042300
2023-08-09,50.9,51.6,48.6,49.0,1809060
2023-08-10,49.5,51.0,49.0,49.8,1392340
2023-08-11,49.1,52.8,49.1,52.6,5967180
2023-08-14,33.3,36.4,31.8,33.9,13416120
2023-08-15,34.9,38.0,33.0,36.8,7040200
2023-08-16,36.8,38.4,34.7,37.5,5699250
2023-08-17,36.7,40.6,36.4,40.4,7147800
2023-08-18,40.6,41.9,38.6,40.9,5165850
2023-08-21,40.0,40.3,30.5,31.2,11371260
2023-08-22,31.0,31.1,24.6,25.5,10872410
2023-08-23,19.5,22.0,19.4,19.6,19985440
2023-08-24,16.31,16.6,13.33,14.37,26408000
2023-08-25,13.44,14.45,12.4,12.43,24061600
2023-08-28,11.99,12.35,11.05,11.07,24658900
2023-08-29,11.24,11.7,10.72,10.91,27312500
2023-08-30,11.1,13.64,10.73,12.73,55170300
2023-08-31,13.9,13.9,12.55,12.55,38962100
2023-09-01,12.68,13.23,12.12,13.1,22944900
2023-09-05,13.0,13.76,12.64,13.64,20097300
2023-09-06,11.7,11.7,8.43,8.62,84989600
2023-09-07,8.25,8.38,7.71,8.12,47792100
2023-09-08,7.96,8.0,7.1,7.18,32352800
2023-09-11,7.42,7.64,7.05,7.34,26368700
2023-09-12,7.38,8.14,7.22,7.57,37788100
2023-09-13,7.57,8.35,7.38,8.24,37600400
2023-09-14,8.91,9.1,8.05,8.14,46855400
2023-09-15,8.09,8.54,7.88,8.36,24215700
