Date,Open,High,Low,Close,Volume
2023-01-13,32.48,32.75,32.28,32.46,1600000
2023-01-17,32.57,32.84,32.28,32.63,1013600
2023-01-18,32.67,32.87,32.18,32.19,1172000
2023-01-19,32.06,32.63,31.97,31.98,1687600
2023-01-20,31.93,32.55,31.65,32.47,2064700
2023-01-23,32.53,32.91,32.3,32.61,1233800
2023-01-24,32.25,33.13,32.23,33.07,1396600
2023-01-25,32.93,33.06,32.74,33.04,743200
2023-01-26,33.18,33.35,33.1,33.28,1364400
2023-01-27,33.29,34.11,33.25,33.73,2449000
2023-01-30,33.55,33.81,33.32,33.35,2209900
2023-01-31,33.2,34.38,33.2,34.29,3182500
2023-02-01,34.18,34.85,33.88,34.68,2868400
2023-02-02,35.04,35.66,34.98,35.49,1876500
2023-02-03,34.97,35.1,34.17,34.61,2032800
2023-02-06,34.25,34.49,33.92,34.43,1536400
2023-02-07,34.21,34.73,33.87,34.47,2817600
2023-02-08,34.46,34.77,34.3,34.42,1156800
2023-02-09,34.53,34.78,33.89,33.91,1845300
2023-02-10,33.72,33.99,33.55,33.85,1864700
2023-02-13,34.11,34.79,34.11,34.57,1955000
2023-02-14,34.48,34.55,33.88,34.23,1512200
2023-02-15,33.99,34.32,33.85,34.32,1571900
2023-02-16,33.87,34.12,33.4,33.5,2551000
2023-02-17,33.35,33.41,32.69,33.25,1791700
2023-02-21,33.23,33.24,32.63,32.84,1329000
2023-02-22,32.97,33.19,32.68,32.86,1303000
2023-02-23,33.01,33.07,32.53,32.86,1325200
2023-02-24,32.01,32.37,31.42,31.53,3565800
2023-02-27,31.96,31.99,30.94,31.18,3257300
2023-02-28,31.18,31.57,31.01,31.02,3520700
2023-03-01,30.69,30.92,30.01,30.36,3611200
2023-03-02,30.27,30.55,30.01,30.52,2562700
2023-03-03,30.8,31.38,30.58,31.36,3492800
2023-03-06,31.52,31.69,31.16,31.32,1514400
2023-03-07,31.28,31.28,30.46,30.64,2893600
2023-03-08,30.62,31.26,30.58,30.98,2195400
2023-03-09,31.05,31.18,30.48,30.61,2168100
2023-03-10,30.66,30.73,29.28,29.32,3992800
2023-03-13,29.16,30.21,29.1,29.96,3497600
2023-03-14,30.02,30.35,29.75,30.07,3082500
2023-03-15,29.93,30.56,29.87,30.52,3226800
2023-03-16,30.39,30.61,30.06,30.57,4348200
2023-03-17,30.37,30.4,29.67,30.01,3690300
2023-03-20,29.89,30.52,29.69,30.46,3611200
2023-03-21,30.56,30.64,29.62,29.89,3628700
2023-03-22,29.5,29.79,28.88,28.93,2489400
2023-03-23,29.11,29.46,28.79,28.91,1738600
2023-03-24,28.84,29.87,28.81,29.84,2812100
2023-03-27,30.13,30.31,29.78,29.8,4067100
2023-03-28,29.56,29.83,29.38,29.8,2228000
2023-03-29,29.93,30.56,29.85,30.46,2315300
2023-03-30,30.73,30.99,30.6,30.88,2164900
2023-03-31,30.93,31.47,30.93,31.45,1910900
2023-04-03,31.44,31.93,31.2,31.47,2860200
2023-04-04,31.56,31.72,31.35,31.66,2143100
2023-04-05,31.67,31.8,31.42,31.5,2656900
2023-04-06,31.72,31.75,31.36,31.7,1634000
2023-04-10,31.81,31.9,31.49,31.85,2210600
2023-04-11,31.92,32.53,31.82,32.3,2208800
2023-04-12,32.64,32.97,32.38,32.38,2462900
2023-04-13,32.42,32.88,32.24,32.67,2516300
2023-04-14,32.79,32.96,32.13,32.42,1791600
2023-04-17,32.48,33.22,32.38,33.13,2236400
2023-04-18,33.16,33.44,33.09,33.3,2000700
2023-04-19,32.96,33.41,32.83,33.28,2097500
2023-04-20,33.22,33.46,33.02,33.22,2138200
2023-04-21,33.2,33.32,32.77,33.12,1819700
2023-04-24,33.09,33.14,32.57,32.82,1337700
2023-04-25,32.79,32.86,32.45,32.49,1042400
2023-04-26,32.47,32.72,32.18,32.23,1239900
2023-04-27,32.37,33.15,32.28,32.95,3409300
2023-04-28,33.01,33.56,32.92,33.26,1682600
2023-05-01,33.19,33.77,33.18,33.55,3149900
2023-05-02,33.43,33.54,32.67,33.31,2551700
2023-05-03,33.5,33.76,33.19,33.26,2155800
2023-05-04,33.25,33.87,33.1,33.59,2600600
2023-05-05,34.19,35.1,34.15,35.07,3381400
2023-05-08,34.88,35.33,34.79,35.12,1976000
2023-05-09,34.94,35.38,34.61,35.22,1819300
2023-05-10,35.64,35.69,35.15,35.4,2493500
2023-05-11,35.16,35.21,34.73,34.99,1998100
2023-05-12,34.92,35.17,34.65,35.03,1814000
2023-05-15,34.95,35.08,34.73,34.9,1173400
2023-05-16,34.87,34.87,33.82,33.85,1872100
2023-05-17,33.98,34.02,33.58,34.02,1665700
2023-05-18,33.88,34.03,33.34,33.71,1602000
2023-05-19,34.0,34.16,33.55,33.75,2846800
2023-05-22,33.6,34.12,33.51,33.83,1469500
2023-05-23,33.68,33.92,33.31,33.35,1683400
2023-05-24,33.16,33.33,32.89,33.15,1083600
2023-05-25,33.37,33.37,32.81,33.15,1964800
2023-05-26,33.2,33.8,32.99,33.71,1387800
2023-05-30,34.0,34.55,33.95,34.29,2383000
2023-05-31,34.5,34.64,34.13,34.28,3304000
2023-06-01,34.17,34.76,33.87,34.73,2151500
2023-06-02,35.05,35.23,34.77,34.89,2544800
2023-06-05,34.84,35.09,34.65,34.74,1654800
2023-06-06,34.94,35.15,34.53,35.09,1970400
2023-06-07,35.25,35.53,34.97,35.16,1587900
2023-06-08,34.91,35.3,34.73,35.3,1332600
2023-06-09,35.36,35.51,34.98,35.14,1810700
2023-06-12,34.94,35.13,34.14,34.27,3929600
2023-06-13,34.17,34.83,34.06,34.83,3710900
2023-06-14,34.64,34.99,34.5,34.83,3617900
2023-06-15,34.9,35.35,34.66,35.3,3162600
2023-06-16,35.49,35.6,35.2,35.4,4754500
