Date,Open,High,Low,Close,Volume
2023-01-13,2.18,2.265,2.18,2.22,759200
2023-01-17,2.21,2.241,2.18,2.21,565000
2023-01-18,2.19,2.225,2.16,2.17,347500
2023-01-19,2.15,2.19,2.06,2.07,1060400
2023-01-20,2.1,2.14,2.05,2.11,872500
2023-01-23,2.1,2.19,2.08,2.13,835100
2023-01-24,2.19,2.2,2.08,2.12,944100
2023-01-25,2.11,2.17,2.07,2.15,1158100
2023-01-26,2.15,2.17,2.1,2.14,1038000
2023-01-27,2.14,2.16,2.12,2.14,792200
2023-01-30,2.11,2.158,2.08,2.09,1198900
2023-01-31,2.11,2.2,2.105,2.2,1696900
2023-02-01,2.19,2.38,2.16,2.34,2123200
2023-02-02,2.34,2.42,2.28,2.39,1872600
2023-02-03,2.35,2.47,2.26,2.43,1975000
2023-02-06,2.43,2.59,2.43,2.54,2167200
2023-02-07,2.51,2.718,2.46,2.7,2010700
2023-02-08,2.67,2.74,2.6,2.7,2512500
2023-02-09,2.73,2.74,2.295,2.33,1022000
2023-02-10,2.31,2.34,2.281,2.29,475500
2023-02-13,2.28,2.44,2.25,2.41,1242300
2023-02-14,2.39,2.48,2.315,2.47,711300
2023-02-15,2.45,2.52,2.422,2.51,1826400
2023-02-16,2.46,2.47,2.38,2.38,419100
2023-02-17,2.41,2.43,2.36,2.43,413500
2023-02-21,2.41,2.43,2.31,2.32,359700
2023-02-22,2.32,2.335,2.21,2.22,765500
2023-02-23,2.26,2.26,2.17,2.23,707500
2023-02-24,2.21,2.219,2.14,2.18,459700
2023-02-27,2.2,2.23,2.15,2.16,364200
2023-02-28,2.15,2.19,2.05,2.06,891200
2023-03-01,2.06,2.115,2.03,2.09,787500
2023-03-02,2.05,2.05,1.82,1.99,1568200
2023-03-03,1.98,2.03,1.85,1.92,1428600
2023-03-06,1.91,2.0,1.81,1.82,2923200
2023-03-07,1.85,1.869,1.74,1.76,1061700
2023-03-08,1.76,1.76,1.665,1.68,911600
2023-03-09,1.67,1.74,1.641,1.67,1122500
2023-03-10,1.64,1.64,1.52,1.53,1310900
2023-03-13,1.5,1.51,1.44,1.47,741100
2023-03-14,1.5,1.55,1.345,1.43,1253700
2023-03-15,1.49,1.49,1.35,1.36,2497800
2023-03-16,1.36,1.38,1.313,1.35,574100
2023-03-17,1.34,1.465,1.32,1.43,2083600
2023-03-20,1.44,1.47,1.42,1.43,840300
2023-03-21,1.45,1.53,1.45,1.53,1095200
2023-03-22,1.53,1.53,1.39,1.39,740700
2023-03-23,1.4,1.41,1.29,1.31,944000
2023-03-24,1.29,1.34,1.28,1.33,578400
2023-03-27,1.34,1.35,1.26,1.29,1374700
2023-03-28,1.29,1.3,1.24,1.27,1141700
2023-03-29,1.29,1.32,1.26,1.31,994000
2023-03-30,1.34,1.395,1.31,1.36,928400
2023-03-31,1.38,1.425,1.38,1.39,639400
2023-04-03,1.41,1.47,1.39,1.45,564500
2023-04-04,1.42,1.47,1.33,1.36,786700
2023-04-05,1.34,1.37,1.32,1.34,320400
2023-04-06,1.37,1.41,1.31,1.4,562800
2023-04-10,1.48,1.48,1.37,1.39,607900
2023-04-11,1.43,1.46,1.39,1.4,655700
2023-04-12,1.42,1.44,1.33,1.33,626800
2023-04-13,1.36,1.42,1.35,1.39,520100
2023-04-14,1.4,1.41,1.33,1.36,460000
2023-04-17,1.51,1.67,1.4,1.65,3265500
2023-04-18,1.66,1.72,1.625,1.64,977500
2023-04-19,1.61,1.795,1.575,1.74,875600
2023-04-20,1.69,1.7,1.62,1.63,475700
2023-04-21,1.63,1.65,1.58,1.63,1085600
2023-04-24,1.63,1.76,1.58,1.75,827400
2023-04-25,1.68,1.74,1.65,1.71,520800
2023-04-26,1.7,1.82,1.645,1.81,806400
2023-04-27,1.8,1.83,1.72,1.82,620100
2023-04-28,1.78,1.97,1.78,1.93,1202100
2023-05-01,1.93,1.98,1.83,1.86,839600
2023-05-02,1.84,1.875,1.785,1.86,823600
2023-05-03,1.84,1.915,1.81,1.87,795200
2023-05-04,1.85,1.87,1.755,1.84,982400
2023-05-05,1.88,1.97,1.81,1.92,869800
2023-05-08,2.0,2.03,1.912,2.02,751700
2023-05-09,1.99,1.995,1.86,1.86,611200
2023-05-10,1.92,1.93,1.74,1.78,1097500
2023-05-11,1.79,1.89,1.78,1.88,687600
2023-05-12,1.87,1.93,1.8,1.92,838100
2023-05-15,1.92,2.02,1.89,2.02,997700
2023-05-16,2.0,2.1,1.92,2.03,1034500
2023-05-17,2.08,2.09,1.96,2.08,991300
2023-05-18,2.07,2.27,2.02,2.25,1112500
2023-05-19,2.3,2.325,2.23,2.31,665300
2023-05-22,2.33,2.36,2.23,2.29,616900
2023-05-23,2.27,2.31,2.23,2.25,779700
2023-05-24,2.24,2.3,2.15,2.28,554100
2023-05-25,2.23,2.27,2.195,2.25,456800
2023-05-26,2.27,2.35,2.22,2.27,429700
2023-05-30,2.29,2.43,2.225,2.39,1151300
2023-05-31,2.4,2.45,2.25,2.34,3120500
2023-06-01,2.34,2.555,2.27,2.51,1181600
2023-06-02,2.56,2.6,2.44,2.55,1132700
2023-06-05,2.55,2.575,2.48,2.56,394600
2023-06-06,2.56,2.6,2.52,2.54,900100
2023-06-07,2.54,2.62,2.45,2.46,904900
2023-06-08,2.47,2.49,2.38,2.4,701500
2023-06-09,2.42,2.53,2.38,2.44,930200
2023-06-12,2.47,2.64,2.465,2.52,1063100
2023-06-13,2.53,2.75,2.53,2.58,931900
2023-06-14,2.64,2.75,2.63,2.67,812200
2023-06-15,2.66,2.71,2.61,2.7,732200
2023-06-16,2.74,2.83,2.69,2.71,1426200
2023-06-20,2.7,2.98,2.67,2.95,1204800
2023-06-21,2.92,2.99,2.885,2.94,832400
2023-06-22,2.94,2.94,2.83,2.89,519900
2023-06-23,2.85,2.91,2.83,2.88,7158600
2023-06-26,2.85,2.91,2.78,2.85,749500
2023-06-27,2.9,2.9,2.8,2.87,775000
2023-06-28,2.86,2.86,2.765,2.79,462800
2023-06-29,2.85,2.87,2.73,2.87,857100
2023-06-30,2.92,3.125,2.83,3.1,1410600
2023-07-03,3.03,3.05,2.93,3.05,664100
2023-07-05,2.5,2.79,2.29,2.76,3450500
2023-07-06,2.69,2.98,2.66,2.96,1123300
2023-07-07,2.94,3.19,2.92,3.13,1993200
2023-07-10,3.09,3.11,2.99,3.01,805300
2023-07-11,3.01,3.075,2.99,3.05,688200
2023-07-12,3.13,3.13,3.01,3.03,548600
2023-07-13,3.07,3.11,3.0,3.04,493400
2023-07-14,3.04,3.045,2.95,3.03,412300
2023-07-17,3.02,3.19,3.0,3.18,623600
2023-07-18,3.17,3.32,3.17,3.24,660600
2023-07-19,3.24,3.275,3.2,3.22,484300
2023-07-20,3.31,3.56,3.26,3.55,1668800
2023-07-21,3.6,3.61,3.36,3.37,1692100
2023-07-24,3.38,3.46,3.25,3.28,857400
2023-07-25,3.26,3.26,3.02,3.06,759700
2023-07-26,3.05,3.14,3.005,3.05,544600
2023-07-27,3.06,3.12,2.99,3.03,851300
2023-07-28,2.99,3.19,2.99,3.16,649500
2023-07-31,3.15,3.227,3.15,3.2,519400
2023-08-01,3.2,3.22,3.1,3.17,547200
2023-08-02,3.14,3.215,3.09,3.19,623300
2023-08-03,3.19,3.365,3.165,3.36,977100
2023-08-04,3.6,4.27,3.43,4.11,4307500
2023-08-07,4.27,4.74,4.17,4.59,3023300
2023-08-08,4.48,4.7,4.39,4.48,1132300
2023-08-09,4.48,4.51,4.22,4.23,1114700
2023-08-10,4.21,4.35,4.155,4.23,1141100
2023-08-11,4.18,4.29,3.92,3.97,1892100
2023-08-14,4.0,4.11,3.91,3.93,1215100
2023-08-15,3.91,4.03,3.86,3.91,1032000
2023-08-16,3.91,3.95,3.65,3.66,1112200
2023-08-17,3.68,3.84,3.68,3.7,1036200
2023-08-18,3.65,3.79,3.58,3.73,875400
2023-08-21,3.73,3.96,3.68,3.81,1768700
2023-08-22,3.88,4.115,3.85,4.05,908400
2023-08-23,4.03,4.15,3.98,4.09,666300
2023-08-24,4.11,4.125,4.0,4.03,561200
2023-08-25,4.06,4.06,3.83,3.91,897400
2023-08-28,3.87,4.145,3.87,4.08,942600
2023-08-29,4.07,4.29,4.04,4.23,746100
2023-08-30,4.2,4.255,4.08,4.1,576700
2023-08-31,4.09,4.19,4.08,4.09,508200
2023-09-01,4.15,4.385,4.15,4.22,1399300
2023-09-05,4.25,4.25,3.81,3.82,963000
