Date,Open,High,Low,Close,Volume
2023-01-13,150.6,158.33,149.28,156.72,184800
2023-01-17,158.72,165.93,156.74,165.31,288200
2023-01-18,168.96,171.9,162.422,163.12,335100
2023-01-19,161.82,168.73,159.324,168.72,267900
2023-01-20,170.52,173.43,167.8,170.53,219200
2023-01-23,170.0,171.479,166.215,167.84,196600
2023-01-24,168.5,174.555,166.535,171.07,224300
2023-01-25,170.0,172.08,167.0,169.74,136800
2023-01-26,170.7,171.91,165.425,167.61,177100
2023-01-27,166.65,168.65,163.08,165.07,108000
2023-01-30,158.54,164.82,157.98,164.7,251100
2023-01-31,163.3,164.75,160.05,160.93,174400
2023-02-01,160.76,164.08,156.33,163.25,262500
2023-02-02,162.65,164.11,158.69,163.3,161700
2023-02-03,163.81,167.99,159.34,159.79,227300
2023-02-06,158.73,160.05,156.75,159.91,205000
2023-02-07,159.95,161.195,154.25,159.37,216700
2023-02-08,158.55,158.55,153.08,154.66,225700
2023-02-09,156.17,158.55,154.85,156.62,181200
2023-02-10,156.98,158.58,154.4,158.42,181400
2023-02-13,158.62,159.182,154.32,158.05,227500
2023-02-14,158.36,166.04,157.84,165.65,227900
2023-02-15,163.27,168.616,161.27,167.2,189500
2023-02-16,165.76,177.091,165.76,172.8,366400
2023-02-17,173.66,174.64,170.0,170.01,236000
2023-02-21,168.64,171.0,163.95,165.45,279400
2023-02-22,163.7,166.84,161.62,163.78,287700
2023-02-23,162.84,169.88,156.27,160.17,316200
2023-02-24,159.62,159.62,153.57,156.64,292600
2023-02-27,159.41,170.99,158.54,167.53,344700
2023-02-28,168.09,173.274,166.31,167.74,304200
2023-03-01,170.94,176.332,170.68,174.39,231900
2023-03-02,171.77,177.395,169.68,176.06,219800
2023-03-03,177.0,183.15,176.07,183.0,268700
2023-03-06,183.0,183.0,179.62,181.12,393700
2023-03-07,181.12,181.89,177.21,180.72,250200
2023-03-08,181.68,183.46,176.5,178.55,176000
2023-03-09,178.55,181.97,173.86,174.35,276400
2023-03-10,174.43,174.75,165.21,166.3,236700
2023-03-13,161.76,166.382,158.88,160.23,242200
2023-03-14,161.93,166.64,159.86,162.77,222100
2023-03-15,158.0,158.0,146.61,147.54,492000
2023-03-16,145.0,149.9,143.37,148.65,381500
2023-03-17,147.695,148.618,144.0,145.81,463300
2023-03-20,147.46,149.04,143.215,143.9,304900
2023-03-21,147.57,148.97,145.5,146.97,239000
2023-03-22,147.16,147.83,143.17,143.52,272800
2023-03-23,144.3,149.0,144.2,144.88,281700
2023-03-24,142.55,149.11,140.5,147.72,245700
2023-03-27,149.77,153.0,147.89,151.79,207000
2023-03-28,151.8,156.98,151.8,155.36,281300
2023-03-29,157.98,158.409,153.25,153.37,236700
2023-03-30,155.0,156.0,151.4,153.39,176600
2023-03-31,154.57,157.92,154.57,156.0,350300
2023-04-03,158.2,162.87,153.3,162.37,277900
2023-04-04,161.69,161.69,154.04,158.12,299600
2023-04-05,156.01,158.33,152.51,157.03,218600
2023-04-06,156.38,156.38,153.34,153.77,187400
2023-04-10,153.43,156.98,152.96,152.98,192100
2023-04-11,154.59,160.39,153.57,158.89,270800
