Date,Open,High,Low,Close,Volume
2023-01-13,35.35,36.2,35.25,36.04,110900
2023-01-17,35.95,36.81,35.76,36.61,144200
2023-01-18,36.68,37.16,35.75,35.75,137700
2023-01-19,35.73,36.18,35.5,35.72,108000
2023-01-20,36.08,36.22,35.22,35.8,135400
2023-01-23,35.82,36.34,35.58,35.86,97500
2023-01-24,35.71,36.19,35.56,35.83,82500
2023-01-25,35.94,36.49,35.46,36.47,149700
2023-01-26,36.58,36.97,35.95,36.96,111100
2023-01-27,36.84,37.1,36.08,36.09,103700
2023-01-30,36.11,36.37,35.56,35.73,131300
2023-01-31,35.89,37.0,35.85,36.78,168600
2023-02-01,36.61,37.52,36.44,37.22,184800
2023-02-02,37.15,37.74,36.85,37.64,139200
2023-02-03,37.64,38.2,37.31,37.86,198600
2023-02-06,37.83,38.66,37.83,38.63,162100
2023-02-07,38.37,38.7,38.07,38.49,158700
2023-02-08,38.22,38.45,37.85,37.95,211700
2023-02-09,38.17,38.51,37.14,37.24,140000
2023-02-10,37.35,38.18,37.32,38.06,98600
2023-02-13,38.19,38.38,37.8,38.33,132300
2023-02-14,38.32,38.65,37.6,37.9,242200
2023-02-15,39.17,43.88,38.9,43.58,538500
2023-02-16,43.48,45.72,42.75,44.74,508500
2023-02-17,44.78,45.25,44.01,45.21,286100
2023-02-21,44.78,44.93,43.88,44.42,289300
2023-02-22,44.71,44.9,43.86,44.16,324700
2023-02-23,44.27,45.04,43.83,44.24,249700
2023-02-24,44.04,45.45,43.69,45.44,290600
2023-02-27,45.62,45.99,44.76,45.28,192700
2023-02-28,45.26,46.13,44.98,45.63,592000
2023-03-01,45.63,46.06,45.36,46.04,235200
2023-03-02,45.75,46.48,45.5,46.4,312100
2023-03-03,46.31,46.48,45.73,46.32,234100
2023-03-06,45.82,45.89,44.13,44.35,266600
2023-03-07,44.48,44.48,43.34,43.91,266200
2023-03-08,44.0,44.49,43.51,44.46,182800
2023-03-09,44.47,44.56,43.34,43.41,171900
2023-03-10,43.2,43.26,41.32,41.72,228200
2023-03-13,41.05,41.33,39.74,40.02,272200
2023-03-14,41.06,42.0,40.33,41.02,273900
2023-03-15,39.96,40.44,38.52,39.59,342600
2023-03-16,38.92,39.73,38.04,39.68,257000
2023-03-17,39.36,39.54,37.44,38.15,1053300
2023-03-20,38.5,39.97,38.02,39.17,459200
2023-03-21,40.02,40.36,39.49,40.29,362600
2023-03-22,40.28,40.83,39.58,39.59,224500
2023-03-23,39.8,40.45,38.87,39.21,247500
2023-03-24,38.6,40.03,38.5,40.03,161500
2023-03-27,40.58,40.95,40.12,40.78,155700
2023-03-28,40.67,42.21,40.53,41.63,169100
2023-03-29,42.07,42.07,41.31,41.58,177600
2023-03-30,41.85,42.02,40.53,40.81,146200
2023-03-31,40.98,41.64,40.75,41.32,317400
2023-04-03,41.56,42.0,41.29,41.73,316900
2023-04-04,41.67,41.86,40.15,40.61,226300
2023-04-05,40.48,40.74,39.13,39.51,176200
2023-04-06,39.67,39.67,39.05,39.34,143100
2023-04-10,39.47,40.2,39.36,40.13,201000
2023-04-11,40.26,41.23,40.1,40.8,145100
2023-04-12,41.03,41.51,40.64,41.13,100200
2023-04-13,41.23,41.25,40.74,41.22,134000
2023-04-14,41.3,41.6,41.12,41.49,104100
2023-04-17,41.44,42.14,41.29,42.13,124900
2023-04-18,42.13,43.26,42.13,43.24,231500
2023-04-19,43.26,43.97,42.73,43.96,268600
2023-04-20,43.74,43.95,43.31,43.82,201000
2023-04-21,43.84,44.42,43.67,44.2,180500
2023-04-24,43.67,44.5,43.52,44.06,161900
2023-04-25,43.6,43.99,42.76,43.48,335200
2023-04-26,43.17,44.28,43.17,44.02,367300
2023-04-27,44.25,44.84,43.72,44.08,317600
2023-04-28,43.89,44.82,43.89,44.7,297500
2023-05-01,44.7,45.49,44.52,44.74,188500
2023-05-02,44.34,44.34,43.31,43.88,222700
2023-05-03,39.56,40.89,36.55,39.85,622600
2023-05-04,39.76,39.82,36.51,36.77,544300
2023-05-05,37.28,37.77,37.15,37.48,359800
2023-05-08,37.66,38.03,37.05,37.12,214800
2023-05-09,36.92,37.0,36.26,36.56,194900
2023-05-10,37.0,37.0,35.97,36.22,337500
2023-05-11,35.69,37.44,35.69,37.29,286500
2023-05-12,37.36,37.89,37.06,37.62,205800
2023-05-15,37.77,38.31,37.42,38.0,195400
2023-05-16,37.81,38.13,37.11,37.18,324400
2023-05-17,37.4,38.08,37.08,37.92,284400
2023-05-18,37.79,38.44,37.49,38.4,173300
2023-05-19,38.9,39.96,38.16,39.9,402300
2023-05-22,40.0,41.39,39.59,40.74,346300
2023-05-23,40.6,41.94,40.38,41.3,232600
2023-05-24,41.19,41.35,40.38,40.77,156800
2023-05-25,40.5,40.65,39.46,40.57,164300
2023-05-26,40.57,41.21,40.13,41.07,129300
2023-05-30,40.89,41.19,39.36,40.54,111900
2023-05-31,40.32,40.6,38.89,39.01,228700
2023-06-01,38.99,39.77,38.53,39.35,192800
2023-06-02,39.82,41.44,39.82,41.33,283400
2023-06-05,41.03,41.51,40.4,40.98,238600
2023-06-06,40.98,42.37,40.91,42.22,337300
2023-06-07,42.57,43.83,42.16,43.41,249800
2023-06-08,43.27,43.89,42.75,43.88,260400
2023-06-09,43.85,44.59,43.35,44.57,232900
2023-06-12,43.61,45.35,43.61,45.02,273900
2023-06-13,45.0,45.81,44.92,45.34,307500
2023-06-14,45.58,45.7,44.15,44.54,405000
2023-06-15,44.34,44.83,44.1,44.32,256000
2023-06-16,44.58,45.73,43.82,44.95,1827800
2023-06-20,44.95,45.19,43.94,44.73,334600
2023-06-21,44.7,45.16,44.32,44.97,211900
2023-06-22,45.6,45.6,44.41,44.93,208100
2023-06-23,44.44,45.4,44.06,45.24,391300
2023-06-26,45.18,45.54,42.95,44.44,238300
2023-06-27,44.26,45.28,44.24,45.2,115200
2023-06-28,45.15,45.69,44.63,45.56,132200
2023-06-29,45.62,46.78,45.41,45.7,158600
2023-06-30,45.75,46.63,45.49,46.15,175600
2023-07-03,46.35,47.89,45.89,47.87,145800
