Date,Open,High,Low,Close,Volume
2023-01-13,111.87,113.25,107.82,110.51,1160700
2023-01-17,105.41,110.38,104.31,109.88,1275400
2023-01-18,111.13,113.81,109.59,110.26,713200
2023-01-19,109.52,110.78,107.7,110.57,673200
2023-01-20,111.29,113.97,111.0,113.78,557800
2023-01-23,114.34,117.3,114.34,115.66,741200
2023-01-24,115.74,115.88,113.51,114.39,460700
2023-01-25,114.44,116.23,113.5,115.74,442400
2023-01-26,116.5,117.59,115.0,117.5,391900
2023-01-27,117.83,121.4,117.06,121.38,676000
2023-01-30,120.48,124.96,120.48,123.19,791800
2023-01-31,124.0,126.73,123.41,126.72,558300
2023-02-01,126.24,130.63,125.53,130.0,501400
2023-02-02,131.49,140.45,130.34,137.88,1599500
2023-02-03,136.14,140.52,135.53,136.88,673100
2023-02-06,136.74,137.85,132.81,134.78,794500
2023-02-07,133.32,134.2,131.12,133.16,661800
2023-02-08,133.15,134.54,131.78,133.09,575100
2023-02-09,133.91,136.2,133.03,133.68,469500
2023-02-10,133.22,134.01,132.1,133.85,512100
2023-02-13,133.69,135.81,132.98,135.6,482100
2023-02-14,134.84,140.56,133.68,140.07,866400
2023-02-15,137.32,141.04,135.76,140.49,1045800
2023-02-16,138.28,142.36,137.8,141.26,942300
2023-02-17,146.75,158.3,146.02,157.3,2962700
2023-02-21,153.39,154.4,143.11,143.38,1681000
2023-02-22,144.46,147.5,143.42,143.85,728100
2023-02-23,144.94,145.48,140.37,141.86,631600
2023-02-24,139.36,141.09,137.72,139.25,642900
2023-02-27,141.36,141.75,138.66,139.72,532000
2023-02-28,139.08,140.75,136.47,136.51,696000
2023-03-01,135.46,137.98,134.65,137.24,558400
2023-03-02,136.66,137.06,135.49,136.28,502800
2023-03-03,136.95,140.58,135.85,140.55,870600
2023-03-06,140.55,142.25,138.88,138.99,870700
2023-03-07,139.09,141.75,139.0,140.68,807600
2023-03-08,141.53,144.58,141.0,142.53,729700
2023-03-09,142.42,145.2,140.72,141.03,861500
2023-03-10,139.81,139.81,134.15,138.22,1076400
2023-03-13,135.22,135.7,131.23,131.58,1030100
2023-03-14,134.74,135.59,126.21,127.37,732500
2023-03-15,123.66,125.73,120.26,125.51,1384000
2023-03-16,123.72,130.11,123.3,130.07,1059600
2023-03-17,128.45,129.0,125.35,126.55,1498400
2023-03-20,128.31,131.94,126.9,127.43,869500
2023-03-21,130.56,132.77,128.92,129.85,603200
2023-03-22,131.11,131.35,126.36,126.39,614300
2023-03-23,127.26,128.57,123.02,124.74,771400
2023-03-24,123.28,125.18,120.85,124.62,667900
2023-03-27,126.27,127.71,125.8,127.42,642100
2023-03-28,127.0,129.78,127.0,128.31,564500
2023-03-29,128.86,130.71,127.89,130.42,528600
2023-03-30,132.17,133.67,131.17,131.43,554000
