Date,Open,High,Low,Close,Volume
2023-01-13,34.12,34.95,34.0,34.79,284400
2023-01-17,34.84,35.23,34.4,34.8,402100
2023-01-18,34.8,35.42,34.56,34.91,290200
2023-01-19,34.63,35.24,34.41,35.01,488800
2023-01-20,35.27,35.54,34.86,35.41,548900
2023-01-23,35.58,35.9,35.08,35.85,444300
2023-01-24,35.86,35.88,35.35,35.37,229900
2023-01-25,34.89,35.15,34.41,35.08,300000
2023-01-26,35.07,35.67,34.81,35.59,262200
2023-01-27,35.48,36.13,35.48,36.1,274000
2023-01-30,35.69,36.26,35.55,35.94,397500
2023-01-31,36.26,36.86,35.99,36.82,667600
2023-02-01,36.27,37.38,34.95,37.14,906000
2023-02-02,37.45,39.72,37.45,38.03,837000
2023-02-03,37.5,38.18,37.3,37.47,496500
2023-02-06,37.28,37.4,36.42,36.99,419100
2023-02-07,36.73,37.49,36.67,37.38,398700
2023-02-08,37.12,37.49,36.43,36.46,394000
2023-02-09,36.72,37.0,35.74,35.88,452200
2023-02-10,35.84,36.14,35.52,36.0,551600
2023-02-13,35.28,36.24,35.11,36.18,374500
2023-02-14,36.11,36.4,35.44,35.99,437200
2023-02-15,35.65,36.26,35.62,36.09,287600
2023-02-16,35.42,36.63,35.35,36.03,321200
2023-02-17,35.98,36.06,35.32,35.47,491400
2023-02-21,34.88,34.95,34.07,34.25,472700
2023-02-22,34.23,34.41,33.49,33.64,447000
2023-02-23,33.88,34.0,33.1,33.5,569300
2023-02-24,33.05,33.29,32.55,32.7,491000
2023-02-27,32.97,33.08,32.32,32.42,663300
2023-02-28,32.5,33.36,32.25,32.97,946200
2023-03-01,32.8,33.36,32.72,33.22,565100
2023-03-02,32.83,33.21,32.6,33.19,453300
2023-03-03,33.49,33.71,33.2,33.57,328100
2023-03-06,33.66,33.66,32.55,32.78,543900
2023-03-07,31.51,32.01,31.11,31.49,900400
2023-03-08,31.59,32.06,31.32,32.01,532000
2023-03-09,32.01,32.02,31.27,31.44,537000
2023-03-10,31.37,31.37,29.81,30.15,987800
2023-03-13,29.5,30.3,28.98,29.83,966200
2023-03-14,30.87,31.1,29.92,30.3,1060800
2023-03-15,29.23,29.86,29.17,29.67,687400
2023-03-16,29.1,30.27,29.01,30.04,1016800
2023-03-17,30.0,30.0,29.29,29.53,2705800
2023-03-20,29.69,30.19,29.52,29.8,616700
2023-03-21,30.47,31.18,30.32,30.95,469200
2023-03-22,30.82,31.22,30.14,30.17,363900
2023-03-23,30.23,31.19,30.18,30.54,747500
2023-03-24,30.28,30.8,29.99,30.79,345800
2023-03-27,31.3,31.3,30.75,30.87,701700
2023-03-28,30.83,31.23,30.69,31.2,337300
2023-03-29,31.28,31.39,30.81,31.18,402800
2023-03-30,31.59,31.67,30.99,31.17,243500
2023-03-31,31.47,32.06,31.46,31.98,487000
2023-04-03,31.78,32.17,31.07,31.63,529800
2023-04-04,31.81,31.81,31.2,31.61,499500
2023-04-05,31.44,31.72,31.34,31.61,449400
2023-04-06,31.58,32.09,31.48,31.95,428000
2023-04-10,31.84,32.5,31.7,32.48,361600
2023-04-11,32.92,33.61,32.78,33.6,687300
2023-04-12,33.95,34.13,33.32,33.59,500300
2023-04-13,33.69,34.82,33.5,34.31,581600
2023-04-14,34.74,35.3,34.46,35.26,503800
2023-04-17,35.04,35.56,34.87,35.35,460200
2023-04-18,35.61,35.65,35.08,35.55,438600
2023-04-19,35.56,35.98,35.5,35.72,427900
2023-04-20,35.46,35.73,35.24,35.45,412400
2023-04-21,35.56,35.61,34.85,35.29,364700
2023-04-24,35.28,35.54,34.9,35.13,289900
2023-04-25,34.97,35.17,34.46,34.52,377100
2023-04-26,34.27,34.6,33.73,33.81,384600
2023-04-27,34.02,34.46,33.84,34.45,447500
2023-04-28,34.21,34.82,34.21,34.67,347100
2023-05-01,34.75,35.23,34.44,34.56,358500
2023-05-02,34.4,34.4,32.96,33.4,741300
2023-05-03,33.85,34.53,32.64,32.94,838400
2023-05-04,32.49,32.51,31.28,31.79,708600
2023-05-05,32.46,33.03,32.25,32.69,477700
2023-05-08,32.95,32.95,32.43,32.6,300500
2023-05-09,32.3,32.83,32.15,32.65,285100
2023-05-10,33.0,33.36,32.18,32.64,446400
2023-05-11,32.5,32.62,31.99,32.47,384500
2023-05-12,32.43,32.64,31.81,32.06,236200
2023-05-15,32.23,32.85,32.06,32.71,387400
2023-05-16,32.05,32.11,31.47,31.5,326000
2023-05-17,31.66,32.44,31.41,32.37,374200
2023-05-18,32.27,33.03,32.13,32.9,306700
2023-05-19,33.16,33.16,32.43,32.79,384900
2023-05-22,32.79,33.51,32.51,33.38,367800
2023-05-23,33.37,33.85,33.2,33.32,562800
2023-05-24,33.07,33.3,32.55,32.87,360900
2023-05-25,32.86,33.01,32.41,32.58,220300
2023-05-26,32.72,33.13,32.68,32.8,285000
2023-05-30,32.96,33.3,32.45,32.99,283400
2023-05-31,32.89,33.0,31.75,32.0,377200
2023-06-01,32.11,32.38,31.54,32.16,392600
2023-06-02,32.62,33.53,32.62,33.16,438200
2023-06-05,35.0,35.14,33.82,34.26,1380800
2023-06-06,34.11,35.03,34.08,34.74,805000
2023-06-07,34.99,35.6,34.97,35.31,1857400
2023-06-08,35.2,35.88,34.97,35.82,607700
2023-06-09,35.73,36.45,35.72,36.09,700300
2023-06-12,35.95,36.93,35.92,36.83,1316700
2023-06-13,36.72,37.99,36.69,37.87,1049400
2023-06-14,37.88,38.56,37.7,38.44,1572600
2023-06-15,38.29,39.23,38.17,39.18,1129900
2023-06-16,39.18,39.35,38.21,38.93,14238500
2023-06-20,38.48,38.65,37.75,37.91,1599500
2023-06-21,37.91,37.92,37.49,37.51,957300
2023-06-22,37.37,37.54,36.95,37.23,1302500
2023-06-23,36.76,37.29,36.08,36.25,1393600
2023-06-26,36.2,36.92,36.0,36.64,938200
2023-06-27,36.79,38.16,36.65,38.12,1232200
2023-06-28,38.36,39.11,38.05,39.07,827200
2023-06-29,39.1,39.93,39.1,39.89,704600
2023-06-30,40.0,40.2,39.3,39.31,799900
2023-07-03,39.23,39.79,39.23,39.55,230400
2023-07-05,39.25,39.44,38.75,39.34,766100
2023-07-06,38.87,38.92,37.95,38.42,512800
2023-07-07,38.5,39.05,38.29,38.51,1202600
2023-07-10,38.52,39.56,38.52,39.48,713700
2023-07-11,39.7,39.82,39.21,39.67,554000
2023-07-12,40.1,41.04,40.1,40.96,697900
2023-07-13,41.35,41.93,40.96,41.77,835600
2023-07-14,41.59,41.78,41.11,41.62,644700
2023-07-17,41.61,42.28,41.28,42.16,660000
2023-07-18,42.18,42.97,42.0,42.72,662800
2023-07-19,42.63,42.89,42.39,42.52,768300
2023-07-20,42.4,42.55,42.12,42.43,361200
2023-07-21,42.76,42.86,42.2,42.25,463400
2023-07-24,42.37,42.65,42.15,42.46,462200
2023-07-25,42.17,42.58,42.17,42.21,878300
2023-07-26,42.01,42.35,41.63,42.14,586300
2023-07-27,41.99,42.39,41.15,41.2,928000
2023-07-28,41.87,42.0,41.04,41.14,773400
2023-07-31,41.2,41.61,41.09,41.49,842300
2023-08-01,41.31,41.57,40.96,41.23,1286600
2023-08-02,40.89,41.16,37.3,38.51,1305800
2023-08-03,38.59,39.04,38.02,38.3,659300
2023-08-04,38.24,38.99,38.07,38.51,533800
2023-08-07,38.53,39.38,38.44,39.01,626000
2023-08-08,38.39,38.42,37.73,38.29,642200
2023-08-09,38.12,38.47,37.72,38.34,398300
2023-08-10,38.56,38.92,38.02,38.16,505500
2023-08-11,38.0,38.49,38.0,38.16,413400
2023-08-14,38.08,38.37,37.9,38.19,513200
2023-08-15,37.89,38.01,37.22,37.25,396300
2023-08-16,36.55,37.02,36.37,36.38,317500
2023-08-17,36.49,36.99,36.35,36.45,542000
2023-08-18,36.01,36.96,35.85,36.76,693100
2023-08-21,36.88,37.06,36.41,36.53,531700
2023-08-22,36.66,36.94,36.03,36.16,302900
2023-08-23,36.26,37.27,36.16,37.26,437400
2023-08-24,37.3,37.75,37.18,37.25,413600
2023-08-25,37.41,37.61,36.85,37.31,329500
2023-08-28,37.41,37.78,37.24,37.54,790200
2023-08-29,37.52,38.09,37.37,38.0,461100
2023-08-30,38.0,38.33,37.93,38.24,731800
2023-08-31,38.12,38.57,38.07,38.42,550200
2023-09-01,38.73,39.37,38.34,38.99,531600
2023-09-05,38.63,38.72,38.04,38.06,459500
2023-09-06,37.95,38.42,37.44,37.73,417200
2023-09-07,37.45,37.94,37.15,37.92,324800
2023-09-08,38.02,38.5,37.82,37.99,358200
2023-09-11,38.26,38.46,38.0,38.22,539100
2023-09-12,38.01,38.63,38.01,38.44,283100
2023-09-13,38.34,38.34,37.47,37.59,501100
2023-09-14,37.62,37.63,36.88,37.19,754100
2023-09-15,37.04,37.43,36.65,37.22,1325600
2023-09-18,37.28,37.28,36.75,36.96,653200
2023-09-19,36.82,37.24,36.74,36.98,375600
2023-09-20,37.26,37.95,37.2,37.33,611500
2023-09-21,36.97,37.39,36.56,37.0,609800
2023-09-22,37.21,37.35,36.9,37.1,340300
2023-09-25,36.82,37.29,36.82,37.08,392900
2023-09-26,36.8,37.02,36.28,36.33,588500
2023-09-27,36.62,37.18,36.59,36.76,461600
2023-09-28,36.79,37.98,36.67,37.89,876700
2023-09-29,38.23,38.46,37.39,37.42,601500
2023-10-02,37.16,37.31,36.65,36.75,497800
2023-10-03,36.3,36.48,35.08,35.28,436100
2023-10-04,35.37,35.73,35.12,35.6,310200
2023-10-05,35.58,36.06,35.31,35.97,339600
2023-10-06,35.7,36.56,35.7,36.15,353000
2023-10-09,35.85,36.24,35.85,36.11,334800
2023-10-10,36.09,36.63,36.08,36.31,476900
2023-10-11,36.27,36.45,35.85,36.2,277400
2023-10-12,36.25,36.25,35.36,35.64,225000
2023-10-13,35.67,35.94,35.06,35.5,291000
2023-10-16,36.01,36.43,35.66,35.7,435200
2023-10-17,35.52,36.14,35.52,35.9,395400
2023-10-18,35.47,35.52,34.85,34.93,250800
2023-10-19,34.74,34.92,33.81,33.86,777500
2023-10-20,33.95,34.05,33.33,33.34,621500
2023-10-23,33.18,33.52,32.88,32.9,353600
2023-10-24,33.05,33.47,32.83,33.08,406500
2023-10-25,32.75,33.09,32.16,32.29,741300
2023-10-26,32.29,33.17,32.29,32.84,493500
2023-10-27,33.02,33.13,32.12,32.23,528800
2023-10-30,32.66,32.99,32.4,32.62,607700
2023-10-31,32.9,33.02,32.59,33.0,533700
2023-11-01,33.99,33.99,32.32,33.76,919100
2023-11-02,34.02,35.86,33.9,35.85,745600
2023-11-03,36.67,37.12,36.2,36.28,592000
2023-11-06,36.18,36.18,35.41,35.86,378800
2023-11-07,35.83,36.01,35.13,35.15,417800
2023-11-08,35.16,35.49,34.95,35.43,341200
2023-11-09,35.59,36.03,35.44,35.92,950000
2023-11-10,36.02,36.52,35.57,36.43,458600
2023-11-13,36.18,36.53,35.96,36.35,402700
2023-11-14,37.5,38.01,37.22,37.98,1100600
2023-11-15,37.44,38.34,37.38,37.8,1296200
2023-11-16,37.83,38.0,37.45,37.93,699100
2023-11-17,38.28,38.52,37.91,37.98,900800
2023-11-20,37.88,37.88,36.99,37.44,757400
2023-11-21,37.28,37.44,36.64,36.95,692100
2023-11-22,37.31,37.44,36.94,37.12,922500
2023-11-24,37.18,37.21,36.81,36.96,330300
2023-11-27,36.69,37.28,36.45,37.23,995600
2023-11-28,37.31,37.45,36.89,36.98,469700
2023-11-29,37.3,37.52,37.19,37.34,746900
2023-11-30,37.6,38.39,37.48,37.65,825100
2023-12-01,37.46,38.26,37.16,38.26,612900
2023-12-04,38.09,38.64,38.09,38.11,631800
2023-12-05,37.92,38.19,37.58,38.11,317900
2023-12-06,38.29,38.71,37.77,37.84,391400
