Date,Open,High,Low,Close,Volume
2023-01-13,16.59,16.65,16.41,16.49,942500
2023-01-17,16.57,16.77,16.55,16.77,870600
2023-01-18,16.73,16.78,16.37,16.47,1135200
2023-01-19,16.35,16.55,16.346,16.53,717400
2023-01-20,16.64,16.94,16.41,16.92,1136600
2023-01-23,16.95,17.26,16.865,17.26,906000
2023-01-24,17.24,17.31,17.0,17.28,774400
2023-01-25,17.2,17.4,17.14,17.37,1188100
2023-01-26,17.47,17.58,17.29,17.46,914000
2023-01-27,17.44,17.695,17.44,17.63,1198300
2023-01-30,17.48,17.596,17.32,17.4,1330600
2023-01-31,17.43,17.815,17.35,17.73,1403000
2023-02-01,17.68,18.015,17.515,17.87,1387600
2023-02-02,18.0,18.22,17.825,18.01,1644500
2023-02-03,17.84,18.0,17.76,17.83,1225100
2023-02-06,17.68,17.8,17.41,17.56,1146100
2023-02-07,17.45,17.81,17.36,17.76,3289000
2023-02-08,17.56,17.85,17.405,17.51,1642400
2023-02-09,17.6,17.69,17.31,17.36,1357200
2023-02-10,17.3,17.34,16.975,17.05,1791600
2023-02-13,17.05,17.57,16.98,17.57,1686900
2023-02-14,17.46,17.79,17.35,17.6,1674200
2023-02-15,17.49,17.785,17.48,17.7,1169900
2023-02-16,17.39,17.52,17.105,17.18,1869600
2023-02-17,17.21,17.23,16.9,17.01,1415900
2023-02-21,16.8,16.925,16.505,16.67,1720600
2023-02-22,16.55,16.855,16.2,16.61,2436600
2023-02-23,16.7,16.965,16.525,16.92,1107100
2023-02-24,16.7,16.79,16.53,16.68,1672500
2023-02-27,16.84,16.955,16.64,16.64,1797400
2023-02-28,16.68,16.915,16.5,16.51,1949100
2023-03-01,16.61,16.935,16.46,16.82,2041000
2023-03-02,16.75,16.915,16.64,16.83,920700
2023-03-03,16.94,17.1,16.825,16.9,1252300
2023-03-06,17.01,17.01,16.63,16.74,1144200
2023-03-07,16.76,16.8,16.372,16.49,1001100
2023-03-08,16.53,16.625,16.41,16.58,1144700
2023-03-09,16.61,16.61,15.76,15.79,1387200
2023-03-10,15.75,15.79,15.33,15.51,2339100
2023-03-13,15.29,15.505,15.09,15.33,2555800
2023-03-14,15.73,15.8,15.27,15.44,2319900
2023-03-15,15.05,15.43,15.01,15.32,2268100
2023-03-16,15.12,15.465,15.02,15.19,2095300
2023-03-17,15.23,15.23,14.665,14.8,3404700
2023-03-20,14.94,15.195,14.85,15.1,1662200
2023-03-21,15.31,15.41,14.995,15.01,3581600
2023-03-22,14.57,14.68,14.1,14.13,2801100
2023-03-23,14.17,14.36,13.85,13.85,1680000
2023-03-24,13.69,14.13,13.66,14.06,2626300
2023-03-27,14.29,14.38,14.12,14.23,2169500
2023-03-28,14.07,14.435,14.035,14.41,2495000
2023-03-29,14.59,14.93,14.555,14.88,2530700
2023-03-30,15.15,15.155,14.94,15.07,1691300
2023-03-31,15.22,15.54,15.185,15.52,1696500
2023-04-03,15.49,15.71,15.375,15.51,1629000
2023-04-04,15.57,15.62,15.23,15.43,985400
2023-04-05,15.29,15.39,15.19,15.29,1329500
