Date,Open,High,Low,Close,Volume
2023-01-13,45.99,46.62,45.97,46.32,83100
2023-01-17,46.28,46.63,45.84,46.01,74400
2023-01-18,46.07,46.71,45.33,45.4,85600
2023-01-19,45.03,45.32,43.38,43.42,170600
2023-01-20,43.78,44.24,43.11,44.17,95100
2023-01-23,44.09,44.84,43.67,44.14,76400
2023-01-24,44.06,44.48,43.43,44.36,147300
2023-01-25,44.15,44.48,43.72,44.44,36300
2023-01-26,44.59,44.7,44.04,44.67,57400
2023-01-27,44.63,45.29,44.63,45.01,55400
2023-01-30,44.46,45.46,44.31,45.09,65800
2023-01-31,45.43,46.88,45.43,46.84,105200
2023-02-01,46.56,47.81,46.33,47.33,100100
2023-02-02,47.43,48.4,44.65,48.03,80100
2023-02-03,47.5,48.5,47.5,48.07,77400
2023-02-06,47.9,48.02,47.18,47.39,66500
2023-02-07,47.18,48.13,47.0,47.93,68500
2023-02-08,47.44,47.88,47.17,47.37,71000
2023-02-09,47.66,47.96,46.61,46.85,66300
2023-02-10,46.87,47.0,46.53,46.69,49100
2023-02-13,46.81,47.44,46.64,47.38,50500
2023-02-14,47.05,47.51,46.51,46.99,88700
2023-02-15,46.83,47.72,46.45,47.5,71900
2023-02-16,46.8,47.64,46.64,47.27,46700
2023-02-17,47.5,47.7,46.84,47.58,77500
2023-02-21,47.06,47.06,45.62,45.74,119500
2023-02-22,46.06,46.48,45.64,45.97,134500
2023-02-23,46.05,46.65,45.87,46.36,59700
2023-02-24,45.7,46.11,45.25,45.88,117900
2023-02-27,46.17,46.56,45.54,45.73,95900
2023-02-28,45.7,46.19,45.65,45.76,188700
2023-03-01,45.72,46.49,45.61,46.37,88200
2023-03-02,45.95,47.0,45.24,46.93,96600
2023-03-03,47.1,48.17,46.13,47.79,87200
2023-03-06,47.49,47.6,45.38,46.1,156700
2023-03-07,46.03,46.37,45.43,45.79,83800
2023-03-08,45.75,45.97,45.26,45.62,82900
2023-03-09,45.59,45.84,44.98,44.98,73500
2023-03-10,44.71,44.71,42.86,43.51,112900
2023-03-13,42.58,42.58,41.02,41.37,210900
2023-03-14,42.67,42.91,41.78,42.58,181700
2023-03-15,41.26,42.03,40.73,41.36,170300
2023-03-16,40.71,41.52,40.08,41.31,225000
2023-03-17,40.67,41.02,39.53,39.82,610100
2023-03-20,40.37,41.54,40.37,41.35,173500
2023-03-21,42.05,42.6,41.54,42.05,197100
2023-03-22,42.09,42.67,41.37,41.43,154700
2023-03-23,41.47,42.24,40.66,40.99,163800
2023-03-24,40.67,41.92,39.98,41.29,173000
2023-03-27,41.81,42.29,41.45,42.06,116900
2023-03-28,42.05,42.48,42.0,42.34,151600
2023-03-29,42.91,42.95,42.06,42.47,124300
2023-03-30,42.72,43.03,42.22,42.23,114100
2023-03-31,42.48,43.58,42.48,43.25,376200
2023-04-03,43.22,43.87,42.77,43.75,184500
2023-04-04,43.7,43.7,41.86,42.47,464500
2023-04-05,42.36,42.63,41.8,41.99,166800
2023-04-06,42.08,42.3,41.77,42.19,206700
2023-04-10,42.19,42.76,41.83,42.32,248100
2023-04-11,42.3,42.99,42.3,42.4,460100
2023-04-12,41.78,43.04,41.14,41.75,360400
2023-04-13,42.14,42.71,41.78,42.32,430600
2023-04-14,42.45,42.91,42.04,42.2,246500
2023-04-17,42.38,43.65,42.38,43.58,185100
2023-04-18,43.66,43.97,43.25,43.77,158700
2023-04-19,43.62,44.27,43.62,44.02,131100
2023-04-20,43.83,44.09,43.29,43.81,549500
2023-04-21,43.96,44.16,43.46,43.57,156500
2023-04-24,43.62,44.09,42.85,43.18,97500
2023-04-25,42.73,43.2,42.19,42.28,163700
2023-04-26,41.92,42.19,40.91,41.53,180500
2023-04-27,41.55,42.34,41.55,42.14,124400
2023-04-28,42.06,42.81,42.06,42.56,159000
2023-05-01,42.56,43.24,42.14,42.26,178000
2023-05-02,42.1,42.1,41.5,41.86,104800
2023-05-03,41.86,42.57,41.03,41.06,118200
2023-05-04,40.72,40.72,39.2,39.34,136400
2023-05-05,40.11,40.54,39.46,40.07,104500
2023-05-08,39.9,40.22,39.36,39.65,201600
2023-05-09,39.47,39.74,39.07,39.37,82100
2023-05-10,40.03,40.35,38.79,39.13,95300
2023-05-11,38.64,38.68,38.16,38.19,78800
2023-05-12,38.37,38.89,38.24,38.7,89800
2023-05-15,38.74,39.38,38.55,39.01,107700
2023-05-16,38.73,38.97,38.19,38.21,86700
2023-05-17,38.41,39.03,38.36,38.78,127000
2023-05-18,38.86,39.31,38.68,39.02,146800
2023-05-19,39.57,39.57,38.44,38.79,111300
2023-05-22,38.96,39.24,38.59,39.13,109400
2023-05-23,38.92,39.3,38.73,38.76,85300
2023-05-24,38.74,38.75,38.01,38.31,107600
2023-05-25,38.17,38.51,37.91,38.12,121300
2023-05-26,38.16,38.73,38.05,38.5,110100
2023-05-30,38.51,38.51,37.45,37.71,98900
2023-05-31,37.4,37.74,36.62,36.91,239900
2023-06-01,37.07,37.89,36.74,37.5,102900
2023-06-02,38.08,40.0,38.08,39.93,117400
2023-06-05,39.62,39.85,38.49,39.33,112700
2023-06-06,38.94,41.06,38.94,40.89,131600
2023-06-07,41.27,42.97,41.27,42.81,135900
2023-06-08,42.55,42.76,41.82,42.01,108300
2023-06-09,41.94,42.05,41.27,41.47,89700
2023-06-12,41.61,42.43,41.37,42.12,95600
2023-06-13,42.11,43.28,42.11,42.82,144500
2023-06-14,43.05,43.33,41.99,42.22,103700
2023-06-15,42.15,43.16,42.15,43.16,123300
2023-06-16,43.2,43.35,42.68,43.15,380400
2023-06-20,43.1,43.42,40.88,43.15,106500
2023-06-21,42.93,43.62,42.82,43.58,131700
2023-06-22,43.42,43.84,43.05,43.77,172900
2023-06-23,47.0,48.29,46.51,46.89,847800
2023-06-26,47.02,48.73,47.02,47.78,268700
2023-06-27,48.09,48.5,47.55,48.02,152500
2023-06-28,48.02,48.14,47.41,47.62,126500
2023-06-29,47.63,48.36,47.63,47.88,116400
2023-06-30,48.39,48.39,47.46,47.47,138200
2023-07-03,47.3,47.72,46.91,47.56,59600
2023-07-05,47.29,47.54,46.59,47.03,212700
2023-07-06,46.81,47.41,45.79,46.94,202600
2023-07-07,46.97,47.99,46.97,47.76,176300
2023-07-10,47.93,48.67,47.8,47.91,147600
2023-07-11,47.7,48.34,47.54,48.27,125200
2023-07-12,48.75,49.0,48.41,48.55,100700
2023-07-13,48.41,48.64,47.59,47.87,96100
2023-07-14,47.78,47.78,47.1,47.54,95800
2023-07-17,47.54,47.95,47.42,47.59,173600
2023-07-18,47.56,48.29,47.23,47.38,107500
2023-07-19,47.1,47.29,46.69,46.73,217400
2023-07-20,46.95,46.95,46.2,46.47,174600
2023-07-21,46.64,46.75,45.73,45.82,95500
2023-07-24,45.79,46.37,45.68,46.05,97400
2023-07-25,45.8,46.4,45.79,45.89,76700
2023-07-26,45.72,46.73,45.67,46.7,113700
2023-07-27,46.77,46.99,46.2,46.92,128200
2023-07-28,47.08,47.51,46.87,47.49,103700
2023-07-31,47.53,49.67,47.53,49.53,202300
2023-08-01,49.51,49.62,48.81,49.62,199500
2023-08-02,49.36,49.86,49.13,49.8,110600
2023-08-03,49.5,49.67,49.09,49.5,150200
2023-08-04,49.5,49.9,48.88,49.46,207900
2023-08-07,49.66,50.21,49.33,50.16,120200
2023-08-08,49.64,49.99,48.94,49.78,126900
2023-08-09,49.71,49.91,49.22,49.79,86900
2023-08-10,49.68,50.0,49.64,49.93,103000
2023-08-11,49.96,50.47,49.71,50.3,120400
2023-08-14,50.01,50.1,49.5,49.96,145700
2023-08-15,49.73,50.65,49.33,50.61,122800
2023-08-16,50.32,51.17,49.93,50.14,90700
2023-08-17,50.14,50.46,48.99,49.33,214500
2023-08-18,49.03,49.45,48.95,49.35,240300
2023-08-21,49.18,49.69,48.81,49.65,158900
2023-08-22,49.77,50.0,49.33,49.78,106100
2023-08-23,49.78,50.53,49.78,50.38,141500
2023-08-24,50.05,50.53,49.72,49.97,116500
2023-08-25,50.03,50.25,49.23,49.87,119500
2023-08-28,50.1,50.52,49.5,49.57,119400
2023-08-29,49.58,50.45,49.26,50.3,65700
2023-08-30,50.2,50.94,50.2,50.46,68900
2023-08-31,50.44,50.97,50.44,50.46,92300
2023-09-01,50.78,51.69,50.78,51.17,101700
2023-09-05,50.8,50.8,48.24,49.41,99400
2023-09-06,49.52,49.97,48.37,48.72,68400
2023-09-07,48.74,49.03,48.3,48.74,145800
2023-09-08,48.65,49.37,48.65,49.04,102000
2023-09-11,49.2,49.37,48.64,48.73,105400
2023-09-12,48.79,49.33,48.47,48.5,92200
2023-09-13,48.63,49.25,47.41,47.81,114700
2023-09-14,48.06,48.65,47.66,48.39,117500
2023-09-15,48.62,49.01,47.85,48.33,853300
2023-09-18,48.49,49.47,48.33,49.31,232200
2023-09-19,49.64,51.64,48.83,49.36,281700
2023-09-20,49.5,49.56,48.35,48.4,171700
2023-09-21,48.28,48.89,46.99,48.11,150200
2023-09-22,48.05,48.46,47.49,47.54,127000
2023-09-25,47.19,47.79,46.84,47.04,144300
2023-09-26,46.87,47.25,46.14,46.36,124400
2023-09-27,46.56,47.16,46.55,47.03,74000
2023-09-28,46.91,48.75,46.91,48.36,253900
2023-09-29,48.53,48.56,46.9,47.08,128000
2023-10-02,46.94,47.02,45.95,46.14,150500
2023-10-03,45.95,46.06,45.25,45.4,131700
2023-10-04,45.3,46.02,45.25,45.53,216100
2023-10-05,45.68,46.52,44.84,45.16,185200
2023-10-06,46.03,47.32,45.6,45.9,315800
2023-10-09,45.72,46.38,45.62,45.95,127000
2023-10-10,46.04,46.94,46.04,46.16,132300
2023-10-11,46.23,46.93,46.17,46.71,167500
2023-10-12,46.65,46.68,44.93,45.54,337000
2023-10-13,45.56,45.56,44.44,44.78,94900
2023-10-16,45.09,45.51,44.53,45.05,201900
2023-10-17,44.96,45.51,44.75,45.09,153400
2023-10-18,44.65,44.75,43.39,43.43,102200
2023-10-19,43.18,43.38,42.49,42.55,175200
