Date,Open,High,Low,Close,Volume
2023-01-13,119.0,120.22,117.0,119.59,91200
2023-01-17,119.5,121.56,116.85,119.21,86700
2023-01-18,120.64,121.04,116.65,117.17,66200
2023-01-19,116.04,117.31,113.11,113.93,108400
2023-01-20,115.25,116.18,113.29,116.14,80900
2023-01-23,116.08,117.8,114.76,116.84,67600
2023-01-24,117.22,119.74,114.97,119.07,71100
2023-01-25,118.04,118.2,110.89,113.02,125800
2023-01-26,113.36,115.4,110.94,114.94,85400
2023-01-27,112.75,112.75,102.846,106.01,537200
2023-01-30,104.86,113.745,104.398,113.41,218100
2023-01-31,113.57,115.15,110.31,112.33,165400
2023-02-01,113.27,119.07,110.25,116.98,146500
2023-02-02,119.0,121.6,113.02,119.46,93000
2023-02-03,117.27,120.695,116.96,117.55,80000
2023-02-06,116.62,117.9,115.62,116.44,58900
2023-02-07,116.09,122.36,114.7,122.12,119600
2023-02-08,121.6,125.84,121.12,124.57,110000
2023-02-09,125.91,127.62,124.08,124.24,85400
2023-02-10,123.05,126.04,122.57,124.31,72400
2023-02-13,124.48,127.6,123.87,125.81,94600
2023-02-14,125.43,128.84,125.43,126.59,73900
2023-02-15,125.42,130.17,125.3,129.88,94000
2023-02-16,128.17,131.11,126.32,127.86,74900
2023-02-17,127.84,131.74,125.45,131.52,184000
2023-02-21,130.0,130.32,126.98,128.92,190900
2023-02-22,129.22,131.4,126.76,127.67,168700
2023-02-23,129.14,131.38,126.11,131.24,126800
2023-02-24,129.24,131.97,127.5,130.44,109100
2023-02-27,130.74,133.42,129.59,132.02,116600
2023-02-28,131.54,135.81,130.37,132.06,164900
2023-03-01,132.78,134.635,128.335,129.74,152600
2023-03-02,128.95,131.22,128.29,129.65,114200
2023-03-03,128.46,130.96,123.14,129.58,209500
2023-03-06,129.61,131.78,127.89,131.23,100200
2023-03-07,131.75,133.74,126.65,126.86,140200
2023-03-08,127.39,129.52,125.61,127.73,67000
2023-03-09,127.04,128.34,121.61,121.79,102200
2023-03-10,121.18,121.18,114.39,116.66,114700
2023-03-13,114.71,118.8,113.58,116.9,205500
2023-03-14,119.76,122.77,117.46,119.14,109300
2023-03-15,117.1,120.28,116.13,120.21,97300
2023-03-16,119.26,123.57,119.26,121.13,108400
2023-03-17,120.57,120.57,113.81,117.11,296900
2023-03-20,117.13,118.12,115.64,117.98,94500
2023-03-21,119.84,120.44,117.41,120.44,88300
2023-03-22,119.99,120.46,116.2,116.57,125500
2023-03-23,116.91,119.07,115.74,118.02,101200
2023-03-24,117.8,118.93,115.26,118.61,104300
2023-03-27,119.3,120.79,116.535,119.94,113300
2023-03-28,119.31,120.7,118.44,120.15,95600
2023-03-29,120.87,122.27,119.605,122.05,104000
2023-03-30,122.97,123.8,121.55,123.31,123900
2023-03-31,123.94,126.74,123.0,124.48,166700
2023-04-03,124.61,127.86,123.6,127.59,103400
2023-04-04,128.18,129.6,125.785,126.76,92600
2023-04-05,125.52,126.15,121.21,123.14,115700
2023-04-06,122.48,125.75,121.09,125.49,66500
2023-04-10,124.48,127.28,123.76,127.02,92100
2023-04-11,127.27,128.19,125.01,127.74,83100
2023-04-12,128.64,128.64,125.77,126.62,72300
2023-04-13,127.44,129.59,125.8,128.68,52200
2023-04-14,127.86,129.74,126.22,128.1,71800
2023-04-17,128.29,129.98,127.8,129.63,54400
2023-04-18,130.93,131.07,129.53,130.02,55100
2023-04-19,129.05,132.34,127.83,131.89,100500
2023-04-20,131.66,132.845,127.51,129.77,107000
2023-04-21,129.37,133.8,129.0,133.22,67500
2023-04-24,132.33,133.78,129.41,131.84,97200
2023-04-25,130.37,131.55,124.33,124.47,110800
2023-04-26,124.43,126.12,124.02,124.86,89700
2023-04-27,124.46,128.95,123.36,128.85,159200
2023-04-28,135.62,148.17,134.315,139.62,435400
2023-05-01,139.08,141.56,136.576,139.94,145700
2023-05-02,139.58,139.835,137.53,137.53,75100
2023-05-03,138.0,140.48,136.515,136.64,77300
2023-05-04,135.83,137.89,133.83,133.89,75000
2023-05-05,135.38,138.61,134.17,137.14,72900
