Date,Open,High,Low,Close,Volume
2023-01-13,77.49,78.53,77.28,78.1,116800
2023-01-17,78.02,78.4,76.05,76.29,144900
2023-01-18,76.53,79.35,76.35,77.23,199600
2023-01-19,76.44,77.06,74.75,75.98,170200
2023-01-20,77.0,79.33,76.06,79.29,216300
2023-01-23,79.5,82.08,79.24,81.43,153400
2023-01-24,80.55,82.64,80.48,82.1,117100
2023-01-25,81.3,81.3,79.72,80.85,231600
2023-01-26,81.51,82.33,79.65,80.64,125400
2023-01-27,80.49,85.16,79.71,83.85,236600
2023-01-30,82.58,83.75,80.46,80.48,181100
2023-01-31,80.46,83.74,80.46,83.45,214300
2023-02-01,83.95,88.5,83.92,87.83,363300
2023-02-02,87.75,92.42,87.61,90.15,408300
2023-02-03,79.92,89.69,78.37,86.7,484300
2023-02-06,86.89,88.64,85.78,86.38,191000
2023-02-07,91.35,103.57,91.35,101.39,1356800
2023-02-08,100.45,102.99,100.15,102.89,422400
2023-02-09,103.1,103.53,100.62,101.86,550400
2023-02-10,100.39,101.48,99.25,100.8,349500
2023-02-13,99.53,100.3,97.4,98.61,356400
2023-02-14,98.3,102.42,97.32,101.52,280400
2023-02-15,100.1,103.04,100.1,102.43,234900
2023-02-16,100.7,103.52,99.99,101.61,250300
2023-02-17,101.54,103.46,101.0,102.18,222600
2023-02-21,100.2,101.42,98.02,98.28,178600
2023-02-22,98.06,99.2,96.27,96.72,275300
2023-02-23,97.65,100.72,96.11,97.53,258400
2023-02-24,95.55,97.7,94.6,97.25,162200
2023-02-27,98.68,99.56,97.16,97.25,125900
2023-02-28,96.75,98.68,96.07,96.2,208400
2023-03-01,97.5,102.12,97.48,98.48,423700
2023-03-02,97.25,102.22,96.62,102.2,259000
2023-03-03,101.85,104.06,100.55,103.92,282800
2023-03-06,103.76,104.87,101.41,101.72,258100
2023-03-07,101.33,102.16,99.97,101.81,303200
2023-03-08,101.24,102.68,99.75,101.62,251700
2023-03-09,101.31,102.56,98.87,99.21,195200
2023-03-10,98.75,98.77,95.59,96.57,205700
2023-03-13,93.73,94.99,90.81,93.54,321800
2023-03-14,96.5,97.56,90.4,93.1,305400
2023-03-15,90.0,92.5,89.53,90.79,303800
2023-03-16,89.75,93.6,89.4,93.39,207500
2023-03-17,93.06,93.29,87.85,88.48,900800
2023-03-20,88.81,90.51,86.37,87.62,291700
2023-03-21,89.82,92.27,88.89,90.99,233700
2023-03-22,90.99,93.27,90.02,90.22,271000
2023-03-23,90.33,91.81,88.45,89.02,200800
2023-03-24,87.81,89.92,87.34,89.69,188800
2023-03-27,91.0,91.95,90.2,90.97,170600
2023-03-28,90.31,91.59,90.24,91.0,103400
2023-03-29,92.0,92.13,90.07,90.79,145000
2023-03-30,91.33,91.95,90.44,90.72,141300
2023-03-31,91.43,92.87,90.67,92.42,236400
2023-04-03,92.14,93.15,89.27,91.46,251100
2023-04-04,91.45,91.45,87.95,88.87,351300
2023-04-05,88.07,88.92,86.5,88.54,214800
2023-04-06,88.24,90.29,88.0,89.59,276300
2023-04-10,88.86,93.57,88.12,93.4,270500
