Date,Open,High,Low,Close,Volume
2023-01-13,3.83,3.94,3.79,3.93,538400
2023-01-17,3.87,4.07,3.87,4.02,533700
2023-01-18,4.07,4.17,4.04,4.05,430200
2023-01-19,4.02,4.05,3.81,3.89,551200
2023-01-20,3.94,3.98,3.83,3.87,832700
2023-01-23,3.87,3.95,3.82,3.9,643600
2023-01-24,3.94,3.94,3.75,3.77,309800
2023-01-25,3.73,3.75,3.57,3.74,263900
2023-01-26,3.74,3.8,3.65,3.72,472400
2023-01-27,3.71,3.78,3.67,3.72,429000
2023-01-30,3.66,3.77,3.61,3.68,292300
2023-01-31,3.72,3.83,3.68,3.75,1108100
2023-02-01,3.76,3.91,3.64,3.88,1359200
2023-02-02,3.95,4.33,3.94,4.31,1115000
2023-02-03,4.2,4.41,4.19,4.32,570900
2023-02-06,4.32,4.33,4.2,4.2,369300
2023-02-07,4.2,4.4,4.13,4.39,463400
2023-02-08,4.35,4.44,4.29,4.31,511600
2023-02-09,4.38,4.46,4.21,4.21,416300
2023-02-10,4.17,4.25,4.15,4.21,272600
2023-02-13,4.22,4.28,4.16,4.23,291500
2023-02-14,4.19,4.36,4.17,4.29,361200
2023-02-15,4.27,4.4,4.26,4.4,263600
2023-02-16,4.32,4.37,4.28,4.32,294700
2023-02-17,4.35,4.39,4.31,4.37,270200
2023-02-21,4.33,4.36,4.12,4.12,368200
2023-02-22,4.12,4.19,3.97,4.0,504300
2023-02-23,4.03,4.06,3.89,3.96,653500
2023-02-24,3.87,3.91,3.79,3.84,420600
2023-02-27,3.89,3.89,3.75,3.82,453300
2023-02-28,3.85,3.86,3.78,3.8,827100
2023-03-01,3.8,3.81,3.6,3.65,737800
2023-03-02,3.63,3.72,3.58,3.7,736500
2023-03-03,3.75,3.77,3.67,3.73,756400
2023-03-06,3.75,3.77,3.58,3.62,1827200
2023-03-07,3.6,3.66,3.37,3.57,1669600
2023-03-08,4.15,5.42,4.15,5.36,15255600
2023-03-09,5.23,6.03,5.16,5.96,6277900
2023-03-10,5.92,6.08,5.59,5.61,3141100
2023-03-13,5.47,5.58,5.27,5.3,1582700
2023-03-14,5.46,5.5,5.3,5.47,979900
2023-03-15,5.35,5.77,5.32,5.74,1378500
2023-03-16,5.67,6.05,5.6,5.89,1391200
2023-03-17,5.89,5.96,5.69,5.77,2036900
2023-03-20,5.75,5.81,5.42,5.43,841800
2023-03-21,5.48,5.74,5.47,5.7,795500
2023-03-22,5.71,5.91,5.65,5.74,918500
2023-03-23,5.8,5.85,5.58,5.59,947100
2023-03-24,5.59,5.64,5.39,5.4,869900
2023-03-27,5.41,5.55,5.31,5.49,775000
2023-03-28,5.45,5.54,5.36,5.42,674700
2023-03-29,5.47,5.87,5.43,5.72,1165700
2023-03-30,5.75,5.85,5.65,5.83,719100
2023-03-31,5.88,6.15,5.88,6.06,1131700
2023-04-03,6.04,6.18,5.81,6.03,1061300
2023-04-04,6.07,6.33,6.02,6.27,1079600
2023-04-05,6.2,6.38,6.16,6.29,935400
2023-04-06,6.25,6.57,6.25,6.52,1162200
2023-04-10,6.48,6.62,6.37,6.54,1048500
2023-04-11,6.61,6.62,6.35,6.4,654000
2023-04-12,6.49,6.62,6.35,6.39,792800
2023-04-13,6.46,6.61,6.46,6.54,653800
2023-04-14,6.51,6.6,6.35,6.41,476500
2023-04-17,6.43,6.55,6.33,6.49,479500
2023-04-18,6.49,6.55,6.36,6.46,358400
2023-04-19,6.37,6.47,6.3,6.45,503300
2023-04-20,6.35,6.45,6.32,6.43,503000
2023-04-21,6.41,6.81,6.38,6.71,1074900
2023-04-24,6.65,6.68,6.44,6.52,841000
2023-04-25,6.48,6.52,6.18,6.23,799400
2023-04-26,6.23,6.4,6.19,6.37,650100
2023-04-27,6.45,6.45,6.27,6.4,598300
2023-04-28,6.41,6.51,6.35,6.44,586900
2023-05-01,6.45,6.7,6.44,6.63,692900
2023-05-02,6.57,6.58,6.25,6.33,616700
2023-05-03,6.31,6.54,6.24,6.47,708000
2023-05-04,6.4,6.62,6.28,6.49,629600
2023-05-05,6.58,6.77,6.56,6.69,783100
2023-05-08,6.73,6.97,6.7,6.89,773900
2023-05-09,6.85,6.98,6.82,6.9,624100
2023-05-10,6.95,7.14,6.88,7.11,848900
2023-05-11,7.14,7.17,7.01,7.05,1283300
2023-05-12,7.41,9.31,7.35,8.97,7089400
2023-05-15,8.94,9.54,8.72,9.45,3451400
2023-05-16,9.26,9.49,9.16,9.19,1904900
2023-05-17,9.37,9.45,9.19,9.26,1576700
2023-05-18,9.27,9.69,9.23,9.64,1928900
2023-05-19,9.75,9.81,9.09,9.25,1228100
2023-05-22,9.3,9.41,9.08,9.26,1158900
2023-05-23,9.28,9.6,9.2,9.25,1061900
2023-05-24,9.1,9.35,9.04,9.16,803900
