Date,Open,High,Low,Close,Volume
2023-02-06,1.88,2.04,1.87,1.93,2300600
2023-02-07,1.95,1.95,1.81,1.88,1220500
2023-02-08,1.89,1.905,1.79,1.81,1151900
2023-02-09,1.84,1.895,1.74,1.76,1364300
2023-02-10,1.8,1.8,1.72,1.75,967500
2023-02-13,1.78,1.805,1.71,1.79,798700
2023-02-14,1.79,1.82,1.74,1.79,710900
2023-02-15,1.77,1.81,1.74,1.8,710100
2023-02-16,1.8,1.84,1.75,1.81,400500
2023-02-17,1.81,1.915,1.8,1.89,664800
2023-02-21,1.9,1.9,1.73,1.73,754600
2023-02-22,1.77,1.77,1.68,1.74,900100
2023-02-23,1.78,1.78,1.65,1.7,774300
2023-02-24,1.71,1.71,1.6,1.62,789300
2023-02-27,1.63,1.7,1.63,1.66,829400
2023-02-28,1.67,1.695,1.58,1.68,1227400
2023-03-01,1.69,1.69,1.56,1.61,1216000
2023-03-02,1.58,1.605,1.54,1.55,879000
2023-03-03,1.55,1.59,1.51,1.56,1092400
2023-03-06,1.57,1.67,1.53,1.56,920400
2023-03-07,1.56,1.56,1.45,1.51,1096300
2023-03-08,1.52,1.525,1.43,1.48,615300
2023-03-09,1.48,1.49,1.325,1.375,1545200
2023-03-10,1.37,1.383,1.305,1.33,1062200
2023-03-13,1.32,1.32,1.22,1.25,1702900
2023-03-14,1.26,1.3,1.15,1.18,1524800
2023-03-15,1.18,1.245,1.14,1.23,949600
2023-03-16,1.21,1.25,1.162,1.25,767300
2023-03-17,1.24,1.25,1.15,1.22,868900
2023-03-20,1.22,1.245,1.16,1.19,962300
2023-03-21,1.23,1.28,1.18,1.23,673200
2023-03-22,1.26,1.26,1.17,1.17,698300
2023-03-23,1.2,1.25,1.18,1.19,662400
2023-03-24,1.2,1.26,1.18,1.25,960100
2023-03-27,1.29,1.4,1.268,1.37,1269800
2023-03-28,1.4,1.41,1.3,1.33,1791700
2023-03-29,1.398,1.62,1.38,1.59,3141200
2023-03-30,1.65,1.7,1.55,1.6,2747100
2023-03-31,1.73,1.88,1.7,1.81,4340200
2023-04-03,1.905,1.93,1.775,1.9,2424200
2023-04-04,1.95,1.95,1.68,1.76,1692500
2023-04-05,1.76,1.79,1.66,1.68,706800
2023-04-06,1.7,1.78,1.64,1.78,1147300
2023-04-10,1.77,1.77,1.65,1.69,946800
2023-04-11,1.76,1.841,1.735,1.78,1389400
2023-04-12,1.886,1.91,1.77,1.82,1387500
2023-04-13,1.82,2.05,1.8,2.0,1848700
2023-04-14,2.01,2.07,1.855,1.88,1447600
2023-04-17,1.88,1.995,1.87,1.95,845500
2023-04-18,1.99,2.05,1.842,2.01,1633400
2023-04-19,2.04,2.08,1.86,2.05,2064600
2023-04-20,2.05,2.247,2.031,2.19,2600700
2023-04-21,2.25,2.25,2.14,2.17,1684600
2023-04-24,2.13,2.165,1.94,1.97,1451200
2023-04-25,1.95,1.96,1.85,1.86,759700
2023-04-26,1.86,1.925,1.765,1.87,976500
2023-04-27,1.88,1.9,1.8,1.87,865700
