Date,Open,High,Low,Close,Volume
2023-05-26,21.67,22.5,21.51,21.65,6277900
2023-05-30,21.27,21.9,21.0,21.67,892600
2023-05-31,21.56,21.9,20.05,20.74,795300
2023-06-01,20.5,20.72,19.1,19.99,935700
2023-06-02,20.22,20.99,20.0,20.59,2075600
2023-06-05,20.65,21.695,20.63,21.2,477700
2023-06-06,21.08,21.29,20.49,20.73,171600
2023-06-07,20.59,20.83,20.13,20.51,234700
2023-06-08,20.5,20.555,19.94,20.22,317900
2023-06-09,20.2,20.43,19.75,19.92,314100
2023-06-12,19.95,20.18,19.75,20.02,214900
2023-06-13,20.0,20.16,19.75,19.95,417300
2023-06-14,20.01,20.11,19.87,20.0,202400
2023-06-15,19.9,20.618,19.88,19.94,316500
2023-06-16,20.0,20.16,19.5,19.52,373800
2023-06-20,20.2,21.06,19.92,19.95,1609100
2023-06-21,20.03,20.73,19.57,20.73,698300
2023-06-22,20.78,21.98,20.52,21.51,694300
2023-06-23,21.32,22.38,21.029,22.02,724900
2023-06-26,22.46,23.57,22.12,22.97,643000
2023-06-27,23.18,23.78,22.68,22.8,679400
2023-06-28,22.8,23.02,21.68,21.84,328800
2023-06-29,21.96,22.71,21.6,22.49,438800
2023-06-30,22.72,23.0,21.9,21.96,308800
2023-07-03,21.83,23.28,21.8,23.1,1267200
2023-07-05,23.21,23.42,22.72,23.12,205300
2023-07-06,23.09,23.18,22.5,22.53,356200
2023-07-07,22.53,23.12,22.1,22.81,417200
2023-07-10,23.0,23.84,22.5,22.92,414500
2023-07-11,23.07,23.68,22.69,23.04,361900
2023-07-12,23.34,24.14,22.98,23.78,547200
2023-07-13,23.79,24.28,23.57,24.1,230500
2023-07-14,24.18,24.2,23.38,23.56,247800
2023-07-17,23.53,24.19,23.21,23.65,186800
2023-07-18,23.71,24.2,23.46,23.91,205400
2023-07-19,24.02,24.66,23.72,24.06,174300
2023-07-20,24.03,24.23,23.14,24.0,387200
2023-07-21,24.09,24.78,23.571,24.31,176400
2023-07-24,24.23,25.2,23.81,24.67,576400
2023-07-25,24.71,25.06,24.175,24.5,307800
2023-07-26,24.51,25.17,24.34,24.52,240900
2023-07-27,24.44,24.98,24.18,24.34,401100
2023-07-28,24.46,24.65,24.08,24.5,147300
2023-07-31,24.34,24.465,23.55,23.85,494100
2023-08-01,23.95,24.32,23.7,24.29,211000
2023-08-02,24.0,24.26,23.68,23.96,190800
2023-08-03,23.85,23.85,22.76,23.21,202700
2023-08-04,23.18,23.3,22.23,22.28,329400
2023-08-07,22.39,22.815,21.8,22.63,203000
2023-08-08,22.32,23.32,22.125,22.95,257300
2023-08-09,24.46,24.595,23.035,23.4,389100
2023-08-10,23.64,24.15,23.25,23.32,172500
2023-08-11,23.29,23.595,23.065,23.54,126500
2023-08-14,23.5,23.8,23.28,23.7,213200
2023-08-15,23.55,23.55,22.76,23.24,182100
2023-08-16,23.14,23.262,22.78,22.86,120600
2023-08-17,22.77,23.18,22.6,23.0,152100
2023-08-18,22.66,22.95,22.08,22.43,343100
2023-08-21,22.4,22.78,21.78,21.92,380300
2023-08-22,22.0,22.36,21.77,21.96,145300
2023-08-23,21.94,22.31,21.911,22.09,114200
2023-08-24,22.03,22.39,22.01,22.04,156900
2023-08-25,22.12,22.675,21.98,22.38,212700
2023-08-28,22.48,22.835,22.18,22.35,204400
2023-08-29,22.28,22.95,22.1,22.35,341400
2023-08-30,22.35,23.055,22.195,22.98,510400
2023-08-31,22.6,23.15,22.6,23.05,564300
2023-09-01,23.07,23.41,23.07,23.27,244600
2023-09-05,23.255,23.53,22.09,22.18,394100
2023-09-06,22.14,22.76,22.03,22.76,604200
2023-09-07,22.32,22.89,22.03,22.73,581500
