Date,Open,High,Low,Close,Volume
2023-01-13,113.21,114.31,113.21,113.97,177700
2023-01-17,114.18,114.53,112.83,114.06,204500
2023-01-18,114.49,114.6,111.92,111.97,118900
2023-01-19,111.59,112.41,110.33,111.99,177400
2023-01-20,112.46,113.29,111.69,113.29,180800
2023-01-23,113.2,113.73,112.46,113.36,165500
2023-01-24,113.03,113.15,111.76,112.84,172600
2023-01-25,111.84,112.51,110.49,112.07,181200
2023-01-26,112.51,112.89,111.82,112.79,139000
2023-01-27,112.51,112.94,111.86,112.73,204300
2023-01-30,111.71,113.33,111.46,113.25,200200
2023-01-31,113.83,116.32,113.32,115.64,630900
2023-02-01,114.45,118.06,114.39,117.09,190900
2023-02-02,117.09,118.34,116.58,117.3,271600
2023-02-03,116.59,116.59,115.21,115.42,284100
2023-02-06,114.56,115.5,113.44,113.44,180400
2023-02-07,112.67,112.83,110.71,112.19,189100
2023-02-08,111.72,112.16,110.55,110.56,138800
2023-02-09,111.48,111.81,109.24,109.25,180200
2023-02-10,109.0,109.22,107.89,109.21,217900
2023-02-13,109.4,110.54,109.25,109.8,184900
2023-02-14,109.8,111.2,109.66,109.76,122500
2023-02-15,108.82,110.4,108.57,110.39,155200
2023-02-16,108.72,111.53,108.18,110.69,372200
2023-02-17,115.0,121.28,114.02,116.69,590700
2023-02-21,116.5,116.5,113.11,115.08,463900
2023-02-22,114.61,116.0,114.43,114.72,257700
2023-02-23,114.81,115.56,113.08,114.56,196400
2023-02-24,113.8,115.04,112.99,114.77,215100
2023-02-27,115.84,117.25,115.51,116.69,215300
2023-02-28,116.65,118.11,116.59,116.72,261500
2023-03-01,116.18,117.61,116.18,117.46,194700
2023-03-02,117.42,119.0,117.23,118.58,205000
2023-03-03,118.97,120.25,117.85,120.25,225400
2023-03-06,120.13,120.19,116.58,116.83,265900
2023-03-07,116.71,117.34,116.22,116.67,247100
2023-03-08,116.41,116.7,115.17,115.33,281700
2023-03-09,115.96,116.41,114.53,114.57,189700
2023-03-10,114.64,114.64,112.28,112.56,201400
2023-03-13,111.45,113.11,111.45,111.97,245400
2023-03-14,113.87,115.26,113.49,115.08,261500
2023-03-15,113.46,113.75,110.17,111.38,256200
2023-03-16,110.22,113.28,109.95,112.68,209200
2023-03-17,112.92,112.92,109.95,110.76,393800
2023-03-20,111.8,113.47,111.8,112.78,146400
2023-03-21,114.13,114.22,112.47,113.02,141200
2023-03-22,112.8,114.22,112.14,112.25,176700
2023-03-23,112.15,113.45,110.81,111.72,156900
2023-03-24,111.02,112.99,110.02,112.97,148800
2023-03-27,113.46,114.84,113.46,113.98,170100
2023-03-28,113.77,115.12,113.14,115.02,189800
2023-03-29,115.69,115.94,115.16,115.87,138700
2023-03-30,116.28,116.77,115.05,115.95,148000
2023-03-31,116.52,118.27,116.52,118.19,206300
2023-04-03,117.93,118.81,117.65,118.65,151100
2023-04-04,118.5,118.5,116.78,117.67,183100
2023-04-05,117.74,119.2,117.23,119.08,249700
2023-04-06,119.34,119.34,117.93,119.06,159300
2023-04-10,118.38,119.22,117.97,119.1,174600
2023-04-11,119.2,119.99,118.83,119.05,121800
2023-04-12,119.33,119.67,118.19,118.39,134300
2023-04-13,118.35,120.0,117.89,119.78,110700
2023-04-14,119.18,120.06,118.31,119.2,233600
2023-04-17,119.5,119.81,118.53,119.81,122400
2023-04-18,119.73,119.73,118.05,118.59,261700
2023-04-19,118.37,119.43,118.06,118.71,252900
2023-04-20,119.0,119.8,118.52,119.03,296800
2023-04-21,119.32,121.07,118.8,120.59,361500
2023-04-24,120.86,121.42,119.74,120.4,229600
2023-04-25,119.43,119.95,117.88,118.07,167500
2023-04-26,117.01,117.58,115.61,115.75,247200
2023-04-27,115.75,116.58,114.63,116.57,361900
2023-04-28,116.51,119.57,116.51,118.51,586700
2023-05-01,119.41,122.5,119.41,121.64,283100
2023-05-02,120.74,120.88,115.73,120.48,359200
2023-05-03,120.47,121.01,119.74,119.9,294300
2023-05-04,119.94,120.15,118.39,118.8,192500
2023-05-05,118.99,121.88,118.99,121.7,171100
2023-05-08,121.86,122.34,120.66,121.5,200400
2023-05-09,120.87,121.03,119.69,120.58,185600
2023-05-10,121.09,121.57,118.5,119.62,227200
2023-05-11,119.48,119.83,118.96,119.28,203900
2023-05-12,119.68,120.87,119.35,120.79,168400
2023-05-15,120.59,121.07,120.04,120.58,148300
2023-05-16,120.58,120.58,118.21,118.32,180800
2023-05-17,118.82,119.04,117.46,118.97,168600
2023-05-18,118.17,119.05,117.78,118.99,94000
2023-05-19,119.88,120.27,118.6,119.09,156900
2023-05-22,118.67,119.52,117.89,118.13,229600
2023-05-23,117.4,118.45,116.91,117.18,155400
2023-05-24,117.19,117.19,115.03,115.12,297800
2023-05-25,114.29,115.28,113.44,113.54,196800
2023-05-26,112.99,114.49,112.95,114.16,210200
2023-05-30,114.21,114.72,113.01,113.36,136100
2023-05-31,113.44,113.56,111.69,112.49,360800
2023-06-01,112.82,113.52,112.04,112.94,170700
2023-06-02,114.01,114.75,113.66,114.16,353000
2023-06-05,113.8,114.23,112.88,113.06,237400
2023-06-06,113.04,114.66,113.04,114.32,266900
2023-06-07,114.36,115.7,114.06,115.41,264100
2023-06-08,115.56,115.99,114.79,115.2,270500
2023-06-09,115.06,115.57,114.39,114.81,295000
2023-06-12,114.68,115.59,114.3,115.39,353000
2023-06-13,115.71,116.39,114.76,115.21,340600
2023-06-14,115.61,115.96,114.35,115.16,225200
2023-06-15,115.0,116.4,114.95,116.05,362600
2023-06-16,115.65,117.21,115.36,117.15,975300
2023-06-20,116.88,116.95,115.71,115.71,297000
2023-06-21,115.14,115.26,113.42,113.62,317800
2023-06-22,113.95,114.06,112.35,114.05,266200
2023-06-23,112.9,113.73,112.07,112.83,366000
2023-06-26,113.06,114.37,113.06,113.61,142300
2023-06-27,113.83,114.82,113.23,114.72,218300
2023-06-28,114.81,114.81,112.48,113.52,204800
2023-06-29,113.43,115.36,112.55,114.78,225900
2023-06-30,115.22,116.28,114.84,115.86,279800
2023-07-03,115.41,117.02,115.41,116.54,85700
2023-07-05,115.62,115.62,112.76,112.94,384200
2023-07-06,112.25,112.98,111.63,112.47,277700
2023-07-07,112.65,115.33,112.59,113.79,333400
2023-07-10,113.31,115.3,113.01,114.47,248000
2023-07-11,114.31,115.56,113.37,115.51,226700
2023-07-12,116.58,117.55,115.77,116.87,199400
2023-07-13,116.85,117.37,116.56,117.01,190200
2023-07-14,117.69,118.84,116.7,118.35,271600
2023-07-17,118.4,119.54,117.16,119.26,234200
2023-07-18,119.01,120.37,118.7,119.08,189100
2023-07-19,118.75,119.41,118.31,119.11,247200
2023-07-20,119.78,120.22,118.86,119.33,175800
2023-07-21,119.65,120.05,118.87,119.84,184300
2023-07-24,120.02,120.49,118.71,119.73,163400
2023-07-25,119.68,121.12,119.3,120.56,250700
2023-07-26,120.16,120.4,118.82,119.95,306900
2023-07-27,120.06,120.78,118.74,119.14,407800
2023-07-28,122.49,126.99,121.88,123.78,513000
2023-07-31,123.52,123.93,120.83,121.46,746500
2023-08-01,121.24,122.5,120.75,122.44,365300
2023-08-02,121.44,122.33,119.98,122.24,329200
2023-08-03,121.52,122.73,120.72,120.81,195900
2023-08-04,120.62,122.13,120.48,120.64,116500
2023-08-07,120.73,121.66,120.51,121.29,140300
2023-08-08,120.08,121.4,119.71,121.12,270100
2023-08-09,121.12,123.39,120.52,121.83,287500
2023-08-10,121.8,123.57,121.8,122.23,216000
2023-08-11,121.51,123.22,121.51,122.61,226500
2023-08-14,122.03,122.99,121.58,122.99,145700
2023-08-15,122.63,122.93,121.98,122.09,249000
2023-08-16,121.73,123.16,121.49,121.54,291100
2023-08-17,121.96,122.66,121.62,121.64,186600
2023-08-18,121.38,123.42,121.38,123.29,443100
2023-08-21,123.15,124.46,123.06,123.78,358800
2023-08-22,123.87,125.71,122.76,122.95,429600
2023-08-23,123.06,123.56,122.31,123.39,305000
2023-08-24,123.49,125.46,122.59,125.11,278400
2023-08-25,125.57,127.68,124.98,127.54,493000
2023-08-28,127.63,129.58,127.63,129.41,331900
2023-08-29,129.8,131.96,129.4,131.82,472400
2023-08-30,132.37,133.26,131.7,132.89,298900
2023-08-31,133.28,133.73,132.24,132.56,305800
2023-09-01,133.1,133.79,132.52,132.55,252000
2023-09-05,131.68,131.98,127.36,127.57,325300
2023-09-06,127.79,128.01,126.2,126.41,291100
2023-09-07,126.29,127.17,125.14,125.36,328600
2023-09-08,125.51,126.67,125.12,125.31,238800
2023-09-11,126.99,127.93,126.41,127.01,333500
2023-09-12,126.11,127.29,125.42,126.53,258000
2023-09-13,125.78,126.59,125.11,125.37,279300
2023-09-14,126.01,127.3,126.01,126.76,217900
2023-09-15,126.49,127.2,125.17,125.93,589200
2023-09-18,126.36,126.36,124.92,125.64,175100
2023-09-19,125.69,125.69,124.06,125.31,218600
2023-09-20,125.84,126.1,124.56,124.63,206200
2023-09-21,124.33,124.35,122.19,122.22,335700
2023-09-22,122.33,122.9,122.11,122.68,341200
2023-09-25,121.99,124.13,121.47,124.04,258800
2023-09-26,123.53,124.22,123.23,123.6,547000
2023-09-27,124.04,124.45,122.87,123.52,362400
2023-09-28,123.86,125.64,123.26,125.47,219300
2023-09-29,126.49,126.83,124.79,125.04,330900
2023-10-02,124.53,125.48,123.99,125.05,244100
2023-10-03,124.02,125.31,122.49,122.87,236300
2023-10-04,123.55,124.66,122.33,124.23,208200
2023-10-05,123.96,124.93,122.8,123.75,466700
2023-10-06,123.61,126.69,123.39,126.41,491700
2023-10-09,125.82,127.22,125.69,126.94,275700
2023-10-10,127.24,128.61,126.51,126.54,322000
2023-10-11,127.53,127.7,126.65,127.53,212900
2023-10-12,127.22,127.4,125.06,125.42,189300
2023-10-13,126.0,126.67,125.4,125.97,324900
2023-10-16,127.36,127.43,126.17,126.71,275200
2023-10-17,126.01,128.34,126.01,127.48,314400
2023-10-18,126.87,127.67,126.28,126.78,287300
2023-10-19,126.08,127.47,125.39,125.73,443900
2023-10-20,125.93,126.48,121.93,122.22,446500
2023-10-23,121.72,123.16,121.21,121.5,379000
2023-10-24,122.13,123.77,121.72,123.34,312100
2023-10-25,122.43,123.78,121.89,122.37,431300
