Date,Open,High,Low,Close,Volume
2023-01-13,43.72,44.13,43.42,44.1,362400
2023-01-17,44.13,44.98,43.9,44.55,758000
2023-01-18,44.63,45.3,44.16,44.23,373900
2023-01-19,43.86,43.88,42.98,43.4,439700
2023-01-20,43.55,44.12,43.17,43.99,511000
2023-01-23,44.08,45.04,43.88,44.68,527400
2023-01-24,44.69,45.02,43.93,44.65,826600
2023-01-25,44.38,45.39,44.02,45.29,721500
2023-01-26,45.5,46.02,44.86,45.97,635000
2023-01-27,45.74,46.16,45.46,45.93,590600
2023-01-30,45.5,45.86,45.21,45.34,541800
2023-01-31,45.39,45.94,45.13,45.88,878700
2023-02-01,45.79,46.97,45.76,46.91,744000
2023-02-02,47.5,48.07,45.38,46.95,1485700
2023-02-03,46.82,47.57,46.12,46.8,734200
2023-02-06,46.2,46.72,46.07,46.49,781000
2023-02-07,46.33,46.53,45.69,46.42,780400
2023-02-08,46.19,46.19,45.58,46.07,551000
2023-02-09,46.49,46.77,45.75,45.84,467400
2023-02-10,45.77,46.25,45.48,46.01,427600
2023-02-13,46.01,46.44,45.85,46.33,319000
2023-02-14,46.13,46.73,45.81,46.32,315200
2023-02-15,45.9,46.21,45.65,46.15,462100
2023-02-16,45.84,46.59,45.71,46.43,495700
2023-02-17,46.46,46.66,46.1,46.43,405800
2023-02-21,46.0,46.4,45.4,45.43,580300
2023-02-22,45.08,45.88,45.08,45.44,510400
2023-02-23,45.91,46.23,45.18,45.76,510300
2023-02-24,45.39,45.7,45.0,45.61,432500
2023-02-27,45.82,46.22,45.2,45.34,713300
2023-02-28,44.89,45.21,44.67,44.71,877000
2023-03-01,44.66,45.51,44.66,45.22,536800
2023-03-02,44.9,45.56,44.73,45.46,326500
2023-03-03,45.75,45.8,45.45,45.57,332500
2023-03-06,45.65,45.82,44.83,44.98,858200
2023-03-07,44.83,45.11,44.22,44.39,530100
2023-03-08,44.43,44.91,44.39,44.89,606400
2023-03-09,45.0,45.34,43.83,43.84,673400
2023-03-10,43.66,44.28,42.45,42.95,575100
2023-03-13,42.37,42.81,42.05,42.32,718700
2023-03-14,43.05,43.67,42.6,43.12,515800
2023-03-15,42.12,42.55,41.27,41.94,897900
2023-03-16,41.54,43.29,41.26,43.28,637000
2023-03-17,43.46,43.46,42.55,43.08,1559800
2023-03-20,43.44,43.84,43.14,43.52,525200
2023-03-21,44.05,44.27,43.18,43.29,624900
2023-03-22,43.06,43.7,42.62,42.63,575800
2023-03-23,42.93,43.73,42.81,42.99,626600
2023-03-24,42.65,43.48,42.3,43.34,594600
2023-03-27,43.61,43.81,43.13,43.26,467700
2023-03-28,43.03,43.38,42.92,43.22,302100
2023-03-29,43.62,44.19,43.54,44.1,491000
2023-03-30,44.4,44.79,44.25,44.45,500900
2023-03-31,44.43,45.29,44.43,45.2,437400
2023-04-03,45.12,45.43,44.71,45.11,322000
2023-04-04,45.24,45.24,43.75,44.0,531800
2023-04-05,43.71,43.87,43.31,43.79,399300
2023-04-06,43.64,43.64,43.14,43.26,408700
2023-04-10,43.25,43.89,43.18,43.83,372800
2023-04-11,43.99,44.41,43.99,44.14,410200
2023-04-12,44.6,44.66,43.8,43.86,228300
2023-04-13,43.86,44.29,43.37,44.14,367800
2023-04-14,44.0,44.53,43.68,43.99,264600
2023-04-17,43.87,44.14,43.57,43.89,292500
2023-04-18,43.94,44.02,42.85,42.98,673900
2023-04-19,42.54,42.63,41.49,41.7,575400
2023-04-20,41.33,41.76,41.22,41.47,418300
2023-04-21,41.47,41.63,41.0,41.58,498100
2023-04-24,41.38,41.6,40.77,41.03,722200
2023-04-25,40.69,40.84,40.2,40.42,544400
2023-04-26,40.32,40.81,40.22,40.42,615500
2023-04-27,40.49,40.65,39.64,40.64,483100
2023-04-28,40.77,41.26,40.45,41.26,539200
2023-05-01,41.21,41.71,41.1,41.13,550300
2023-05-02,40.89,41.18,40.0,40.78,513300
2023-05-03,40.94,41.47,40.66,40.74,775900
2023-05-04,41.15,43.54,40.8,42.41,1020700
2023-05-05,42.99,43.06,42.03,42.76,823600
2023-05-08,42.85,42.85,41.3,41.34,512900
2023-05-09,41.11,41.59,40.74,41.51,483800
2023-05-10,41.84,42.12,41.35,41.98,693400
2023-05-11,41.8,42.03,41.33,41.63,463300
2023-05-12,41.76,41.79,40.44,41.31,654100
2023-05-15,41.58,41.74,40.98,41.32,418900
