Date,Open,High,Low,Close,Volume
2023-01-13,40.26,41.62,40.04,41.4,266500
2023-01-17,41.48,41.72,40.62,40.87,321600
2023-01-18,40.4,41.39,39.87,40.06,214500
2023-01-19,39.56,40.0,38.86,39.98,318700
2023-01-20,40.37,41.58,40.28,41.58,327100
2023-01-23,41.46,42.41,41.24,42.22,311500
2023-01-24,42.04,42.51,41.64,42.16,318300
2023-01-25,41.78,41.92,40.91,41.74,160400
2023-01-26,41.86,42.44,41.23,42.06,215400
2023-01-27,44.44,48.54,44.44,47.9,672700
2023-01-30,47.42,47.57,46.3,46.99,362300
2023-01-31,47.44,48.62,46.8,48.12,588900
2023-02-01,48.22,50.34,47.98,49.6,399600
2023-02-02,49.68,50.83,49.68,50.49,402800
2023-02-03,49.66,51.46,49.59,51.14,534700
2023-02-06,50.48,50.69,49.34,49.5,257200
2023-02-07,49.26,50.92,48.43,50.69,259800
2023-02-08,50.01,50.17,48.89,49.12,245700
2023-02-09,49.57,49.81,48.23,48.52,179100
2023-02-10,48.39,48.91,48.05,48.72,305400
2023-02-13,48.77,50.0,48.3,49.63,251400
2023-02-14,49.41,50.23,49.14,49.77,231200
2023-02-15,49.25,50.6,49.25,50.32,166900
2023-02-16,49.47,50.19,49.2,49.67,215500
2023-02-17,49.64,50.42,49.26,50.24,225900
2023-02-21,48.76,48.9,46.97,47.33,343600
2023-02-22,47.5,48.29,47.1,47.53,371100
2023-02-23,47.87,48.27,46.93,47.71,194400
2023-02-24,47.38,47.74,46.78,47.6,201200
2023-02-27,48.14,48.54,47.35,47.61,141400
2023-02-28,47.69,48.75,47.37,47.39,329200
2023-03-01,47.25,47.59,46.74,47.28,173400
2023-03-02,46.62,46.85,45.74,46.27,324700
2023-03-03,46.66,47.6,46.02,47.44,190300
2023-03-06,47.37,47.41,46.37,46.78,365700
2023-03-07,46.78,46.78,45.44,45.48,330100
2023-03-08,45.67,45.82,45.09,45.69,274200
2023-03-09,45.37,45.37,40.93,40.94,649000
2023-03-10,40.54,40.54,37.5,37.66,1400700
2023-03-13,36.09,37.97,33.15,34.0,2362700
2023-03-14,37.0,38.29,35.33,36.29,2030600
2023-03-15,34.71,38.11,34.45,37.74,1140400
2023-03-16,36.74,39.6,36.12,39.18,954400
2023-03-17,38.3,38.43,37.2,37.58,1935400
2023-03-20,37.95,39.46,37.45,37.6,831000
2023-03-21,38.91,40.02,38.73,39.49,650500
2023-03-22,39.35,39.84,37.32,37.42,781400
2023-03-23,37.9,38.03,35.82,36.37,722500
2023-03-24,35.68,36.59,35.11,36.06,1287800
2023-03-27,37.63,38.07,36.91,37.53,909500
2023-03-28,37.28,37.97,37.0,37.64,670600
2023-03-29,38.14,38.21,36.86,38.07,605100
2023-03-30,38.31,38.58,36.64,36.76,763500
2023-03-31,37.16,37.53,36.59,36.92,778400
2023-04-03,36.85,37.42,36.01,36.46,612800
2023-04-04,37.0,37.76,35.58,36.98,774200
2023-04-05,36.05,36.9,35.88,36.57,563600
2023-04-06,36.5,37.52,36.11,37.09,372800
2023-04-10,36.87,37.42,36.56,37.22,363500
2023-04-11,37.37,37.86,37.13,37.47,451000
2023-04-12,37.87,38.02,36.44,36.68,398200
2023-04-13,36.88,38.02,36.39,37.29,499600
2023-04-14,37.72,37.91,36.23,36.7,404200
2023-04-17,36.52,37.74,36.04,37.64,426300
2023-04-18,37.69,37.69,36.55,36.99,454300
2023-04-19,37.14,38.78,36.41,38.49,637700
2023-04-20,37.66,38.47,37.52,37.99,465800
2023-04-21,38.0,38.02,37.06,37.71,281600
2023-04-24,37.62,38.16,37.21,37.66,285900
2023-04-25,36.71,36.95,35.5,35.71,550800
2023-04-26,35.36,36.52,35.36,35.9,330200
2023-04-27,36.09,37.09,36.05,37.05,395600
2023-04-28,39.48,41.57,39.22,40.67,1277100
