Date,Open,High,Low,Close,Volume
2023-01-13,44.35,45.38,43.34,43.85,170100
2023-01-17,44.06,44.06,42.36,42.41,109300
2023-01-18,42.45,42.59,40.81,40.83,115700
2023-01-19,40.63,41.16,40.44,40.5,104200
2023-01-20,40.85,41.06,40.06,40.5,126500
2023-01-23,40.55,41.13,40.27,40.65,76500
2023-01-24,40.18,42.29,40.11,41.97,124600
2023-01-25,41.57,42.09,41.02,41.6,81200
2023-01-26,42.0,42.0,41.18,41.77,83000
2023-01-27,41.53,41.91,40.89,41.76,90200
2023-01-30,41.49,41.85,41.36,41.41,80800
2023-01-31,41.7,42.48,41.7,42.48,253100
2023-02-01,42.35,42.95,41.89,42.45,104900
2023-02-02,42.63,43.47,42.51,43.03,103600
2023-02-03,42.5,43.49,42.36,43.34,130900
2023-02-06,42.84,43.22,42.41,42.59,99900
2023-02-07,42.3,42.64,41.68,42.46,97800
2023-02-08,42.04,42.31,41.03,41.12,61200
2023-02-09,41.55,41.7,39.45,39.55,91200
2023-02-10,39.5,39.88,38.97,39.62,106700
2023-02-13,39.82,40.48,39.46,40.47,83600
2023-02-14,40.44,40.58,39.52,39.52,69100
2023-02-15,39.25,40.22,39.25,40.19,81000
2023-02-16,39.55,39.95,39.25,39.75,76100
2023-02-17,40.06,41.57,39.99,41.42,155100
2023-02-21,41.02,41.02,39.44,39.6,89000
2023-02-22,39.66,40.52,39.6,40.43,160000
2023-02-23,40.65,40.76,39.54,40.27,128500
2023-02-24,39.61,40.59,39.61,40.55,92800
2023-02-27,40.95,41.1,40.32,40.59,87600
2023-02-28,40.52,41.04,40.52,40.65,160400
2023-03-01,40.59,40.95,40.43,40.71,103500
2023-03-02,40.24,41.43,40.0,41.25,52700
2023-03-03,41.4,42.44,40.99,42.32,102700
2023-03-06,42.23,42.27,41.46,41.65,205500
2023-03-07,41.58,41.91,41.26,41.68,95200
2023-03-08,41.73,42.3,41.67,42.13,78700
2023-03-09,42.22,42.25,41.66,41.75,104800
2023-03-10,41.42,41.69,40.12,40.28,129800
2023-03-13,39.31,39.74,38.56,38.65,108700
2023-03-14,39.88,40.11,39.1,39.45,89800
2023-03-15,38.25,39.25,38.01,39.16,188000
2023-03-16,38.52,39.65,37.79,39.17,101100
2023-03-17,38.93,39.05,37.63,38.05,393800
2023-03-20,38.41,39.16,38.1,38.2,112600
2023-03-21,39.05,40.17,39.05,39.53,102800
2023-03-22,39.58,39.78,38.46,38.46,74700
2023-03-23,38.66,39.08,38.2,38.53,101400
2023-03-24,38.13,38.96,37.41,38.82,90400
2023-03-27,39.31,39.73,39.05,39.55,54700
2023-03-28,39.35,39.87,39.23,39.87,72800
2023-03-29,40.39,40.44,40.0,40.35,72100
2023-03-30,40.74,40.76,40.53,40.58,61300
2023-03-31,40.97,41.28,40.84,41.24,92800
2023-04-03,41.28,41.53,40.89,41.44,76000
2023-04-04,41.59,41.59,39.76,39.91,65100
2023-04-05,39.95,39.95,38.41,38.84,248900
2023-04-06,39.01,39.01,38.2,38.28,172200
2023-04-10,38.28,39.34,38.21,38.97,112400
2023-04-11,39.32,39.78,38.84,39.42,57400
2023-04-12,39.91,39.91,39.16,39.32,73400
2023-04-13,39.3,39.63,38.85,39.56,129600
2023-04-14,39.48,39.87,39.12,39.8,135300
2023-04-17,39.94,40.07,39.02,39.28,154000
2023-04-18,39.45,39.98,38.84,39.44,92500
2023-04-19,39.3,39.71,39.04,39.68,119200
2023-04-20,39.21,39.97,39.18,39.87,77300
2023-04-21,39.98,39.98,39.35,39.7,67900
2023-04-24,39.52,39.91,39.41,39.65,50300
2023-04-25,39.07,39.28,38.43,38.46,71700
2023-04-26,36.83,38.14,35.77,36.8,153700
2023-04-27,36.95,37.77,36.95,37.48,73900
2023-04-28,37.46,38.26,37.34,37.73,146100
2023-05-01,37.58,38.36,37.46,37.82,72700
2023-05-02,37.54,37.72,37.02,37.35,218500
2023-05-03,37.49,38.36,37.49,37.71,77600
2023-05-04,37.37,37.37,36.0,36.3,193800
2023-05-05,36.96,37.21,36.51,36.6,93100
2023-05-08,36.65,36.65,35.99,36.0,72300
2023-05-09,35.78,36.13,35.44,35.55,100300
2023-05-10,36.15,36.15,35.04,35.79,157400
2023-05-11,35.56,36.4,35.56,36.06,115400
2023-05-12,36.25,36.5,35.39,35.7,51400
2023-05-15,35.87,36.25,35.7,35.97,62800
2023-05-16,35.85,35.98,35.44,35.63,87100
2023-05-17,35.83,36.73,35.7,36.41,95700
2023-05-18,36.36,37.0,36.01,36.9,58400
2023-05-19,37.33,37.33,35.96,36.36,78400
2023-05-22,36.42,36.73,36.29,36.44,62400
2023-05-23,36.31,36.75,36.15,36.27,60200
2023-05-24,36.22,36.22,35.16,35.24,90700
2023-05-25,35.09,35.33,34.64,35.32,72900
2023-05-26,35.25,36.26,35.25,36.23,55300
2023-05-30,36.18,36.19,35.4,35.58,47900
2023-05-31,35.47,35.47,34.59,34.91,95900
2023-06-01,34.98,35.89,34.77,35.82,66600
2023-06-02,36.38,38.01,36.14,37.85,97200
2023-06-05,37.41,37.55,36.64,36.92,82100
2023-06-06,36.8,38.8,36.8,38.32,113300
2023-06-07,38.71,40.48,38.71,40.25,127400
2023-06-08,40.05,40.14,39.43,39.99,74800
2023-06-09,39.88,40.18,39.46,40.08,68600
2023-06-12,40.0,40.49,39.76,40.27,75400
2023-06-13,40.4,41.12,40.37,40.6,103500
2023-06-14,40.78,40.99,39.48,39.73,79600
2023-06-15,39.47,39.78,38.95,39.41,80600
2023-06-16,39.67,39.67,38.6,39.22,309800
2023-06-20,39.02,40.22,38.72,39.77,104300
2023-06-21,39.67,40.54,39.5,40.52,127700
2023-06-22,40.48,40.54,39.72,40.11,94400
2023-06-23,39.44,40.31,39.44,40.23,254500
2023-06-26,40.21,41.1,40.21,40.66,90300
2023-06-27,40.85,42.01,40.47,41.86,82800
2023-06-28,41.83,42.73,41.53,42.73,112800
