Date,Open,High,Low,Close,Volume
2023-01-13,88.8,90.48,87.87,89.8,73700
2023-01-17,90.26,91.12,88.49,90.62,100700
2023-01-18,89.95,90.12,85.32,85.36,104800
2023-01-19,84.52,85.29,83.01,84.99,59100
2023-01-20,85.07,86.15,81.88,82.78,142900
2023-01-23,82.14,83.37,80.24,82.46,221000
2023-01-24,82.57,83.75,81.47,83.08,73100
2023-01-25,83.2,83.35,81.71,82.75,64000
2023-01-26,83.12,83.65,81.25,82.61,67800
2023-01-27,82.06,83.88,82.06,83.66,62600
2023-01-30,83.35,84.12,83.04,83.23,80700
2023-01-31,83.23,86.15,83.23,86.13,95200
2023-02-01,85.6,87.39,85.36,86.44,85000
2023-02-02,86.68,87.33,84.35,85.2,153500
2023-02-03,85.0,86.26,84.24,85.88,141600
2023-02-06,85.88,86.29,84.18,84.39,100700
2023-02-07,83.99,87.28,83.55,86.92,105800
2023-02-08,86.15,87.75,86.15,87.66,101700
2023-02-09,87.79,88.37,86.56,87.47,126500
2023-02-10,87.63,88.9,86.9,88.53,87200
2023-02-13,88.24,89.17,87.8,88.6,80900
2023-02-14,88.3,88.91,87.4,88.39,71000
2023-02-15,88.04,89.0,87.51,88.54,61700
2023-02-16,87.7,89.36,87.0,88.97,86700
2023-02-17,89.32,90.03,86.47,89.69,72900
2023-02-21,89.42,90.0,88.17,88.88,59300
2023-02-22,88.88,89.3,87.57,88.83,99500
2023-02-23,88.79,90.2,88.6,89.9,79100
2023-02-24,89.06,91.67,89.06,91.55,116300
2023-02-27,91.99,92.0,88.96,90.55,115300
2023-02-28,90.71,91.67,90.14,90.25,151700
2023-03-01,89.93,90.92,89.03,90.71,121000
2023-03-02,90.01,91.46,87.07,88.67,95400
2023-03-03,89.14,90.2,88.06,90.02,100200
2023-03-06,89.74,89.88,87.99,88.83,110600
2023-03-07,88.44,89.08,87.79,88.3,75200
2023-03-08,88.6,88.98,87.08,87.88,62400
2023-03-09,87.4,87.65,85.19,85.2,130100
2023-03-10,85.11,87.64,83.55,87.05,185300
2023-03-13,84.77,87.4,80.67,81.7,230200
2023-03-14,86.58,88.0,82.32,83.22,161800
2023-03-15,79.91,83.34,79.91,82.62,192600
2023-03-16,81.49,88.4,80.49,86.89,182900
2023-03-17,85.35,85.44,82.58,83.64,537300
2023-03-20,84.94,88.39,83.76,83.94,219000
2023-03-21,86.02,88.59,84.33,86.65,144800
2023-03-22,86.4,86.89,83.65,83.71,152200
2023-03-23,84.33,84.33,80.59,81.4,83000
2023-03-24,80.02,84.29,80.02,83.85,103600
2023-03-27,85.0,86.02,83.93,84.11,104500
2023-03-28,84.04,84.84,83.14,84.6,91900
2023-03-29,85.02,85.64,83.17,83.84,67900
2023-03-30,83.79,84.13,80.92,81.49,72500
2023-03-31,81.9,83.57,81.51,83.1,124100
2023-04-03,83.4,83.4,81.28,82.26,55700
2023-04-04,82.58,82.58,80.05,81.88,111700
2023-04-05,81.67,82.58,81.06,81.83,67800
2023-04-06,82.01,82.59,81.41,82.48,46800
2023-04-10,82.56,83.89,82.35,83.43,98000
2023-04-11,83.87,84.35,83.16,83.43,47500
2023-04-12,83.76,84.1,81.76,81.97,73800
2023-04-13,82.41,83.05,81.55,82.53,72200
2023-04-14,83.0,84.97,80.87,81.55,73600
2023-04-17,81.25,82.87,80.4,82.72,57300
2023-04-18,82.46,84.41,80.18,80.53,58000
2023-04-19,80.66,82.51,80.21,81.95,64900
2023-04-20,81.49,82.18,80.38,82.18,91900
2023-04-21,81.78,82.03,80.23,81.99,83700
2023-04-24,82.2,82.89,81.39,82.46,54500
2023-04-25,81.51,82.0,77.81,78.16,106300
2023-04-26,75.0,76.08,70.76,75.06,154800
2023-04-27,75.27,80.26,75.27,79.93,83000
2023-04-28,79.69,80.92,78.71,79.89,87000
2023-05-01,79.94,80.99,78.98,79.46,57600
2023-05-02,79.13,79.13,74.06,74.15,105100
2023-05-03,74.0,76.39,73.5,73.78,87400
2023-05-04,71.85,73.59,68.44,71.6,108600
2023-05-05,73.05,75.88,73.05,75.29,89000
2023-05-08,75.87,75.87,72.18,72.2,45700
2023-05-09,72.5,74.01,71.37,73.64,88100
2023-05-10,74.73,75.56,72.27,75.09,106700
2023-05-11,74.16,74.16,72.1,73.88,91500
2023-05-12,73.89,74.8,73.36,74.54,100900
2023-05-15,74.55,77.07,74.55,76.69,93900
2023-05-16,76.61,77.08,75.92,76.76,87000
2023-05-17,77.55,81.4,77.45,81.12,116700
2023-05-18,80.87,83.1,79.89,82.44,103900
2023-05-19,83.64,83.64,80.26,81.39,140700
2023-05-22,82.1,86.78,81.55,86.19,131500
2023-05-23,85.91,89.31,85.44,86.89,105000
2023-05-24,86.32,86.81,84.66,85.19,113400
2023-05-25,84.47,85.76,83.75,85.58,90800
2023-05-26,85.6,86.54,84.6,86.06,69200
2023-05-30,86.53,88.83,84.96,88.1,90400
2023-05-31,87.96,88.3,84.05,84.57,126600
2023-06-01,85.19,87.22,84.73,86.66,53200
2023-06-02,87.53,91.92,87.33,91.53,105400
2023-06-05,90.66,90.93,86.58,88.18,108700
2023-06-06,88.13,93.21,88.13,92.26,110300
2023-06-07,93.29,96.7,92.27,95.16,109300
2023-06-08,94.56,94.56,91.99,92.72,101800
2023-06-09,92.52,93.51,91.18,92.86,66100
2023-06-12,92.95,94.37,91.62,92.14,57100
2023-06-13,92.58,94.7,92.58,93.79,71500
2023-06-14,93.59,94.56,92.05,92.49,76600
2023-06-15,92.0,94.82,92.0,93.88,80100
2023-06-16,94.66,94.66,92.11,93.66,213900
2023-06-20,93.65,94.61,92.57,93.54,63200
2023-06-21,93.3,93.62,92.22,92.58,79800
2023-06-22,92.5,93.73,90.54,91.37,97600
2023-06-23,90.25,92.02,88.25,88.51,639200
2023-06-26,88.58,91.43,88.58,89.74,72800
2023-06-27,90.44,91.24,89.45,90.05,44400
2023-06-28,90.1,90.98,88.92,89.37,47900
2023-06-29,89.94,92.12,89.79,91.8,66300
2023-06-30,92.27,92.64,91.49,92.0,77500
2023-07-03,91.88,93.02,91.12,91.78,29800
2023-07-05,90.94,92.33,90.19,91.94,74200
2023-07-06,91.06,93.2,89.76,92.66,85800
2023-07-07,92.96,95.21,92.92,94.21,72900
2023-07-10,93.8,95.85,93.8,94.49,77400
2023-07-11,94.86,95.35,93.63,94.16,41000
2023-07-12,95.74,96.2,94.2,94.46,66100
2023-07-13,95.22,96.24,94.28,94.29,57000
2023-07-14,94.31,95.75,93.01,94.87,72500
2023-07-17,95.29,100.72,95.19,99.4,118200
2023-07-18,99.37,101.45,99.32,100.42,79200
2023-07-19,101.23,102.45,100.63,102.03,95200
2023-07-20,101.84,103.79,100.78,103.34,90300
2023-07-21,104.0,104.0,97.77,98.3,93000
2023-07-24,99.04,101.07,98.87,99.97,108900
2023-07-25,100.0,100.8,98.42,98.5,53500
2023-07-26,99.52,102.38,99.52,102.17,85500
2023-07-27,102.86,102.86,98.99,99.79,93800
2023-07-28,100.82,101.23,99.95,100.19,49900
2023-07-31,99.83,100.98,99.15,99.9,57800
2023-08-01,99.65,99.99,98.19,99.71,41500
2023-08-02,98.68,100.44,97.97,100.22,41100
2023-08-03,99.85,101.21,99.48,100.18,44100
2023-08-04,99.99,101.61,99.99,100.48,38400
2023-08-07,100.52,101.24,100.0,100.81,49800
2023-08-08,99.5,100.28,98.16,100.05,44300
2023-08-09,99.49,100.81,99.15,100.3,36800
2023-08-10,100.51,101.31,98.57,99.34,55100
2023-08-11,99.3,99.65,98.85,98.97,50800
2023-08-14,98.36,98.36,97.01,97.52,52900
2023-08-15,96.7,97.02,95.75,96.28,51600
2023-08-16,96.41,97.0,95.93,96.28,36900
2023-08-17,96.61,97.52,96.48,97.12,49200
2023-08-18,96.21,98.17,96.21,97.2,58700
