Date,Open,High,Low,Close,Volume
2023-01-13,64.0,64.67,63.62,64.48,123300
2023-01-17,64.56,64.67,63.51,63.7,118300
2023-01-18,63.2,63.44,61.1,61.32,210000
2023-01-19,61.11,61.39,60.33,61.3,188900
2023-01-20,63.57,64.71,61.87,64.43,317500
2023-01-23,64.28,64.28,63.01,63.32,215300
2023-01-24,63.42,63.78,62.83,63.35,142400
2023-01-25,63.11,63.19,62.08,62.5,140100
2023-01-26,62.98,63.13,61.82,62.98,190200
2023-01-27,62.84,63.27,62.54,62.69,104200
2023-01-30,62.68,63.54,62.42,62.86,99000
2023-01-31,63.04,64.99,63.04,64.83,168000
2023-02-01,64.23,65.91,63.19,65.14,183800
2023-02-02,65.26,66.3,64.75,66.03,197200
2023-02-03,65.7,67.3,64.98,66.44,232600
2023-02-06,65.98,66.27,64.94,65.13,118900
2023-02-07,64.91,65.7,64.5,65.48,193500
2023-02-08,64.59,65.37,55.85,65.02,173400
2023-02-09,65.24,65.45,63.62,63.83,110800
2023-02-10,63.71,63.88,63.12,63.67,125500
2023-02-13,63.71,64.25,63.27,63.74,125500
2023-02-14,63.67,63.96,62.74,63.45,146700
2023-02-15,63.16,64.19,62.92,63.94,117100
2023-02-16,63.4,63.74,63.15,63.25,113200
2023-02-17,63.5,64.52,62.97,64.25,116100
2023-02-21,63.69,64.24,62.94,63.15,92600
2023-02-22,63.09,63.53,62.49,63.13,171900
2023-02-23,63.34,63.95,62.77,63.63,111600
2023-02-24,63.31,64.13,62.88,63.85,137800
2023-02-27,64.21,64.68,63.07,63.21,95700
2023-02-28,63.43,63.96,62.98,62.98,148000
2023-03-01,62.78,63.33,62.58,63.1,112200
2023-03-02,62.78,63.45,62.26,62.81,132100
2023-03-03,63.01,63.47,62.4,63.17,108900
2023-03-06,63.03,63.59,62.07,62.82,167700
2023-03-07,62.8,62.8,61.21,61.26,174800
2023-03-08,61.41,61.59,60.66,61.18,114200
2023-03-09,60.51,61.25,56.56,56.86,243800
2023-03-10,56.0,57.25,53.12,56.54,405900
2023-03-13,53.97,54.63,49.28,51.92,671300
2023-03-14,55.85,56.98,53.47,54.22,427000
2023-03-15,51.97,54.48,50.53,54.15,316700
2023-03-16,53.58,58.15,52.62,57.31,301200
2023-03-17,55.82,56.21,52.78,53.64,846500
2023-03-20,54.53,56.36,53.51,53.62,273600
2023-03-21,55.38,57.8,55.38,56.23,343400
2023-03-22,56.11,56.86,53.25,53.5,220200
2023-03-23,54.02,54.5,52.21,52.97,416200
2023-03-24,52.52,55.01,52.29,54.46,227000
2023-03-27,55.85,55.85,54.2,54.32,173500
2023-03-28,54.31,55.34,54.05,54.82,193700
2023-03-29,55.45,55.45,53.42,54.7,267100
2023-03-30,55.2,55.28,53.06,53.45,221700
2023-03-31,54.14,54.82,53.74,54.37,253500
2023-04-03,54.18,54.75,53.3,53.82,198600
2023-04-04,54.07,54.07,51.84,52.9,194200
2023-04-05,52.22,52.9,51.86,52.05,260700
2023-04-06,51.98,53.82,51.98,52.93,142300
2023-04-10,52.54,53.57,52.39,52.92,276800
2023-04-11,53.18,53.53,52.19,52.4,128900
2023-04-12,52.77,52.87,51.4,51.87,161400
2023-04-13,51.9,53.0,51.3,52.49,123600
2023-04-14,53.0,53.37,50.9,51.54,144600
2023-04-17,51.41,52.97,50.7,52.95,166400
2023-04-18,52.92,53.27,51.47,51.93,151100
2023-04-19,51.78,53.31,51.73,52.6,120700
