Date,Open,High,Low,Close,Volume
2023-01-13,70.39,71.22,70.39,70.69,177600
2023-01-17,70.67,70.875,69.48,69.5,127200
2023-01-18,69.59,71.47,68.585,69.14,203400
2023-01-19,68.8,68.8,67.18,67.9,177700
2023-01-20,68.56,69.18,67.25,69.14,336600
2023-01-23,69.48,71.84,69.354,70.48,205600
2023-01-24,70.65,71.9,69.96,71.14,208700
2023-01-25,70.9,72.76,69.91,72.66,157200
2023-01-26,73.28,74.18,71.825,73.41,205400
2023-01-27,73.45,74.4,73.38,73.64,146600
2023-01-30,72.91,73.88,72.28,72.28,143400
2023-01-31,72.83,75.0,72.83,74.97,216800
2023-02-01,74.67,77.88,74.26,76.88,230800
2023-02-02,77.45,79.88,77.45,79.03,243600
2023-02-03,77.99,79.64,77.99,78.41,224300
2023-02-06,77.72,78.02,75.94,76.82,170100
2023-02-07,76.42,77.88,75.73,77.87,179600
2023-02-08,77.6,77.71,76.09,76.51,244200
2023-02-09,77.35,77.86,75.41,75.44,204800
2023-02-10,75.12,75.72,74.48,75.68,212400
2023-02-13,76.0,77.2,75.41,77.0,130200
2023-02-14,76.4,76.79,74.85,76.11,271900
2023-02-15,75.58,77.21,74.67,76.81,191400
2023-02-16,75.37,76.68,74.79,76.07,208700
2023-02-17,76.07,76.07,73.87,74.73,243200
2023-02-21,72.54,72.94,68.37,68.44,488200
2023-02-22,68.82,73.8,68.82,72.67,517200
2023-02-23,71.63,72.5,70.41,71.55,413800
2023-02-24,70.57,71.4,70.33,71.16,363900
2023-02-27,72.23,72.365,71.03,71.05,179800
2023-02-28,70.74,70.79,69.1,69.11,650900
2023-03-01,68.79,69.95,68.65,69.33,311800
2023-03-02,68.75,69.425,68.19,69.0,186400
2023-03-03,69.36,70.61,69.06,70.24,237400
2023-03-06,70.14,70.44,67.06,68.48,379600
2023-03-07,68.25,68.421,66.22,66.67,309000
2023-03-08,66.96,67.07,65.94,67.01,320100
2023-03-09,67.08,68.2,66.91,67.14,274900
2023-03-10,67.2,67.36,64.54,64.99,201600
2023-03-13,63.57,64.13,62.487,62.86,285100
2023-03-14,64.54,64.85,62.1,63.07,321400
2023-03-15,61.33,61.832,60.4,61.58,392600
2023-03-16,60.86,63.94,60.371,62.76,256800
2023-03-17,62.13,62.66,60.84,61.1,732700
2023-03-20,62.09,63.7,61.929,62.05,219100
2023-03-21,63.59,64.03,61.945,62.72,285500
2023-03-22,62.91,62.98,60.67,60.8,408500
2023-03-23,61.28,62.17,59.85,60.13,248900
2023-03-24,59.37,60.885,59.32,60.75,242500
2023-03-27,61.53,61.96,60.73,61.7,164400
2023-03-28,61.68,62.565,61.41,61.99,248300
2023-03-29,62.87,62.97,61.45,62.41,220500
2023-03-30,62.9,63.03,61.515,61.65,161500
2023-03-31,62.09,63.365,61.85,63.25,415400
2023-04-03,63.32,63.93,62.43,63.41,228000
2023-04-04,63.58,63.58,60.27,60.92,246600
2023-04-05,60.44,61.005,59.9,60.9,226400
2023-04-06,60.94,60.94,60.17,60.62,232400
2023-04-10,60.55,62.47,60.55,62.15,315100
2023-04-11,62.13,64.04,62.12,63.93,431600
2023-04-12,64.97,64.97,64.06,64.55,312900
2023-04-13,64.5,65.335,63.211,65.07,306800
2023-04-14,64.9,65.71,64.09,65.37,305600
2023-04-17,65.0,67.03,65.0,66.82,344900
2023-04-18,67.03,67.51,65.735,67.04,356400
2023-04-19,66.82,67.395,66.44,67.18,265600
2023-04-20,66.34,68.265,66.34,67.68,308600
