Date,Open,High,Low,Close,Volume
2023-01-13,73.11,74.48,73.07,73.59,291400
2023-01-17,73.32,76.3,72.93,75.5,407900
2023-01-18,76.05,77.31,75.16,75.33,331300
2023-01-19,74.49,75.6,72.97,75.58,543900
2023-01-20,76.16,77.29,75.74,76.51,342600
2023-01-23,76.32,79.29,76.03,79.02,431700
2023-01-24,79.33,79.36,77.64,78.08,295000
2023-01-25,77.46,77.46,74.67,76.2,506600
2023-01-26,76.94,77.51,75.44,76.14,366500
2023-01-27,76.12,77.52,75.93,77.13,294600
2023-01-30,75.69,76.08,74.8,75.16,539700
2023-01-31,75.23,76.82,74.68,76.78,338200
2023-02-01,76.77,78.65,75.13,78.47,298400
2023-02-02,79.26,80.94,78.89,78.99,303200
2023-02-03,77.46,79.72,77.03,79.12,375700
2023-02-06,78.21,78.8,77.19,77.76,376300
2023-02-07,77.41,77.71,75.73,77.14,438700
2023-02-08,77.03,77.46,76.09,76.6,277100
2023-02-09,77.55,78.07,74.43,74.71,482500
2023-02-10,74.11,75.79,73.82,73.99,442800
2023-02-13,74.29,75.36,74.29,74.65,532600
2023-02-14,74.56,77.15,74.18,76.74,357500
2023-02-15,76.25,77.95,76.25,76.86,239000
2023-02-16,75.71,76.07,71.81,72.14,633500
2023-02-17,72.56,80.65,72.32,79.87,1293900
2023-02-21,78.54,80.75,78.08,78.93,729500
2023-02-22,79.23,79.58,77.93,78.27,542600
2023-02-23,78.52,79.9,78.03,79.37,475100
2023-02-24,78.1,78.53,76.52,77.99,704700
2023-02-27,78.1,78.98,77.92,78.44,362500
2023-02-28,77.85,79.73,77.74,78.84,501600
2023-03-01,78.7,81.84,78.7,81.79,660900
2023-03-02,81.37,83.54,81.37,83.49,566600
2023-03-03,84.47,86.8,84.39,86.75,774000
2023-03-06,86.54,87.11,82.65,83.52,571700
2023-03-07,83.55,83.75,82.12,82.56,499000
2023-03-08,82.09,83.71,82.02,83.61,318100
2023-03-09,83.4,83.51,81.37,81.73,475500
2023-03-10,80.89,81.45,77.8,79.35,539500
2023-03-13,78.04,80.1,77.27,78.36,551000
2023-03-14,79.79,80.66,78.32,79.19,277100
2023-03-15,77.02,79.41,76.71,78.95,379700
2023-03-16,78.25,80.12,77.82,79.28,386500
2023-03-17,78.49,78.69,77.36,77.92,801500
2023-03-20,77.78,78.84,76.98,78.13,382000
2023-03-21,79.09,79.78,78.91,78.99,278400
2023-03-22,79.03,79.95,77.38,77.43,477300
