Date,Open,High,Low,Close,Volume
2023-01-13,44.6,45.56,44.45,45.08,462200
2023-01-17,44.85,45.01,42.92,44.39,694300
2023-01-18,44.68,45.08,44.04,44.25,388000
2023-01-19,44.0,44.24,43.55,43.71,503600
2023-01-20,43.74,43.74,43.14,43.69,604400
2023-01-23,43.88,44.08,42.95,43.3,562800
2023-01-24,43.3,43.3,42.48,42.66,446900
2023-01-25,42.57,43.29,42.45,43.11,447400
2023-01-26,43.55,43.92,42.77,43.29,479700
2023-01-27,43.35,43.51,42.61,43.35,409400
2023-01-30,42.98,44.03,42.98,43.38,352400
2023-01-31,43.65,44.02,43.18,44.0,567900
2023-02-01,44.03,44.65,43.03,44.11,561000
2023-02-02,45.03,45.73,43.97,44.43,605300
2023-02-03,44.43,45.02,44.06,44.65,408000
2023-02-06,44.21,44.5,43.32,43.49,455700
2023-02-07,43.09,43.66,42.61,43.46,355600
2023-02-08,42.92,43.04,42.17,42.59,357300
2023-02-09,43.21,43.47,42.4,42.41,374100
2023-02-10,42.16,42.65,42.01,42.2,387400
2023-02-13,42.32,43.5,41.76,43.48,357300
2023-02-14,43.23,43.53,42.72,43.33,255900
2023-02-15,43.05,43.42,42.68,42.88,420900
2023-02-16,42.38,42.85,42.28,42.55,225300
2023-02-17,42.62,42.82,42.38,42.58,243600
2023-02-21,41.96,42.0,40.6,40.69,540100
2023-02-22,40.77,41.21,40.43,40.71,356400
2023-02-23,40.96,41.02,40.45,40.81,320900
2023-02-24,40.39,40.8,40.12,40.63,287600
2023-02-27,41.04,41.11,40.5,40.7,386600
2023-02-28,40.82,41.68,40.78,40.79,350800
2023-03-01,40.71,41.69,40.7,41.04,385000
2023-03-02,41.02,41.02,37.3,37.63,1026100
2023-03-03,37.91,38.1,37.41,37.95,583700
2023-03-06,38.01,38.03,37.09,37.27,505000
2023-03-07,37.36,37.83,37.17,37.74,374800
2023-03-08,37.86,38.05,37.22,37.53,333200
2023-03-09,37.32,37.65,36.51,36.55,618900
2023-03-10,36.55,38.65,36.12,37.7,813800
2023-03-13,36.93,37.09,35.68,35.97,769900
2023-03-14,37.05,37.05,35.8,36.34,553400
2023-03-15,35.43,36.6,35.38,36.22,589200
2023-03-16,35.69,36.23,35.29,36.09,428400
2023-03-17,35.63,35.98,34.81,35.21,1077700
2023-03-20,35.54,36.06,34.85,35.2,436200
2023-03-21,36.09,36.57,35.33,35.37,335500
2023-03-22,35.57,35.84,34.75,34.76,370500
2023-03-23,35.11,35.18,33.97,34.31,437200
