Date,Open,High,Low,Close,Volume
2023-01-13,73.02,73.02,72.17,72.78,158200
2023-01-17,72.88,73.17,71.33,71.4,416500
2023-01-18,71.49,71.75,70.49,70.52,366600
2023-01-19,70.46,70.85,70.23,70.45,302000
2023-01-20,70.67,71.07,69.34,71.03,272300
2023-01-23,70.9,71.51,70.3,70.74,287900
2023-01-24,70.83,71.01,69.7,70.58,193100
2023-01-25,70.17,71.12,70.03,71.0,204900
2023-01-26,71.0,71.42,70.52,71.39,240800
2023-01-27,71.34,71.56,70.77,71.29,184500
2023-01-30,71.15,71.69,70.97,71.11,173800
2023-01-31,71.36,72.42,70.81,72.38,453700
2023-02-01,72.02,73.41,71.74,72.47,471800
2023-02-02,72.64,73.98,72.39,73.4,416900
2023-02-03,73.1,73.21,70.89,71.95,354100
2023-02-06,71.78,71.96,70.86,71.42,273000
2023-02-07,70.9,71.15,69.82,71.02,270100
2023-02-08,63.5,64.89,60.37,64.43,2838500
2023-02-09,63.67,63.98,62.8,63.21,1034600
2023-02-10,62.8,64.3,62.47,64.15,1030300
2023-02-13,63.5,64.56,63.5,63.7,665200
2023-02-14,63.53,64.75,63.02,63.38,717100
2023-02-15,62.96,64.86,62.75,64.1,685800
2023-02-16,63.5,64.73,63.3,64.13,917700
2023-02-17,64.48,65.24,64.0,64.72,713500
2023-02-21,64.33,64.35,63.24,63.25,360800
2023-02-22,63.15,63.75,62.81,62.83,649800
2023-02-23,63.06,63.5,62.15,62.36,805400
2023-02-24,62.11,62.89,62.01,62.73,363700
2023-02-27,63.24,63.76,62.3,62.42,468700
2023-02-28,62.18,62.98,61.41,61.41,1114300
2023-03-01,61.11,61.32,60.7,61.14,706200
2023-03-02,61.15,61.66,60.8,61.64,651900
2023-03-03,62.0,62.45,61.5,62.27,384800
2023-03-06,62.29,62.63,61.35,61.8,411600
2023-03-07,62.02,62.48,60.7,60.88,299800
2023-03-08,61.21,61.43,60.83,61.35,381200
2023-03-09,61.48,62.08,60.86,60.99,324800
2023-03-10,60.99,61.08,59.56,59.88,530700
2023-03-13,59.8,62.02,59.69,60.4,551500
2023-03-14,61.36,62.13,60.88,61.54,420900
2023-03-15,61.28,62.05,60.76,61.46,706700
2023-03-16,60.96,62.27,60.74,61.76,435700
2023-03-17,61.44,61.82,60.92,61.17,1383700
2023-03-20,61.37,62.47,61.32,62.25,655300
2023-03-21,62.52,62.78,60.57,61.29,445800
2023-03-22,61.16,61.61,59.97,60.01,332800
2023-03-23,59.96,60.49,58.81,59.04,316600
2023-03-24,59.2,61.02,59.2,60.97,530700
2023-03-27,61.52,61.75,60.54,61.33,284100
2023-03-28,61.22,62.2,61.22,61.95,278000
2023-03-29,62.27,62.97,62.15,62.96,328800
2023-03-30,63.26,63.49,62.5,62.88,402500
2023-03-31,63.18,63.28,62.5,63.1,468800
2023-04-03,63.08,63.49,62.28,62.59,266600
2023-04-04,62.67,63.44,62.06,63.43,644400
2023-04-05,63.6,65.19,63.6,65.1,622200
2023-04-06,65.52,65.81,64.98,65.43,403200
2023-04-10,65.23,66.3,64.69,66.09,391000
2023-04-11,66.24,66.58,65.8,66.14,406600
2023-04-12,66.35,66.61,65.24,65.66,358900
2023-04-13,65.43,66.03,64.66,65.74,413700
2023-04-14,65.21,65.49,64.44,65.06,361400
2023-04-17,65.21,65.58,64.67,65.19,254300
2023-04-18,65.19,65.19,64.12,64.25,191600
2023-04-19,64.52,65.32,64.3,64.92,295000
2023-04-20,64.9,65.03,64.55,64.96,165100
2023-04-21,65.48,65.87,64.6,65.42,300700
2023-04-24,65.6,65.66,64.87,65.15,262200
2023-04-25,65.03,65.52,64.79,64.86,410500
2023-04-26,64.24,64.93,63.6,63.95,362900
2023-04-27,64.17,65.69,64.17,65.63,335000
2023-04-28,65.54,66.08,65.08,65.29,1115700
2023-05-01,65.21,65.97,65.16,65.37,260300
2023-05-02,65.38,65.47,63.42,64.17,403900
2023-05-03,64.51,65.46,64.32,64.44,328100
2023-05-04,64.55,65.92,63.6,65.87,862800
2023-05-05,66.31,66.85,65.97,66.14,358200
2023-05-08,65.99,66.4,65.35,66.07,210200
2023-05-09,66.05,66.18,65.48,65.76,307500
2023-05-10,66.32,66.54,65.2,65.96,262900
2023-05-11,65.97,66.2,64.97,65.16,235000
2023-05-12,65.63,66.43,65.31,65.59,185900
2023-05-15,65.83,65.83,64.74,64.98,232600
2023-05-16,65.08,65.28,63.85,64.02,504400
2023-05-17,63.47,63.58,62.78,63.33,404200
2023-05-18,62.91,63.44,62.5,63.19,401400
2023-05-19,63.65,63.87,62.88,63.05,408600
2023-05-22,63.11,63.62,62.77,62.83,256400
2023-05-23,62.95,63.56,62.5,62.51,416100
2023-05-24,62.39,62.6,61.88,61.92,337600
2023-05-25,61.7,61.81,60.5,60.68,278500
2023-05-26,60.79,60.79,60.1,60.6,273000
2023-05-30,60.62,60.84,59.93,59.93,349100
2023-05-31,60.28,61.4,60.28,60.95,666700
2023-06-01,61.2,61.2,60.08,60.48,328300
2023-06-02,60.21,62.54,60.21,62.3,626500
2023-06-05,62.24,62.89,61.42,62.03,309200
2023-06-06,62.26,63.05,61.91,62.86,314700
2023-06-07,63.14,64.47,62.7,64.15,372100
2023-06-08,63.96,64.36,63.35,64.04,288200
2023-06-09,64.01,64.01,63.3,63.4,223700
2023-06-12,63.34,63.51,61.78,62.54,756500
2023-06-13,62.22,62.89,62.0,62.1,385100
2023-06-14,62.09,62.86,61.73,61.82,654000
2023-06-15,62.24,62.24,61.55,62.2,604800
2023-06-16,62.6,62.83,62.02,62.57,965900
2023-06-20,62.29,62.32,61.13,61.17,381200
2023-06-21,61.01,61.9,60.07,61.34,339200
2023-06-22,61.66,61.66,60.6,61.08,396100
2023-06-23,61.29,61.55,59.24,59.48,782800
2023-06-26,59.73,60.51,59.19,60.19,364600
2023-06-27,60.19,60.88,59.8,60.3,386700
2023-06-28,60.14,60.14,59.24,59.57,319100
2023-06-29,59.19,60.37,59.06,60.33,358600
2023-06-30,60.55,60.67,59.75,60.26,330800
2023-07-03,60.13,60.77,60.09,60.39,153100
2023-07-05,60.05,61.14,59.89,60.26,314000
2023-07-06,59.81,60.19,58.99,59.29,632300
2023-07-07,58.84,59.39,57.35,57.84,1175100
2023-07-10,58.02,58.13,56.75,57.23,674300
2023-07-11,57.34,58.2,57.1,58.2,680400
2023-07-12,58.65,59.78,58.29,59.62,911500
2023-07-13,59.55,60.46,59.5,60.4,611100
2023-07-14,60.32,60.32,58.76,59.37,812400
2023-07-17,59.06,59.63,58.5,58.86,643100
2023-07-18,59.06,59.85,58.77,59.55,719600
2023-07-19,59.95,60.87,59.55,60.14,490800
2023-07-20,60.45,61.25,59.73,61.24,517600
2023-07-21,61.14,61.94,60.23,61.27,722200
2023-07-24,61.35,61.52,60.56,60.9,521600
2023-07-25,60.91,61.19,60.35,60.83,665700
2023-07-26,60.89,61.81,60.81,61.54,509700
2023-07-27,61.31,61.43,59.8,59.81,530500
2023-07-28,60.29,60.39,59.45,60.18,628100
2023-07-31,60.4,61.01,60.07,60.33,5751900
2023-08-01,60.45,60.86,59.12,59.2,569300
