Date,Open,High,Low,Close,Volume
2023-01-13,114.39,116.55,113.67,116.07,78500
2023-01-17,116.07,117.94,115.56,116.42,109500
2023-01-18,117.08,118.28,115.11,115.95,174400
2023-01-19,115.76,115.76,111.91,111.97,160200
2023-01-20,113.09,115.19,112.21,115.02,182900
2023-01-23,114.78,115.94,113.79,114.63,188400
2023-01-24,114.14,116.44,113.68,114.14,85200
2023-01-25,112.84,115.43,112.19,115.42,124400
2023-01-26,116.14,116.28,114.62,116.15,128700
2023-01-27,105.01,115.99,103.93,111.93,293100
2023-01-30,112.51,114.28,111.42,112.42,135700
2023-01-31,112.75,116.99,112.12,115.9,329000
2023-02-01,115.92,120.11,115.58,119.03,132300
2023-02-02,120.31,120.31,116.66,118.1,178400
2023-02-03,117.35,121.52,117.35,121.05,176000
2023-02-06,120.03,121.71,119.07,120.89,98600
2023-02-07,121.12,123.41,119.39,122.86,116500
2023-02-08,122.28,123.28,119.42,120.41,89400
2023-02-09,121.65,122.4,118.88,119.89,90000
2023-02-10,119.43,120.79,117.7,118.75,90000
2023-02-13,118.9,121.36,118.9,121.26,102200
2023-02-14,121.22,122.27,119.77,121.08,76200
2023-02-15,120.71,123.59,120.71,121.21,97100
2023-02-16,119.91,122.0,119.67,120.1,101300
2023-02-17,120.51,121.48,119.44,120.29,200200
2023-02-21,118.82,119.12,117.57,118.03,87700
2023-02-22,118.17,118.93,116.69,118.1,116100
2023-02-23,118.6,119.37,116.9,118.48,87200
2023-02-24,117.33,117.68,115.46,117.39,100000
2023-02-27,118.74,120.07,118.44,118.94,93800
2023-02-28,119.13,123.68,118.9,121.62,286400
2023-03-01,121.0,121.59,119.04,120.04,177500
2023-03-02,119.59,121.78,119.43,121.46,78900
2023-03-03,122.06,124.35,121.32,123.77,97500
2023-03-06,123.97,123.97,118.84,119.76,169100
2023-03-07,119.98,120.25,117.39,118.35,93200
2023-03-08,118.56,119.95,117.18,119.08,88500
2023-03-09,119.5,119.9,117.56,118.5,81300
2023-03-10,117.93,117.93,114.98,115.51,86400
2023-03-13,114.0,116.58,113.18,114.95,99100
2023-03-14,117.49,119.21,116.27,119.1,122000
2023-03-15,116.49,116.79,112.46,114.26,157200
2023-03-16,112.87,116.4,112.87,116.2,118300
2023-03-17,115.57,118.4,113.91,114.48,478500
2023-03-20,115.12,118.0,115.03,117.58,121100
2023-03-21,119.39,120.69,116.08,117.13,124200
2023-03-22,116.79,118.59,116.04,116.19,111300
2023-03-23,116.86,118.14,114.74,115.89,109000
2023-03-24,115.36,117.5,114.75,116.97,79000
2023-03-27,118.05,118.62,117.23,118.08,49900
2023-03-28,117.29,118.86,117.07,118.73,63400
2023-03-29,120.12,120.77,118.41,119.88,88800
2023-03-30,120.65,120.94,118.98,119.75,58100
2023-03-31,120.5,122.48,120.3,121.82,110000
2023-04-03,121.52,123.98,120.21,123.6,137700
2023-04-04,123.63,124.13,119.83,120.97,107400
2023-04-05,120.09,120.09,118.14,119.08,82500
2023-04-06,118.56,119.5,117.53,118.94,92600
2023-04-10,118.18,121.19,118.18,120.68,184900
2023-04-11,121.1,121.97,119.56,120.68,121600
2023-04-12,121.5,122.79,120.6,122.17,85600
2023-04-13,122.67,122.72,119.52,122.44,96400
2023-04-14,122.08,123.67,120.71,121.32,107100
2023-04-17,121.15,121.72,119.25,120.92,125300
2023-04-18,121.77,121.8,119.54,120.85,130600
2023-04-19,120.27,122.31,119.02,120.5,193700
2023-04-20,127.05,138.12,126.66,133.34,480800
2023-04-21,133.93,137.37,133.43,135.64,614900
2023-04-24,136.16,139.33,134.04,134.3,250400
2023-04-25,133.87,134.49,132.03,132.76,186200
2023-04-26,132.22,132.6,128.94,130.17,201600
2023-04-27,130.75,133.43,130.75,132.83,137900
2023-04-28,132.53,133.65,131.49,132.33,380600
2023-05-01,132.99,137.76,132.99,136.55,163400
2023-05-02,136.2,138.69,135.33,137.66,152400
2023-05-03,138.1,138.59,133.96,135.72,259500
2023-05-04,135.16,138.11,135.1,137.38,178600
2023-05-05,138.16,139.87,136.97,139.26,135500
2023-05-08,138.95,139.54,136.79,137.77,132100
2023-05-09,137.43,139.4,137.21,138.06,174000
2023-05-10,139.08,139.83,136.74,139.08,131000
