Date,Open,High,Low,Close,Volume
2023-01-13,17.45,17.59,17.37,17.51,896400
2023-01-17,17.56,17.85,17.492,17.79,941300
2023-01-18,17.87,17.93,17.42,17.51,902200
2023-01-19,17.42,17.6,17.36,17.51,696100
2023-01-20,17.56,17.72,17.24,17.71,557400
2023-01-23,17.74,17.86,17.52,17.71,448700
2023-01-24,17.725,17.8,17.46,17.48,432700
2023-01-25,17.43,17.45,17.225,17.3,710700
2023-01-26,17.42,17.73,17.36,17.72,690600
2023-01-27,17.65,17.91,17.55,17.78,912000
2023-01-30,17.69,17.98,17.69,17.79,621000
2023-01-31,17.73,18.11,17.73,18.11,1064600
2023-02-01,18.07,18.17,17.61,18.04,654100
2023-02-02,18.1,18.35,17.89,18.14,819900
2023-02-03,17.96,17.96,17.58,17.79,910000
2023-02-06,17.63,17.75,17.385,17.7,596000
2023-02-07,17.54,17.955,17.38,17.74,999600
2023-02-08,17.66,17.79,17.43,17.52,690700
2023-02-09,17.71,17.71,17.37,17.54,1175700
2023-02-10,17.53,18.02,17.49,17.9,1245500
2023-02-13,17.91,18.24,17.91,18.18,653700
2023-02-14,18.18,18.32,18.0,18.18,1196700
2023-02-15,18.12,18.29,18.06,18.27,845800
2023-02-16,18.06,18.54,17.91,18.39,876700
2023-02-17,18.46,18.463,18.16,18.38,778500
2023-02-21,18.15,18.28,17.77,17.9,577300
2023-02-22,17.93,18.04,17.58,17.69,606400
2023-02-23,17.76,18.03,17.55,17.83,651300
2023-02-24,17.64,17.83,17.5,17.62,802600
2023-02-27,17.8,17.97,17.79,17.83,763500
2023-02-28,17.83,18.15,17.75,17.75,1180800
2023-03-01,17.62,17.74,17.44,17.7,701800
2023-03-02,17.73,18.15,17.64,18.12,946800
2023-03-03,18.14,18.185,17.95,18.15,963300
2023-03-06,18.23,18.23,17.525,17.61,1398600
2023-03-07,17.64,17.64,17.11,17.26,734200
2023-03-08,17.27,17.5,17.18,17.41,654800
2023-03-09,17.4,17.58,17.25,17.29,599400
2023-03-10,17.2,17.21,16.09,16.19,953300
2023-03-13,16.19,16.92,16.16,16.62,1070900
2023-03-14,17.06,17.21,16.82,16.96,1026600
2023-03-15,16.92,17.15,16.78,17.01,1680200
2023-03-16,16.8,17.02,16.6,16.88,1147300
2023-03-17,16.83,16.83,16.56,16.68,1792500
2023-03-20,16.71,17.005,16.64,16.95,1313200
2023-03-21,17.28,17.28,16.735,16.88,1255600
2023-03-22,16.75,16.92,16.345,16.42,936000
2023-03-23,16.44,16.93,16.215,16.31,833900
2023-03-24,16.2,16.81,16.16,16.8,726300
2023-03-27,16.96,16.98,16.72,16.76,675800
2023-03-28,16.5,16.83,16.5,16.76,916600
2023-03-29,16.94,16.99,16.76,16.9,855400
2023-03-30,16.74,16.875,16.63,16.78,766200
2023-03-31,16.93,17.02,16.745,17.01,1272600
2023-04-03,16.98,17.04,16.65,16.79,788700
2023-04-04,16.86,16.87,16.62,16.82,708800
2023-04-05,16.76,16.88,16.62,16.69,615600
2023-04-06,16.83,16.83,16.495,16.54,633000
2023-04-10,16.46,16.561,16.32,16.53,1335500
2023-04-11,16.64,16.73,16.243,16.35,1085600
2023-04-12,16.54,16.54,16.13,16.14,647400
2023-04-13,16.12,16.19,15.98,16.14,888300
2023-04-14,16.21,16.315,15.805,15.96,607300
2023-04-17,15.96,16.295,15.87,16.26,794100
2023-04-18,16.26,16.28,15.96,15.99,918100
2023-04-19,15.95,16.125,15.81,16.11,735200
2023-04-20,16.05,16.11,15.92,16.01,601700
2023-04-21,16.01,16.13,15.84,16.02,726300
2023-04-24,16.03,16.13,15.66,15.81,636700
2023-04-25,15.7,15.92,15.53,15.84,775700
2023-04-26,15.68,15.88,15.46,15.54,582900
2023-04-27,15.55,15.955,15.55,15.88,700900
2023-04-28,15.94,16.22,15.94,16.17,706300
2023-05-01,16.08,16.24,16.06,16.16,954600
2023-05-02,16.07,16.15,15.8,16.06,936800
2023-05-03,16.14,16.365,15.93,15.94,1816100
2023-05-04,15.87,16.235,15.58,16.08,1076200
2023-05-05,16.26,16.475,16.195,16.33,1076400
2023-05-08,16.33,16.41,16.17,16.3,1062300
2023-05-09,16.26,16.295,16.03,16.17,949100
2023-05-10,16.35,16.36,16.11,16.27,872000
2023-05-11,16.12,16.19,15.78,16.06,1051000
2023-05-12,16.15,16.18,15.96,16.11,916700
2023-05-15,16.16,16.279,16.06,16.16,822500
2023-05-16,16.18,16.18,15.85,15.85,585800
2023-05-17,15.96,16.105,15.785,16.03,1067900
2023-05-18,15.97,16.115,15.92,16.02,1052400
2023-05-19,16.13,16.19,15.765,15.89,894700
2023-05-22,15.93,16.11,15.835,15.98,757600
2023-05-23,15.99,16.21,15.9,15.92,850100
2023-05-24,15.87,15.94,15.525,15.54,625800
2023-05-25,15.57,15.57,15.16,15.19,926100
2023-05-26,15.2,15.44,15.085,15.41,1036300
2023-05-30,15.41,15.51,15.22,15.26,876600
2023-05-31,15.32,15.71,15.29,15.68,2934300
2023-06-01,15.64,15.73,15.4,15.64,717800
2023-06-02,15.83,16.16,15.81,16.13,890400
2023-06-05,16.14,16.28,15.89,15.91,622000
2023-06-06,15.81,16.27,15.81,16.22,816200
2023-06-07,16.38,16.605,16.33,16.41,1607800
2023-06-08,16.27,16.39,16.12,16.22,737700
2023-06-09,16.17,16.32,16.121,16.29,680400
2023-06-12,16.25,16.45,16.2,16.39,1037400
2023-06-13,16.36,16.675,16.31,16.47,955900
2023-06-14,16.52,16.69,16.2,16.32,1164400
2023-06-15,16.3,16.4,16.14,16.4,875900
2023-06-16,16.48,16.51,16.29,16.37,3065000
2023-06-20,16.27,16.34,15.99,16.08,832000
2023-06-21,15.97,16.01,15.6,15.65,827300
2023-06-22,15.74,15.74,15.28,15.45,979600
2023-06-23,15.31,15.445,15.18,15.2,2831400
2023-06-26,15.15,15.55,15.15,15.53,891300
2023-06-27,15.6,15.84,15.39,15.83,885300
2023-06-28,15.87,15.87,15.6,15.66,1412200
2023-06-29,15.34,15.675,15.29,15.59,2369900
2023-06-30,15.63,15.69,15.233,15.44,1858300
2023-07-03,15.5,15.665,15.495,15.59,938200
2023-07-05,15.6,16.015,15.56,15.83,1147400
2023-07-06,15.58,15.65,15.316,15.61,1088600
2023-07-07,15.53,15.7,15.43,15.43,1016100
2023-07-10,15.39,15.475,15.26,15.36,1241000
2023-07-11,15.43,15.98,15.42,15.97,1251400
2023-07-12,16.23,16.42,16.09,16.13,1289900
2023-07-13,16.12,16.13,15.93,15.98,685200
2023-07-14,15.91,16.05,15.795,16.02,685600
2023-07-17,15.91,16.095,15.835,15.95,623200
2023-07-18,15.97,16.07,15.73,15.89,1456100
2023-07-19,16.06,16.31,15.97,16.31,1376000
2023-07-20,16.32,16.59,16.13,16.58,1245000
2023-07-21,16.61,16.89,16.485,16.69,1223400
2023-07-24,16.7,16.89,16.64,16.87,656300
2023-07-25,16.82,16.98,16.75,16.87,1222300
2023-07-26,16.87,17.115,16.87,17.05,1006000
2023-07-27,17.14,17.32,16.84,16.87,1461800
2023-07-28,16.97,17.08,16.46,16.52,795800
2023-07-31,16.59,16.59,16.28,16.3,1638800
2023-08-01,16.34,16.61,16.31,16.61,1299200
2023-08-02,16.45,16.555,16.34,16.48,1173500
2023-08-03,16.91,16.91,16.015,16.39,3143900
2023-08-04,16.35,16.67,16.205,16.32,1095600
2023-08-07,16.26,16.59,16.18,16.59,1136000
2023-08-08,16.41,16.59,16.3,16.51,787800
2023-08-09,16.45,16.579,16.36,16.54,768500
2023-08-10,16.55,16.76,16.44,16.48,812100
2023-08-11,16.43,16.6,16.39,16.41,860100
2023-08-14,16.32,16.38,16.125,16.36,611300
2023-08-15,16.27,16.6,16.21,16.31,1508700
2023-08-16,16.31,16.4,16.015,16.04,1118300
2023-08-17,16.02,16.25,16.02,16.07,920400
2023-08-18,15.95,16.21,15.92,16.03,775400
2023-08-21,16.04,16.04,15.62,15.75,814700
2023-08-22,15.82,15.86,15.58,15.66,959400
2023-08-23,15.8,15.96,15.69,15.89,587100
2023-08-24,15.84,16.185,15.84,15.85,744200
2023-08-25,15.94,15.99,15.82,15.84,452500
2023-08-28,15.85,16.175,15.85,16.04,628900
2023-08-29,16.05,16.175,15.99,16.15,466700
2023-08-30,16.18,16.28,16.12,16.27,697500
2023-08-31,16.2,16.26,16.12,16.17,1044600
2023-09-01,16.29,16.38,16.11,16.22,765300
2023-09-05,16.2,16.21,15.985,16.01,797400
2023-09-06,16.07,16.155,16.01,16.12,974800
2023-09-07,16.17,16.615,16.17,16.52,1650300
2023-09-08,16.5,16.58,16.455,16.51,588500
2023-09-11,16.58,16.58,16.34,16.42,845500
2023-09-12,16.34,16.46,16.11,16.15,745500
2023-09-13,16.16,16.2,15.965,16.03,925000
2023-09-14,16.17,16.33,16.15,16.29,668700
2023-09-15,16.2,16.24,15.924,16.06,1463800
2023-09-18,16.09,16.093,15.845,15.87,627400
2023-09-19,15.87,15.97,15.77,15.9,667300
2023-09-20,16.03,16.195,15.96,15.97,593000
2023-09-21,15.77,15.86,15.06,15.06,929800
2023-09-22,15.08,15.16,14.85,14.86,883200
2023-09-25,14.79,14.85,14.6,14.65,960900
2023-09-26,14.51,14.524,14.08,14.28,1366600
2023-09-27,14.35,14.56,14.29,14.37,1540300
2023-09-28,14.08,14.295,14.07,14.13,906700
2023-09-29,14.31,14.42,14.155,14.3,1071200
2023-10-02,14.18,14.38,14.18,14.33,1623800
2023-10-03,14.22,14.258,13.89,14.05,893200
2023-10-04,14.08,14.29,13.93,14.26,1016200
2023-10-05,14.26,14.35,14.075,14.22,835900
2023-10-06,14.11,14.295,14.0,14.26,624900
2023-10-09,14.14,14.675,14.14,14.6,797900
2023-10-10,14.58,14.715,14.5,14.52,922600
2023-10-11,14.66,14.935,14.66,14.91,825400
2023-10-12,14.8,14.96,14.665,14.69,930300
2023-10-13,14.79,14.802,14.405,14.46,756400
2023-10-16,14.6,14.66,14.36,14.61,1210400
2023-10-17,14.53,14.94,14.53,14.92,1529100
2023-10-18,15.06,15.1,14.69,14.7,1266200
2023-10-19,14.54,14.6,14.15,14.16,1049400
2023-10-20,14.25,14.4,14.05,14.05,907400
2023-10-23,13.94,14.175,13.84,14.03,786900
2023-10-24,14.09,14.26,14.0,14.1,1377800
2023-10-25,14.0,14.021,13.745,13.78,872000
2023-10-26,13.85,14.02,13.8,13.92,1131500
2023-10-27,13.93,13.93,13.68,13.78,939000
2023-10-30,13.91,14.09,13.73,13.97,1072800
2023-10-31,14.04,14.15,13.91,14.15,1369600
2023-11-01,14.12,14.225,13.96,14.09,2020800
2023-11-02,14.2,14.595,14.01,14.36,3620200
2023-11-03,14.62,15.105,14.6,14.94,1433300
2023-11-06,14.88,14.93,14.65,14.78,830900
2023-11-07,14.79,14.86,14.525,14.57,715300
2023-11-08,14.57,14.669,14.48,14.62,678100
2023-11-09,14.73,14.73,14.295,14.34,722400
2023-11-10,14.45,14.58,14.32,14.53,709700
2023-11-13,14.42,14.66,14.29,14.53,1307400
2023-11-14,15.12,15.33,15.04,15.23,1921600
2023-11-15,15.3,15.42,15.255,15.31,1279000
2023-11-16,15.38,15.42,15.165,15.41,915600
2023-11-17,15.57,15.58,15.215,15.3,984400
2023-11-20,15.25,15.33,15.09,15.32,973900
2023-11-21,15.28,15.65,15.17,15.6,1248200
2023-11-22,15.76,15.88,15.65,15.81,979800
2023-11-24,15.84,15.92,15.7,15.88,293100
