Date,Open,High,Low,Close,Volume
2023-01-13,34.97,36.06,34.485,34.69,1118700
2023-01-17,34.68,35.645,34.05,35.62,716700
2023-01-18,35.95,36.05,33.55,33.63,771200
2023-01-19,33.04,34.27,33.0,34.0,647000
2023-01-20,34.39,34.55,33.11,34.0,760700
2023-01-23,33.9,36.34,33.75,34.42,1142800
2023-01-24,33.76,34.59,33.25,34.24,1052900
2023-01-25,33.17,34.88,32.71,34.46,1000800
2023-01-26,35.0,35.49,34.55,35.26,842200
2023-01-27,35.35,37.59,35.096,36.96,1476900
2023-01-30,36.41,38.7,36.05,36.53,1427800
2023-01-31,36.75,38.19,36.59,38.11,816900
2023-02-01,38.09,39.13,36.22,38.52,1555700
2023-02-02,39.05,40.779,38.7,39.93,1530900
2023-02-03,39.86,41.44,38.7,38.86,1475900
2023-02-06,38.5,40.05,37.66,37.85,937500
2023-02-07,37.56,39.23,37.39,38.86,849100
2023-02-08,38.75,39.35,37.86,37.99,691000
2023-02-09,38.26,38.74,36.6,36.64,938100
2023-02-10,36.39,37.533,35.81,37.34,997100
2023-02-13,37.82,38.53,37.3,38.41,659700
2023-02-14,38.03,39.3,37.56,39.17,681500
2023-02-15,39.07,40.87,39.01,40.83,961100
2023-02-16,39.73,40.53,39.27,39.36,902100
2023-02-17,39.0,39.49,37.755,38.56,1566400
2023-02-21,37.9,38.61,37.34,37.35,842000
2023-02-22,37.49,38.645,36.93,37.99,1148600
2023-02-23,35.08,36.49,32.012,34.03,5210400
2023-02-24,33.41,34.31,32.71,33.07,1190000
2023-02-27,33.1,33.42,32.265,32.83,996300
2023-02-28,32.9,33.87,32.66,33.35,1302600
2023-03-01,33.3,33.542,31.66,31.99,1378100
2023-03-02,31.81,33.782,31.53,32.92,1222500
2023-03-03,33.14,34.6,33.135,34.35,1129100
2023-03-06,34.58,35.18,33.94,34.15,796600
2023-03-07,34.03,34.617,33.44,33.58,965100
2023-03-08,33.62,33.729,33.03,33.52,332100
2023-03-09,33.44,33.61,32.01,32.05,811800
2023-03-10,32.0,32.69,31.05,31.41,912300
2023-03-13,30.85,31.075,29.67,30.58,1562000
2023-03-14,31.41,31.65,30.183,30.45,960100
2023-03-15,30.2,30.43,29.69,30.4,857500
2023-03-16,29.82,30.53,29.68,30.16,835300
2023-03-17,29.99,30.08,28.895,29.15,1397500
2023-03-20,29.16,30.13,28.912,29.62,697500
2023-03-21,30.0,30.5,29.42,29.45,809900
2023-03-22,29.46,30.44,29.31,29.4,1179900
2023-03-23,29.6,30.7,29.14,29.68,759000
2023-03-24,29.49,29.55,28.134,28.66,1227200
2023-03-27,29.1,29.84,28.8,29.71,866600
2023-03-28,29.44,30.18,29.41,30.14,430400
2023-03-29,30.54,30.86,29.8,30.52,807900
2023-03-30,30.92,31.665,30.75,31.17,590000
2023-03-31,31.29,31.955,31.25,31.63,665700
2023-04-03,31.64,32.09,31.311,32.02,741400
2023-04-04,32.1,32.325,31.35,32.2,1171500
2023-04-05,33.37,33.63,31.81,31.89,1754100
2023-04-06,31.72,32.21,31.16,31.48,847800
2023-04-10,31.25,32.85,31.21,32.56,716000
2023-04-11,32.74,33.298,32.5,33.16,521400
2023-04-12,33.75,33.89,32.32,32.48,389100
2023-04-13,32.68,33.045,32.405,32.52,375800
2023-04-14,32.44,32.83,31.88,32.15,317200
2023-04-17,32.1,32.5,31.66,31.88,366200
2023-04-18,32.14,32.43,30.49,30.54,958800
