Date,Open,High,Low,Close,Volume
2023-01-13,57.83,58.56,57.83,58.42,422800
2023-01-17,58.93,59.59,58.67,59.43,642200
2023-01-18,60.06,60.4,59.04,59.21,588200
2023-01-19,58.6,59.09,58.01,58.46,524600
2023-01-20,58.67,60.2,58.67,60.13,709900
2023-01-23,60.4,60.81,59.85,60.37,874300
2023-01-24,60.7,61.17,59.99,60.96,710000
2023-01-25,60.55,60.9,60.22,60.72,345300
2023-01-26,61.4,61.4,60.75,61.23,580000
2023-01-27,60.99,61.79,60.99,61.17,481400
2023-01-30,60.64,61.41,60.29,60.37,595200
2023-01-31,60.42,62.38,60.36,62.31,968600
2023-02-01,62.22,62.81,61.52,62.35,794500
2023-02-02,62.74,62.74,61.02,62.14,1448000
2023-02-03,64.96,66.84,64.47,66.48,2781000
2023-02-06,66.2,66.46,64.47,64.99,1016800
2023-02-07,64.81,66.51,64.34,66.45,1257800
2023-02-08,66.25,66.54,64.66,65.26,827500
2023-02-09,66.5,66.85,64.78,64.85,1079200
2023-02-10,64.39,65.74,64.39,65.64,1542100
2023-02-13,65.5,66.08,65.33,65.98,882700
2023-02-14,65.95,67.28,65.41,67.14,1341600
2023-02-15,67.26,67.5,66.79,67.33,1050500
2023-02-16,66.52,67.19,65.83,65.91,1004000
2023-02-17,65.74,66.46,65.31,66.19,627300
2023-02-21,65.26,66.13,64.67,65.01,640000
2023-02-22,65.1,65.65,64.73,65.24,596000
2023-02-23,65.51,65.91,64.12,64.89,879200
2023-02-24,63.54,64.14,62.83,63.57,966100
2023-02-27,64.04,64.35,63.45,63.98,745200
2023-02-28,63.95,65.64,63.88,65.13,1237600
2023-03-01,64.95,65.76,64.93,65.09,1027300
2023-03-02,64.55,65.4,64.19,65.39,900700
2023-03-03,65.64,66.07,64.84,65.84,923700
2023-03-06,65.83,66.17,64.73,64.8,810400
2023-03-07,64.92,65.69,64.72,64.91,747600
2023-03-08,64.91,65.03,64.11,64.87,721400
2023-03-09,65.01,65.01,63.03,63.06,1237400
2023-03-10,62.8,62.81,60.75,61.11,978200
2023-03-13,60.0,60.08,58.23,58.92,1022800
2023-03-14,59.87,60.87,59.7,60.27,1031500
2023-03-15,58.77,59.24,57.74,59.13,1064900
2023-03-16,58.32,60.49,58.32,60.13,940000
2023-03-17,59.77,60.46,59.21,59.99,926400
2023-03-20,60.45,61.29,60.09,60.91,1046800
2023-03-21,62.01,62.61,61.8,61.93,1270200
2023-03-22,61.82,62.03,60.3,60.31,1073500
2023-03-23,60.74,61.82,59.42,59.96,991900
2023-03-24,59.26,60.66,58.34,60.42,982200
2023-03-27,61.24,61.38,60.32,60.92,719000
2023-03-28,60.73,61.68,60.55,61.19,638900
2023-03-29,61.75,62.37,61.68,62.31,544800
2023-03-30,62.75,63.2,62.24,62.42,463200
2023-03-31,63.02,64.23,62.8,64.12,796900
2023-04-03,64.22,64.7,63.56,64.4,581200
2023-04-04,64.68,64.69,62.89,63.83,608700
2023-04-05,63.29,63.57,62.18,62.57,565300
2023-04-06,62.6,62.98,61.85,62.87,517000
2023-04-10,62.47,63.8,62.47,63.7,587000
2023-04-11,63.82,64.78,63.69,64.52,564200
2023-04-12,65.05,65.05,63.4,63.54,1049400
2023-04-13,64.22,65.08,63.74,64.84,561100
2023-04-14,64.66,65.44,64.41,65.29,792500
2023-04-17,65.6,66.42,65.6,65.94,1141600
2023-04-18,66.56,67.35,66.33,66.36,1164500
2023-04-19,66.23,67.5,66.1,67.0,1288000
2023-04-20,67.49,67.93,66.94,67.57,947000
2023-04-21,68.0,68.33,67.38,68.17,791100
2023-04-24,68.3,68.9,67.31,67.36,1093100
2023-04-25,67.0,67.2,66.15,66.24,1290100
2023-04-26,67.2,68.26,66.6,67.25,1522000
2023-04-27,67.61,68.91,66.76,68.59,1617300
2023-04-28,68.39,69.78,68.24,69.4,871500
2023-05-01,69.95,71.36,69.77,71.28,1390500
2023-05-02,71.28,71.38,69.26,71.08,1055300
2023-05-03,71.09,71.29,69.96,70.01,913400
2023-05-04,69.72,69.72,67.94,67.99,964600
2023-05-05,69.97,70.98,69.05,70.6,1097900
2023-05-08,70.99,71.49,69.34,70.28,858500
2023-05-09,70.04,71.69,69.68,70.95,1013700
2023-05-10,71.2,71.53,68.92,69.88,896100
2023-05-11,69.28,69.81,68.15,68.57,1121500
2023-05-12,68.5,69.07,68.3,68.32,503200
2023-05-15,68.5,68.67,68.01,68.39,722900
2023-05-16,68.02,68.15,65.98,66.01,933800
2023-05-17,66.45,67.69,66.26,66.63,1139000
2023-05-18,66.59,67.58,66.29,67.57,695200
2023-05-19,67.57,67.91,66.49,66.79,620800
2023-05-22,66.83,67.04,65.84,66.09,1654800
2023-05-23,65.71,65.75,64.08,64.65,1080400
2023-05-24,64.39,65.01,63.7,64.74,820600
2023-05-25,64.96,65.78,64.44,64.97,692800
2023-05-26,65.13,65.61,64.7,65.18,535600
2023-05-30,65.18,65.66,63.91,64.16,866200
2023-05-31,64.02,64.26,63.22,63.73,865400
2023-06-01,63.64,64.68,63.3,64.33,736300
2023-06-02,65.24,66.74,65.24,66.3,1123500
2023-06-05,65.62,67.08,65.62,66.69,826000
2023-06-06,66.73,68.18,66.62,67.79,762800
2023-06-07,67.93,68.8,67.75,68.43,747200
2023-06-08,68.15,68.91,67.84,68.88,686300
2023-06-09,69.09,69.33,68.12,68.41,514800
2023-06-12,68.67,69.51,68.39,69.37,633100
2023-06-13,69.8,70.04,68.82,69.16,923500
2023-06-14,68.91,69.7,68.9,69.37,929000
2023-06-15,69.01,69.45,68.22,69.08,661200
2023-06-16,69.37,69.37,67.53,68.0,1510900
2023-06-20,67.75,68.45,67.28,68.36,569200
2023-06-21,68.16,68.67,67.9,68.08,559800
2023-06-22,68.03,68.12,66.81,67.02,849600
2023-06-23,66.19,66.3,64.95,65.79,1263100
2023-06-26,65.51,66.94,65.32,66.69,520600
2023-06-27,66.97,68.11,66.73,68.09,607000
2023-06-28,67.93,68.93,67.34,68.21,762200
2023-06-29,68.29,69.22,68.03,69.03,573800
2023-06-30,69.53,69.69,69.07,69.37,717500
2023-07-03,69.47,69.68,68.9,68.98,389000
2023-07-05,68.61,68.71,66.43,67.08,844100
2023-07-06,66.38,66.77,65.53,66.66,565500
2023-07-07,66.86,68.26,66.83,67.86,697000
2023-07-10,67.81,69.73,67.81,69.66,698900
2023-07-11,69.65,70.31,69.43,69.98,471100
2023-07-12,70.61,70.63,69.94,70.13,623300
2023-07-13,70.68,71.55,70.61,71.43,808200
2023-07-14,72.35,72.4,70.94,71.85,712900
2023-07-17,71.6,72.0,70.98,71.05,654700
2023-07-18,71.04,72.54,71.04,72.09,715200
2023-07-19,72.2,72.93,71.82,72.81,879600
2023-07-20,72.69,72.83,72.14,72.33,622300
2023-07-21,72.8,73.0,71.93,72.26,708900
2023-07-24,72.06,72.32,71.15,71.28,683000
2023-07-25,71.11,72.14,71.09,71.75,711100
2023-07-26,71.83,72.58,71.64,72.0,733200
2023-07-27,72.0,72.01,69.55,69.89,1218500
2023-07-28,68.21,68.95,66.68,67.39,1697700
2023-07-31,67.63,68.57,67.3,68.32,1372400
2023-08-01,68.05,68.8,67.4,67.97,690300
2023-08-02,67.31,68.16,66.61,67.8,594400
2023-08-03,66.9,67.36,66.13,67.07,782800
2023-08-04,67.53,67.86,66.23,66.73,842000
2023-08-07,66.55,67.53,66.53,67.34,645800
2023-08-08,66.75,67.52,66.75,67.46,815800
2023-08-09,67.71,68.24,67.16,67.24,660200
2023-08-10,67.54,68.07,67.42,67.72,882700
2023-08-11,67.26,67.42,66.68,67.31,736200
2023-08-14,66.82,67.51,66.21,67.46,648300
2023-08-15,67.1,67.11,66.45,66.7,690200
2023-08-16,66.54,67.0,65.98,66.0,607200
2023-08-17,66.04,66.18,64.52,64.75,889800
2023-08-18,64.17,65.54,63.97,64.8,690300
2023-08-21,64.96,65.31,64.56,64.9,657900
2023-08-22,64.97,65.24,64.35,64.8,597700
2023-08-23,64.81,65.8,64.47,65.62,421100
2023-08-24,65.37,65.94,64.95,65.04,481000
2023-08-25,65.18,65.5,64.72,65.07,401100
2023-08-28,65.24,65.83,65.11,65.41,423800
2023-08-29,65.25,66.3,65.18,66.19,628000
2023-08-30,66.32,66.87,66.27,66.46,396500
2023-08-31,66.65,67.34,66.57,66.87,754600
2023-09-01,67.25,67.75,67.15,67.63,583100
2023-09-05,67.17,67.17,65.23,65.84,802500
2023-09-06,65.6,66.01,64.93,65.26,868500
2023-09-07,65.04,65.26,64.39,64.5,982000
2023-09-08,64.72,65.61,64.56,64.78,903100
2023-09-11,65.24,65.45,63.15,63.65,1116900
2023-09-12,63.42,64.41,63.41,63.96,789800
2023-09-13,63.77,64.36,63.35,63.53,962800
2023-09-14,64.3,65.1,63.68,64.95,1103500
2023-09-15,64.83,65.42,64.29,64.69,2531800
2023-09-18,64.6,65.12,64.35,64.39,547300
2023-09-19,63.95,64.3,63.04,63.32,944700
2023-09-20,63.56,64.09,62.7,62.75,937600
2023-09-21,62.23,62.49,61.66,61.68,942600
2023-09-22,61.9,62.19,60.74,60.79,677800
2023-09-25,60.28,61.01,60.0,60.41,791000
2023-09-26,60.11,60.71,60.11,60.24,648400
2023-09-27,60.55,60.77,59.75,60.25,763700
2023-09-28,60.22,61.0,59.82,60.68,805700
2023-09-29,61.18,61.44,60.78,60.83,736200
2023-10-02,60.53,61.04,59.76,59.97,851600
2023-10-03,59.68,59.93,58.88,59.11,814000
2023-10-04,59.34,59.58,58.26,58.52,723800
2023-10-05,58.62,58.77,57.94,58.2,521800
2023-10-06,57.94,59.59,57.66,58.8,680500
2023-10-09,58.45,60.01,57.87,59.92,500800
2023-10-10,60.28,61.05,60.21,60.53,433600
2023-10-11,60.71,61.25,60.67,60.98,453400
2023-10-12,61.05,61.28,59.24,59.69,526500
2023-10-13,59.55,60.08,58.89,59.02,629100
2023-10-16,59.59,60.09,59.35,59.77,630500
2023-10-17,59.56,61.12,59.56,60.59,759100
2023-10-18,60.1,60.93,59.78,60.08,845800
2023-10-19,60.04,60.93,59.5,59.81,806700
2023-10-20,59.73,60.06,59.36,59.54,795900
2023-10-23,59.52,60.97,59.32,60.4,1069200
2023-10-24,60.63,61.26,60.34,61.03,1366900
2023-10-25,53.98,57.39,52.42,53.85,3286100
2023-10-26,54.15,55.64,53.37,55.3,1924100
