Date,Open,High,Low,Close,Volume
2023-01-13,54.63,55.27,53.98,54.1,563700
2023-01-17,54.55,56.39,54.53,56.36,821800
2023-01-18,56.48,56.56,54.92,55.34,859100
2023-01-19,55.54,56.38,55.11,55.72,819900
2023-01-20,56.14,56.43,54.13,54.67,1061000
2023-01-23,54.7,55.71,54.62,54.92,1083400
2023-01-24,53.7,54.53,53.01,53.73,839900
2023-01-25,53.89,54.09,52.81,53.99,883900
2023-01-26,53.99,54.99,53.42,54.79,697000
2023-01-27,54.98,55.22,54.03,55.03,717700
2023-01-30,55.71,56.86,55.38,56.15,1085200
2023-01-31,56.47,57.27,56.36,57.22,784300
2023-02-01,57.44,58.18,57.12,57.17,871400
2023-02-02,56.82,56.86,54.45,54.74,971200
2023-02-03,54.98,55.29,54.42,54.47,852600
2023-02-06,54.89,55.23,54.2,54.71,608300
2023-02-07,54.46,54.57,53.32,54.25,679400
2023-02-08,54.17,54.3,53.09,53.39,565800
2023-02-09,53.8,53.8,52.51,53.13,676100
2023-02-10,53.27,53.63,52.81,53.62,560600
2023-02-13,53.95,54.8,53.64,54.34,561700
2023-02-14,54.34,55.09,53.89,54.96,676800
2023-02-15,55.14,56.66,54.56,56.61,699200
2023-02-16,56.52,58.75,56.07,58.44,1473900
2023-02-17,58.81,61.82,58.6,61.36,1594400
2023-02-21,61.39,61.76,58.98,59.5,859900
2023-02-22,59.5,60.0,59.04,59.49,517800
2023-02-23,59.56,60.77,59.05,59.4,636600
2023-02-24,59.36,59.77,58.09,58.39,729000
2023-02-27,58.43,59.03,57.89,58.09,524100
2023-02-28,58.18,58.41,56.62,56.8,998100
2023-03-01,56.88,57.3,55.61,57.04,706500
2023-03-02,57.21,57.99,56.68,57.39,526200
2023-03-03,57.35,57.38,56.6,57.01,513200
2023-03-06,56.91,57.06,55.74,56.71,671700
2023-03-07,56.85,56.85,55.68,56.26,673200
2023-03-08,56.26,56.48,55.14,55.87,493900
2023-03-09,55.71,56.52,55.14,55.85,580100
2023-03-10,55.84,56.63,55.42,56.08,613700
2023-03-13,55.74,56.6,54.38,54.69,724800
2023-03-14,55.18,55.72,54.69,55.27,654100
2023-03-15,54.75,55.45,54.32,54.79,710900
2023-03-16,54.53,55.27,54.39,54.84,675900
2023-03-17,54.99,55.11,54.25,54.49,1534400
2023-03-20,54.92,55.9,54.68,54.76,823800
2023-03-21,55.17,55.51,53.93,54.38,775400
2023-03-22,54.31,55.25,53.93,53.93,837300
2023-03-23,54.21,54.49,53.75,53.86,777000
2023-03-24,54.0,54.96,53.83,54.46,723900
2023-03-27,54.89,55.56,54.88,55.27,770700
2023-03-28,55.27,55.74,54.12,54.27,1166900
2023-03-29,56.89,60.58,55.55,57.96,3381400
2023-03-30,58.0,60.31,57.97,59.98,1763000
2023-03-31,60.44,61.74,60.07,60.89,1637700
2023-04-03,61.13,61.91,60.5,61.01,939000
2023-04-04,61.02,61.02,55.93,56.86,1465300
2023-04-05,57.0,57.19,55.1,55.38,1233600
2023-04-06,55.6,56.64,55.4,55.71,824400
2023-04-10,55.95,57.1,55.75,56.52,872600
2023-04-11,56.87,58.19,56.75,57.56,1187700
2023-04-12,57.5,57.82,56.71,57.09,1071300
2023-04-13,57.09,57.15,55.11,56.08,1220500
2023-04-14,56.12,56.64,55.27,55.36,829500
2023-04-17,55.69,56.26,55.56,56.04,760600
2023-04-18,56.3,57.38,55.83,57.15,871500
