Date,Open,High,Low,Close,Volume
2023-01-13,45.9,46.85,45.81,46.72,159900
2023-01-17,46.6,46.96,46.27,46.48,210100
2023-01-18,46.32,46.76,45.59,45.62,358200
2023-01-19,45.17,45.33,44.13,44.19,228000
2023-01-20,44.58,45.04,44.32,44.77,234400
2023-01-23,44.77,45.99,44.51,45.96,131200
2023-01-24,45.97,46.0,45.29,45.5,163100
2023-01-25,45.14,45.81,45.07,45.73,144600
2023-01-26,48.0,49.07,46.17,49.05,434200
2023-01-27,49.02,49.55,48.84,49.23,201700
2023-01-30,48.9,49.85,48.75,48.82,195400
2023-01-31,48.8,49.91,48.8,49.62,193400
2023-02-01,49.49,51.39,49.35,50.88,301700
2023-02-02,51.47,52.03,51.29,52.02,158100
2023-02-03,51.51,52.71,51.51,52.54,183700
2023-02-06,52.19,52.39,50.68,50.81,196500
2023-02-07,50.58,51.25,50.55,50.97,215600
2023-02-08,50.46,50.91,49.64,49.91,168500
2023-02-09,50.4,50.48,49.22,49.28,159700
2023-02-10,49.21,50.09,48.84,49.7,341200
2023-02-13,49.68,50.54,49.68,50.53,211300
2023-02-14,50.38,51.01,49.99,50.52,291900
2023-02-15,50.11,50.99,49.79,50.62,177100
2023-02-16,50.15,50.96,49.86,50.45,171600
2023-02-17,50.54,52.01,50.54,51.81,219000
2023-02-21,51.28,51.75,50.53,50.85,386200
2023-02-22,50.85,51.45,50.68,51.14,289600
2023-02-23,51.31,51.76,51.12,51.34,175700
2023-02-24,50.93,51.18,50.24,51.07,182000
2023-02-27,51.48,51.87,51.29,51.54,267600
2023-02-28,51.54,52.2,50.95,51.01,326000
2023-03-01,50.74,51.0,50.08,50.47,171000
2023-03-02,50.17,50.17,47.79,49.37,193000
2023-03-03,49.51,50.43,48.94,50.02,282300
2023-03-06,50.18,50.18,48.9,49.19,216900
2023-03-07,49.15,49.15,48.09,48.73,270000
2023-03-08,48.93,49.64,48.48,49.6,240700
2023-03-09,49.32,49.4,46.31,46.92,522500
