Date,Open,High,Low,Close,Volume
2023-01-13,42.53,43.39,41.94,43.24,184700
2023-01-17,43.25,43.25,42.46,42.73,153800
2023-01-18,42.23,42.63,41.51,41.58,279100
2023-01-19,41.35,41.77,41.01,41.76,238100
2023-01-20,42.12,42.52,41.84,42.3,287000
2023-01-23,42.48,42.88,42.13,42.65,213900
2023-01-24,42.65,42.88,42.07,42.64,233700
2023-01-25,42.31,43.0,41.89,42.89,312400
2023-01-26,42.27,42.99,40.88,41.99,359600
2023-01-27,42.06,42.36,41.74,42.23,183800
2023-01-30,42.14,42.57,41.95,42.39,325100
2023-01-31,42.41,43.98,42.13,43.96,380900
2023-02-01,43.7,44.83,43.16,44.24,359300
2023-02-02,44.31,45.11,43.52,45.11,399600
2023-02-03,44.94,45.69,43.69,45.31,323400
2023-02-06,45.02,45.52,44.65,44.81,196500
2023-02-07,44.75,45.53,44.27,45.26,269200
2023-02-08,44.82,45.15,44.56,44.67,167100
2023-02-09,44.87,45.17,43.74,43.75,326000
2023-02-10,43.7,43.95,43.55,43.82,276300
2023-02-13,43.81,44.3,43.5,44.3,252000
2023-02-14,44.22,44.65,43.69,44.18,340900
2023-02-15,43.74,44.91,43.74,44.61,303300
2023-02-16,44.28,44.75,43.89,44.36,342900
2023-02-17,44.56,44.96,44.21,44.84,279400
2023-02-21,44.52,44.52,43.98,44.13,325000
2023-02-22,44.22,44.41,43.4,43.78,409100
2023-02-23,43.87,44.29,43.47,44.0,162500
2023-02-24,43.07,43.83,43.05,43.83,215200
2023-02-27,44.08,44.12,43.3,43.71,343700
2023-02-28,43.62,43.84,42.92,42.92,326800
2023-03-01,42.73,42.93,42.46,42.85,281100
2023-03-02,42.53,42.53,41.6,41.98,226900
2023-03-03,42.28,42.83,41.84,42.81,262800
2023-03-06,42.86,43.18,42.49,42.8,279900
2023-03-07,42.72,42.72,41.48,41.56,336900
2023-03-08,41.68,41.82,41.0,41.37,247700
2023-03-09,41.18,41.18,38.61,38.67,425900
2023-03-10,37.74,39.45,37.03,38.51,616000
2023-03-13,37.02,39.04,34.99,36.76,1078200
2023-03-14,39.58,39.97,36.31,36.98,790100
2023-03-15,35.29,36.74,35.11,36.7,675100
2023-03-16,36.01,38.71,35.57,37.47,739500
2023-03-17,36.2,36.65,35.4,35.97,2039200
2023-03-20,36.87,37.44,35.61,35.68,652300
2023-03-21,37.0,37.7,36.89,37.17,486800
2023-03-22,37.09,37.14,35.12,35.12,372600
2023-03-23,35.48,35.62,33.67,33.82,411500
2023-03-24,33.08,34.25,32.89,34.13,867300
2023-03-27,35.21,35.4,34.38,34.81,344700
2023-03-28,34.75,35.11,34.35,34.75,270700
2023-03-29,35.24,35.24,34.47,35.08,260300
2023-03-30,35.24,35.26,33.99,34.05,391800
2023-03-31,34.32,34.56,34.06,34.52,485300
2023-04-03,34.65,34.73,33.88,34.21,312800
2023-04-04,34.43,34.43,32.75,33.38,293400
2023-04-05,32.97,33.36,32.7,32.87,365200
2023-04-06,32.85,33.39,32.69,33.17,304100
2023-04-10,33.06,33.78,32.86,33.51,367900
2023-04-11,33.62,33.62,33.03,33.19,344900
2023-04-12,33.5,33.56,32.63,32.72,222600
2023-04-13,32.8,33.69,32.32,33.51,298000
2023-04-14,34.14,34.24,32.56,32.82,242500
2023-04-17,32.75,33.27,32.4,33.26,258200
2023-04-18,33.26,33.46,32.15,32.4,308300
2023-04-19,32.81,33.74,32.41,33.51,310900
2023-04-20,33.23,33.5,32.84,33.38,305000
2023-04-21,33.09,33.27,32.53,33.21,383600
2023-04-24,33.09,33.35,32.38,32.52,262800
2023-04-25,32.69,32.69,31.03,31.1,293300
2023-04-26,31.1,31.59,30.44,30.82,285900
2023-04-27,31.04,31.33,30.79,31.04,240500
2023-04-28,31.29,32.23,31.1,31.87,269100
2023-05-01,31.76,32.12,31.25,31.43,235800
2023-05-02,31.21,31.21,29.09,29.25,383900
2023-05-03,29.34,30.42,29.0,29.19,962600
2023-05-04,28.44,29.0,27.24,28.77,619900
2023-05-05,29.76,30.12,29.12,29.62,652600
2023-05-08,30.05,30.13,28.18,28.29,698100
2023-05-09,28.13,28.69,27.76,28.5,364600
2023-05-10,29.0,29.23,28.0,28.41,256300
2023-05-11,28.04,28.42,27.85,28.04,246600
2023-05-12,28.28,28.3,27.76,28.2,316300
2023-05-15,28.35,29.24,28.16,28.87,240300
2023-05-16,29.02,29.78,28.52,28.52,207800
2023-05-17,29.18,30.78,28.89,30.72,372700
2023-05-18,30.58,31.01,30.34,30.83,272200
2023-05-19,31.32,31.33,29.71,30.26,320900
2023-05-22,30.58,31.19,30.0,31.04,196900
2023-05-23,30.98,32.27,30.81,31.41,275200
2023-05-24,31.12,31.33,30.78,31.17,290600
2023-05-25,30.89,31.1,30.32,30.74,274000
2023-05-26,30.35,30.92,29.81,30.86,234200
2023-05-30,30.91,30.95,30.26,30.61,238600
2023-05-31,30.4,30.61,28.95,29.24,441100
2023-06-01,29.51,30.47,29.08,30.09,204900
2023-06-02,30.74,32.38,30.43,32.24,315500
2023-06-05,31.97,31.97,30.83,31.11,318800
2023-06-06,31.15,33.83,31.15,33.32,366900
2023-06-07,33.67,34.94,33.41,34.53,365800
2023-06-08,34.07,34.35,33.58,34.25,313900
2023-06-09,34.17,34.41,33.78,34.21,389000
2023-06-12,34.22,34.9,33.56,33.94,285200
2023-06-13,34.02,35.21,33.83,35.02,278000
2023-06-14,35.02,35.31,33.73,33.91,327900
2023-06-15,33.65,34.61,33.65,34.56,306000
2023-06-16,34.82,34.82,33.56,34.02,801800
2023-06-20,33.86,34.16,33.44,33.65,245200
2023-06-21,33.46,33.46,32.62,32.66,247800
2023-06-22,32.51,32.51,31.32,31.56,325100
2023-06-23,31.15,31.89,31.0,31.49,666400
2023-06-26,31.61,32.24,31.61,31.91,330600
2023-06-27,31.95,32.61,31.59,32.27,289300
2023-06-28,32.17,32.27,31.7,32.0,260500
2023-06-29,32.28,32.91,32.2,32.66,281700
2023-06-30,32.98,33.05,32.17,32.19,358200
2023-07-03,32.13,32.99,31.99,32.76,231300
2023-07-05,32.51,32.99,31.95,32.52,315900
2023-07-06,32.06,32.08,31.47,31.98,281200
2023-07-07,32.03,33.21,32.03,32.97,278800
2023-07-10,32.83,33.7,32.83,33.16,242400
2023-07-11,33.23,33.55,32.93,33.45,214100
2023-07-12,34.17,34.51,33.9,34.02,252100
2023-07-13,34.2,34.83,33.86,34.34,236700
2023-07-14,34.67,34.86,33.19,33.5,246300
2023-07-17,33.5,34.55,33.46,34.17,324200
2023-07-18,34.22,35.5,34.17,35.39,296100
2023-07-19,35.49,36.46,35.23,36.23,316200
2023-07-20,36.32,36.32,35.29,35.84,359300
2023-07-21,36.09,36.09,35.4,35.64,274700
2023-07-24,35.61,36.35,35.56,36.28,360800
2023-07-25,37.77,39.21,37.26,37.44,645500
2023-07-26,37.87,38.52,37.43,38.35,499700
2023-07-27,38.62,38.94,37.73,37.98,335200
2023-07-28,38.32,38.77,37.87,38.27,215700
2023-07-31,38.24,38.6,37.73,38.04,300600
2023-08-01,37.85,37.96,37.14,37.81,295100
2023-08-02,37.39,38.01,37.39,37.95,253200
2023-08-03,37.87,38.51,37.55,38.24,252400
2023-08-04,38.12,38.66,38.05,38.27,197500
2023-08-07,38.29,38.74,38.15,38.68,186400
2023-08-08,37.76,37.85,36.71,37.76,295600
2023-08-09,37.54,37.75,37.16,37.27,202000
2023-08-10,37.57,37.63,36.47,36.82,381800
2023-08-11,36.66,37.12,36.49,36.97,228100
2023-08-14,36.64,36.8,36.12,36.34,202200
2023-08-15,35.7,35.7,34.82,34.84,272900
2023-08-16,34.75,35.22,34.63,34.73,244200
2023-08-17,34.84,35.2,34.71,34.88,196000
2023-08-18,34.59,35.38,34.46,35.1,1029600
2023-08-21,35.14,35.24,34.42,34.74,195400
2023-08-22,34.7,35.0,33.92,33.94,196900
2023-08-23,33.88,34.57,33.63,34.5,220000
2023-08-24,34.33,35.04,34.32,34.49,158700
2023-08-25,34.59,34.92,33.78,34.51,212600
2023-08-28,34.67,35.33,34.61,35.18,213600
2023-08-29,34.8,35.46,34.63,35.43,193500
2023-08-30,35.35,35.47,35.13,35.34,192800
2023-08-31,35.3,36.04,35.23,35.63,403300
2023-09-01,35.9,36.85,35.18,36.68,249500
2023-09-05,36.55,38.71,36.54,37.75,980100
2023-09-06,37.71,37.78,36.34,36.5,398800
2023-09-07,36.33,36.56,36.13,36.5,376600
2023-09-08,36.55,37.08,36.12,36.74,384700
2023-09-11,36.9,37.35,36.6,36.67,233000
2023-09-12,36.74,37.17,36.28,36.32,282700
2023-09-13,36.5,36.5,35.62,36.08,364600
2023-09-14,36.46,37.23,36.46,36.89,406600
2023-09-15,36.81,37.62,36.64,37.17,12909900
2023-09-18,36.93,36.93,35.49,35.71,520300
2023-09-19,35.75,36.2,35.35,35.81,630700
2023-09-20,36.02,36.46,35.59,35.66,586400
2023-09-21,35.48,35.54,34.99,35.24,492400
2023-09-22,35.37,35.6,34.75,34.82,351800
2023-09-25,34.78,35.4,34.65,35.28,334900
2023-09-26,34.91,35.48,34.49,34.52,536300
2023-09-27,34.65,34.78,34.02,34.29,428100
2023-09-28,34.21,34.85,34.02,34.15,714800
2023-09-29,34.47,35.0,34.26,34.76,423800
2023-10-02,34.59,34.8,34.07,34.26,382700
2023-10-03,34.04,34.18,33.41,33.52,387600
2023-10-04,33.65,33.8,33.06,33.66,535700
2023-10-05,33.51,34.52,33.51,34.39,381100
2023-10-06,34.02,35.04,33.76,34.67,286900
2023-10-09,34.41,35.19,34.34,34.92,358400
2023-10-10,35.11,35.52,35.07,35.26,269600
2023-10-11,35.3,35.79,35.1,35.31,276000
2023-10-12,35.33,35.33,34.67,35.06,286000
