Date,Open,High,Low,Close,Volume
2023-01-13,102.15,104.91,101.76,104.74,305400
2023-01-17,105.0,106.97,104.28,106.91,400600
2023-01-18,107.0,108.48,106.02,106.56,387100
2023-01-19,106.08,107.57,105.89,105.92,358200
2023-01-20,106.79,109.98,105.81,109.93,317300
2023-01-23,110.0,111.88,109.52,110.62,271000
2023-01-24,110.4,110.4,104.28,104.88,586300
2023-01-25,103.67,108.15,102.77,107.99,348700
2023-01-26,108.57,109.15,107.51,109.01,237600
2023-01-27,109.35,110.15,108.81,109.76,215500
2023-01-30,109.03,110.02,108.81,109.06,196700
2023-01-31,109.01,111.59,108.38,111.58,355700
2023-02-01,111.35,112.5,107.64,111.72,421000
2023-02-02,112.04,116.98,112.04,116.03,433500
2023-02-03,114.83,115.87,114.24,115.37,254100
2023-02-06,115.02,116.55,114.66,115.4,309500
2023-02-07,114.7,116.59,113.78,116.17,285600
2023-02-08,115.49,116.47,112.97,113.29,239300
2023-02-09,114.4,114.9,111.28,111.77,265700
2023-02-10,111.2,111.27,106.89,108.2,536400
2023-02-13,108.84,110.88,108.48,110.67,243300
2023-02-14,110.19,111.58,108.74,110.85,232700
2023-02-15,110.49,112.13,110.13,111.78,291000
2023-02-16,111.0,113.25,110.15,111.01,356700
2023-02-17,110.89,111.29,109.55,110.58,248500
2023-02-21,110.05,110.79,107.92,108.33,325900
2023-02-22,108.55,110.99,108.55,110.92,301700
2023-02-23,110.92,111.89,107.5,109.19,307300
2023-02-24,108.13,110.03,108.13,109.25,333400
2023-02-27,110.31,110.31,107.76,107.79,619700
2023-02-28,115.0,116.69,106.6,108.96,882000
2023-03-01,109.36,112.49,108.17,110.82,465300
2023-03-02,110.86,113.21,110.21,112.67,327900
2023-03-03,113.08,113.08,109.58,109.87,305600
2023-03-06,111.58,113.88,110.54,110.86,791400
2023-03-07,110.8,112.66,109.9,110.34,424900
2023-03-08,110.35,111.27,109.8,111.07,371900
2023-03-09,111.52,112.0,107.86,107.88,497900
2023-03-10,107.75,109.2,105.98,106.24,550700
2023-03-13,105.34,109.99,104.74,109.37,770300
2023-03-14,110.81,113.54,109.86,111.12,698900
2023-03-15,109.73,112.05,108.78,111.96,844200
2023-03-16,110.82,114.5,110.05,114.12,524200
2023-03-17,113.57,114.42,108.49,110.71,5625500
2023-03-20,110.71,114.42,109.83,113.55,598400
2023-03-21,114.5,115.24,111.69,112.45,502700
2023-03-22,112.67,115.65,112.0,113.57,395300
2023-03-23,114.53,114.57,110.52,112.41,411700
2023-03-24,113.98,113.98,111.39,112.57,454100
2023-03-27,113.14,113.71,110.91,111.52,529800
2023-03-28,111.26,113.24,110.92,112.82,272800
2023-03-29,113.22,113.5,111.56,112.96,293000
2023-03-30,113.21,113.89,111.99,112.41,298700
2023-03-31,113.07,114.22,112.42,113.6,498800
2023-04-03,113.41,114.66,112.9,113.94,328100
2023-04-04,113.95,114.28,111.91,112.91,300500
2023-04-05,112.9,113.21,110.93,113.04,308300
2023-04-06,113.34,113.44,112.0,113.13,311800
2023-04-10,113.28,118.65,112.93,118.2,926600
2023-04-11,118.49,120.61,118.32,120.13,575500
2023-04-12,120.39,121.17,117.02,117.29,381800
2023-04-13,116.5,116.9,114.7,115.18,375600
2023-04-14,115.22,116.81,113.15,113.48,398700
2023-04-17,113.7,114.18,106.48,107.97,1159000
2023-04-18,108.47,109.25,106.89,107.84,479100
2023-04-19,107.37,108.31,106.19,107.49,419400
2023-04-20,107.22,107.67,105.97,106.25,471600
2023-04-21,106.22,107.79,105.82,106.67,263900
2023-04-24,106.44,106.58,103.91,105.21,413600
2023-04-25,104.85,104.85,102.62,102.69,349300
2023-04-26,102.91,103.7,102.52,102.52,381800
2023-04-27,102.8,105.32,102.43,105.17,340300
2023-04-28,105.31,106.38,103.45,106.16,348100
2023-05-01,105.66,107.42,103.9,103.92,327700
2023-05-02,103.92,104.6,101.32,103.37,341900
2023-05-03,103.76,104.97,102.06,102.32,382600
2023-05-04,102.37,103.46,101.05,102.86,278000
2023-05-05,104.21,104.37,101.67,103.61,287700
2023-05-08,103.47,103.64,100.4,101.06,522300
2023-05-09,99.8,101.79,99.25,99.41,556900
2023-05-10,100.41,101.08,97.31,98.2,498000
2023-05-11,97.93,98.34,95.64,98.26,490000
2023-05-12,98.41,101.18,97.8,101.07,771600
2023-05-15,101.57,106.55,101.01,106.44,1045900
2023-05-16,106.14,107.43,103.84,106.04,568900
2023-05-17,106.89,111.93,106.56,111.87,639900
2023-05-18,112.2,115.66,111.05,115.62,501900
2023-05-19,116.05,116.05,110.98,111.96,526800
2023-05-22,111.22,111.9,106.12,106.42,565700
2023-05-23,106.87,107.85,105.26,105.64,547400
2023-05-24,105.35,106.77,104.08,105.41,376200
2023-05-25,105.25,105.98,103.32,103.6,339900
2023-05-26,103.27,104.31,102.24,102.34,400500
2023-05-30,102.29,102.46,99.6,100.72,413200
2023-05-31,100.08,100.57,96.59,98.02,716300
2023-06-01,97.6,99.37,97.02,99.11,402500
2023-06-02,100.42,102.89,99.63,102.3,480000
2023-06-05,101.46,101.58,97.09,97.3,1043700
2023-06-06,93.95,96.21,91.36,92.87,1581900
2023-06-07,92.5,96.42,92.5,95.0,870700
2023-06-08,94.68,96.2,93.09,95.19,813400
2023-06-09,94.85,94.85,90.27,91.19,1114500
2023-06-12,91.28,93.43,90.27,93.28,787900
2023-06-13,93.75,94.53,92.64,93.75,528200
2023-06-14,94.53,96.0,93.19,95.99,672100
2023-06-15,95.19,96.61,94.26,96.03,659500
2023-06-16,96.93,97.0,94.81,95.01,774000
2023-06-20,95.48,95.87,93.33,93.44,516600
2023-06-21,93.09,94.22,92.89,93.69,429500
2023-06-22,92.65,93.55,90.43,92.26,576900
2023-06-23,91.5,92.39,90.32,90.46,534500
2023-06-26,90.25,92.66,90.07,92.62,489300
2023-06-27,92.62,94.51,91.57,94.23,456400
2023-06-28,94.2,94.34,91.98,93.36,387600
2023-06-29,93.31,94.74,92.61,94.49,346100
2023-06-30,95.0,95.07,92.98,93.18,438700
2023-07-03,92.83,94.35,92.64,93.16,283000
2023-07-05,93.04,93.04,90.1,90.67,866100
2023-07-06,90.2,91.33,89.18,90.99,617800
2023-07-07,91.24,93.43,91.24,92.85,447000
2023-07-10,92.8,95.49,92.8,94.46,666500
2023-07-11,95.05,96.51,94.91,96.48,460000
2023-07-12,97.37,97.69,95.67,96.5,497500
2023-07-13,96.57,97.87,96.36,97.02,334700
2023-07-14,97.0,97.16,93.81,94.05,483700
2023-07-17,94.02,95.02,92.66,92.71,613500
2023-07-18,93.09,98.6,92.28,97.48,869400
2023-07-19,97.99,98.3,96.25,97.69,630700
2023-07-20,96.14,97.9,94.75,97.34,712000
2023-07-21,98.0,98.34,95.9,96.11,563700
2023-07-24,96.54,96.96,95.48,95.52,359100
2023-07-25,94.83,95.43,93.01,93.29,462300
2023-07-26,93.7,95.96,93.7,95.8,364200
2023-07-27,96.09,96.8,94.58,95.0,342200
2023-07-28,95.26,96.02,93.45,93.75,308100
2023-07-31,93.71,95.15,93.02,93.2,575300
2023-08-01,93.0,93.32,91.6,92.72,416800
2023-08-02,92.1,93.36,91.47,93.24,299300
2023-08-03,92.39,93.4,91.62,92.22,423600
2023-08-04,92.99,93.0,90.47,90.53,481800
2023-08-07,90.77,91.74,90.29,90.46,552000
2023-08-08,90.26,91.0,89.28,90.57,448800
2023-08-09,89.89,90.58,89.25,89.36,294400
2023-08-10,89.26,90.71,87.72,87.91,575900
2023-08-11,87.93,88.66,86.75,87.35,608000
2023-08-14,86.76,87.17,83.39,86.13,987100
2023-08-15,85.75,86.21,84.75,85.95,433300
2023-08-16,85.61,86.47,85.04,85.8,491900
2023-08-17,85.76,86.16,83.77,83.9,496900
2023-08-18,83.44,85.41,83.36,85.09,359000
2023-08-21,85.02,85.55,82.97,83.08,524700
2023-08-22,83.22,83.92,82.27,83.53,350600
2023-08-23,83.6,83.66,82.46,82.55,279700
2023-08-24,82.29,83.58,81.57,81.61,397000
2023-08-25,82.04,82.25,80.56,80.62,332400
2023-08-28,80.55,81.51,80.23,80.95,438800
2023-08-29,80.81,82.36,80.79,82.23,378900
2023-08-30,82.11,83.98,81.74,83.73,333000
2023-08-31,83.9,84.16,82.37,82.43,268600
2023-09-01,82.76,83.03,80.55,81.28,379400
2023-09-05,80.78,80.78,76.47,76.71,772500
2023-09-06,76.48,77.04,74.15,74.92,812500
2023-09-07,74.92,77.12,74.41,76.81,492100
2023-09-08,76.13,76.91,74.69,74.76,427300
2023-09-11,75.12,75.39,73.87,74.5,594900
2023-09-12,74.12,75.3,73.77,74.18,766800
2023-09-13,75.32,78.3,71.1,71.93,1928100
2023-09-14,71.92,73.27,68.71,70.53,1376200
2023-09-15,70.53,70.88,68.86,69.43,1082300
2023-09-18,69.94,70.08,68.53,69.33,663000
2023-09-19,69.01,69.7,68.37,68.94,477500
2023-09-20,69.0,70.24,68.97,69.41,390900
2023-09-21,69.01,70.71,68.66,69.16,478500
2023-09-22,69.06,69.48,66.28,66.75,671800
2023-09-25,66.39,66.53,63.81,63.95,703600
2023-09-26,63.72,64.32,63.06,63.73,662200
2023-09-27,63.82,64.09,62.69,63.22,513400
2023-09-28,63.16,66.5,63.03,66.16,589500
2023-09-29,66.79,67.89,66.68,67.2,607800
2023-10-02,66.91,67.25,65.18,65.89,608600
2023-10-03,65.72,65.97,63.82,64.02,468200
2023-10-04,64.67,66.97,64.45,66.79,655000
2023-10-05,66.99,67.83,66.05,67.36,570200
2023-10-06,67.0,67.89,64.87,66.8,664900
2023-10-09,66.27,67.67,65.62,67.26,327100
2023-10-10,67.31,68.6,66.92,68.43,373600
2023-10-11,68.44,68.47,66.61,67.42,365000
2023-10-12,67.88,67.92,66.41,67.04,495700
2023-10-13,67.17,68.42,66.97,67.65,464400
2023-10-16,68.15,70.42,67.54,69.97,640300
2023-10-17,70.0,71.79,69.64,71.68,560100
2023-10-18,71.5,72.91,70.52,72.06,726600
2023-10-19,69.72,71.62,69.33,69.94,623200
2023-10-20,69.88,69.88,67.59,67.97,594900
2023-10-23,67.65,68.95,67.18,68.11,443900
2023-10-24,68.78,68.9,67.62,67.81,352400
2023-10-25,67.34,67.54,65.83,66.9,396400
2023-10-26,67.0,67.14,64.55,64.97,510300
2023-10-27,65.23,65.89,64.17,64.62,436600
2023-10-30,65.41,65.89,63.51,64.46,601600
2023-10-31,64.88,67.06,64.52,66.36,621300
2023-11-01,66.32,66.81,64.58,65.75,349600
2023-11-02,66.69,67.57,66.03,67.32,374000
2023-11-03,68.05,69.72,68.0,68.69,355400
2023-11-06,68.3,68.55,66.16,66.22,463700
2023-11-07,66.33,66.83,64.67,64.86,449400
2023-11-08,65.05,65.96,64.67,64.8,327500
