Date,Open,High,Low,Close,Volume
2023-01-13,63.93,64.86,63.37,64.25,355200
2023-01-17,64.19,64.19,62.81,62.88,148300
2023-01-18,62.54,62.54,59.96,60.54,252500
2023-01-19,60.0,60.49,59.55,60.01,227300
2023-01-20,60.4,61.06,59.87,60.94,392600
2023-01-23,60.87,61.59,60.5,60.87,153900
2023-01-24,61.0,61.98,59.96,60.05,155600
2023-01-25,58.94,60.12,55.07,55.1,327000
2023-01-26,55.39,55.75,54.63,55.13,283700
2023-01-27,55.13,56.18,55.07,55.87,222500
2023-01-30,55.66,56.07,55.47,55.59,190700
2023-01-31,55.89,57.71,55.66,57.71,929100
2023-02-01,57.41,59.05,57.27,58.39,326100
2023-02-02,59.06,62.2,59.06,62.2,333000
2023-02-03,61.86,62.91,61.75,62.53,298700
2023-02-06,62.27,62.89,61.16,61.54,177400
2023-02-07,61.11,62.37,61.08,62.36,196200
2023-02-08,61.73,62.3,61.33,61.46,168800
2023-02-09,61.65,61.83,60.69,60.75,103800
2023-02-10,60.62,61.38,60.21,61.3,153400
2023-02-13,61.22,61.27,60.7,60.96,153800
2023-02-14,60.64,61.0,59.81,59.93,153600
2023-02-15,59.47,60.82,59.47,60.79,131700
2023-02-16,60.28,60.84,60.1,60.36,111600
2023-02-17,60.4,60.85,59.93,60.82,118000
2023-02-21,60.22,60.54,59.67,59.95,161900
2023-02-22,60.04,60.51,59.48,59.68,196100
2023-02-23,59.73,60.64,59.39,60.17,187700
2023-02-24,59.62,60.26,59.34,60.25,220700
2023-02-27,60.46,61.41,60.26,60.68,201300
2023-02-28,60.71,61.46,60.71,61.05,381800
2023-03-01,60.55,61.0,60.06,60.31,272600
2023-03-02,59.87,59.87,58.71,59.41,114600
2023-03-03,59.6,59.75,58.4,59.66,168000
2023-03-06,59.66,60.13,58.17,58.19,318300
2023-03-07,58.03,58.2,56.41,56.61,196600
2023-03-08,56.75,57.38,56.3,56.84,165300
2023-03-09,56.53,56.53,54.2,54.33,353300
2023-03-10,53.7,55.32,52.25,54.21,479300
2023-03-13,51.61,55.33,48.99,51.95,798500
2023-03-14,55.55,57.13,53.67,54.06,667700
2023-03-15,51.16,55.12,51.0,53.97,515900
2023-03-16,53.22,57.7,52.96,56.55,425500
2023-03-17,56.13,56.13,53.2,53.84,1045900
2023-03-20,54.77,55.74,53.88,54.21,380000
2023-03-21,55.7,56.99,55.07,55.76,375200
2023-03-22,55.83,55.83,53.04,53.16,318900
2023-03-23,53.3,53.84,51.61,51.82,283000
2023-03-24,51.33,53.62,50.96,53.26,331200
2023-03-27,54.23,54.23,53.02,53.06,284500
2023-03-28,52.78,53.58,52.52,53.32,235700
2023-03-29,53.87,53.93,52.27,53.09,212700
2023-03-30,53.42,53.42,51.42,51.8,258100
2023-03-31,52.05,52.77,51.83,52.49,348800
2023-04-03,52.54,52.81,51.26,51.72,218700
2023-04-04,51.84,51.84,49.57,50.34,263000
2023-04-05,49.76,50.15,49.02,49.43,403000
2023-04-06,49.34,49.55,48.68,49.15,290500
2023-04-10,49.03,50.3,48.74,49.61,359300
2023-04-11,49.98,50.13,49.13,49.21,373700
2023-04-12,49.56,49.56,48.16,48.3,213800
2023-04-13,48.41,49.22,47.99,48.91,209100
2023-04-14,49.46,49.92,46.89,47.42,353100
2023-04-17,47.38,49.48,46.9,49.44,363500
2023-04-18,49.58,49.69,47.23,47.47,376500
2023-04-19,47.78,49.03,47.3,48.56,188400
2023-04-20,48.18,48.45,47.74,48.26,395400
2023-04-21,48.22,48.22,47.1,47.3,487000
2023-04-24,47.08,47.93,47.08,47.2,358900
2023-04-25,47.0,48.25,45.72,46.15,572700
2023-04-26,45.53,46.92,45.53,46.5,630600
2023-04-27,46.57,48.9,46.55,48.84,667600
2023-04-28,48.64,50.49,48.41,49.96,2862600
2023-05-01,49.65,49.88,48.54,48.77,360300
2023-05-02,48.36,48.36,45.91,47.5,751800
2023-05-03,47.49,49.88,47.49,48.44,805300
2023-05-04,46.87,48.3,46.3,47.33,697900
2023-05-05,48.7,48.79,47.49,48.54,395900
2023-05-08,49.0,49.3,47.13,47.51,215000
2023-05-09,47.0,47.61,46.29,46.72,227700
2023-05-10,47.59,47.71,45.79,46.48,203100
2023-05-11,45.8,46.0,44.83,44.86,406300
2023-05-12,45.13,45.24,44.26,45.22,273000
2023-05-15,45.32,46.69,44.97,46.54,200200
2023-05-16,46.51,46.71,45.69,45.69,177600
2023-05-17,46.77,48.51,46.1,48.4,366100
2023-05-18,47.69,48.91,47.43,48.56,260400
2023-05-19,48.94,49.32,46.76,47.79,290300
2023-05-22,48.02,49.72,47.73,49.66,306900
2023-05-23,49.41,50.81,49.26,49.69,256000
2023-05-24,49.73,49.73,48.77,49.01,153700
2023-05-25,48.68,49.1,47.6,48.65,241900
2023-05-26,48.58,49.77,47.97,49.54,165500
2023-05-30,49.77,50.64,49.06,50.63,194100
2023-05-31,50.33,50.6,48.49,49.44,269900
2023-06-01,49.85,50.88,49.06,50.1,215600
2023-06-02,50.99,53.32,50.89,53.05,345500
2023-06-05,52.35,52.35,50.58,51.12,240100
2023-06-06,52.18,55.04,51.7,53.42,364800
2023-06-07,53.95,55.64,53.41,54.89,350000
2023-06-08,54.68,54.68,52.94,54.32,210800
2023-06-09,54.02,54.49,53.54,54.42,203400
2023-06-12,54.35,55.5,50.33,50.74,567800
2023-06-13,51.02,52.44,50.53,52.0,420600
2023-06-14,51.59,52.16,50.15,50.7,382100
2023-06-15,50.46,52.02,50.46,51.48,340000
2023-06-16,52.04,52.05,50.24,51.88,980800
2023-06-20,51.84,51.84,50.27,50.5,432200
2023-06-21,50.21,50.66,49.07,49.1,275500
2023-06-22,49.07,49.07,47.08,47.3,391000
2023-06-23,46.63,47.39,46.24,46.82,678500
2023-06-26,46.89,47.84,46.74,47.1,408800
2023-06-27,47.33,48.29,46.78,47.7,299500
2023-06-28,48.9,48.9,47.25,48.1,278300
2023-06-29,48.52,49.45,47.83,48.57,338700
2023-06-30,49.0,49.0,46.86,46.88,236700
2023-07-03,46.82,48.5,46.82,48.5,169500
2023-07-05,47.97,48.5,46.89,47.24,316500
2023-07-06,46.38,46.38,44.56,44.87,393400
2023-07-07,44.42,44.7,42.1,44.33,1069300
2023-07-10,44.3,45.33,43.9,44.44,552100
2023-07-11,44.72,44.8,43.74,44.42,382600
2023-07-12,45.6,45.98,44.43,44.6,409400
2023-07-13,44.94,45.63,44.49,45.46,539100
2023-07-14,45.7,45.7,43.97,44.95,561300
2023-07-17,45.05,46.34,44.75,46.31,504800
2023-07-18,46.36,48.87,46.36,48.58,483800
2023-07-19,48.79,50.12,48.55,50.07,544000
2023-07-20,50.26,50.56,48.99,50.48,527600
2023-07-21,50.71,50.8,49.64,49.74,470900
2023-07-24,49.58,51.07,49.55,50.77,442300
2023-07-25,50.53,51.44,49.69,50.58,506300
2023-07-26,51.32,53.04,51.32,52.82,478800
2023-07-27,53.2,53.2,51.84,52.51,538800
2023-07-28,53.12,53.65,52.23,52.59,907600
2023-07-31,53.73,54.5,52.17,53.83,5232800
2023-08-01,54.61,55.21,53.56,55.17,766500
2023-08-02,54.5,55.45,54.02,54.82,472600
2023-08-03,54.91,54.97,54.1,54.33,309400
2023-08-04,53.89,54.53,53.47,53.87,203500
2023-08-07,54.1,54.85,53.7,54.71,281400
2023-08-08,53.43,53.89,52.39,53.68,346700
2023-08-09,53.49,53.49,51.94,52.29,214900
2023-08-10,52.62,53.14,51.62,51.78,243300
2023-08-11,51.42,52.05,51.21,51.95,390800
2023-08-14,51.48,51.78,50.81,51.34,333400
2023-08-15,50.61,50.61,49.55,49.59,268600
2023-08-16,49.9,50.07,48.34,48.4,291800
2023-08-17,48.82,48.94,47.87,48.4,285900
2023-08-18,47.91,49.03,47.91,48.58,257900
2023-08-21,48.83,48.83,47.71,47.88,298200
2023-08-22,47.77,48.04,46.28,46.86,243500
2023-08-23,47.07,47.73,46.99,47.27,207800
2023-08-24,47.15,47.96,46.74,47.04,204600
2023-08-25,47.37,47.71,46.56,47.1,296200
2023-08-28,47.37,47.97,46.95,47.08,174200
2023-08-29,47.07,47.41,46.72,47.13,204600
2023-08-30,46.88,47.09,46.27,46.57,153700
2023-08-31,46.53,47.71,46.53,47.55,289200
2023-09-01,48.05,48.51,47.04,47.47,291500
2023-09-05,46.78,47.2,45.49,45.63,258800
2023-09-06,45.67,46.27,44.74,44.91,267400
2023-09-07,44.76,45.13,44.25,44.64,411200
2023-09-08,45.16,45.67,44.39,45.4,246500
2023-09-11,45.56,45.96,44.4,44.47,347900
2023-09-12,44.71,45.0,43.89,44.13,215200
2023-09-13,44.28,44.28,43.27,43.53,273100
2023-09-14,43.48,44.36,43.28,44.26,225600
2023-09-15,43.83,44.22,43.32,43.64,1112000
2023-09-18,43.83,43.83,42.4,42.41,316500
2023-09-19,42.44,42.88,41.86,42.41,443200
2023-09-20,42.74,43.1,41.91,41.91,233000
2023-09-21,41.68,41.88,40.9,41.03,484100
2023-09-22,41.11,41.38,40.55,40.66,436600
2023-09-25,40.29,41.93,40.26,41.89,393000
2023-09-26,41.4,42.48,41.31,41.34,517900
2023-09-27,41.57,42.0,41.04,41.61,356100
2023-09-28,41.73,42.62,41.73,42.4,297500
2023-09-29,42.71,43.08,42.11,42.21,401300
2023-10-02,42.17,42.17,41.52,41.93,379400
2023-10-03,41.48,42.11,41.13,42.08,281000
2023-10-04,42.16,42.31,41.67,42.05,217800
2023-10-05,42.07,42.64,41.8,42.34,307600
2023-10-06,41.66,42.89,41.2,42.32,245000
2023-10-09,42.02,42.77,41.73,42.4,227100
2023-10-10,42.6,43.2,42.48,42.61,333300
2023-10-11,42.71,43.2,42.19,42.62,135100
2023-10-12,42.63,42.66,41.56,41.85,182400
2023-10-13,42.18,42.18,40.81,41.05,323700
2023-10-16,41.6,42.41,41.33,42.37,248300
2023-10-17,41.89,43.66,41.89,42.48,231400
2023-10-18,41.93,42.7,41.69,42.24,366200
2023-10-19,42.27,42.6,41.56,41.59,392300
2023-10-20,41.79,41.79,39.87,39.94,327400
2023-10-23,39.66,40.78,39.65,39.73,394900
2023-10-24,36.7,37.61,35.38,37.57,785600
2023-10-25,37.1,38.15,36.42,37.82,377900
2023-10-26,38.12,39.37,38.12,39.05,299900
2023-10-27,38.95,39.08,37.99,38.65,238900
2023-10-30,38.9,39.68,38.53,39.27,299400
2023-10-31,39.1,40.07,39.1,39.95,411800
2023-11-01,39.76,40.14,39.05,39.9,266200
2023-11-02,40.55,42.14,40.55,42.06,365000
2023-11-03,43.22,44.52,43.22,43.8,393500
