Date,Open,High,Low,Close,Volume
2023-02-06,49.1,49.21,48.49,48.6,141200
2023-02-07,48.23,49.19,47.94,49.11,129700
2023-02-08,48.7,48.84,48.05,48.4,195400
2023-02-09,48.65,48.89,48.19,48.2,229900
2023-02-10,47.91,48.55,47.72,48.25,180800
2023-02-13,48.17,48.92,48.1,48.64,160600
2023-02-14,48.47,48.55,47.4,47.41,179900
2023-02-15,47.15,48.12,46.95,47.83,178600
2023-02-16,48.57,48.57,45.4,47.18,405900
2023-02-17,47.54,49.99,47.46,49.99,330000
2023-02-21,49.47,49.88,48.56,49.36,344500
2023-02-22,49.35,49.87,49.09,49.31,354700
2023-02-23,49.45,50.61,49.45,50.37,478700
2023-02-24,49.99,50.95,49.99,50.93,269900
2023-02-27,51.33,51.74,50.83,51.1,338000
2023-02-28,50.99,51.85,50.04,50.09,448100
2023-03-01,49.99,50.61,49.67,50.23,208300
2023-03-02,50.11,50.38,49.59,50.2,218800
2023-03-03,50.54,50.86,49.73,50.28,162700
2023-03-06,50.21,50.34,49.89,50.28,248900
2023-03-07,50.36,50.39,48.89,49.49,301600
2023-03-08,49.56,49.75,49.09,49.26,229800
2023-03-09,49.42,49.54,48.55,48.63,245400
2023-03-10,48.42,48.42,47.47,47.79,277700
2023-03-13,47.16,48.4,46.88,47.05,276600
2023-03-14,47.88,48.44,47.53,48.05,323900
2023-03-15,47.27,47.37,46.68,47.24,214100
2023-03-16,46.79,48.23,46.72,47.98,226900
2023-03-17,47.78,47.78,47.04,47.12,420800
2023-03-20,47.5,48.2,47.47,47.71,158200
2023-03-21,48.3,48.65,48.07,48.63,163100
2023-03-22,48.7,48.88,47.46,47.49,220700
2023-03-23,47.56,47.62,46.54,46.7,170600
2023-03-24,46.48,47.95,46.3,47.86,223700
2023-03-27,48.36,48.91,47.83,48.71,191400
2023-03-28,48.46,49.34,48.46,48.97,203500
2023-03-29,49.22,49.45,48.87,49.28,145800
2023-03-30,49.45,49.55,48.9,49.07,119900
2023-03-31,49.35,49.59,49.15,49.49,187500
2023-04-03,49.62,49.76,48.97,49.66,158400
2023-04-04,49.72,49.89,48.56,48.85,140100
2023-04-05,48.6,48.76,48.1,48.43,187300
2023-04-06,48.6,49.11,48.37,49.1,165100
2023-04-10,48.95,49.99,48.95,49.96,183000
2023-04-11,50.0,50.49,49.8,49.94,173400
2023-04-12,50.14,50.96,50.14,50.67,153800
2023-04-13,50.69,51.34,50.48,51.28,191000
2023-04-14,51.38,52.17,51.21,51.83,215300
2023-04-17,52.0,52.03,51.25,51.82,155200
2023-04-18,52.0,52.38,51.2,51.33,246400
2023-04-19,51.37,51.8,51.17,51.55,173700
2023-04-20,51.51,51.83,51.26,51.69,109600
2023-04-21,52.06,52.23,51.56,52.22,161900
2023-04-24,52.2,52.35,51.71,51.79,148100
2023-04-25,51.38,51.59,50.87,50.92,213200
2023-04-26,51.0,51.2,50.7,51.16,213500
2023-04-27,52.28,53.18,50.96,52.72,307200
2023-04-28,52.61,53.47,52.61,52.69,225600
2023-05-01,52.48,52.89,51.8,51.92,219200
2023-05-02,51.64,51.64,50.54,51.23,240300
2023-05-03,51.6,52.23,51.49,51.6,227800
2023-05-04,51.17,51.39,49.46,49.55,233900
2023-05-05,49.96,50.55,49.7,50.04,221100
2023-05-08,50.07,50.77,50.0,50.32,231000
2023-05-09,50.29,50.29,49.64,49.64,157000
2023-05-10,49.65,50.25,49.31,49.65,141700
2023-05-11,49.31,49.71,49.13,49.71,124600
2023-05-12,49.85,50.18,49.6,49.79,110000
2023-05-15,49.83,50.27,49.63,49.64,147900
2023-05-16,49.64,49.76,49.2,49.58,119300
2023-05-17,49.9,50.58,49.73,50.5,178300
2023-05-18,50.33,50.37,49.77,50.2,163500
2023-05-19,50.56,50.87,50.28,50.42,119100
2023-05-22,50.55,50.86,50.26,50.62,136300
2023-05-23,50.46,50.99,50.21,50.6,192200
2023-05-24,50.54,50.55,50.04,50.08,149200
2023-05-25,50.0,50.27,49.7,50.13,197700
2023-05-26,50.24,50.5,49.97,50.16,140100
2023-05-30,50.39,50.46,49.99,50.28,122000
2023-05-31,50.28,50.55,49.96,50.42,298200
2023-06-01,50.66,51.15,50.3,51.04,240900
2023-06-02,51.45,52.87,51.45,52.84,355600
2023-06-05,52.55,52.99,51.81,52.3,216100
2023-06-06,52.37,52.98,52.37,52.66,227000
2023-06-07,52.78,53.77,52.61,53.56,314000
2023-06-08,53.36,53.65,53.06,53.09,191100
2023-06-09,53.07,53.26,52.49,52.89,213400
2023-06-12,53.01,53.33,52.85,52.96,286600
2023-06-13,52.94,54.2,52.73,54.09,255700
2023-06-14,54.07,54.42,53.33,53.54,207400
2023-06-15,53.48,53.87,53.36,53.69,337200
2023-06-16,54.07,54.09,53.55,53.67,309700
2023-06-20,53.5,54.02,53.47,53.62,185700
2023-06-21,53.6,54.47,53.42,54.21,202100
2023-06-22,54.28,54.61,54.15,54.61,138600
2023-06-23,54.19,54.6,52.76,52.84,532500
2023-06-26,52.68,52.95,51.77,52.59,227000
2023-06-27,52.59,53.17,52.54,52.74,146800
2023-06-28,52.71,52.77,52.06,52.6,160200
2023-06-29,52.53,53.32,52.53,53.0,144400
2023-06-30,53.23,53.43,52.95,53.28,272100
2023-07-03,53.31,53.83,52.82,53.66,101400
2023-07-05,53.45,53.74,53.13,53.53,169200
2023-07-06,53.35,53.43,53.0,53.1,150600
2023-07-07,52.9,53.86,52.9,53.32,199200
2023-07-10,53.18,54.33,53.18,53.9,174500
2023-07-11,54.18,54.25,53.45,53.94,189400
2023-07-12,54.42,54.51,52.65,52.75,284800
2023-07-13,52.75,53.47,52.75,53.24,370000
2023-07-14,53.15,53.62,52.63,53.31,189600
2023-07-17,53.43,54.42,53.43,54.03,197700
2023-07-18,54.11,54.88,54.11,54.77,120200
2023-07-19,55.0,55.16,54.47,54.61,177600
2023-07-20,54.5,54.5,53.8,54.22,113000
2023-07-21,54.55,54.72,53.66,53.74,355900
2023-07-24,53.99,54.15,53.66,54.07,86500
2023-07-25,53.95,54.17,53.78,53.89,215900
2023-07-26,53.71,54.13,53.39,53.5,172000
2023-07-27,52.09,53.47,50.1,51.45,756500
2023-07-28,51.81,52.48,51.46,52.33,339500
2023-07-31,52.38,52.92,52.2,52.89,283900
2023-08-01,52.72,54.36,52.49,54.23,289700
2023-08-02,54.04,54.79,54.04,54.17,215700
2023-08-03,54.17,54.8,53.71,54.74,219400
2023-08-04,54.77,55.28,54.41,54.54,172500
2023-08-07,54.66,55.26,54.66,55.18,125700
2023-08-08,54.84,54.84,53.55,53.9,164800
2023-08-09,54.1,54.5,53.76,54.49,110000
2023-08-10,54.28,54.69,54.09,54.36,99000
2023-08-11,54.39,55.07,54.39,54.77,169600
2023-08-14,54.79,55.8,54.35,55.79,202900
2023-08-15,55.48,55.85,54.51,54.54,209000
2023-08-16,54.68,55.63,54.57,55.23,191900
2023-08-17,55.12,55.42,53.59,53.63,138400
2023-08-18,53.4,54.0,53.4,53.43,115500
2023-08-21,53.45,53.67,53.2,53.52,133300
2023-08-22,53.55,54.04,53.5,53.8,243500
2023-08-23,53.91,54.38,53.52,54.08,223000
2023-08-24,53.86,54.26,53.5,53.53,178700
2023-08-25,53.92,55.01,53.62,54.7,222600
2023-08-28,54.85,55.42,54.67,55.3,135900
2023-08-29,55.23,55.96,55.18,55.55,141500
2023-08-30,55.63,56.96,55.33,56.72,237300
2023-08-31,56.69,56.69,56.04,56.11,166100
2023-09-01,56.32,56.8,56.11,56.55,147400
2023-09-05,54.94,55.4,53.63,53.72,325200
2023-09-06,53.53,53.93,52.61,53.71,295400
2023-09-07,53.77,54.21,53.08,53.11,183700
2023-09-08,53.14,54.18,52.93,53.33,261600
2023-09-11,53.61,54.4,53.59,53.72,164400
2023-09-12,53.62,54.35,53.62,54.09,189400
2023-09-13,54.24,54.84,53.94,54.0,231500
2023-09-14,54.36,55.25,54.09,54.77,204600
2023-09-15,54.78,54.78,53.68,53.74,448500
2023-09-18,53.86,54.82,53.86,54.16,114800
2023-09-19,54.03,54.44,53.7,53.71,126100
2023-09-20,54.0,54.56,53.71,54.07,261800
2023-09-21,53.63,53.63,52.54,52.57,184600
2023-09-22,52.66,53.11,52.15,52.16,232300
2023-09-25,52.07,52.36,51.81,52.07,337500
2023-09-26,51.97,52.51,51.97,52.13,192300
2023-09-27,52.46,52.93,52.27,52.41,269400
2023-09-28,52.5,53.16,52.48,52.67,152200
2023-09-29,52.84,53.22,51.5,51.9,220800
2023-10-02,51.64,51.87,51.07,51.3,161600
2023-10-03,51.19,51.95,51.19,51.44,242600
2023-10-04,51.59,52.58,51.58,52.39,191800
2023-10-05,52.41,53.12,52.41,52.51,181300
2023-10-06,52.49,54.32,52.49,53.86,258000
2023-10-09,53.65,54.48,53.65,54.2,201900
2023-10-10,54.59,54.95,54.37,54.38,164200
2023-10-11,54.43,54.95,54.22,54.44,161400
2023-10-12,54.74,54.74,53.95,54.29,202700
2023-10-13,54.39,54.6,53.62,53.83,171800
2023-10-16,54.27,54.41,53.77,53.93,155100
2023-10-17,53.84,54.44,53.84,54.05,178300
2023-10-18,53.73,54.02,53.2,53.21,187100
2023-10-19,53.21,53.37,52.64,52.75,202900
2023-10-20,52.86,52.89,51.58,51.59,239800
2023-10-23,51.68,51.76,51.0,51.01,237400
2023-10-24,51.3,51.39,50.36,50.95,269100
2023-10-25,50.52,51.15,50.52,50.81,175200
2023-10-26,51.9,52.54,50.1,50.86,364000
2023-10-27,50.68,50.89,49.15,50.14,399900
2023-10-30,51.5,51.65,50.64,51.44,334900
2023-10-31,51.74,52.16,51.5,51.96,223600
2023-11-01,51.77,53.23,51.16,53.11,267800
2023-11-02,53.37,54.35,53.37,53.88,240300
2023-11-03,54.58,55.34,54.46,54.85,202300
2023-11-06,54.74,55.37,54.43,55.23,183300
2023-11-07,55.02,55.72,54.88,55.66,136800
2023-11-08,55.52,55.97,55.25,55.86,179500
2023-11-09,56.14,56.57,55.89,55.96,166500
2023-11-10,56.08,56.86,56.0,56.3,157700
2023-11-13,56.0,56.84,56.0,56.65,118800
2023-11-14,57.11,58.14,57.07,58.11,236900
2023-11-15,57.93,58.47,56.89,56.95,207100
2023-11-16,56.91,57.23,56.64,57.06,202900
2023-11-17,57.29,57.87,57.17,57.48,219800
2023-11-20,57.3,58.05,57.14,58.05,185800
2023-11-21,57.91,58.27,57.69,57.75,119100
2023-11-22,58.06,58.45,57.7,58.11,93300
2023-11-24,58.1,58.45,57.9,58.35,31700
2023-11-27,58.05,58.86,58.0,58.14,150000
2023-11-28,58.02,58.3,57.69,57.7,157100
2023-11-29,57.98,58.1,57.02,57.24,144800
2023-11-30,57.31,57.98,57.2,57.89,244100
2023-12-01,57.71,58.47,57.45,58.43,216100
2023-12-04,58.3,59.27,58.3,59.25,174900
2023-12-05,59.26,59.26,58.25,58.72,191300
2023-12-06,59.0,59.68,58.01,58.05,165400
2023-12-07,58.15,58.25,57.58,57.84,150300
2023-12-08,57.68,58.22,57.44,58.22,178700
2023-12-11,58.41,58.95,58.09,58.46,171900
2023-12-12,58.7,59.19,57.79,59.07,130300
2023-12-13,59.24,60.63,59.05,60.29,232700
2023-12-14,61.2,61.43,60.48,61.19,305100
2023-12-15,61.32,61.55,60.53,61.3,523700
2023-12-18,61.7,62.27,61.3,61.67,344200
2023-12-19,61.85,62.21,61.71,61.82,361100
2023-12-20,61.8,62.52,61.5,61.79,320600
2023-12-21,62.16,62.42,62.01,62.07,352500
2023-12-22,62.45,62.99,62.2,62.65,329700
2023-12-26,62.67,63.0,62.3,62.53,136700
2023-12-27,62.45,62.93,62.21,62.76,185300
2023-12-28,62.69,63.12,62.56,62.6,118300
2023-12-29,62.39,62.79,62.39,62.59,177000
2024-01-02,61.72,62.6,61.42,61.88,314200
2024-01-03,61.57,61.72,60.76,60.87,321100
2024-01-04,61.0,61.42,60.9,61.05,169300
2024-01-05,60.74,61.29,60.59,60.7,291000
2024-01-08,60.81,61.5,60.66,61.44,197400
2024-01-09,60.89,61.41,60.64,61.38,188800
2024-01-10,61.22,62.38,61.15,62.23,358000
2024-01-11,62.17,62.78,61.77,62.2,358300
2024-01-12,62.75,63.2,62.42,63.09,219900
2024-01-16,62.68,63.38,62.68,62.8,237600
2024-01-17,62.31,62.9,62.31,62.69,167400
2024-01-18,62.95,62.95,62.1,62.84,193600
2024-01-19,63.06,63.58,62.63,63.45,282300
2024-01-22,63.97,64.96,63.94,64.9,257800
2024-01-23,65.32,65.49,64.59,64.81,187700
2024-01-24,65.39,65.39,64.63,64.84,157000
2024-01-25,65.4,65.46,64.44,64.6,183400
2024-01-26,65.07,65.44,64.87,65.13,250100
2024-01-29,64.93,65.69,64.91,65.51,151800
2024-01-30,65.43,66.15,65.38,65.6,600700
2024-01-31,65.79,65.79,63.54,63.66,251600
2024-02-01,63.78,64.69,63.58,64.69,200100
2024-02-02,64.15,64.57,64.02,64.11,124100
2024-02-05,63.86,64.25,63.32,63.95,157400
2024-02-06,63.84,65.48,63.84,65.24,308400
2024-02-07,65.24,65.94,64.94,65.14,240100
2024-02-08,64.88,65.9,64.69,65.13,334500
2024-02-09,65.45,66.23,65.26,66.07,192900
2024-02-12,66.13,66.85,66.12,66.46,185900
2024-02-13,65.68,65.76,63.07,63.35,266900
2024-02-14,64.06,64.79,63.6,64.73,507300
2024-02-15,65.77,70.36,65.57,70.35,606300
2024-02-16,70.59,73.98,70.15,71.55,672900
2024-02-20,70.65,72.61,70.65,72.35,303500
2024-02-21,72.26,72.91,72.18,72.72,353000
2024-02-22,72.94,75.07,72.94,74.8,701500
2024-02-23,74.99,75.83,74.87,75.47,405400
2024-02-26,75.5,75.9,75.4,75.65,205100
2024-02-27,75.73,76.44,75.49,76.22,234700
2024-02-28,76.22,76.69,75.03,75.28,282400
2024-02-29,75.52,75.81,74.49,75.53,240400
2024-03-01,75.32,76.37,74.88,75.89,397500
2024-03-04,75.79,77.87,75.56,77.2,278600
2024-03-05,77.08,77.91,75.24,75.56,377400
2024-03-06,76.11,76.27,74.79,75.23,286700
2024-03-07,75.9,76.41,75.47,76.15,318600
2024-03-08,76.73,77.37,76.47,76.6,271900
2024-03-11,76.16,76.16,74.25,74.29,344100
2024-03-12,74.55,75.37,74.19,74.73,317900
2024-03-13,74.6,75.08,73.47,73.83,503600
2024-03-14,73.96,74.66,73.86,74.57,460400
2024-03-15,74.26,75.21,74.19,75.18,955000
2024-03-18,75.38,76.37,75.07,76.0,503500
2024-03-19,76.0,77.2,75.26,77.03,487300
2024-03-20,77.19,77.21,76.36,76.68,294000
2024-03-21,76.98,78.53,76.78,78.11,259400
2024-03-22,78.36,78.42,77.28,77.39,240200
2024-03-25,77.52,77.93,77.1,77.82,183900
2024-03-26,78.02,78.43,77.78,78.05,319100
2024-03-27,78.59,78.91,77.3,78.05,342100
2024-03-28,78.05,79.55,77.72,78.5,395700
2024-04-01,78.48,78.71,77.52,77.86,291300
2024-04-02,76.99,77.34,76.44,76.5,282000
2024-04-03,76.19,76.86,75.88,76.54,277100
2024-04-04,77.24,77.43,75.38,75.6,175200
2024-04-05,75.39,76.4,75.39,75.78,161600
2024-04-08,76.07,77.23,75.77,77.2,288200
2024-04-09,77.43,77.54,76.39,76.98,282800
2024-04-10,75.62,75.62,74.21,74.48,245500
2024-04-11,74.48,74.69,73.66,74.33,235600
2024-04-12,73.89,74.95,73.89,74.01,237500
2024-04-15,74.35,75.03,73.9,74.5,368100
2024-04-16,74.13,75.16,73.44,74.75,279000
2024-04-17,75.4,75.62,73.29,73.69,367600
2024-04-18,73.56,74.9,73.2,74.22,255300
2024-04-19,74.12,75.09,74.12,74.92,187800
2024-04-22,75.3,76.9,74.85,76.03,237400
2024-04-23,76.0,78.23,76.0,78.07,243000
2024-04-24,77.78,78.47,77.46,78.33,281000
2024-04-25,75.75,78.33,73.43,75.53,698100
2024-04-26,75.43,75.61,72.67,72.76,321100
2024-04-29,72.84,73.08,71.96,71.97,270900
2024-04-30,71.9,71.99,70.72,71.18,348000
2024-05-01,71.49,72.32,70.84,71.37,259200
2024-05-02,71.72,72.67,71.05,72.55,398700
2024-05-03,73.47,74.09,73.09,73.1,149000
2024-05-06,73.55,74.81,73.54,74.61,153600
2024-05-07,74.7,75.84,74.63,75.6,192400
2024-05-08,75.31,76.33,75.22,75.53,184400
2024-05-09,75.46,76.57,75.46,76.45,177700
2024-05-10,76.79,77.04,76.24,77.0,146600
2024-05-13,77.19,77.29,76.57,76.68,217300
2024-05-14,77.27,77.31,76.75,76.81,289800
2024-05-15,77.16,77.92,77.12,77.5,226100
2024-05-16,77.59,77.67,76.78,77.37,161500
2024-05-17,77.48,78.17,76.74,77.99,153500
2024-05-20,78.06,80.42,78.06,78.72,211200
2024-05-21,78.46,78.97,77.9,78.56,173100
2024-05-22,78.44,79.8,78.32,78.99,217200
2024-05-23,79.01,79.92,77.99,78.45,226000
2024-05-24,79.07,79.52,78.1,78.99,434300
2024-05-28,79.18,79.18,76.8,76.98,333200
2024-05-29,76.11,76.44,74.75,74.82,259900
2024-05-30,74.82,75.96,74.43,74.78,237600
2024-05-31,75.03,75.87,74.51,75.82,387400
2024-06-03,76.61,76.64,75.96,76.06,372600
2024-06-04,75.88,76.95,75.68,76.31,232400
2024-06-05,76.57,76.65,75.5,75.85,185300
2024-06-06,75.6,75.91,73.43,74.77,259800
2024-06-07,74.43,75.7,73.69,73.79,220600
2024-06-10,73.73,74.83,73.46,74.34,271100
2024-06-11,74.0,74.99,73.38,74.7,305100
2024-06-12,76.02,76.98,75.49,75.64,243900
2024-06-13,75.47,75.8,74.53,75.57,226900
2024-06-14,74.76,75.53,74.56,75.15,206500
2024-06-17,74.92,76.75,74.74,76.11,314800
2024-06-18,76.04,77.28,76.04,76.92,478900
2024-06-20,76.66,77.15,75.27,75.56,398700
2024-06-21,75.38,75.5,74.71,75.02,613000
2024-06-24,75.37,75.98,74.87,74.95,420600
2024-06-25,75.04,75.04,74.03,74.57,352400
2024-06-26,74.12,74.26,73.65,73.72,358700
2024-06-27,74.16,74.16,73.01,73.73,249500
2024-06-28,74.3,74.51,73.35,74.1,709500
2024-07-01,74.31,74.6,73.12,73.69,316900
2024-07-02,73.9,74.79,73.76,74.52,189500
2024-07-03,74.82,75.15,74.44,74.52,107100
2024-07-05,74.37,74.6,73.7,74.13,155000
2024-07-08,74.54,74.9,74.0,74.08,172700
2024-07-09,74.08,74.36,73.47,73.88,510100
2024-07-10,74.04,74.04,73.33,73.95,168000
2024-07-11,75.01,75.82,74.62,75.43,296200
2024-07-12,75.79,76.97,75.79,76.52,252700
2024-07-15,77.16,78.75,77.04,78.36,255700
2024-07-16,78.99,83.27,78.99,83.15,339900
2024-07-17,82.97,84.67,82.07,84.11,408700
2024-07-18,83.66,85.78,83.66,84.34,267100
2024-07-19,84.53,84.96,83.8,84.23,153500
2024-07-22,84.53,85.57,83.89,85.16,263400
2024-07-23,84.93,86.04,84.22,84.78,254300
2024-07-24,84.43,85.16,82.98,83.25,222600
2024-07-25,83.75,84.69,83.35,83.55,360500
2024-07-26,85.02,85.79,84.92,85.66,245800
2024-07-29,85.92,86.28,84.41,84.67,194900
2024-07-30,85.28,86.36,85.23,86.02,286700
2024-07-31,78.15,79.17,69.04,69.4,1715500
2024-08-01,70.18,74.98,68.97,73.05,1463900
2024-08-02,70.9,71.38,70.13,71.05,789100
2024-08-05,68.17,70.57,67.13,69.31,542600
2024-08-06,69.18,70.42,68.6,70.16,330000
2024-08-07,70.72,71.37,67.94,68.06,487900
2024-08-08,68.84,68.9,67.33,68.47,292400
2024-08-09,68.35,68.74,67.41,68.05,382200
2024-08-12,69.57,69.92,68.33,68.78,346200
2024-08-13,68.9,69.15,67.77,68.35,325100
2024-08-14,68.44,68.89,67.49,67.94,285300
2024-08-15,69.01,70.24,68.02,69.67,332500
2024-08-16,69.42,70.48,68.9,69.14,185500
2024-08-19,69.21,70.72,69.21,70.29,190600
2024-08-20,70.39,71.73,69.92,71.17,306000
2024-08-21,71.61,72.0,70.74,71.61,288600
2024-08-22,71.66,72.11,70.9,71.19,144000
2024-08-23,71.69,72.68,71.5,72.02,291500
2024-08-26,72.63,72.98,71.55,71.58,166100
2024-08-27,71.33,71.93,70.94,71.21,156400
2024-08-28,71.32,71.47,70.7,70.76,215000
2024-08-29,71.25,71.79,70.14,71.21,218600
2024-08-30,71.79,73.83,71.67,73.6,379400
2024-09-03,73.38,74.15,73.0,73.15,465300
2024-09-04,73.04,73.93,71.64,72.73,257100
2024-09-05,72.75,72.75,70.91,71.63,205600
2024-09-06,71.8,71.8,68.72,68.72,308500
2024-09-09,69.04,69.04,65.23,65.6,592100
2024-09-10,66.01,66.17,64.29,64.51,401400
2024-09-11,63.9,65.56,62.66,65.36,660500
2024-09-12,65.62,67.86,65.01,66.91,373400
2024-09-13,67.52,69.09,67.29,67.75,225100
2024-09-16,68.09,68.42,67.44,67.96,236000
2024-09-17,68.28,69.07,67.5,67.78,195000
2024-09-18,67.91,68.72,66.67,67.24,305100
2024-09-19,68.16,68.16,67.15,67.39,238400
2024-09-20,67.34,68.07,66.92,67.61,459400
2024-09-23,67.84,68.78,67.28,68.09,236200
2024-09-24,67.84,68.12,66.65,66.81,254800
2024-09-25,67.19,67.19,66.13,66.56,295400
2024-09-26,67.06,67.72,66.57,66.69,278600
2024-09-27,67.14,67.79,66.69,66.82,235400
2024-09-30,66.68,67.32,66.21,67.29,438100
2024-10-01,67.0,67.26,66.29,66.8,225500
2024-10-02,66.55,67.16,66.02,66.06,283400
2024-10-03,65.99,66.08,64.89,65.05,249300
2024-10-04,65.9,65.9,64.95,65.37,223100
2024-10-07,65.02,65.54,64.31,64.6,277400
2024-10-08,65.0,65.34,64.41,64.73,209900
