Date,Open,High,Low,Close,Volume
2023-01-13,64.3,65.56,64.3,65.19,392400
2023-01-17,65.46,66.43,64.76,66.11,326800
2023-01-18,66.0,66.6,65.76,66.44,405800
2023-01-19,66.26,66.4,65.01,66.15,360200
2023-01-20,66.38,67.74,65.59,67.66,239100
2023-01-23,67.66,68.55,66.61,66.64,206200
2023-01-24,66.76,67.39,66.48,66.64,170200
2023-01-25,66.64,67.27,66.28,67.09,175500
2023-01-26,67.35,68.14,66.89,68.05,209800
2023-01-27,68.15,68.31,67.38,68.03,156900
2023-01-30,67.92,69.0,67.78,68.08,162100
2023-01-31,67.94,68.65,67.73,68.57,224300
2023-02-01,68.36,70.52,68.36,70.4,261000
2023-02-02,70.53,71.32,69.41,69.96,299800
2023-02-03,69.64,69.88,67.91,69.15,313000
2023-02-06,69.02,69.02,67.94,68.62,209400
2023-02-07,68.57,68.81,67.58,68.6,265100
2023-02-08,68.18,68.46,66.98,67.46,168500
2023-02-09,67.92,67.92,66.11,66.25,227300
2023-02-10,66.18,66.39,65.62,66.19,279800
2023-02-13,66.31,67.21,66.27,67.02,182400
2023-02-14,67.06,67.28,66.1,66.5,176800
2023-02-15,66.22,66.89,65.72,66.65,181800
2023-02-16,66.49,68.01,66.3,67.17,236400
2023-02-17,67.67,68.46,67.2,68.03,455000
2023-02-21,67.38,67.54,65.29,65.61,294000
2023-02-22,65.8,65.96,65.0,65.69,334100
2023-02-23,66.51,66.51,61.67,61.99,485800
2023-02-24,61.52,63.36,61.03,62.8,391400
2023-02-27,63.43,64.96,63.19,64.88,625100
2023-02-28,64.66,65.49,64.3,64.74,440100
2023-03-01,64.43,64.96,63.99,64.84,235900
2023-03-02,64.7,64.98,64.05,64.09,362200
2023-03-03,64.49,64.72,63.68,64.08,193800
2023-03-06,64.08,64.44,63.48,63.96,308200
2023-03-07,64.44,64.44,62.27,62.72,183600
2023-03-08,62.74,62.83,61.96,62.4,181600
2023-03-09,61.77,62.12,60.86,60.93,268000
2023-03-10,60.65,61.15,60.15,60.96,374500
2023-03-13,60.44,62.58,60.25,61.05,469900
2023-03-14,62.21,62.21,60.61,61.81,415100
2023-03-15,61.02,61.64,60.8,61.41,513000
2023-03-16,60.88,62.45,60.54,62.35,332900
2023-03-17,62.12,62.57,61.39,61.95,1312600
2023-03-20,62.13,63.82,62.13,63.3,272500
2023-03-21,63.99,64.99,62.41,62.75,310000
2023-03-22,62.35,62.56,61.1,61.17,262700
2023-03-23,61.34,62.0,60.27,60.6,324600
2023-03-24,60.27,60.3,59.55,59.68,382500
2023-03-27,59.88,60.91,59.88,60.8,278100
2023-03-28,60.42,61.13,60.41,60.88,196300
2023-03-29,61.17,61.91,60.71,61.77,275600
2023-03-30,62.07,62.76,61.69,62.42,264200
2023-03-31,62.76,63.8,62.49,63.72,276600
2023-04-03,63.59,63.82,62.69,63.17,218700
2023-04-04,63.33,63.37,62.71,63.36,167800
2023-04-05,63.41,64.22,63.39,64.06,199700
2023-04-06,64.34,64.73,63.75,64.66,227000
2023-04-10,64.27,65.33,64.14,65.22,226200
2023-04-11,65.22,66.65,65.07,66.28,442100
2023-04-12,66.96,68.9,66.9,68.62,313700
2023-04-13,68.62,69.39,68.25,69.32,256200
2023-04-14,69.32,69.63,68.5,69.02,222000
2023-04-17,69.31,70.21,69.2,70.04,226200
2023-04-18,70.38,70.38,69.58,69.68,187900
2023-04-19,69.62,69.62,68.02,68.15,237900
2023-04-20,68.0,68.01,66.18,67.4,279400
2023-04-21,67.56,67.99,66.83,67.33,214700
2023-04-24,67.46,68.54,67.46,68.16,242300
2023-04-25,67.85,68.97,67.85,68.51,243000
2023-04-26,68.51,69.09,66.44,66.47,263100
2023-04-27,66.73,68.95,66.73,68.59,217400
2023-04-28,69.02,69.57,68.42,69.04,185600
2023-05-01,69.38,69.91,68.82,69.17,197000
2023-05-02,69.37,69.6,67.81,68.13,275100
2023-05-03,71.29,75.0,70.63,73.58,531300
2023-05-04,72.01,72.65,68.08,69.83,542400
2023-05-05,69.71,69.71,66.01,66.91,418500
2023-05-08,66.01,66.56,65.09,65.29,305100
2023-05-09,65.01,67.51,64.13,64.72,322400
2023-05-10,64.91,65.71,64.86,65.5,376000
2023-05-11,65.0,65.28,63.79,64.0,260600
2023-05-12,63.92,64.21,63.01,64.07,170500
2023-05-15,63.92,63.92,63.0,63.06,258400
2023-05-16,63.14,63.74,62.9,63.1,241500
2023-05-17,62.54,63.1,62.29,62.44,373900
2023-05-18,62.27,62.67,61.66,62.52,281400
2023-05-19,63.17,63.25,61.97,62.37,242100
2023-05-22,62.69,62.75,61.72,61.94,234400
2023-05-23,61.97,62.57,61.75,61.8,238900
2023-05-24,61.8,62.3,61.12,61.36,275200
2023-05-25,61.3,61.64,60.28,61.15,236300
2023-05-26,61.15,63.62,60.95,63.37,269700
2023-05-30,63.37,63.87,62.71,62.76,220000
2023-05-31,62.73,62.97,61.5,61.52,252900
2023-06-01,61.86,61.86,60.31,61.32,210400
2023-06-02,61.65,63.26,61.5,63.09,399400
2023-06-05,62.59,62.97,61.47,61.68,242300
2023-06-06,61.38,62.32,61.34,61.8,275600
2023-06-07,62.13,62.81,61.55,62.25,357200
2023-06-08,61.98,62.84,60.97,62.8,290700
2023-06-09,62.6,63.12,62.3,62.78,274200
2023-06-12,63.02,64.06,62.5,63.47,278400
2023-06-13,63.55,64.94,63.25,64.25,297200
2023-06-14,64.44,65.5,64.19,65.0,229800
2023-06-15,65.15,65.47,64.4,65.46,213400
2023-06-16,65.49,65.73,64.53,65.47,641500
2023-06-20,65.39,66.62,64.88,65.69,302300
2023-06-21,65.48,65.95,64.5,65.23,202700
2023-06-22,65.24,65.44,63.64,64.65,205300
2023-06-23,64.85,65.17,64.12,64.47,487300
2023-06-26,64.49,65.68,64.15,65.43,179800
2023-06-27,65.63,67.15,65.02,66.82,208800
2023-06-28,66.83,67.1,66.31,67.02,191600
2023-06-29,67.09,67.59,67.0,67.52,133900
2023-06-30,67.76,68.24,67.25,67.29,171300
2023-07-03,67.29,67.3,66.68,67.01,84100
2023-07-05,67.0,67.39,66.07,66.4,218100
2023-07-06,66.0,66.24,64.5,64.71,189600
2023-07-07,64.87,65.75,64.69,64.89,250100
2023-07-10,64.76,64.91,63.98,64.53,240400
2023-07-11,64.65,65.92,64.16,65.83,228200
2023-07-12,66.53,66.53,64.79,64.89,479400
2023-07-13,64.89,65.47,64.39,65.31,355200
2023-07-14,65.42,65.42,63.25,63.4,355800
2023-07-17,63.39,64.25,62.77,63.4,398700
2023-07-18,63.35,63.62,62.36,62.87,639500
2023-07-19,63.18,64.43,63.18,63.8,386900
2023-07-20,63.63,63.63,62.08,62.36,297200
2023-07-21,62.36,62.54,61.8,62.27,337100
2023-07-24,62.06,62.64,61.8,62.01,309500
2023-07-25,62.07,62.07,60.34,60.95,432000
2023-07-26,61.02,61.29,60.4,60.57,266800
2023-07-27,60.44,61.64,59.76,61.22,426200
2023-07-28,61.76,61.96,61.38,61.39,507200
2023-07-31,61.31,61.48,60.77,61.24,371200
2023-08-01,61.24,61.41,60.01,60.44,366400
2023-08-02,59.91,60.3,59.61,59.89,325700
2023-08-03,59.46,59.87,58.18,58.24,433200
2023-08-04,58.18,59.67,58.18,58.95,522200
2023-08-07,58.95,59.39,58.52,58.77,418200
2023-08-08,58.43,58.68,57.35,58.16,436500
2023-08-09,58.18,59.59,58.1,58.36,541700
2023-08-10,59.96,66.07,58.84,65.97,910400
2023-08-11,67.52,70.49,67.25,69.64,869800
2023-08-14,69.58,70.73,68.54,70.71,725000
2023-08-15,70.38,71.47,70.3,71.37,494000
2023-08-16,71.37,71.71,70.04,70.31,621100
2023-08-17,70.3,71.62,70.22,71.21,476400
2023-08-18,70.99,71.19,69.19,69.33,437000
2023-08-21,69.96,70.5,67.96,69.65,523700
2023-08-22,69.83,70.02,68.26,68.81,358900
2023-08-23,68.11,68.73,67.36,68.17,352300
2023-08-24,67.99,69.65,67.99,68.87,296800
2023-08-25,68.91,70.22,68.8,69.3,318600
2023-08-28,69.68,69.91,68.47,68.7,259900
2023-08-29,68.83,70.12,68.83,69.84,222500
2023-08-30,69.55,70.48,68.8,70.46,253100
2023-08-31,70.71,70.93,70.47,70.58,215900
2023-09-01,70.71,71.7,70.57,71.31,304300
2023-09-05,71.26,71.26,68.61,69.89,365900
2023-09-06,69.65,69.84,68.14,68.4,256600
2023-09-07,68.39,69.3,68.13,68.17,295500
2023-09-08,68.19,68.65,67.24,67.47,317500
2023-09-11,67.73,68.29,66.07,66.39,384400
2023-09-12,66.06,67.58,66.0,66.63,327500
2023-09-13,66.6,67.49,65.64,66.61,458800
2023-09-14,67.0,67.61,66.23,67.1,449700
