Date,Open,High,Low,Close,Volume
2023-01-13,57.12,59.04,57.12,58.06,228000
2023-01-17,57.97,58.477,57.21,57.33,199400
2023-01-18,57.87,59.51,57.54,57.75,151000
2023-01-19,57.24,57.58,55.85,56.88,229300
2023-01-20,57.28,58.41,56.49,58.15,209100
2023-01-23,57.81,59.14,57.74,59.05,123700
2023-01-24,58.76,59.85,58.36,59.5,221800
2023-01-25,58.84,60.42,58.76,60.14,293700
2023-01-26,60.62,61.65,59.84,60.96,392900
2023-01-27,60.59,61.665,60.59,61.04,195700
2023-01-30,60.17,61.2,58.77,58.92,358100
2023-01-31,59.77,61.45,59.099,61.2,478100
2023-02-01,61.18,63.76,60.33,63.28,523400
2023-02-02,61.5,64.38,60.883,61.75,724600
2023-02-03,60.66,61.77,59.785,60.38,384800
2023-02-06,59.61,60.74,59.61,60.4,335600
2023-02-07,60.0,64.43,59.45,64.3,575200
2023-02-08,63.61,63.865,61.82,62.61,417900
2023-02-09,64.21,64.72,63.1,63.48,370500
2023-02-10,63.12,64.27,62.93,63.85,262500
2023-02-13,64.03,65.38,63.78,65.33,230500
2023-02-14,64.45,65.36,63.425,63.69,325200
2023-02-15,62.9,64.17,62.37,63.3,471400
2023-02-16,62.0,63.68,61.76,62.9,250700
2023-02-17,62.41,62.41,59.26,59.98,335500
2023-02-21,58.27,59.72,57.74,58.16,289900
2023-02-22,58.62,59.59,58.12,58.69,310800
2023-02-23,59.24,59.96,58.29,59.95,286800
2023-02-24,58.49,59.755,58.17,59.51,226000
2023-02-27,60.28,60.39,59.28,60.08,165100
2023-02-28,59.89,60.6,59.775,59.81,268000
2023-03-01,59.51,60.52,58.93,59.3,303600
2023-03-02,58.51,59.025,57.93,58.97,426100
2023-03-03,59.8,60.69,59.16,60.23,218100
2023-03-06,60.04,60.08,58.53,58.72,172000
2023-03-07,58.98,59.24,58.36,58.86,206700
2023-03-08,59.36,60.06,58.65,60.04,216500
2023-03-09,60.13,60.67,59.22,59.23,215700
