Date,Open,High,Low,Close,Volume
2023-01-13,32.97,33.73,32.72,33.58,749200
2023-01-17,33.44,33.6,33.01,33.09,573500
2023-01-18,33.62,34.13,33.07,33.09,787300
2023-01-19,32.67,32.8,31.54,32.62,692400
2023-01-20,32.77,33.83,32.5,33.72,729800
2023-01-23,33.57,34.11,33.34,33.92,693500
2023-01-24,34.75,35.4,34.17,34.46,1456400
2023-01-25,33.85,34.23,33.635,34.05,545900
2023-01-26,33.95,35.01,33.65,34.98,622900
2023-01-27,34.67,35.64,34.67,35.1,911300
2023-01-30,34.76,35.218,34.31,35.13,715000
2023-01-31,35.37,36.45,35.185,36.39,969400
2023-02-01,36.1,36.695,35.27,36.33,928600
2023-02-02,36.39,36.52,35.76,35.97,903400
2023-02-03,35.54,36.19,35.34,35.89,829400
2023-02-06,35.46,35.56,34.81,35.36,761200
2023-02-07,35.26,35.965,34.99,35.89,701600
2023-02-08,35.48,35.88,34.94,34.94,895400
2023-02-09,35.37,35.5,33.16,33.5,2159400
2023-02-10,33.94,34.55,32.71,34.35,2259600
2023-02-13,34.58,35.22,34.12,35.06,1135300
2023-02-14,34.68,35.185,34.34,34.67,876700
2023-02-15,34.15,34.79,33.96,34.47,1126900
2023-02-16,33.58,35.59,33.47,34.85,1264900
2023-02-17,34.63,35.09,34.26,35.08,1212200
2023-02-21,34.69,34.91,32.83,33.45,1171000
2023-02-22,33.47,33.941,33.3,33.79,835400
2023-02-23,33.8,34.027,33.37,33.94,975800
2023-02-24,33.14,33.84,32.94,33.75,994800
2023-02-27,34.32,34.65,33.98,34.05,1119600
2023-02-28,33.75,34.58,33.75,34.18,1012100
2023-03-01,34.22,35.25,33.94,34.84,845300
2023-03-02,34.5,36.21,34.35,36.12,1833400
2023-03-03,36.25,36.94,35.91,36.73,1418300
2023-03-06,36.46,36.63,35.2,35.58,1602900
2023-03-07,35.52,35.78,33.719,34.21,1309800
2023-03-08,34.13,34.51,33.64,34.13,782200
2023-03-09,34.15,34.33,32.69,32.72,910600
