Date,Open,High,Low,Close,Volume
2023-01-13,3.68,3.82,3.68,3.8,4879500
2023-01-17,3.76,3.78,3.6,3.65,4877800
2023-01-18,3.73,3.82,3.66,3.67,4311800
2023-01-19,3.72,4.04,3.7,4.03,7853900
2023-01-20,4.01,4.18,3.86,4.17,5314600
2023-01-23,4.09,4.18,4.02,4.15,3441500
2023-01-24,4.15,4.27,4.0,4.1,3644300
2023-01-25,4.06,4.23,4.0,4.2,4034100
2023-01-26,4.22,4.24,4.08,4.12,2524900
2023-01-27,4.08,4.1,3.94,3.96,3153700
2023-01-30,3.95,4.01,3.89,3.9,2593000
2023-01-31,3.88,3.96,3.85,3.89,2622900
2023-02-01,3.88,4.03,3.79,3.98,4378200
2023-02-02,4.06,4.1,3.85,3.9,4012100
2023-02-03,3.8,3.81,3.6,3.64,5577500
2023-02-06,3.65,3.65,3.56,3.6,2990600
2023-02-07,3.61,3.7,3.58,3.67,2966500
2023-02-08,3.68,3.69,3.56,3.57,2721100
2023-02-09,3.64,3.68,3.39,3.42,5406600
2023-02-10,3.44,3.5,3.41,3.45,2945000
2023-02-13,3.42,3.44,3.34,3.35,2965600
2023-02-14,3.37,3.46,3.3,3.4,3133300
2023-02-15,3.3,3.31,3.15,3.3,6092400
2023-02-16,3.23,3.36,3.19,3.31,3949200
2023-02-17,3.27,3.33,3.19,3.31,3407500
2023-02-21,3.29,3.34,3.12,3.15,6609400
2023-02-22,3.15,3.19,3.11,3.12,4411400
2023-02-23,3.2,3.27,2.9,3.01,8294500
2023-02-24,2.95,3.01,2.9,2.94,5387000
2023-02-27,2.97,3.06,2.96,3.0,5723300
2023-02-28,3.02,3.15,2.99,3.12,5562100
2023-03-01,3.18,3.21,3.08,3.16,9498200
2023-03-02,3.13,3.16,3.05,3.15,12483500
2023-03-03,3.2,3.22,3.14,3.19,8523700
2023-03-06,3.17,3.18,3.04,3.05,4313200
2023-03-07,3.04,3.04,2.91,2.95,3370000
2023-03-08,2.97,2.99,2.86,2.88,3180800
2023-03-09,2.93,2.96,2.85,2.89,5180400
2023-03-10,2.97,3.04,2.83,2.85,5800500
2023-03-13,2.99,3.11,2.98,3.02,10299500
2023-03-14,3.09,3.09,2.99,3.01,9107800
2023-03-15,3.12,3.16,2.98,3.01,10531700
2023-03-16,3.0,3.03,2.9,2.92,5455500
2023-03-17,2.97,3.1,2.88,3.08,18277900
2023-03-20,3.1,3.28,3.09,3.24,7128500
2023-03-21,3.2,3.2,3.09,3.16,5311500
2023-03-22,3.14,3.29,3.12,3.21,5156900
2023-03-23,3.25,3.35,3.22,3.27,4296300
2023-03-24,3.3,3.38,3.27,3.3,4065900
2023-03-27,3.24,3.45,3.22,3.44,3530500
2023-03-28,3.45,3.78,3.42,3.71,6647500
2023-03-29,3.67,3.8,3.66,3.75,4306100
2023-03-30,3.82,4.05,3.78,4.03,7201100
2023-03-31,3.99,4.1,3.93,3.99,7375300
2023-04-03,3.94,4.17,3.85,4.09,6183900
2023-04-04,4.09,4.31,4.04,4.24,6307200
2023-04-05,4.27,4.34,4.16,4.22,6191900
2023-04-06,4.15,4.16,3.98,4.12,4597100
2023-04-10,4.05,4.17,4.05,4.1,3353700
2023-04-11,4.18,4.27,4.13,4.16,5534200
2023-04-12,4.26,4.32,4.01,4.2,5451900
2023-04-13,4.33,4.55,4.3,4.43,6408000
2023-04-14,4.36,4.37,4.03,4.07,7678500
2023-04-17,4.01,4.08,3.95,3.97,5004700
2023-04-18,3.97,4.12,3.92,3.98,3761000
2023-04-19,3.87,3.99,3.72,3.86,5458800
2023-04-20,3.87,3.92,3.75,3.77,3851500
2023-04-21,3.7,3.74,3.59,3.63,5805200
2023-04-24,3.63,3.68,3.58,3.65,3699200
2023-04-25,3.63,3.69,3.54,3.66,3845200
2023-04-26,3.68,3.73,3.57,3.6,3406000
2023-04-27,3.61,3.63,3.45,3.49,4838500
2023-04-28,3.46,3.49,3.36,3.4,5150700
2023-05-01,3.53,3.6,3.3,3.31,4861700
2023-05-02,3.28,3.42,3.22,3.39,6378600
2023-05-03,3.42,3.53,3.38,3.42,4982100
2023-05-04,3.45,3.65,3.45,3.61,7386400
2023-05-05,3.51,3.61,3.41,3.55,6404500
2023-05-08,3.58,3.67,3.51,3.52,4000100
2023-05-09,3.5,3.59,3.48,3.55,3402400
2023-05-10,3.58,3.59,3.48,3.53,5052000
2023-05-11,3.44,3.53,3.31,3.44,6226500
2023-05-12,3.41,3.43,3.24,3.34,7191200
2023-05-15,3.34,3.38,3.29,3.32,4289900
