Date,Open,High,Low,Close,Volume
2023-01-13,17.32,17.64,17.3,17.39,484900
2023-01-17,17.34,17.83,17.11,17.77,629700
2023-01-18,17.98,19.26,17.9,17.94,1020300
2023-01-19,17.72,18.45,17.43,18.17,725700
2023-01-20,18.34,18.73,18.245,18.53,566500
2023-01-23,18.49,18.86,18.16,18.73,787800
2023-01-24,18.83,19.11,18.46,18.46,603800
2023-01-25,18.15,19.15,18.03,18.67,879400
2023-01-26,18.79,19.09,18.29,19.09,630400
2023-01-27,18.91,19.345,18.695,19.13,441100
2023-01-30,18.81,19.11,18.39,18.83,445200
2023-01-31,18.84,19.42,18.75,19.4,544500
2023-02-01,19.47,19.71,19.04,19.67,567100
2023-02-02,19.95,20.49,19.76,20.27,632200
2023-02-03,19.88,20.14,19.35,19.53,504900
2023-02-06,19.31,19.53,19.02,19.14,352400
2023-02-07,19.17,19.17,18.61,19.05,490800
2023-02-08,19.02,19.16,18.77,18.78,348700
2023-02-09,19.0,19.09,18.26,18.39,548900
2023-02-10,18.39,19.06,18.31,18.85,362300
2023-02-13,18.91,19.16,18.67,19.05,264600
2023-02-14,18.88,19.13,18.6,19.11,301900
2023-02-15,19.02,19.47,19.02,19.44,406100
2023-02-16,19.19,19.533,18.93,19.07,435100
2023-02-17,18.99,19.26,18.8,19.23,393900
2023-02-21,18.99,19.2,18.35,18.64,545500
2023-02-22,18.6,19.03,18.53,18.62,476000
2023-02-23,18.84,18.88,18.41,18.65,549400
2023-02-24,18.34,18.54,17.81,18.09,594400
2023-02-27,18.25,18.26,17.87,17.97,497700
2023-02-28,18.0,18.27,17.795,18.12,1013100
2023-03-01,18.28,18.87,18.2,18.44,494500
2023-03-02,20.2,21.67,19.6,21.63,2241700
2023-03-03,21.705,22.016,21.26,21.73,994800
2023-03-06,21.45,21.73,21.205,21.46,920200
2023-03-07,21.31,21.76,21.04,21.18,799000
2023-03-08,21.2,21.329,20.81,21.26,783400
2023-03-09,21.38,21.79,20.86,21.06,786500
2023-03-10,21.06,21.135,19.19,19.52,1821500
2023-03-13,19.48,20.54,19.2,20.32,805200
2023-03-14,20.61,20.97,20.53,20.71,596900
2023-03-15,20.43,20.602,19.97,20.56,1102700
2023-03-16,21.91,23.45,21.85,22.78,4771600
2023-03-17,22.76,23.32,22.075,22.4,2110500
2023-03-20,22.4,23.115,22.3,22.86,1936100
