Date,Open,High,Low,Close,Volume
2023-01-13,119.79,121.49,119.54,121.29,765900
2023-01-17,121.95,122.05,119.82,120.07,1181200
2023-01-18,120.93,122.0,118.22,118.68,733200
2023-01-19,117.22,118.17,114.55,116.58,687700
2023-01-20,117.38,121.83,116.72,121.59,920600
2023-01-23,121.7,123.17,121.04,122.95,665100
2023-01-24,121.6,123.36,120.85,122.33,581600
2023-01-25,120.38,121.48,118.74,121.47,627200
2023-01-26,121.16,121.3,118.5,120.44,953400
2023-01-27,119.2,120.84,119.0,120.5,889800
2023-01-30,118.72,122.58,118.72,121.95,973200
2023-01-31,122.55,123.54,121.07,123.2,1105700
2023-02-01,122.42,126.7,122.25,124.98,1009900
2023-02-02,125.57,128.35,124.53,126.77,977000
2023-02-03,125.0,126.87,124.94,125.45,706800
2023-02-06,124.0,124.45,121.72,122.12,857700
2023-02-07,121.48,124.45,121.12,123.91,558600
2023-02-08,122.44,123.54,120.56,121.5,580700
2023-02-09,122.94,124.05,119.73,120.25,582500
2023-02-10,119.48,119.99,118.15,119.88,538100
2023-02-13,120.08,122.48,118.81,121.95,688900
2023-02-14,120.87,123.6,120.28,122.08,885100
2023-02-15,120.54,122.9,120.21,122.89,649100
2023-02-16,121.11,123.12,119.74,121.23,670300
2023-02-17,120.02,120.37,117.97,118.9,528100
2023-02-21,117.85,117.85,111.79,113.15,1396900
2023-02-22,113.36,115.02,113.25,114.22,633000
2023-02-23,114.8,115.75,113.03,114.78,940700
2023-02-24,112.26,120.0,110.15,117.72,3192900
2023-02-27,120.0,122.76,117.31,117.46,1425500
2023-02-28,116.79,117.76,116.1,116.23,1398400
2023-03-01,116.31,121.66,116.31,119.71,1370100
2023-03-02,119.79,123.97,119.18,123.56,1492700
2023-03-03,124.49,125.24,123.1,124.54,1262900
2023-03-06,124.22,124.22,119.99,120.1,1229200
2023-03-07,119.83,120.48,117.07,117.67,926600
2023-03-08,117.69,118.95,116.78,117.96,1199200
2023-03-09,118.11,119.4,113.57,113.68,1018900
2023-03-10,113.68,113.68,107.48,109.14,1524200
2023-03-13,106.74,108.38,104.7,105.24,1390300
2023-03-14,108.25,108.86,106.06,108.0,2339400
2023-03-15,103.96,104.13,100.32,102.31,2656500
2023-03-16,100.36,104.68,99.92,104.36,1764100
2023-03-17,103.94,103.96,102.02,103.0,3587800
2023-03-20,103.82,104.58,102.14,103.0,2215100
2023-03-21,105.5,107.54,104.99,105.17,1052000
2023-03-22,104.83,105.43,100.72,100.92,1176900
2023-03-23,101.02,102.76,98.53,99.55,1063700
2023-03-24,98.0,101.68,97.12,101.58,2070000
2023-03-27,103.29,104.43,102.31,103.26,927900
2023-03-28,103.43,104.37,102.87,103.3,535300
2023-03-29,105.14,106.13,104.72,105.92,845300
2023-03-30,107.53,107.9,105.37,106.39,729100
2023-03-31,106.43,108.96,106.43,108.89,720400
2023-04-03,110.0,111.7,108.65,109.09,881900
2023-04-04,109.09,109.09,105.34,106.25,1241600
2023-04-05,105.22,106.94,104.37,106.82,798900
2023-04-06,106.17,106.63,104.89,106.03,690000
2023-04-10,105.93,107.7,105.62,107.39,555500
2023-04-11,108.27,109.97,107.77,108.88,1097800
2023-04-12,111.05,112.19,108.9,109.66,1068900
2023-04-13,110.0,111.17,108.88,110.99,862500
2023-04-14,111.34,112.74,110.25,110.72,892800
2023-04-17,110.85,110.98,108.44,110.61,551000
2023-04-18,111.67,111.67,109.09,109.48,489800
2023-04-19,108.6,109.31,107.17,109.11,469800
2023-04-20,107.57,108.12,105.94,106.8,741500
2023-04-21,106.37,106.59,103.85,104.6,1033800
2023-04-24,104.96,105.7,104.45,105.68,719200
2023-04-25,104.16,104.16,99.88,100.51,1026500
2023-04-26,100.35,101.63,99.58,100.46,869400
2023-04-27,101.35,103.41,100.46,103.41,1336900
2023-04-28,102.32,107.79,102.32,106.24,1247200
2023-05-01,106.2,106.59,104.34,104.63,887000
2023-05-02,103.17,103.21,99.84,102.03,873900
2023-05-03,102.08,102.7,99.76,100.7,1078500
2023-05-04,100.44,102.11,99.44,101.15,1483700
2023-05-05,103.47,105.94,103.02,105.9,1293200
2023-05-08,107.0,107.0,105.3,106.01,1568300
2023-05-09,104.73,105.35,103.97,104.54,1758700
2023-05-10,106.19,107.13,99.33,102.93,3777900
2023-05-11,100.53,103.79,100.44,101.23,2706200
2023-05-12,101.49,102.2,100.16,100.79,1338500
2023-05-15,101.59,105.33,100.79,105.22,1515600
2023-05-16,104.66,105.34,102.54,102.82,1283100
2023-05-17,103.75,106.22,103.19,105.71,1029100
2023-05-18,105.67,107.67,105.1,107.51,1010200
2023-05-19,108.28,108.28,106.33,107.38,1127000
2023-05-22,107.3,109.13,106.82,108.5,945500
2023-05-23,107.87,109.97,107.4,108.18,1054300
2023-05-24,108.95,108.99,106.06,106.9,1567500
2023-05-25,106.71,106.92,103.9,106.26,1594100
2023-05-26,107.02,107.56,105.77,107.42,1144000
2023-05-30,107.28,108.34,106.32,108.0,1687200
2023-05-31,106.99,107.27,103.23,104.02,4347300
