Date,Open,High,Low,Close,Volume
2023-01-13,111.27,112.375,110.8,112.2,276600
2023-01-17,112.57,114.16,112.0,113.785,255200
2023-01-18,114.455,115.95,114.335,115.0,433800
2023-01-19,114.955,117.5,114.64,116.855,342600
2023-01-20,117.51,121.605,117.035,121.56,463400
2023-01-23,121.47,122.375,120.76,121.15,431000
2023-01-24,121.015,123.4,120.39,123.06,259800
2023-01-25,122.025,123.485,121.525,122.76,236600
2023-01-26,123.565,124.44,123.08,124.32,260800
2023-01-27,123.82,125.125,123.55,124.235,209600
2023-01-30,123.57,124.15,122.035,122.155,216000
2023-01-31,122.32,124.125,121.525,124.05,321800
2023-02-01,123.765,125.24,123.675,124.75,311600
2023-02-02,125.725,126.0,122.335,123.7,358200
2023-02-03,122.72,126.645,122.72,125.495,278000
2023-02-06,124.395,125.02,123.835,124.25,167400
2023-02-07,123.92,126.3,123.12,126.065,187400
2023-02-08,125.695,125.915,123.935,124.27,227800
2023-02-09,125.0,125.565,121.775,122.33,271000
2023-02-10,121.535,122.82,120.835,121.625,293600
2023-02-13,122.05,123.13,121.765,122.385,119400
2023-02-14,121.62,123.59,120.71,123.25,174600
2023-02-15,122.96,125.845,122.01,124.905,368800
2023-02-16,123.63,124.93,122.405,123.45,321200
2023-02-17,122.615,123.485,121.625,122.94,246600
2023-02-21,121.695,122.405,120.33,121.085,202000
2023-02-22,120.51,122.425,120.51,121.345,519600
2023-02-23,119.585,123.25,118.645,121.91,919600
2023-02-24,120.67,121.63,120.23,121.555,590600
2023-02-27,122.735,122.735,120.97,121.905,262200
2023-02-28,121.72,123.61,121.62,122.89,443200
2023-03-01,123.44,124.65,122.5,122.79,391400
2023-03-02,122.1,123.5,121.385,123.21,376800
2023-03-03,123.27,124.415,122.455,124.065,219200
2023-03-06,123.705,124.675,122.53,122.775,348800
2023-03-07,123.07,123.495,121.68,122.165,340000
2023-03-08,121.69,122.9,121.295,122.695,282600
2023-03-09,122.89,122.99,120.405,120.57,507200
2023-03-10,119.81,121.16,117.985,119.635,665200
2023-03-13,118.04,118.555,115.215,117.28,640600
2023-03-14,118.795,120.34,118.615,120.14,469200
2023-03-15,117.91,120.815,117.64,120.125,639600
2023-03-16,119.87,123.525,119.87,121.945,329200
2023-03-17,121.865,124.005,121.22,123.455,569800
2023-03-20,123.75,125.77,123.5,125.3,572600
2023-03-21,126.125,129.165,126.125,127.41,638400
2023-03-22,127.36,128.85,126.37,126.465,506400
2023-03-23,126.525,128.24,121.57,122.33,405800
2023-03-24,121.135,121.4,118.04,121.085,364800
2023-03-27,122.185,123.915,121.695,122.71,312800
2023-03-28,122.515,124.165,122.045,123.185,225600
2023-03-29,124.455,125.155,123.9,125.0,241400
2023-03-30,125.0,127.1,125.0,126.69,303600
2023-03-31,128.75,132.055,127.975,128.525,782800
2023-04-03,128.135,129.43,127.12,128.01,474400
2023-04-04,128.21,128.635,126.08,127.32,431600
2023-04-05,126.92,127.32,124.7,125.605,491400
2023-04-06,126.2,127.165,124.09,126.755,301600
2023-04-10,126.4,127.58,125.65,126.49,175400
2023-04-11,126.995,128.81,126.56,127.99,265600
2023-04-12,128.175,128.55,125.96,126.82,266800
2023-04-13,127.84,128.14,126.585,127.71,230200
2023-04-14,126.975,128.545,126.445,128.0,214000
2023-04-17,128.195,129.21,126.86,127.5,286600
2023-04-18,127.78,129.295,127.575,128.1,373000
2023-04-19,127.815,129.895,127.8,128.495,453600
2023-04-20,128.33,129.145,127.56,127.935,283000
2023-04-21,128.58,129.55,127.35,128.855,265400
2023-04-24,128.66,130.065,128.115,128.82,274800
2023-04-25,127.83,128.85,126.65,126.925,295800
2023-04-26,127.5,128.18,125.415,125.92,494400
2023-04-27,131.855,144.895,131.295,143.635,1426600
2023-04-28,143.725,146.98,143.635,146.265,605000
2023-05-01,146.175,149.515,145.86,149.08,472600
