Date,Open,High,Low,Close,Volume
2023-01-13,134.9,135.43,132.97,134.29,211400
2023-01-17,136.12,137.76,134.8,136.83,282300
2023-01-18,136.83,141.74,135.66,136.04,386000
2023-01-19,135.07,143.69,134.77,141.77,424900
2023-01-20,143.5,143.5,140.33,142.31,258400
2023-01-23,143.5,148.22,143.5,146.69,350800
2023-01-24,146.85,147.07,142.57,142.72,227300
2023-01-25,143.85,147.66,141.3,147.44,233000
2023-01-26,148.65,150.2,146.66,150.02,267100
2023-01-27,150.94,151.19,145.91,146.08,346400
2023-01-30,144.73,145.51,140.2,140.3,273800
2023-01-31,140.05,143.99,139.34,143.33,322200
2023-02-01,142.54,143.59,136.23,141.6,756600
2023-02-02,140.15,142.27,139.1,141.32,480300
2023-02-03,141.59,145.62,141.59,142.56,415400
2023-02-06,143.0,143.43,136.75,138.53,358300
2023-02-07,139.41,142.52,137.16,141.95,374700
2023-02-08,142.48,142.48,138.06,138.52,336700
2023-02-09,138.71,139.79,135.34,135.45,575400
2023-02-10,138.0,141.57,136.86,141.18,522400
2023-02-13,140.95,142.91,139.66,141.42,313800
2023-02-14,139.98,143.61,139.69,143.06,327700
2023-02-15,140.77,141.13,136.74,139.02,411800
2023-02-16,138.44,140.78,137.96,137.97,261900
2023-02-17,136.25,136.56,128.75,133.15,905800
2023-02-21,131.98,132.54,128.72,129.18,615300
2023-02-22,129.69,131.57,127.33,130.66,564300
2023-02-23,131.41,136.66,131.41,135.79,803700
2023-02-24,134.24,137.9,132.61,136.18,697700
2023-02-27,137.0,138.08,134.25,134.91,576900
2023-02-28,137.89,138.59,134.61,134.62,417700
2023-03-01,133.98,137.9,133.95,137.3,359900
2023-03-02,137.01,139.78,135.6,138.5,533400
2023-03-03,136.74,144.22,136.44,143.97,982800
2023-03-06,146.31,147.25,141.46,143.45,1793700
2023-03-07,142.93,145.59,141.51,143.41,752900
2023-03-08,142.43,145.69,138.46,141.12,734900
2023-03-09,141.32,144.72,138.18,138.34,662800
2023-03-10,137.95,140.95,134.26,136.04,752000
2023-03-13,131.61,136.84,128.8,132.8,1057800
2023-03-14,134.07,138.76,132.13,135.27,976700
2023-03-15,128.9,129.99,119.97,123.22,1252000
2023-03-16,120.0,125.51,119.47,125.33,1212600
2023-03-17,123.78,125.12,117.05,121.51,8879100
2023-03-20,121.97,127.35,121.37,126.03,784400
2023-03-21,128.91,132.24,127.89,131.6,759800
2023-03-22,131.24,131.64,125.83,126.02,478300
2023-03-23,126.34,128.91,123.03,124.58,550100
2023-03-24,121.37,124.96,119.1,124.91,769400
2023-03-27,126.39,129.59,124.65,129.02,366500
2023-03-28,128.22,131.15,127.77,130.16,314000
2023-03-29,131.79,133.35,130.64,133.07,490400
2023-03-30,135.0,135.0,132.32,133.14,303800
2023-03-31,133.4,135.34,133.01,134.6,512400
2023-04-03,141.59,143.71,140.41,142.07,940700
2023-04-04,143.26,143.26,135.88,137.86,370100
2023-04-05,138.04,140.97,136.75,140.82,351800
2023-04-06,140.82,141.63,138.48,138.83,405000
2023-04-10,139.37,143.18,139.37,141.4,451600
2023-04-11,143.24,145.45,142.48,144.18,557700
2023-04-12,145.46,145.52,142.12,142.84,439800
2023-04-13,143.64,144.37,141.44,142.32,581500
2023-04-14,143.1,145.08,142.56,144.81,389200
2023-04-17,144.94,145.77,142.8,143.54,332900
2023-04-18,143.03,144.06,141.12,144.02,310900
2023-04-19,142.46,143.8,140.45,143.7,330400
2023-04-20,141.4,143.09,140.1,142.65,390600
2023-04-21,142.48,143.41,141.2,142.19,301600
2023-04-24,141.87,144.81,141.63,144.1,455300
2023-04-25,141.55,141.98,137.94,138.52,336300
2023-04-26,138.12,141.4,136.59,137.18,466300
2023-04-27,137.45,139.33,136.12,138.62,370300
2023-04-28,138.95,143.51,138.0,142.33,538800
2023-05-01,141.66,143.25,139.95,142.07,373000
2023-05-02,140.08,140.15,135.08,136.54,440800
2023-05-03,133.34,137.88,133.34,135.46,588100
2023-05-04,135.16,138.94,133.61,133.93,488100
2023-05-05,138.43,141.34,137.3,138.97,403800
2023-05-08,141.39,142.9,139.29,141.45,404700
2023-05-09,139.77,143.08,139.77,141.43,276600
2023-05-10,143.2,143.2,139.38,141.45,316600
2023-05-11,139.65,141.54,138.56,139.65,301900
2023-05-12,141.19,142.85,140.32,142.73,359400
2023-05-15,139.81,142.5,139.4,141.51,488200
2023-05-16,140.22,140.85,137.78,137.82,285700
2023-05-17,139.85,143.47,138.58,142.95,420700
2023-05-18,141.75,145.87,140.02,145.67,392100
2023-05-19,147.73,148.49,145.43,146.97,410300
2023-05-22,147.74,150.76,146.58,149.55,741100
2023-05-23,150.72,153.12,149.18,150.18,607300
2023-05-24,150.83,152.84,150.14,151.36,385300
2023-05-25,148.94,150.56,147.25,149.46,384100
2023-05-26,150.53,150.53,146.72,148.85,312700
2023-05-30,146.52,147.25,144.9,146.19,277900
2023-05-31,143.26,144.96,142.02,143.04,616600
2023-06-01,143.8,145.9,142.07,143.37,286000
2023-06-02,145.84,150.12,145.66,149.63,469000
2023-06-05,151.54,152.12,145.54,146.29,410500
2023-06-06,143.74,151.12,143.69,149.78,475800
2023-06-07,150.37,155.8,150.37,154.34,590400
2023-06-08,153.64,154.68,150.2,152.65,312400
2023-06-09,152.21,153.44,150.63,151.37,206700
2023-06-12,148.55,151.21,147.23,149.28,351200
2023-06-13,151.57,152.78,149.73,150.5,415800
2023-06-14,152.22,152.24,147.99,149.25,314800
2023-06-15,149.49,152.62,149.46,152.56,504000
2023-06-16,153.13,153.15,150.37,151.67,975100
2023-06-20,150.95,151.69,147.5,149.73,306800
2023-06-21,150.05,152.12,148.29,151.9,396500
2023-06-22,149.88,151.93,148.19,148.72,421700
2023-06-23,147.01,149.26,146.61,146.75,1742400
2023-06-26,147.81,151.25,147.81,148.2,360200
2023-06-27,147.61,150.15,146.39,149.66,345700
2023-06-28,150.01,151.9,149.07,150.27,494400
2023-06-29,151.47,154.08,150.31,152.95,296500
2023-06-30,154.45,155.45,152.94,153.8,507500
2023-07-03,153.7,157.08,153.07,154.9,182400
2023-07-05,155.29,156.79,153.57,155.65,420700
2023-07-06,154.65,156.12,148.9,150.4,375400
2023-07-07,150.54,157.61,149.96,155.44,352100
2023-07-10,156.27,156.49,154.67,156.34,308500
2023-07-11,157.25,159.82,156.65,159.13,423800
2023-07-12,160.38,160.41,157.13,157.32,309200
2023-07-13,157.35,158.89,154.88,156.89,637500
2023-07-14,155.73,155.88,148.17,148.2,630300
2023-07-17,146.89,148.0,145.06,146.37,598800
2023-07-18,146.99,150.45,146.26,149.02,877400
2023-07-19,147.84,149.95,145.53,147.05,970000
2023-07-20,148.63,150.25,147.65,148.78,448000
2023-07-21,149.43,150.32,147.4,148.89,367900
2023-07-24,149.36,152.03,149.0,151.32,467900
