Date,Open,High,Low,Close,Volume
2023-02-06,9.4364,9.6364,9.3864,9.5682,339680
2023-02-07,9.5182,9.6091,9.4591,9.5818,349360
2023-02-08,9.5227,9.5955,9.4182,9.5545,256520
2023-02-09,9.6045,9.6545,9.2182,9.25,634480
2023-02-10,9.2318,9.4386,9.0864,9.25,557040
2023-02-13,9.3045,9.5182,9.2818,9.4318,439560
2023-02-14,9.3773,9.4318,9.2864,9.2955,346280
2023-02-15,9.2682,9.3682,9.2364,9.3182,284680
2023-02-16,9.2818,9.35,9.2273,9.2909,286660
2023-02-17,9.3227,9.4955,9.2591,9.4136,398640
2023-02-21,9.3636,9.4682,9.3159,9.4091,328240
2023-02-22,9.4136,9.4955,9.3818,9.4182,357500
2023-02-23,9.4045,9.5773,9.4045,9.5545,330000
2023-02-24,9.4682,9.5545,9.4591,9.5455,260480
2023-02-27,9.5045,9.6477,9.4682,9.5773,283140
2023-02-28,9.6182,9.6773,9.5364,9.5909,542080
2023-03-01,9.5091,9.6136,9.4659,9.5136,309320
2023-03-02,9.4773,9.5091,9.3409,9.4636,322520
2023-03-03,9.4682,9.7091,9.3909,9.6773,323840
2023-03-06,9.7045,9.7682,9.5591,9.7364,390940
2023-03-07,9.7409,9.7545,9.5227,9.5955,327360
2023-03-08,9.5682,9.6318,9.2045,9.25,309980
2023-03-09,9.1682,9.1727,8.8568,8.9227,390720
2023-03-10,8.7727,8.8818,8.5955,8.7636,697180
2023-03-13,8.1091,8.1591,7.3318,7.7818,1656160
2023-03-14,8.0727,8.3909,7.8659,7.9,929280
2023-03-15,7.7136,8.1864,7.55,8.1591,818400
2023-03-16,8.1227,8.6864,8.0773,8.5045,655820
2023-03-17,8.3682,8.8386,8.1227,8.2545,1639440
2023-03-20,8.2045,8.4023,8.0773,8.0818,838860
2023-03-21,8.3045,8.6318,8.2909,8.6091,539220
2023-03-22,8.5773,8.6091,8.2091,8.2227,575080
2023-03-23,8.3045,8.3727,8.1773,8.1909,548240
2023-03-24,8.1136,8.4545,8.0227,8.4,605000
2023-03-27,8.4455,8.4773,8.2364,8.2455,511720
2023-03-28,8.2227,8.2636,8.1432,8.2364,457820
2023-03-29,8.3136,8.3864,8.1636,8.3773,466180
2023-03-30,8.3727,8.4455,8.1455,8.1773,443960
2023-03-31,8.1818,8.3364,8.15,8.3091,602580
2023-04-03,8.3091,8.3909,8.1773,8.3182,477180
2023-04-04,8.3,8.3045,8.0773,8.1727,468380
2023-04-05,8.1455,8.1727,8.0091,8.0591,831160
2023-04-06,8.1,8.2364,8.0523,8.1409,447700
2023-04-10,8.1045,8.3977,8.1045,8.3773,600820
2023-04-11,8.3,8.5318,8.3,8.4545,362780
2023-04-12,8.3864,8.5455,8.3864,8.4409,410520
2023-04-13,8.4773,8.6773,8.4455,8.6591,313280
2023-04-14,8.7182,8.8091,8.4182,8.4864,367400
2023-04-17,8.4636,8.6318,8.4091,8.6227,290180
2023-04-18,8.6136,8.6727,8.4273,8.5091,296120
2023-04-19,8.5636,8.7727,8.4909,8.6727,305580
2023-04-20,8.6773,8.7818,8.6227,8.75,257180
2023-04-21,8.7136,8.8773,8.7,8.7591,501380
2023-04-24,8.7227,8.8364,8.6636,8.7136,311960
2023-04-25,8.5773,8.6864,8.3909,8.4273,267080
2023-04-26,8.3318,8.45,8.2955,8.4045,260260
2023-04-27,8.1864,8.3273,7.5091,7.8455,593120
2023-04-28,7.8182,7.9227,7.6136,7.6273,354860
2023-05-01,7.6182,7.6182,7.1864,7.2455,660660
2023-05-02,7.2136,7.2318,6.4136,6.6341,776600
2023-05-03,6.6545,7.0409,6.5591,6.7409,657580
2023-05-04,6.6136,7.0182,6.4545,6.8727,674740
2023-05-05,7.0818,7.4545,6.9864,7.4455,826100
2023-05-08,7.5545,7.5545,6.9955,7.1591,428560
2023-05-09,7.1,7.1,6.85,7.0,390500
2023-05-10,7.1182,7.1591,7.0091,7.1273,474760
2023-05-11,7.0182,7.1955,6.8818,6.9864,270820
2023-05-12,6.9909,6.9909,6.7955,6.9273,246180
2023-05-15,6.9364,7.1909,6.9105,7.1318,382580
2023-05-16,7.1545,7.2045,6.9227,6.95,239800
2023-05-17,7.05,7.2955,6.9636,7.25,419320
2023-05-18,7.25,7.2568,7.0727,7.1455,295900
2023-05-19,7.1273,7.1786,6.9227,6.9909,266640
2023-05-22,7.0364,7.2955,6.9364,7.2682,421960
2023-05-23,7.2818,7.5205,7.2318,7.3455,335280
2023-05-24,7.3364,7.3455,7.1273,7.1591,257400
2023-05-25,7.3727,7.3727,7.0818,7.1682,239360
2023-05-26,7.1864,7.3455,7.1818,7.3136,271700
2023-05-30,7.3409,7.3864,7.2182,7.3682,374220
2023-05-31,7.35,7.3955,7.2045,7.3409,646360
2023-06-01,7.3682,7.4545,7.2409,7.4364,317020
2023-06-02,7.5,8.0955,7.2909,8.0682,778580
2023-06-05,8.0227,8.0591,7.6795,7.8727,553960
2023-06-06,7.8273,8.3864,7.8273,8.3273,455620
2023-06-07,8.4,8.7909,8.3182,8.7227,484000
2023-06-08,8.6636,8.7273,8.45,8.7136,498520
2023-06-09,8.6864,8.6909,8.5136,8.6727,307780
2023-06-12,8.6727,8.7455,8.4773,8.5455,439340
2023-06-13,8.5182,8.6636,8.4773,8.6318,382800
2023-06-14,8.6818,8.7045,8.4227,8.5409,756140
2023-06-15,8.5,8.6682,8.2409,8.6318,803220
2023-06-16,8.7045,8.7045,8.3695,8.4682,1493580
2023-06-20,8.5182,8.5182,8.225,8.2864,943140
2023-06-21,8.2591,8.35,8.1818,8.2045,786500
2023-06-22,8.2091,8.2091,7.8818,7.9045,465740
2023-06-23,7.7818,7.9364,7.7364,7.9136,1551660
2023-06-26,7.9,8.0636,7.7955,7.8045,333080
2023-06-27,7.8364,7.995,7.7955,7.8955,238920
2023-06-28,7.9091,8.0023,7.775,7.9545,211860
2023-06-29,8.0045,8.1636,7.9682,7.9909,220440
2023-06-30,8.0818,8.1455,7.8455,7.8591,306460
2023-07-03,7.8364,8.0864,7.8364,8.0773,158180
2023-07-05,8.05,8.05,7.8545,7.8955,231000
2023-07-06,7.8136,7.9423,7.6318,7.8045,294360
2023-07-07,7.8273,8.0364,7.8273,7.9955,279620
2023-07-10,7.95,8.1818,7.95,8.0636,228140
2023-07-11,8.1045,8.1409,8.0273,8.0591,209000
2023-07-12,8.2409,8.2955,8.0886,8.1318,290180
2023-07-13,8.1455,8.2409,8.1364,8.1818,199760
2023-07-14,8.2727,8.2727,7.9727,8.0591,216480
2023-07-17,8.0727,8.2818,8.0727,8.2045,201740
2023-07-18,8.2364,8.4227,8.1864,8.3773,259600
2023-07-19,8.4318,8.6136,8.3364,8.55,244640
2023-07-20,8.5636,8.5909,8.3409,8.4318,255420
2023-07-21,8.4909,8.4909,8.2818,8.3045,217360
2023-07-24,8.2682,8.6182,8.2682,8.4909,276320
2023-07-25,8.4136,8.55,8.3591,8.4182,240680
2023-07-26,8.4409,8.65,8.4409,8.5364,357280
2023-07-27,8.1545,8.1718,7.3227,7.5409,702680
2023-07-28,7.6136,8.0455,7.6136,7.9909,380600
2023-07-31,7.9545,8.1455,7.8886,7.9455,321860
2023-08-01,7.9273,8.0614,7.8909,8.0045,208780
2023-08-02,7.9,8.0818,7.9,7.9773,225720
2023-08-03,7.9,8.1545,7.9,8.1136,277640
2023-08-04,8.0909,8.2091,8.0636,8.1045,199320
2023-08-07,8.1091,8.1932,8.0182,8.1227,238260
2023-08-08,7.9409,8.1432,7.8727,8.1045,232320
2023-08-09,8.0682,8.0955,8.0136,8.0318,169620
2023-08-10,8.0545,8.1455,8.05,8.0773,210100
2023-08-11,8.0455,8.1545,8.0455,8.1182,170060
2023-08-14,8.1136,8.1136,7.9695,8.0955,193600
2023-08-15,7.9682,8.0545,7.9545,8.0182,215380
2023-08-16,7.9909,8.0818,7.9818,7.9864,387200
2023-08-17,8.0091,8.0773,7.9091,7.9182,260700
2023-08-18,7.8409,8.0227,7.8364,7.8727,296340
2023-08-21,7.8636,7.9273,7.7364,7.7955,214280
2023-08-22,7.7864,7.8227,7.6545,7.6727,349140
2023-08-23,7.6591,7.7727,7.6591,7.7136,208560
2023-08-24,7.6773,7.8455,7.6773,7.7182,291060
2023-08-25,7.7273,7.7727,7.5455,7.6182,258500
2023-08-28,7.6682,7.8409,7.6682,7.8409,160820
2023-08-29,7.8182,7.9818,7.75,7.9045,282920
2023-08-30,7.8773,7.9091,7.7636,7.8273,190740
2023-08-31,7.8227,7.8932,7.7864,7.8,233860
2023-09-01,7.8364,7.9227,7.7818,7.8,313280
2023-09-05,7.75,7.75,7.55,7.5818,195580
2023-09-06,7.6,7.6818,7.5,7.5182,239800
2023-09-07,7.4682,7.55,7.4045,7.5227,249040
2023-09-08,7.5182,7.6045,7.45,7.5636,138160
2023-09-11,7.6091,7.6318,7.5045,7.5182,167860
2023-09-12,7.4955,7.5909,7.4727,7.4909,163680
2023-09-13,7.5136,7.5455,7.3455,7.3545,239800
2023-09-14,7.4182,7.6091,7.3909,7.6045,253660
2023-09-15,7.6,7.6955,7.4241,7.4773,1408220
2023-09-18,7.4955,7.4955,7.3227,7.3318,201960
2023-09-19,7.3409,7.4909,7.2773,7.2864,168080
2023-09-20,7.3182,7.3545,7.2364,7.2409,168740
2023-09-21,7.1682,7.2545,7.1182,7.1182,211200
2023-09-22,7.1136,7.1227,7.0409,7.0455,160380
2023-09-25,7.0091,7.1614,6.9818,7.1409,194260
2023-09-26,7.0545,7.2705,7.0545,7.0727,183040
2023-09-27,7.0818,7.1227,7.0091,7.0273,169620
2023-09-28,7.0455,7.1455,7.0455,7.0818,128040
2023-09-29,7.1136,7.1682,7.0614,7.1409,229900
2023-10-02,7.1227,7.1773,7.0045,7.0455,168960
2023-10-03,6.9955,7.0636,6.9273,6.9409,216700
2023-10-04,6.9273,7.0864,6.8591,7.0682,209880
2023-10-05,7.0591,7.3364,7.05,7.2909,228580
2023-10-06,7.2409,7.4136,6.8227,7.3182,213400
2023-10-09,7.3136,7.3727,7.25,7.2727,136620
2023-10-10,7.3,7.3691,7.2555,7.2636,117920
2023-10-11,7.3682,7.4,7.2318,7.2818,138600
2023-10-12,7.2909,7.2955,7.1545,7.2182,142780
2023-10-13,7.2455,7.2591,7.0682,7.0864,158400
2023-10-16,7.1182,7.3091,7.1182,7.3045,188980
2023-10-17,7.2591,7.4682,7.2591,7.3909,213620
2023-10-18,7.3318,7.3955,7.2318,7.2591,136620
2023-10-19,7.25,7.3455,7.2182,7.2273,162140
2023-10-20,7.2545,7.2545,7.0818,7.0864,204600
2023-10-23,7.0545,7.2182,7.0545,7.1273,202400
2023-10-24,7.1773,7.1841,7.0591,7.0955,130900
2023-10-25,7.0227,7.1841,7.0227,7.1364,168740
2023-10-26,7.2,7.4523,7.1636,7.3045,183260
2023-10-27,7.2909,7.3477,7.2318,7.2909,144100
2023-10-30,7.3636,7.3818,7.2909,7.3182,119900
2023-10-31,7.3318,7.3818,7.2818,7.3182,117920
2023-11-01,7.3182,7.4182,7.2955,7.4091,188100
2023-11-02,7.4409,7.6136,7.4409,7.6,226820
2023-11-03,7.6818,7.8409,7.6818,7.7136,229460
2023-11-06,7.7045,7.7045,7.5227,7.5955,107360
2023-11-07,7.5455,7.6318,7.4727,7.5818,93940
2023-11-08,7.5727,7.5727,7.4136,7.5,121880
2023-11-09,7.5091,7.5091,7.3182,7.35,136620
2023-11-10,7.4,7.4045,7.3182,7.3591,100760
2023-11-13,7.3136,7.4955,7.2227,7.4773,122100
2023-11-14,7.7,8.1364,7.2273,8.1136,465080
2023-11-15,8.1182,8.1409,8.0,8.0955,195580
2023-11-16,8.0909,8.0909,7.9136,7.9182,147400
2023-11-17,7.9773,8.0727,7.9318,8.0091,185900
2023-11-20,8.0455,8.0455,7.9464,8.0182,119900
2023-11-21,7.9591,7.9818,7.8318,7.8318,165440
2023-11-22,7.9227,7.9591,7.7727,7.8,174240
2023-11-24,7.7909,7.8409,7.7227,7.7455,47080
2023-11-27,7.7045,7.7182,7.5591,7.6227,128700
2023-11-28,7.6545,7.6545,7.5182,7.5636,92620
2023-11-29,7.6455,7.75,7.5455,7.5682,201740
2023-11-30,7.5409,7.5932,7.4,7.4773,437580
2023-12-01,7.4818,7.8636,7.4409,7.8591,184140
2023-12-04,7.8455,8.0364,7.8045,8.0182,243100
2023-12-05,8.0227,8.1318,7.7545,8.0182,131120
2023-12-06,8.0773,8.2727,8.0091,8.0409,137720
2023-12-07,8.0727,8.1909,7.7955,8.1909,128260
2023-12-08,8.2227,8.3136,8.1727,8.3136,133320
2023-12-11,8.3227,8.3364,7.9091,8.3227,163460
2023-12-12,8.3455,8.3455,8.2455,8.3045,96140
2023-12-13,8.3545,8.7773,8.2136,8.7727,295460
2023-12-14,8.9409,9.0864,8.6045,8.7864,473440
2023-12-15,8.8273,8.8273,8.4636,8.7,819940
2023-12-18,8.7682,8.7864,8.5605,8.6273,158400
2023-12-19,8.6591,8.8182,8.6591,8.7636,214280
2023-12-20,8.7636,8.9455,8.6377,8.6682,194480
2023-12-21,8.7591,8.7955,8.6364,8.7545,102080
2023-12-22,8.8455,8.8864,8.7409,8.8091,147840
2023-12-26,8.8545,8.9955,8.7318,8.9682,139040
2023-12-27,8.9773,9.0455,8.9318,8.9818,99660
2023-12-28,8.9273,9.0,8.9136,8.95,111540
2023-12-29,8.9,8.9591,8.7432,8.7636,169400
2024-01-02,8.6455,8.8409,8.3318,8.8182,214060
2024-01-03,8.8,8.8182,8.65,8.6591,230120
2024-01-04,8.6682,8.7455,8.5682,8.6909,166540
2024-01-05,8.6136,8.7273,8.5773,8.6273,157080
2024-01-08,8.6227,8.6795,8.5864,8.6795,124960
2024-01-09,8.5545,8.5909,8.4545,8.5364,167200
2024-01-10,8.5091,8.6045,8.4636,8.6,132440
2024-01-11,8.5455,8.6091,8.3955,8.4864,143000
2024-01-12,8.5955,8.6227,8.3773,8.4818,121660
2024-01-16,8.3909,8.4068,8.3318,8.3682,106260
2024-01-17,8.2227,8.4273,8.2227,8.4091,97680
2024-01-18,8.4364,8.5273,8.35,8.4955,131120
2024-01-19,8.4818,8.5682,8.3409,8.5636,195580
2024-01-22,8.6409,8.8,8.2591,8.8,153340
2024-01-23,8.8409,8.8409,8.5773,8.6591,182380
2024-01-24,8.7455,8.7455,8.6273,8.6636,129580
2024-01-25,8.7273,8.8,8.5136,8.8,179300
2024-01-26,8.85,9.3,8.5591,8.75,255860
2024-01-29,8.7045,8.7409,8.5227,8.6955,100760
2024-01-30,8.7045,8.7273,8.6091,8.6136,83380
2024-01-31,8.5136,8.5864,8.1727,8.1727,221980
2024-02-01,8.2136,8.3045,7.8364,7.9864,219340
2024-02-02,7.8364,8.0,7.8364,7.9227,144540
2024-02-05,7.85,7.85,7.6455,7.7455,178640
2024-02-06,7.7273,7.7864,7.6636,7.7591,170060
2024-02-07,7.7864,7.8182,7.5409,7.7227,155540
2024-02-08,7.6727,7.8659,7.6727,7.7955,137280
2024-02-09,7.8182,7.9159,7.7455,7.8682,229900
2024-02-12,7.9091,8.0909,7.8318,8.0091,216040
2024-02-13,7.7636,7.8886,7.5127,7.5455,247940
2024-02-14,7.6318,7.7114,7.4818,7.6,164120
2024-02-15,7.6727,7.9636,7.6591,7.9273,192720
2024-02-16,7.8818,7.9227,7.7636,7.8227,125840
2024-02-20,7.7273,7.8864,7.7091,7.7773,111100
2024-02-21,7.7727,7.7727,7.6318,7.6909,146520
2024-02-22,7.6545,7.6909,7.5705,7.6182,155980
2024-02-23,7.5955,7.6773,7.5864,7.6455,90640
2024-02-26,7.6364,7.6636,7.4955,7.5318,124300
2024-02-27,7.6227,7.6682,7.5182,7.6318,119460
2024-02-28,7.5773,7.6818,7.5455,7.65,101640
2024-02-29,7.7636,7.8182,7.5955,7.6045,137060
2024-03-01,7.5455,7.5455,7.3455,7.3727,155320
2024-03-04,7.35,7.5455,7.35,7.4455,137280
2024-03-05,7.3955,7.6364,7.3955,7.5864,147620
2024-03-06,7.5682,7.6318,7.3909,7.4955,188760
2024-03-07,7.5818,7.6264,7.5023,7.5318,111980
2024-03-08,7.6636,7.6818,7.4864,7.5136,118360
2024-03-11,7.55,7.65,7.5,7.6091,112640
2024-03-12,7.5455,7.5455,7.2955,7.3773,155760
2024-03-13,7.3364,7.4955,7.2886,7.3318,125180
2024-03-14,7.2909,7.2909,7.1364,7.1455,232320
2024-03-15,7.1227,7.3136,7.1227,7.2409,427460
2024-03-18,7.2818,7.3318,7.1727,7.1955,220880
2024-03-19,7.1591,7.3159,6.9773,7.2364,141020
2024-03-20,7.2,7.5409,7.2,7.4955,192940
2024-03-21,7.5136,7.6591,7.4909,7.5727,155320
2024-03-22,7.5773,7.5773,7.4364,7.4455,143000
2024-03-25,7.4773,7.5159,7.45,7.4818,105160
2024-03-26,7.4909,7.5455,7.4227,7.4227,155540
2024-03-27,7.4273,7.7455,7.4273,7.7364,154660
2024-03-28,7.7455,7.8818,7.7182,7.8227,127600
2024-04-01,7.8182,7.8182,7.5659,7.6864,166760
2024-04-02,7.6091,7.6136,7.4773,7.5045,142780
2024-04-03,7.45,7.5932,7.45,7.5182,153340
2024-04-04,7.5682,7.7455,7.55,7.5955,159060
2024-04-05,7.5636,7.6409,7.4818,7.5591,112200
2024-04-08,7.6182,7.6864,7.5727,7.6318,96140
2024-04-09,7.6818,7.7636,7.6773,7.7091,117700
2024-04-10,7.5182,7.5182,7.175,7.3227,227700
2024-04-11,7.3227,7.4545,7.2682,7.3727,160380
2024-04-12,7.3409,7.3864,7.2545,7.2818,146080
2024-04-15,7.2727,7.3682,7.2,7.2773,142780
2024-04-16,7.2182,7.3409,7.1864,7.2409,142780
2024-04-17,7.3136,7.4068,7.2545,7.2545,126280
2024-04-18,7.2545,7.3773,7.2545,7.3591,179300
2024-04-19,7.3273,7.6045,7.3273,7.5955,156640
2024-04-22,7.6364,7.6773,7.55,7.6045,206800
2024-04-23,7.6091,7.7273,7.5682,7.6227,175560
2024-04-24,7.5409,7.7045,7.5218,7.6864,129360
2024-04-25,7.6091,7.6727,7.5018,7.6591,154880
2024-04-26,7.6864,7.7682,7.6636,7.6682,84920
2024-04-29,7.6591,7.8045,7.6182,7.6318,131120
2024-04-30,7.5727,7.6455,7.5318,7.5455,151800
2024-05-01,6.9227,7.1227,6.6864,6.6955,449020
2024-05-02,6.7,6.9182,6.7,6.8773,239360
2024-05-03,6.9818,7.1818,6.9227,7.15,163900
