Date,Open,High,Low,Close,Volume
2023-01-13,117.96,121.83,117.0,121.38,238000
2023-01-17,121.29,122.98,120.73,122.5,302600
2023-01-18,122.57,124.47,121.0,121.99,498700
2023-01-19,120.95,122.71,120.95,121.58,259800
2023-01-20,122.19,124.9,122.03,124.81,309000
2023-01-23,125.0,128.94,124.8,128.2,433500
2023-01-24,128.29,130.13,127.52,128.36,332000
2023-01-25,127.73,129.5,127.12,129.43,248200
2023-01-26,130.25,131.08,126.68,127.72,235600
2023-01-27,127.3,128.12,126.81,127.39,153100
2023-01-30,126.89,129.53,126.53,128.27,287600
2023-01-31,129.19,130.31,128.31,130.3,305900
2023-02-01,129.09,131.35,128.01,130.59,227200
2023-02-02,131.07,131.58,129.83,130.89,319000
2023-02-03,130.19,132.63,129.3,131.91,357700
2023-02-06,130.95,132.32,130.72,131.16,423400
2023-02-07,130.58,133.2,130.11,132.65,346200
2023-02-08,131.99,134.5,131.99,133.75,399700
2023-02-09,133.93,134.33,132.35,132.98,384900
2023-02-10,132.64,134.47,132.05,134.14,199400
2023-02-13,134.27,135.0,133.79,134.27,222700
2023-02-14,133.59,135.1,132.71,133.34,265600
2023-02-15,132.05,135.07,131.54,133.41,363400
2023-02-16,132.2,136.48,132.2,134.81,335100
2023-02-17,134.87,135.69,133.59,134.73,176400
2023-02-21,134.01,135.17,132.64,133.31,190800
2023-02-22,133.45,136.74,133.29,134.68,469300
2023-02-23,135.02,135.63,131.43,133.48,522200
2023-02-24,132.59,133.18,130.93,132.17,748900
2023-02-27,133.0,134.51,131.8,133.09,469700
2023-02-28,132.94,133.57,131.05,132.07,518300
2023-03-01,129.87,133.83,125.57,133.31,527500
2023-03-02,135.25,137.28,133.4,136.31,565700
2023-03-03,135.75,136.81,134.4,136.47,379500
2023-03-06,136.33,136.99,134.96,135.02,462100
2023-03-07,135.4,136.15,133.91,136.03,473200
2023-03-08,136.32,138.99,136.32,138.23,689300
2023-03-09,138.7,140.69,137.29,137.59,441100
2023-03-10,137.37,137.57,133.98,134.49,925700
2023-03-13,133.06,134.25,130.07,130.16,632800
2023-03-14,132.0,137.01,131.43,136.4,644900
2023-03-15,134.55,135.02,131.08,133.07,823700
2023-03-16,132.22,136.44,131.64,135.98,392600
2023-03-17,136.1,136.57,133.45,134.32,745200
2023-03-20,134.73,136.59,134.38,135.02,313600
2023-03-21,136.83,139.45,136.06,137.89,400700
2023-03-22,137.36,137.99,133.41,133.63,477500
2023-03-23,133.46,136.0,131.89,132.72,298400
2023-03-24,131.99,131.99,129.93,131.11,436200
2023-03-27,132.27,134.44,132.01,132.28,342300
2023-03-28,131.87,133.67,131.87,133.0,326100
2023-03-29,134.14,135.98,133.52,135.15,418600
2023-03-30,136.2,139.86,135.19,138.76,500900
2023-03-31,139.99,144.2,138.49,142.56,671800
2023-04-03,141.8,143.79,139.87,140.92,468400
2023-04-04,141.47,141.47,135.7,136.25,277600
2023-04-05,135.89,136.19,132.96,134.07,374200
2023-04-06,134.96,135.71,133.27,133.94,420200
2023-04-10,133.39,137.14,133.39,137.05,263300
2023-04-11,137.25,139.29,136.51,138.4,463900
2023-04-12,139.17,141.59,139.17,140.89,280600
2023-04-13,141.83,143.79,141.46,143.63,288800
2023-04-14,143.48,144.79,142.76,143.54,309400
2023-04-17,143.54,145.04,142.35,143.31,248800
2023-04-18,145.53,146.05,143.14,143.2,295900
2023-04-19,142.96,145.55,142.44,144.27,385600
2023-04-20,143.68,146.03,142.79,144.06,325400
2023-04-21,143.96,145.68,143.24,143.92,344000
2023-04-24,143.82,145.71,143.82,144.27,250100
2023-04-25,144.18,144.18,141.81,142.22,177000
2023-04-26,141.72,142.62,140.68,142.3,413600
2023-04-27,142.65,144.51,141.3,144.26,382800
2023-04-28,143.63,145.76,143.63,145.16,204400
2023-05-01,145.16,147.76,145.16,146.15,272300
2023-05-02,145.62,146.44,144.01,146.06,327100
2023-05-03,144.33,144.69,129.7,137.51,1519800
2023-05-04,137.39,138.35,135.88,136.54,473900
2023-05-05,136.87,138.13,135.29,135.7,481300
2023-05-08,136.54,137.16,134.39,136.77,381200
2023-05-09,136.67,139.49,136.14,139.04,346700
2023-05-10,140.56,141.52,137.92,139.2,280600
2023-05-11,138.78,140.22,137.09,139.96,289500
2023-05-12,140.05,140.73,137.53,138.51,208900
2023-05-15,138.6,140.39,137.99,139.53,250100
2023-05-16,138.81,141.15,137.07,140.6,449100
2023-05-17,141.75,142.18,140.6,141.5,241300
2023-05-18,140.62,141.22,138.55,140.08,192200
2023-05-19,141.13,141.33,138.35,138.65,184100
2023-05-22,139.32,146.15,138.79,145.62,466200
2023-05-23,144.54,144.54,141.45,143.81,400200
2023-05-24,143.56,145.47,142.57,144.6,310000
2023-05-25,145.0,145.47,142.61,143.78,368000
2023-05-26,143.99,145.39,143.67,145.08,501500
2023-05-30,145.28,145.95,142.18,144.17,386400
2023-05-31,143.79,144.64,139.14,140.4,648700
2023-06-01,141.1,143.55,140.69,143.49,307300
2023-06-02,144.21,151.3,144.21,150.91,502400
2023-06-05,149.56,150.5,146.16,149.06,267300
2023-06-06,149.29,153.87,149.06,153.28,542300
2023-06-07,153.83,156.47,153.45,156.08,421600
2023-06-08,155.43,158.72,154.82,157.36,417700
2023-06-09,157.0,157.39,153.38,156.38,448200
2023-06-12,156.11,158.39,154.97,157.62,287000
2023-06-13,157.68,158.32,155.05,155.36,343800
2023-06-14,154.98,157.26,153.27,153.97,644300
2023-06-15,153.83,156.42,152.92,156.02,322000
2023-06-16,156.83,157.03,155.12,156.67,576700
2023-06-20,155.81,159.19,154.79,158.19,417500
2023-06-21,157.76,160.5,156.29,159.54,341600
2023-06-22,158.63,158.98,153.2,154.26,530200
2023-06-23,153.78,156.65,152.14,155.42,628900
2023-06-26,155.08,156.83,153.81,156.11,305500
2023-06-27,156.65,159.56,156.43,158.17,239900
