Date,Open,High,Low,Close,Volume
2023-02-06,1.28,1.3,1.22,1.23,7251800
2023-02-07,1.23,1.3,1.2,1.29,6954600
2023-02-08,1.29,1.31,1.232,1.25,3078500
2023-02-09,1.27,1.31,1.2,1.2,5344400
2023-02-10,1.18,1.22,1.16,1.21,3651600
2023-02-13,1.21,1.235,1.19,1.22,5878400
2023-02-14,1.19,1.24,1.17,1.19,6575200
2023-02-15,1.18,1.23,1.16,1.23,5768600
2023-02-16,1.2,1.24,1.16,1.17,5268200
2023-02-17,1.17,1.18,1.1,1.14,4349400
2023-02-21,1.11,1.135,1.08,1.11,4300800
2023-02-22,1.1,1.139,1.08,1.11,3508700
2023-02-23,1.12,1.14,1.08,1.14,4849200
2023-02-24,1.12,1.12,1.06,1.09,3039800
2023-02-27,1.11,1.18,1.11,1.15,6811000
2023-02-28,1.25,1.365,1.22,1.32,20513300
2023-03-01,1.31,1.31,1.12,1.125,11443600
2023-03-02,1.14,1.14,1.06,1.09,7892500
2023-03-03,1.08,1.126,1.05,1.09,8031700
2023-03-06,1.08,1.09,0.97,0.97,18573000
2023-03-07,0.987,1.04,0.97,1.02,7969800
2023-03-08,1.01,1.029,0.971,0.98,10248300
2023-03-09,0.99,1.01,0.95,0.956,5709000
2023-03-10,0.95,0.955,0.9,0.915,7862900
2023-03-13,0.911,0.95,0.88,0.929,6411900
2023-03-14,0.956,0.982,0.91,0.926,8360100
2023-03-15,0.907,0.942,0.882,0.925,6326800
2023-03-16,0.913,0.963,0.893,0.94,5034000
2023-03-17,0.943,0.945,0.902,0.935,6345300
2023-03-20,0.91,0.926,0.89,0.906,8586200
2023-03-21,0.909,0.944,0.905,0.914,7090200
2023-03-22,0.914,0.929,0.881,0.881,7106500
2023-03-23,0.901,0.95,0.88,0.888,5280800
2023-03-24,0.882,0.898,0.875,0.883,3773400
2023-03-27,0.885,0.899,0.825,0.845,8897700
2023-03-28,0.847,0.855,0.826,0.833,3835200
2023-03-29,0.838,0.865,0.827,0.85,4411100
2023-03-30,0.864,0.867,0.823,0.825,4995300
2023-03-31,0.83,0.87,0.821,0.845,5548300
2023-04-03,0.845,0.86,0.831,0.849,4146100
2023-04-04,0.849,0.86,0.804,0.813,6723000
2023-04-05,0.813,0.83,0.785,0.812,5676100
2023-04-06,0.809,0.84,0.79,0.833,2229300
2023-04-10,0.817,0.84,0.81,0.838,4328700
2023-04-11,0.84,0.864,0.838,0.844,3247600
2023-04-12,0.847,0.868,0.805,0.806,4901200
2023-04-13,0.82,0.86,0.81,0.832,5458400
2023-04-14,0.83,0.85,0.805,0.827,4791300
2023-04-17,0.843,0.886,0.821,0.876,6462600
2023-04-18,0.905,0.909,0.851,0.853,3467100
2023-04-19,0.853,0.856,0.81,0.81,4347000
2023-04-20,0.81,0.818,0.793,0.8,4813500
2023-04-21,0.795,0.807,0.78,0.782,5380100
2023-04-24,0.78,0.784,0.732,0.77,8950700
2023-04-25,0.77,0.77,0.73,0.732,7052600
