Date,Open,High,Low,Close,Volume
2023-01-13,143.09,145.77,142.361,145.14,142300
2023-01-17,145.1,146.85,142.45,143.02,344700
2023-01-18,143.53,145.505,143.31,144.28,234300
2023-01-19,143.22,144.225,141.1,142.96,209400
2023-01-20,136.59,142.69,136.001,141.99,491600
2023-01-23,141.93,142.19,138.34,139.91,286300
2023-01-24,138.4,141.69,137.8,139.05,213800
2023-01-25,137.59,140.97,136.37,140.0,242700
2023-01-26,140.57,142.4,139.84,141.82,238200
2023-01-27,140.52,141.89,137.7,138.97,277500
2023-01-30,137.91,141.2,137.13,140.25,284100
2023-01-31,140.54,141.83,139.68,141.81,245400
2023-02-01,140.84,147.41,140.05,146.5,244400
2023-02-02,148.11,151.82,147.01,151.4,208400
2023-02-03,149.64,150.77,148.57,149.86,153200
2023-02-06,148.19,149.49,146.13,146.58,183600
2023-02-07,145.91,148.7,143.51,148.31,225000
2023-02-08,147.85,148.8,146.1,146.74,125600
2023-02-09,147.8,150.83,146.18,146.92,151000
2023-02-10,146.19,146.91,144.69,146.17,151500
2023-02-13,146.66,147.2,145.18,147.07,113800
2023-02-14,146.37,148.29,144.38,144.73,118700
2023-02-15,143.65,145.35,143.105,144.3,97600
2023-02-16,142.14,142.14,139.87,140.52,162700
2023-02-17,139.74,143.045,137.92,142.73,218800
2023-02-21,140.93,142.04,137.73,138.24,184700
2023-02-22,138.52,140.48,137.24,138.03,160600
2023-02-23,138.68,139.51,137.33,138.66,184400
2023-02-24,136.77,138.88,135.605,137.04,142300
2023-02-27,138.11,139.77,137.01,138.0,320200
2023-02-28,137.31,137.658,135.15,136.84,327900
2023-03-01,136.71,137.4,135.015,136.02,342700
2023-03-02,135.01,136.885,134.32,136.86,155100
2023-03-03,137.47,138.48,136.05,138.05,245600
2023-03-06,138.1,139.1,136.965,137.82,444100
2023-03-07,138.19,138.39,134.14,136.3,234300
2023-03-08,136.07,137.36,135.79,137.27,154900
2023-03-09,137.98,138.68,135.22,135.3,419000
2023-03-10,134.8,134.8,127.26,128.48,399700
2023-03-13,127.66,128.69,123.22,123.85,252600
2023-03-14,126.5,128.175,123.945,124.66,264400
2023-03-15,121.98,122.425,118.18,118.32,323600
2023-03-16,117.32,121.05,116.16,120.41,362100
2023-03-17,120.0,121.2,119.41,119.67,584800
2023-03-20,120.64,123.605,118.715,120.05,366700
2023-03-21,121.75,122.97,120.36,120.95,332700
2023-03-22,120.71,123.51,119.41,119.5,236200
2023-03-23,120.03,121.3,117.27,118.03,193800
2023-03-24,117.05,118.609,115.7,117.63,144500
2023-03-27,118.9,121.15,118.47,120.61,177000
2023-03-28,120.28,121.14,119.08,119.63,127800
2023-03-29,121.85,122.05,120.14,121.77,172800
2023-03-30,116.0,125.8,110.85,120.0,1059000
2023-03-31,121.42,123.26,119.17,121.55,665300
2023-04-03,121.39,122.13,118.98,120.0,373100
2023-04-04,120.69,121.36,115.57,115.72,270800
2023-04-05,115.11,115.11,111.25,112.88,639800
2023-04-06,112.97,114.43,112.02,112.89,300000
2023-04-10,111.86,112.66,110.343,111.22,364300
2023-04-11,111.9,112.37,110.29,111.0,299800
2023-04-12,113.65,113.65,111.39,111.69,807700
2023-04-13,112.0,113.04,111.63,112.28,252300
2023-04-14,111.9,112.53,109.06,110.38,268600
2023-04-17,110.51,110.98,109.88,110.37,325000
2023-04-18,110.78,110.88,108.7,109.12,266000
2023-04-19,107.92,110.05,107.795,109.97,416300
2023-04-20,109.07,110.49,107.27,108.1,234600
2023-04-21,108.22,108.255,105.25,105.45,255500
2023-04-24,105.36,106.443,102.44,102.98,402800
2023-04-25,101.37,102.26,98.15,98.35,289500
2023-04-26,98.13,98.885,96.01,96.23,262400
2023-04-27,96.36,97.34,94.985,96.75,150700
2023-04-28,96.24,98.241,95.65,96.51,149400
2023-05-01,96.17,97.17,94.535,94.93,410600
2023-05-02,94.31,95.01,91.64,92.79,418600
2023-05-03,93.35,94.65,91.64,91.69,262900
2023-05-04,90.97,91.29,85.685,86.51,334900
2023-05-05,87.81,88.51,85.47,86.92,410500
2023-05-08,87.53,88.75,84.36,85.71,294900
2023-05-09,85.16,85.86,84.03,84.26,286500
2023-05-10,85.14,86.75,84.22,86.5,267900
2023-05-11,85.53,87.23,85.5,86.5,348000
2023-05-12,86.89,89.805,86.58,89.74,640000
2023-05-15,89.97,91.2,89.905,91.03,275900
2023-05-16,90.99,90.99,86.16,88.0,347500
2023-05-17,88.93,89.97,87.58,89.79,292100
2023-05-18,89.58,90.84,88.0,90.69,239200
2023-05-19,91.02,91.4,89.6,90.59,304100
2023-05-22,91.16,95.68,91.16,95.22,313900
2023-05-23,94.36,96.082,94.04,95.46,282400
2023-05-24,94.94,95.54,93.714,94.13,285600
2023-05-25,93.63,95.0,89.93,90.0,535400
2023-05-26,90.46,91.6,88.28,89.37,324200
2023-05-30,89.46,89.46,87.2,88.29,402400
2023-05-31,87.85,88.49,84.96,87.7,995700
2023-06-01,88.19,89.38,87.37,87.71,529700
2023-06-02,89.02,90.27,87.445,89.69,558000
2023-06-05,88.81,89.71,87.0,87.21,331000
2023-06-06,86.95,93.43,86.925,91.8,489100
2023-06-07,92.46,92.555,84.85,85.65,964900
2023-06-08,85.48,86.05,82.94,83.33,467500
2023-06-09,83.22,85.7,82.72,83.44,400600
2023-06-12,83.6,84.86,83.35,83.79,310600
2023-06-13,84.28,86.38,83.93,85.45,627500
2023-06-14,86.13,87.25,83.81,83.98,385400
2023-06-15,84.7,84.7,82.32,83.66,431700
2023-06-16,83.66,84.96,82.14,83.07,1117400
2023-06-20,82.5,85.765,82.15,85.04,550400
2023-06-21,84.35,84.47,81.774,81.99,428600
2023-06-22,81.75,81.93,80.44,81.5,380700
2023-06-23,80.5,82.08,79.37,81.59,649800
2023-06-26,81.5,84.41,81.37,82.99,560200
2023-06-27,83.06,84.0,80.83,83.73,413900
2023-06-28,83.74,85.71,82.8,83.48,658800
2023-06-29,79.49,82.05,76.25,80.79,1963800
2023-06-30,81.53,83.89,79.355,80.75,657200
2023-07-03,80.88,84.59,80.88,83.13,303500
2023-07-05,82.58,84.0,81.02,82.14,494900
2023-07-06,80.68,81.99,78.77,80.13,610900
2023-07-07,80.4,83.395,80.145,82.9,639800
2023-07-10,82.93,84.82,82.93,84.28,475100
2023-07-11,84.48,86.16,84.15,85.66,469600
2023-07-12,86.79,86.805,84.225,84.95,738200
2023-07-13,85.53,87.95,85.32,87.86,437500
2023-07-14,87.64,87.645,84.745,86.06,395000
2023-07-17,85.98,86.33,85.05,85.48,386600
2023-07-18,85.33,86.6,83.4,83.54,495600
2023-07-19,83.54,85.18,82.79,83.69,552200
2023-07-20,83.99,84.49,81.71,82.39,409200
2023-07-21,82.78,84.938,82.05,84.0,464800
2023-07-24,84.06,85.67,84.05,84.9,225300
2023-07-25,84.86,86.6,84.58,86.3,358300
2023-07-26,86.2,88.39,86.1,88.11,267200
2023-07-27,88.09,88.52,81.58,82.24,1302600
2023-07-28,83.52,85.3,82.41,83.48,360400
2023-07-31,83.57,85.22,82.65,83.24,331500
2023-08-01,82.94,83.19,81.23,82.5,271400
2023-08-02,81.15,82.69,80.985,82.28,265100
2023-08-03,82.36,82.69,79.66,79.72,329400
2023-08-04,79.88,80.465,78.78,79.15,305500
2023-08-07,79.17,79.785,78.82,79.17,204300
2023-08-08,78.75,78.75,75.681,77.77,400300
2023-08-09,77.77,77.77,75.27,75.47,369800
2023-08-10,75.62,77.02,75.24,76.02,231700
2023-08-11,75.35,76.065,75.12,75.93,317600
2023-08-14,75.83,76.14,74.66,74.83,189300
2023-08-15,74.04,74.36,72.46,73.59,202000
2023-08-16,72.97,74.91,72.64,74.17,221300
2023-08-17,74.17,74.73,73.31,73.85,299400
2023-08-18,73.1,74.04,72.94,74.02,267100
2023-08-21,73.97,74.55,72.615,73.39,235900
2023-08-22,73.38,74.74,73.19,73.66,258600
2023-08-23,73.65,74.455,72.95,74.16,246200
2023-08-24,74.79,76.26,74.22,75.23,205500
2023-08-25,75.5,76.8,74.52,76.55,308800
2023-08-28,76.82,78.1,76.73,77.17,294100
2023-08-29,77.5,78.714,77.32,78.17,176500
2023-08-30,78.09,79.81,78.0,79.56,218000
2023-08-31,79.65,80.735,79.6,79.83,470500
2023-09-01,80.4,81.34,80.14,80.57,280200
2023-09-05,80.2,80.47,78.625,79.2,220800
2023-09-06,79.31,79.675,75.193,75.35,295200
2023-09-07,74.93,75.4,71.07,71.17,625700
2023-09-08,71.14,72.4,70.58,72.07,304300
2023-09-11,72.49,73.31,71.94,72.27,280800
2023-09-12,72.53,74.3,71.85,73.31,278700
2023-09-13,73.57,74.01,72.1,72.65,299900
2023-09-14,73.47,74.65,73.36,74.34,211000
2023-09-15,74.19,74.78,73.605,73.89,571100
2023-09-18,73.53,74.2,72.77,73.82,242000
2023-09-19,73.84,74.77,72.84,72.88,352700
2023-09-20,73.58,75.57,73.36,75.12,734000
2023-09-21,74.35,75.525,73.38,73.55,450300
2023-09-22,73.71,74.275,72.87,73.0,257400
2023-09-25,72.84,75.0,72.84,73.92,349900
2023-09-26,73.19,73.9,71.21,71.26,287000
2023-09-27,71.61,74.3,71.61,73.97,918400
2023-09-28,73.73,82.64,72.76,79.03,1166400
2023-09-29,79.76,81.579,77.75,80.11,713000
2023-10-02,80.28,81.24,79.49,80.29,462400
2023-10-03,79.73,81.1,77.855,78.3,463000
2023-10-04,78.32,80.39,76.68,79.96,550500
2023-10-05,79.48,80.43,77.29,78.19,399000
2023-10-06,78.19,81.6,78.19,80.51,260600
2023-10-09,79.77,82.01,79.77,80.5,456600
2023-10-10,80.65,83.42,80.64,81.33,373300
2023-10-11,81.62,82.92,80.96,82.41,386000
2023-10-12,82.5,82.5,77.65,80.0,476000
2023-10-13,80.2,80.415,78.97,79.15,448200
2023-10-16,79.89,81.63,79.37,80.75,415800
2023-10-17,80.61,83.125,80.61,81.96,601200
2023-10-18,80.89,81.67,79.88,80.39,373800
2023-10-19,80.0,81.0,78.61,78.94,308800
2023-10-20,78.82,79.02,76.63,76.82,413800
2023-10-23,76.79,78.02,76.22,76.89,283900
2023-10-24,77.19,78.305,75.275,76.27,461800
2023-10-25,75.75,76.185,74.61,75.63,306700
2023-10-26,75.75,77.56,74.92,75.69,232600
2023-10-27,75.69,75.69,72.365,72.59,270600
2023-10-30,73.15,74.44,72.81,74.34,261600
2023-10-31,74.21,76.66,73.94,76.21,240900
2023-11-01,75.95,76.51,74.92,75.41,349100
2023-11-02,76.45,79.46,76.45,79.16,267600
2023-11-03,80.15,81.95,80.15,81.36,258900
2023-11-06,81.1,81.49,79.84,80.25,197900
2023-11-07,80.23,81.66,79.78,80.59,199400
2023-11-08,80.56,81.505,80.05,81.25,301200
2023-11-09,81.53,82.52,80.42,80.81,506300
2023-11-10,81.01,82.72,80.02,82.5,232800
2023-11-13,82.1,82.86,80.99,82.63,315400
2023-11-14,85.0,88.69,84.95,88.55,354900
2023-11-15,88.37,91.14,88.37,89.14,351500
2023-11-16,89.12,89.69,88.025,89.56,276600
2023-11-17,90.46,91.91,89.495,91.06,353600
2023-11-20,90.96,93.48,89.945,92.92,370200
2023-11-21,92.38,93.89,91.865,92.68,345700
2023-11-22,93.28,93.58,92.38,92.78,256800
2023-11-24,92.54,94.81,91.73,94.67,145800
2023-11-27,93.8,94.67,92.535,93.85,448600
2023-11-28,93.58,94.75,92.99,93.1,429400
2023-11-29,93.76,94.55,93.18,93.44,434400
2023-11-30,93.4,94.2,92.6,93.99,377300
2023-12-01,93.51,94.62,91.56,94.53,396500
2023-12-04,94.73,98.721,94.38,98.01,616800
2023-12-05,97.37,98.0,95.74,95.74,336100
2023-12-06,96.33,97.65,94.94,94.97,345700
2023-12-07,95.28,95.73,93.26,95.4,408000
2023-12-08,95.75,97.02,93.72,94.58,300400
2023-12-11,94.63,96.11,94.13,94.13,557900
2023-12-12,93.8,94.09,91.25,93.66,724900
2023-12-13,93.39,95.12,90.135,94.48,699900
2023-12-14,95.78,99.099,95.78,96.17,665600
2023-12-15,96.47,99.97,95.86,96.06,3409400
2023-12-18,97.04,97.11,93.7,93.85,526100
2023-12-19,94.55,97.61,94.525,97.53,540100
2023-12-20,97.65,99.595,95.96,96.07,300000
2023-12-21,96.85,98.69,96.57,98.43,428800
2023-12-22,98.32,100.3,97.547,99.14,383500
2023-12-26,99.35,100.37,98.71,100.12,171100
2023-12-27,100.43,100.85,99.41,99.72,198500
2023-12-28,99.51,100.52,99.335,99.92,140400
