Date,Open,High,Low,Close,Volume
2023-01-13,48.55,49.83,48.55,49.76,24500
2023-01-17,49.56,50.08,49.56,50.0,29400
2023-01-18,49.9,50.83,49.68,49.98,32900
2023-01-19,49.7,50.6,49.61,49.78,34100
2023-01-20,50.18,50.22,49.49,49.87,37200
2023-01-23,49.86,50.4,49.38,49.55,19100
2023-01-24,48.75,49.51,48.59,48.92,27000
2023-01-25,48.53,48.67,47.7,48.41,52500
2023-01-26,48.9,48.95,48.11,48.4,39500
2023-01-27,48.4,48.76,47.67,47.98,36600
2023-01-30,47.99,48.41,47.81,48.13,46600
2023-01-31,48.19,49.35,48.15,49.03,98600
2023-02-01,49.04,49.88,49.0,49.63,138500
2023-02-02,49.78,51.51,49.5,51.39,49800
2023-02-03,50.87,51.9,50.87,51.67,70800
2023-02-06,51.25,51.43,47.81,48.34,96300
2023-02-07,48.07,48.83,47.9,48.67,70800
2023-02-08,48.48,48.76,48.0,48.44,77100
2023-02-09,48.76,48.99,47.88,48.31,135700
2023-02-10,45.82,46.25,40.71,41.55,207200
2023-02-13,41.77,42.82,41.39,42.27,124700
2023-02-14,42.23,42.23,41.34,41.88,87400
2023-02-15,41.62,42.41,41.56,42.02,62600
2023-02-16,41.75,43.77,41.75,43.53,103500
2023-02-17,43.36,43.9,43.1,43.45,52800
2023-02-21,42.98,43.29,42.64,42.98,78800
2023-02-22,42.92,43.55,42.78,43.49,87000
2023-02-23,43.74,43.83,42.85,43.16,45800
2023-02-24,42.63,43.07,42.35,42.99,86900
2023-02-27,43.2,43.88,43.05,43.28,35100
2023-02-28,43.09,44.04,43.09,43.8,92200
2023-03-01,43.73,44.35,43.15,43.87,44600
2023-03-02,43.56,44.63,43.27,44.42,39100
2023-03-03,44.51,45.41,44.05,44.66,72700
2023-03-06,44.66,45.29,43.76,43.89,80900
2023-03-07,43.84,44.0,42.41,42.82,45100
2023-03-08,42.94,43.16,42.2,42.77,38000
2023-03-09,42.67,43.49,42.65,43.24,44100
2023-03-10,43.02,44.34,42.62,42.95,54800
2023-03-13,42.44,43.48,41.35,41.8,56700
2023-03-14,42.19,43.15,42.16,42.72,55400
2023-03-15,41.93,42.73,41.79,42.73,61900
2023-03-16,42.39,43.76,42.0,43.35,46200
2023-03-17,43.27,43.53,42.12,42.67,165800
2023-03-20,42.97,43.61,42.3,42.73,55500
2023-03-21,43.22,43.6,42.89,43.41,50400
2023-03-22,43.21,43.68,42.59,42.66,42700
2023-03-23,42.8,43.17,42.33,42.61,42800
2023-03-24,42.25,43.22,41.85,42.89,33300
2023-03-27,43.33,43.69,42.85,43.34,41200
2023-03-28,43.32,43.5,43.03,43.34,70500
2023-03-29,43.49,43.85,43.22,43.76,39600
2023-03-30,44.01,44.29,43.61,44.02,33600
2023-03-31,44.15,45.02,44.02,44.96,75500
2023-04-03,42.48,44.77,42.48,44.72,135500
2023-04-04,44.68,44.82,44.2,44.76,41200
2023-04-05,44.61,44.89,44.42,44.89,33400
2023-04-06,44.8,44.98,44.37,44.79,48300
2023-04-10,44.66,44.89,44.2,44.53,83900
2023-04-11,44.39,44.91,44.19,44.86,44200
2023-04-12,45.97,45.97,44.66,44.74,25900
2023-04-13,44.83,45.58,44.73,45.54,30000
2023-04-14,45.34,45.62,45.12,45.29,44600
2023-04-17,45.42,45.46,45.04,45.11,38200
2023-04-18,45.22,45.35,44.72,44.92,43000
2023-04-19,44.65,44.65,42.24,42.44,128900
2023-04-20,42.41,42.74,42.23,42.7,65300
2023-04-21,39.91,40.86,37.76,40.59,117000
2023-04-24,40.5,41.67,40.5,40.96,84600
2023-04-25,40.61,40.99,39.61,39.71,64300
2023-04-26,39.63,39.65,39.06,39.52,41900
2023-04-27,39.74,40.36,39.74,40.09,36800
2023-04-28,40.16,40.52,40.16,40.27,35900
2023-05-01,40.12,40.67,39.29,40.29,52500
2023-05-02,40.0,40.33,39.29,39.4,51300
2023-05-03,39.65,40.2,39.65,39.71,49400
2023-05-04,39.37,39.84,39.15,39.6,63300
2023-05-05,39.25,40.5,38.17,38.59,82200
2023-05-08,38.65,39.08,38.14,38.89,91000
2023-05-09,38.74,39.16,38.48,38.93,60900
2023-05-10,39.35,40.66,39.06,40.62,84400
2023-05-11,40.42,41.9,40.42,41.86,60700
2023-05-12,41.87,42.14,41.39,42.12,53300
2023-05-15,41.99,42.22,41.43,41.66,51700
2023-05-16,41.52,42.26,41.52,42.13,37200
2023-05-17,42.17,43.54,42.01,43.38,55300
2023-05-18,43.17,44.15,43.17,43.96,44000
2023-05-19,44.4,44.7,43.66,44.1,127300
2023-05-22,44.24,44.93,43.96,44.7,53200
2023-05-23,44.54,45.41,44.05,44.35,61700
2023-05-24,44.19,44.24,43.22,43.72,43400
2023-05-25,43.89,44.5,42.37,44.49,79600
2023-05-26,44.45,46.12,44.45,45.77,44800
2023-05-30,46.06,46.3,44.94,45.26,57900
2023-05-31,45.14,45.69,44.46,44.97,277200
2023-06-01,44.85,45.47,44.38,44.46,75700
2023-06-02,44.81,46.36,44.67,46.25,56100
2023-06-05,45.9,46.25,45.08,45.26,44500
2023-06-06,45.14,46.66,45.14,46.19,57200
2023-06-07,46.23,47.24,46.23,46.79,78300
2023-06-08,46.64,46.8,45.73,45.85,36500
2023-06-09,45.9,46.2,45.59,46.08,32600
2023-06-12,46.11,46.77,46.03,46.51,50600
2023-06-13,46.81,47.5,46.15,46.19,72700
2023-06-14,46.19,46.43,45.24,45.89,54700
2023-06-15,45.73,46.04,45.26,45.85,56700
2023-06-16,46.26,46.54,45.31,45.73,387200
2023-06-20,45.7,46.12,45.35,45.37,51300
2023-06-21,45.37,46.37,44.99,45.86,45100
2023-06-22,45.85,45.98,45.05,45.22,42900
2023-06-23,44.83,45.44,43.92,44.22,84700
2023-06-26,44.31,45.48,44.29,44.36,41000
2023-06-27,44.57,44.59,43.98,44.31,34500
2023-06-28,44.32,44.8,43.96,44.42,32600
2023-06-29,44.42,45.44,44.42,45.14,34400
2023-06-30,45.54,45.9,45.1,45.1,38400
2023-07-03,45.01,45.53,45.01,45.42,22200
2023-07-05,45.43,45.43,44.86,44.95,56000
2023-07-06,44.58,44.83,44.01,44.61,47800
2023-07-07,44.74,45.09,44.41,44.43,33900
2023-07-10,44.44,45.13,44.44,44.87,35300
2023-07-11,45.03,45.51,44.72,45.4,29500
2023-07-12,45.99,46.25,45.55,46.06,34500
2023-07-13,46.25,46.36,45.75,46.02,32600
2023-07-14,45.88,46.12,45.19,46.11,22700
2023-07-17,46.2,46.47,45.62,45.81,41800
2023-07-18,46.02,46.23,45.16,45.67,34800
2023-07-19,45.67,46.7,45.33,46.56,45200
2023-07-20,46.55,46.55,45.67,46.21,26000
2023-07-21,46.46,46.52,45.79,46.04,29900
2023-07-24,46.14,46.66,45.88,46.64,30500
2023-07-25,46.51,47.59,46.51,47.52,30000
2023-07-26,47.4,48.32,47.4,48.01,41800
2023-07-27,48.3,48.3,47.54,47.7,42000
2023-07-28,47.99,48.67,47.61,47.82,33100
2023-07-31,47.72,48.74,47.42,48.41,90100
2023-08-01,48.22,49.48,48.01,49.27,59100
2023-08-02,49.02,49.67,48.87,49.57,56700
