Date,Open,High,Low,Close,Volume
2023-01-13,48.945,49.451,48.55,49.451,259000
2023-01-17,49.501,50.227,49.316,49.526,398000
2023-01-18,49.287,49.808,48.017,48.017,416000
2023-01-19,48.072,48.643,47.578,47.823,320000
2023-01-20,48.395,48.395,47.428,48.342,368000
2023-01-23,48.751,49.73,48.751,49.229,371000
2023-01-24,48.952,50.293,48.952,49.749,350000
2023-01-25,49.749,50.202,49.21,50.202,237000
2023-01-26,50.31,50.565,49.306,50.325,308000
2023-01-27,50.325,50.325,48.722,49.735,332000
2023-01-30,49.373,49.928,48.801,48.802,279000
2023-01-31,49.219,50.752,49.057,50.678,521000
2023-02-01,50.712,52.469,49.276,51.899,523000
2023-02-02,52.155,52.94,51.557,52.59,384000
2023-02-03,52.254,52.556,51.51,51.635,394000
2023-02-06,51.505,52.094,51.266,52.094,307000
2023-02-07,52.09,52.09,50.954,51.228,704000
2023-02-08,51.0,51.389,49.824,50.776,395000
2023-02-09,51.285,51.593,50.501,50.55,273000
2023-02-10,50.612,50.851,50.165,50.278,221000
2023-02-13,50.21,52.183,50.175,52.183,406000
2023-02-14,52.1,52.484,51.261,51.557,325000
2023-02-15,51.581,52.806,51.201,52.649,249000
2023-02-16,52.499,52.857,51.802,52.121,353000
2023-02-17,52.129,53.046,51.739,53.046,369000
2023-02-21,52.974,52.974,51.8,51.915,450000
2023-02-22,51.928,52.8,51.758,52.0,356000
2023-02-23,52.106,57.6,52.106,57.09,694000
2023-02-24,56.729,56.909,55.623,56.473,425000
2023-02-27,56.728,57.936,56.331,57.936,348000
2023-02-28,57.61,57.985,55.685,55.685,684000
2023-03-01,55.736,56.5,54.26,55.221,428000
2023-03-02,55.219,55.54,54.726,55.176,387000
2023-03-03,55.455,55.455,54.651,54.993,284000
2023-03-06,54.641,55.227,54.536,54.95,239000
2023-03-07,54.843,55.182,54.05,54.31,356000
2023-03-08,54.455,54.72,54.236,54.291,298000
2023-03-09,54.5,54.639,53.002,53.172,413000
2023-03-10,53.15,53.669,52.003,52.362,392000
2023-03-13,51.857,52.763,51.62,51.864,558000
2023-03-14,52.868,53.447,51.62,51.986,485000
2023-03-15,51.182,51.29,50.262,50.901,546000
2023-03-16,50.6,50.806,50.151,50.575,441000
2023-03-17,50.093,50.648,49.511,49.827,1173000
2023-03-20,50.078,51.717,50.078,51.338,324000
