Date,Open,High,Low,Close,Volume
2023-01-13,29.25,29.39,28.8,29.17,1180400
2023-01-17,29.24,29.24,28.58,29.03,1239800
2023-01-18,28.86,28.86,28.17,28.28,1370900
2023-01-19,28.09,28.17,27.37,27.6,990400
2023-01-20,27.87,28.49,27.68,28.49,1803500
2023-01-23,28.54,28.76,28.33,28.62,1493300
2023-01-24,28.94,29.45,27.68,29.35,1146600
2023-01-25,29.13,29.98,28.78,29.94,1177400
2023-01-26,30.18,30.43,29.52,29.72,1249100
2023-01-27,29.8,30.13,29.35,30.05,1119600
2023-01-30,29.81,30.35,29.81,29.94,1182100
2023-01-31,30.07,30.92,29.86,30.91,1112200
2023-02-01,30.64,32.24,30.57,32.0,1582500
2023-02-02,32.1,32.86,31.96,32.86,1644900
2023-02-03,32.51,32.95,32.11,32.6,1196900
2023-02-06,32.73,33.24,32.5,32.94,1252900
2023-02-07,32.69,32.96,32.22,32.71,990900
2023-02-08,32.4,32.61,32.13,32.16,866000
2023-02-09,32.44,32.48,31.84,31.88,606300
2023-02-10,31.86,31.95,31.6,31.86,564400
2023-02-13,31.87,31.97,31.66,31.97,640800
2023-02-14,31.88,31.99,31.29,31.71,637800
2023-02-15,31.6,32.05,31.47,32.05,749100
2023-02-16,31.65,31.82,31.4,31.4,886600
2023-02-17,31.45,31.65,31.22,31.59,954100
2023-02-21,31.27,31.34,30.73,30.77,1002900
2023-02-22,30.76,30.96,30.26,30.46,1188100
2023-02-23,30.48,30.72,30.18,30.51,1092500
2023-02-24,29.75,30.52,29.74,30.45,1969300
2023-02-27,30.68,30.86,30.01,30.14,2433400
2023-02-28,30.27,30.52,29.51,29.73,37951300
2023-03-01,30.11,30.11,29.59,29.95,4144700
2023-03-02,29.44,29.58,28.68,29.07,4099300
2023-03-03,29.37,29.4,28.58,28.7,3767300
2023-03-06,28.94,28.94,28.0,28.07,3716600
2023-03-07,27.92,27.92,27.16,27.28,3702600
2023-03-08,27.31,27.49,27.01,27.36,3086600
2023-03-09,27.23,27.23,24.67,24.7,5986300
2023-03-10,23.86,24.8,22.76,23.92,4307800
2023-03-13,22.21,22.56,20.45,20.54,7143600
2023-03-14,22.38,22.99,21.34,21.53,4289500
2023-03-15,20.51,21.5,20.28,21.22,3377900
2023-03-16,20.87,22.35,20.25,21.94,4001100
2023-03-17,21.7,21.88,21.13,21.72,6011200
2023-03-20,22.07,22.5,21.16,21.19,4179300
2023-03-21,22.15,22.87,21.95,22.66,4477500
2023-03-22,22.6,22.71,21.39,21.42,2068600
2023-03-23,21.58,21.73,19.97,20.19,2696500
2023-03-24,19.8,20.52,19.59,20.52,2951000
2023-03-27,21.14,21.43,20.51,20.81,1820000
2023-03-28,20.79,21.19,20.67,20.94,1140600
2023-03-29,21.22,21.47,20.4,21.0,3055500
2023-03-30,21.33,21.61,20.66,20.98,3159400
2023-03-31,21.14,21.5,20.87,21.42,2815700
2023-04-03,21.54,21.58,20.84,21.03,2020000
2023-04-04,21.06,21.19,20.16,20.73,2532000
2023-04-05,20.28,20.65,20.13,20.55,2916700
2023-04-06,21.2,22.27,20.92,21.76,2681600
2023-04-10,21.6,22.31,21.6,21.87,3161500
2023-04-11,22.03,22.31,21.85,22.22,2233800
2023-04-12,22.4,22.44,21.66,21.99,1952600
2023-04-13,22.11,22.47,21.89,22.29,1670600
2023-04-14,22.7,22.7,21.37,21.58,1380700
2023-04-17,21.38,22.37,21.27,22.37,1338300
2023-04-18,22.34,22.4,21.3,21.52,1561000
2023-04-19,21.69,22.55,21.54,22.26,1496500
2023-04-20,21.6,22.16,21.53,21.96,1403900
2023-04-21,21.9,22.02,21.06,21.36,1890800
2023-04-24,21.47,21.51,21.09,21.5,1844500
2023-04-25,20.92,21.08,20.02,20.08,2846500
2023-04-26,20.18,20.51,19.75,19.97,2158800
2023-04-27,20.18,21.91,20.18,21.55,2365400
2023-04-28,21.47,21.84,21.23,21.36,2272400
2023-05-01,21.52,21.52,20.88,20.96,1403300
2023-05-02,20.78,20.9,19.0,19.43,3001800
2023-05-03,19.55,20.14,18.83,18.94,2773200
2023-05-04,18.26,19.94,17.54,19.08,5826700
2023-05-05,20.07,20.29,19.35,20.05,3276500
2023-05-08,20.4,20.46,19.33,19.34,1962500
2023-05-09,19.21,19.46,18.7,19.4,2194800
2023-05-10,19.84,19.96,18.85,19.0,1906800
2023-05-11,18.73,18.9,18.42,18.45,2138800
2023-05-12,18.6,18.68,18.01,18.44,1825200
2023-05-15,18.86,20.31,18.69,20.25,4419000
2023-05-16,20.45,20.46,19.73,19.76,2063500
2023-05-17,20.2,21.16,20.16,21.01,2711300
2023-05-18,21.02,21.21,20.58,21.1,1885400
2023-05-19,21.18,21.25,19.97,20.49,1636500
2023-05-22,20.76,21.34,20.42,21.32,1681300
2023-05-23,21.33,22.31,21.32,21.51,2691500
2023-05-24,21.26,21.41,20.75,21.08,2734100
2023-05-25,20.97,21.25,20.35,20.86,1506900
2023-05-26,20.84,21.14,20.4,21.06,1274500
2023-05-30,20.77,20.85,20.09,20.7,1934100
2023-05-31,20.5,20.54,19.4,20.03,2767100
2023-06-01,20.26,20.79,19.92,20.46,1803300
2023-06-02,20.9,22.19,20.8,22.07,1689300
2023-06-05,21.98,22.11,21.28,21.58,1728200
2023-06-06,21.49,23.3,21.41,23.15,2202100
2023-06-07,23.5,24.03,23.2,23.71,2646900
2023-06-08,23.6,23.66,22.97,23.25,1406000
2023-06-09,23.26,23.46,22.62,22.93,1905500
2023-06-12,22.92,23.44,22.49,23.01,1366500
2023-06-13,23.18,23.48,22.83,23.25,1491700
2023-06-14,23.28,23.47,22.35,22.65,1259100
2023-06-15,22.42,23.06,22.42,23.02,1249900
2023-06-16,22.92,23.07,22.17,22.6,2482400
2023-06-20,22.54,22.56,22.01,22.28,1160200
2023-06-21,22.07,22.21,21.73,21.74,1111500
2023-06-22,21.61,21.61,20.79,20.97,1441400
2023-06-23,20.69,20.98,20.4,20.48,2468600
2023-06-26,20.63,21.1,20.43,20.53,1561400
2023-06-27,20.59,20.91,20.3,20.52,2115700
2023-06-28,20.44,20.54,19.98,20.2,1475200
2023-06-29,20.4,20.69,20.26,20.31,1589700
2023-06-30,20.54,20.73,20.02,20.28,1910900
2023-07-03,20.29,21.01,20.29,20.88,904100
2023-07-05,20.55,20.86,20.27,20.5,1488500
2023-07-06,20.27,20.33,19.65,19.96,1948500
2023-07-07,20.07,20.95,20.07,20.74,2923100
2023-07-10,20.53,21.18,20.5,20.74,2032800
2023-07-11,20.89,21.13,20.3,21.04,1747800
2023-07-12,21.63,21.84,21.31,21.57,1915900
2023-07-13,21.77,22.54,21.64,22.48,2040400
2023-07-14,22.62,22.62,21.54,21.59,1809900
2023-07-17,21.5,22.08,21.37,22.05,1846200
2023-07-18,22.04,23.16,22.01,23.0,1779400
2023-07-19,23.25,23.75,22.9,23.55,2340900
2023-07-20,21.5,22.19,20.32,21.93,5618500
2023-07-21,22.03,22.07,21.03,21.17,2800500
2023-07-24,21.05,22.2,21.05,22.15,2742600
2023-07-25,22.28,22.63,21.7,21.77,3212200
2023-07-26,22.06,22.73,21.9,22.63,2411400
2023-07-27,22.92,22.92,21.6,21.81,1600700
2023-07-28,22.1,22.6,21.89,22.24,1643100
2023-07-31,22.33,22.7,22.16,22.35,1782500
2023-08-01,22.14,22.14,21.5,22.07,1321000
2023-08-02,21.64,22.18,21.46,21.84,1345900
2023-08-03,21.83,21.99,21.46,21.87,1467500
2023-08-04,21.93,22.5,21.85,22.29,1509100
2023-08-07,22.31,22.41,21.99,22.38,775700
2023-08-08,21.85,22.32,21.31,22.23,1046300
