Date,Open,High,Low,Close,Volume
2023-01-13,21.26,21.42,21.0,21.31,72700
2023-01-17,21.27,21.27,20.82,20.84,67900
2023-01-18,20.73,20.76,20.23,20.28,77600
2023-01-19,20.2,20.39,20.01,20.35,106500
2023-01-20,20.56,20.88,20.45,20.86,121200
2023-01-23,20.9,21.41,20.8,21.07,85500
2023-01-24,21.1,21.12,20.87,20.9,66100
2023-01-25,21.75,23.79,21.71,22.39,211000
2023-01-26,22.35,22.56,21.62,21.82,131800
2023-01-27,21.85,22.03,21.62,21.94,134900
2023-01-30,21.84,22.24,21.84,21.85,77000
2023-01-31,21.82,22.69,21.7,22.6,223300
2023-02-01,22.58,23.59,22.13,23.3,270900
2023-02-02,23.42,23.99,23.15,23.8,158900
2023-02-03,23.7,24.55,23.67,24.48,200800
2023-02-06,24.25,24.3,23.7,23.99,84700
2023-02-07,23.89,24.42,23.76,24.24,181400
2023-02-08,24.0,24.18,23.82,23.87,94100
2023-02-09,23.95,23.96,23.23,23.25,122100
2023-02-10,23.09,23.42,23.09,23.32,102500
2023-02-13,23.25,23.64,23.1,23.48,211400
2023-02-14,23.34,23.5,23.16,23.39,221600
2023-02-15,23.25,23.75,23.25,23.72,92700
2023-02-16,23.4,23.46,23.1,23.23,286400
2023-02-17,23.33,23.56,23.09,23.41,161400
2023-02-21,23.17,23.23,22.93,23.22,169700
2023-02-22,23.09,23.46,22.82,23.0,192400
2023-02-23,23.1,23.34,22.88,23.17,121100
2023-02-24,22.95,23.2,22.8,23.2,155600
2023-02-27,23.09,23.12,22.55,22.58,116500
2023-02-28,22.61,22.75,22.38,22.43,215200
2023-03-01,22.3,22.51,22.17,22.43,126500
2023-03-02,22.25,22.35,21.98,22.21,100200
2023-03-03,22.26,22.53,22.06,22.38,239600
2023-03-06,22.42,22.56,21.78,22.02,228500
2023-03-07,21.97,22.13,21.83,22.06,220400
2023-03-08,22.12,22.22,21.81,22.1,160100
2023-03-09,21.98,21.98,20.63,20.69,184800
2023-03-10,20.04,20.74,19.58,20.18,312500
2023-03-13,19.19,20.18,18.01,18.8,559500
2023-03-14,20.27,20.79,18.47,18.84,484000
2023-03-15,18.38,19.42,17.91,19.39,357600
2023-03-16,18.83,20.58,18.83,19.82,277100
2023-03-17,19.64,19.64,18.43,18.43,1572600
2023-03-20,18.98,19.29,18.49,18.6,246300
2023-03-21,19.54,20.06,18.75,18.9,292500
2023-03-22,18.91,19.18,18.28,18.31,326000
2023-03-23,18.48,18.52,17.82,17.88,163500
2023-03-24,17.8,18.4,17.71,18.07,261700
2023-03-27,18.54,18.75,18.41,18.5,184300
2023-03-28,18.32,18.6,18.32,18.49,162600
2023-03-29,18.5,18.54,18.18,18.48,223600
2023-03-30,18.44,18.5,17.47,17.59,174600
2023-03-31,17.61,17.93,17.59,17.9,286400
2023-04-03,17.87,18.06,17.38,17.6,235600
2023-04-04,17.57,17.66,16.57,17.04,347100
2023-04-05,16.9,17.03,16.64,16.93,206600
2023-04-06,16.91,17.24,16.91,17.21,106000
2023-04-10,17.25,17.44,17.04,17.13,152300
2023-04-11,17.07,17.26,16.94,17.02,95700
2023-04-12,17.1,17.16,16.65,16.75,95200
2023-04-13,16.78,17.08,16.71,16.91,110500
2023-04-14,17.08,17.08,16.32,16.51,127300
2023-04-17,16.43,16.81,16.05,16.77,147200
2023-04-18,16.93,16.93,16.13,16.27,148100
2023-04-19,16.45,16.77,16.15,16.68,149400
2023-04-20,16.49,16.73,16.25,16.48,102900
2023-04-21,16.42,16.42,16.08,16.23,146600
2023-04-24,16.05,16.55,16.01,16.02,175200
2023-04-25,15.96,16.21,15.1,15.21,167000
2023-04-26,15.5,16.76,15.5,15.75,219200
2023-04-27,15.51,15.99,15.4,15.88,226000
2023-04-28,15.87,16.14,15.84,15.88,139300
