Date,Open,High,Low,Close,Volume
2023-01-13,44.96,45.91,44.3,45.64,1503400
2023-01-17,45.69,46.66,45.67,46.19,564600
2023-01-18,46.49,47.665,45.45,45.49,785500
2023-01-19,45.16,47.275,45.0,46.96,967900
2023-01-20,47.46,47.835,46.39,47.32,665700
2023-01-23,47.52,48.19,46.76,47.19,793100
2023-01-24,46.96,47.82,46.59,47.2,742500
2023-01-25,46.99,47.389,46.02,47.04,714000
2023-01-26,47.37,48.16,47.02,47.83,459800
2023-01-27,47.3,47.3,42.36,43.16,2261200
2023-01-30,42.42,43.545,42.29,42.5,1083100
2023-01-31,42.27,42.73,41.37,42.73,1044700
2023-02-01,42.27,42.8,41.03,42.04,691400
2023-02-02,42.29,42.29,40.69,41.19,598600
2023-02-03,40.92,42.03,40.7,40.77,662100
2023-02-06,40.55,41.21,39.92,40.15,606400
2023-02-07,40.55,41.51,40.03,41.49,822400
2023-02-08,41.49,41.775,40.0,40.56,1603500
2023-02-09,40.77,41.05,39.96,40.4,754300
2023-02-10,41.03,42.6,40.89,42.49,812200
2023-02-13,42.09,42.21,41.54,41.75,321400
2023-02-14,41.28,41.79,40.8,41.4,455500
2023-02-15,40.58,41.36,40.01,41.15,636400
2023-02-16,40.79,41.85,40.77,40.86,479700
2023-02-17,40.36,40.36,39.26,39.57,503400
2023-02-21,39.26,39.995,38.68,38.75,687200
2023-02-22,38.94,39.48,38.14,38.73,529800
2023-02-23,39.43,40.07,38.595,39.61,804200
2023-02-24,41.0,43.64,39.03,42.7,2743800
2023-02-27,42.92,43.39,41.755,41.87,1214400
2023-02-28,42.29,43.15,41.835,42.2,1139900
2023-03-01,41.9,43.075,41.9,42.63,1064600
2023-03-02,42.46,43.92,42.18,43.63,941900
2023-03-03,42.54,44.415,42.42,43.97,937400
2023-03-06,43.77,44.11,43.47,43.68,515800
2023-03-07,43.38,43.94,43.15,43.38,448000
2023-03-08,43.26,43.72,42.15,42.33,677800
2023-03-09,42.44,42.95,41.57,41.62,583700
2023-03-10,41.35,41.69,40.15,40.37,557400
2023-03-13,39.18,39.92,38.26,38.83,824300
2023-03-14,39.25,40.04,37.66,38.14,998100
2023-03-15,36.63,37.26,34.98,36.04,1431400
2023-03-16,35.14,36.01,34.02,35.89,1341100
2023-03-17,35.99,36.52,35.18,35.32,1651900
2023-03-20,35.55,36.59,35.34,36.37,848700
2023-03-21,37.15,37.48,36.6,37.05,568300
2023-03-22,36.86,37.15,35.9,35.92,573600
2023-03-23,36.22,36.895,35.5,36.07,866600
2023-03-24,35.5,37.05,35.19,37.04,894200
2023-03-27,37.69,38.11,36.91,37.91,637100
2023-03-28,37.57,38.411,37.5,38.07,397200
2023-03-29,38.59,38.72,38.035,38.53,325000
2023-03-30,38.63,38.675,37.95,38.2,397400
2023-03-31,38.52,38.87,38.09,38.5,731300
2023-04-03,40.3,40.59,39.31,39.8,1286000
2023-04-04,39.89,39.89,38.49,39.2,776800
2023-04-05,39.16,40.115,38.914,39.79,615800
2023-04-06,39.67,39.83,39.19,39.47,530500
2023-04-10,39.7,40.13,39.33,39.59,837200
2023-04-11,39.89,40.3,39.71,40.13,555400
2023-04-12,40.36,40.42,39.67,39.87,523300
2023-04-13,39.97,40.925,39.69,40.73,475100
2023-04-14,40.87,41.14,40.115,41.13,473400
2023-04-17,41.36,41.43,39.86,40.16,510900
2023-04-18,40.06,40.82,39.87,40.81,298100
2023-04-19,40.2,40.42,39.45,40.01,460100
2023-04-20,39.5,39.72,39.22,39.4,465000
2023-04-21,39.48,39.645,38.95,39.52,609000
2023-04-24,39.28,40.506,39.12,40.23,377800
2023-04-25,39.63,39.86,38.785,39.0,291900
2023-04-26,38.69,39.445,38.56,38.9,335300
2023-04-27,38.9,39.52,38.5,39.3,371300
2023-04-28,39.3,40.98,39.15,40.5,625800
2023-05-01,39.8,40.68,39.8,40.23,809100
2023-05-02,40.32,41.7,39.29,40.22,856500
2023-05-03,39.52,39.89,38.56,38.92,788600
2023-05-04,39.06,39.44,37.71,38.42,444100
2023-05-05,39.68,40.085,39.08,39.25,637600
2023-05-08,39.91,40.47,39.44,39.7,757800
2023-05-09,39.46,40.0,39.26,39.71,994600
2023-05-10,40.04,40.11,39.32,39.71,750000
2023-05-11,39.11,39.5,38.88,39.41,501700
2023-05-12,39.67,39.8,38.865,39.23,449600
2023-05-15,39.62,40.05,39.11,39.83,574900
2023-05-16,39.65,39.93,38.63,38.65,358700
2023-05-17,39.17,39.55,38.59,39.4,456200
