Date,Open,High,Low,Close,Volume
2023-01-13,125.0,127.66,122.72,125.82,1459300
2023-01-17,125.51,129.01,124.88,128.05,1073600
2023-01-18,128.72,131.18,127.13,127.47,1352000
2023-01-19,125.6,125.8,121.22,121.43,1729200
2023-01-20,122.94,124.63,121.24,122.4,1403700
2023-01-23,122.73,126.33,121.92,125.59,1317600
2023-01-24,124.1,125.0,122.05,123.24,1326100
2023-01-25,120.62,123.36,118.02,123.34,1206900
2023-01-26,124.83,125.69,120.18,121.05,1095000
2023-01-27,120.16,122.88,119.81,121.32,730700
2023-01-30,119.4,121.24,118.06,118.08,984500
2023-01-31,118.13,123.14,118.13,121.77,1401900
2023-02-01,122.2,126.96,121.35,125.24,1624500
2023-02-02,126.03,128.8,123.7,125.42,1168200
2023-02-03,122.9,126.99,120.89,121.98,1945500
2023-02-06,120.0,121.14,117.2,118.73,1446300
2023-02-07,118.48,121.26,115.81,120.56,1459300
2023-02-08,118.39,119.38,115.84,116.62,1608000
2023-02-09,119.02,119.43,113.93,114.78,1304500
2023-02-10,112.74,115.86,110.69,115.3,1592800
2023-02-13,116.44,119.15,112.73,118.65,2069600
2023-02-14,116.52,122.78,116.09,122.43,1893500
2023-02-15,121.75,125.87,121.57,125.67,1851300
2023-02-16,132.85,143.5,130.46,131.2,5664800
2023-02-17,131.29,136.22,129.74,131.47,2440400
2023-02-21,129.0,131.34,118.19,118.72,2611700
2023-02-22,118.64,125.21,116.65,125.18,2057400
2023-02-23,127.5,128.8,123.57,125.47,1280000
2023-02-24,122.87,123.89,121.73,122.36,1061800
2023-02-27,123.93,126.13,122.94,123.58,1130300
2023-02-28,123.42,124.05,121.29,121.71,1225600
2023-03-01,123.08,125.76,121.1,124.45,1396200
2023-03-02,123.22,125.98,122.0,125.35,928100
2023-03-03,125.97,126.33,121.78,125.54,1548100
2023-03-06,126.01,129.56,124.41,125.06,1764600
2023-03-07,125.19,127.4,123.66,124.47,1530200
2023-03-08,124.75,125.04,122.75,123.8,782400
2023-03-09,123.86,125.05,118.55,119.63,1478200
2023-03-10,119.1,119.1,113.83,115.32,1792800
2023-03-13,112.15,115.09,109.47,111.31,2002700
2023-03-14,115.07,119.46,114.19,116.24,1517200
2023-03-15,112.4,117.88,109.76,117.43,2593700
